XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/xilinx/xrt/bin:/opt/xilinx/xrt/bin:/opt/tools/Xilinx/Vitis/2019.2/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2019.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vivado/2019.2/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/mnt/local/altera_pro/16.0/quartus/bin:/mnt/local/mentor/questasim/linux_x86_64:/mnt/local/aal/bin:/opt/tools/Xilinx/Vitis/2019.2/bin:/opt/Xilinx/Vitis/2020.2/bin:/home/zhe/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:/opt/xilinx/xrt/lib:/opt/tools/Xilinx/Vitis/2019.2/lib/lnx64.o/Ubuntu/18:/opt/tools/Xilinx/Vitis/2019.2/lib/lnx64.o/Ubuntu:/opt/tools/Xilinx/Vitis/2019.2/lib/lnx64.o:/opt/tools/Xilinx/Vitis/2019.2/runtime/lib/x86_64:/opt/xilinx/xrt/lib::/mnt/local/aal/lib:/home/zhe/centaur/libs
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:/opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
alveo3b
alveo4b
alveo1b
alveo2b
alveo2a
alveo1a
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:16777216, num_elements:4194304, num_trials:1000
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:16777216, num_elements:4194304, num_trials:1000
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:16777216, num_elements:4194304, num_trials:1000
alveo1b, device on u250. Finished loading bitstream
alveo1b, bytes:16777216, num_elements:4194304, num_trials:1000
alveo4b, device on u280. Finished loading bitstream
alveo4b, bytes:16777216, num_elements:4194304, num_trials:1000
alveo3b, device on u280. Finished loading bitstream
alveo3b, bytes:16777216, num_elements:4194304, num_trials:1000
Start All-reduce test:
iteration:0, time[s]:0.043132
iteration:1, time[s]:0.039078
iteration:2, time[s]:0.037306
iteration:3, time[s]:0.036897
iteration:4, time[s]:0.036371
iteration:5, time[s]:0.035577
iteration:6, time[s]:0.036648
iteration:7, time[s]:0.035593
iteration:8, time[s]:0.034998
iteration:9, time[s]:0.034799
iteration:10, time[s]:0.035013
iteration:11, time[s]:0.035640
iteration:12, time[s]:0.037427
iteration:13, time[s]:0.037977
iteration:14, time[s]:0.038569
iteration:15, time[s]:0.035381
iteration:16, time[s]:0.034763
iteration:17, time[s]:0.034595
iteration:18, time[s]:0.035892
iteration:19, time[s]:0.034298
iteration:20, time[s]:0.035149
iteration:21, time[s]:0.035411
iteration:22, time[s]:0.034983
iteration:23, time[s]:0.035960
iteration:24, time[s]:0.035695
iteration:25, time[s]:0.035735
iteration:26, time[s]:0.034222
iteration:27, time[s]:0.036877
iteration:28, time[s]:0.037631
iteration:29, time[s]:0.034691
iteration:30, time[s]:0.035219
iteration:31, time[s]:0.036579
iteration:32, time[s]:0.037407
iteration:33, time[s]:0.035681
iteration:34, time[s]:0.035490
iteration:35, time[s]:0.035757
iteration:36, time[s]:0.034192
iteration:37, time[s]:0.033901
iteration:38, time[s]:0.033801
iteration:39, time[s]:0.034819
iteration:40, time[s]:0.034539
iteration:41, time[s]:0.036700
iteration:42, time[s]:0.034417
iteration:43, time[s]:0.036173
iteration:44, time[s]:0.038310
iteration:45, time[s]:0.036451
iteration:46, time[s]:0.038332
iteration:47, time[s]:0.036761
iteration:48, time[s]:0.037458
iteration:49, time[s]:0.035158
iteration:50, time[s]:0.035472
iteration:51, time[s]:0.036238
iteration:52, time[s]:0.036220
iteration:53, time[s]:0.035283
iteration:54, time[s]:0.036300
iteration:55, time[s]:0.036617
iteration:56, time[s]:0.034571
iteration:57, time[s]:0.034101
iteration:58, time[s]:0.034866
iteration:59, time[s]:0.035711
iteration:60, time[s]:0.037531
iteration:61, time[s]:0.035308
iteration:62, time[s]:0.034215
iteration:63, time[s]:0.033855
iteration:64, time[s]:0.036591
iteration:65, time[s]:0.036100
iteration:66, time[s]:0.037133
iteration:67, time[s]:0.036586
iteration:68, time[s]:0.034718
iteration:69, time[s]:0.036278
iteration:70, time[s]:0.036137
iteration:71, time[s]:0.036936
iteration:72, time[s]:0.034753
iteration:73, time[s]:0.035463
iteration:74, time[s]:0.034301
iteration:75, time[s]:0.034175
iteration:76, time[s]:0.036114
iteration:77, time[s]:0.035110
iteration:78, time[s]:0.034816
iteration:79, time[s]:0.036158
iteration:80, time[s]:0.035343
iteration:81, time[s]:0.034224
iteration:82, time[s]:0.035070
iteration:83, time[s]:0.035669
iteration:84, time[s]:0.035299
iteration:85, time[s]:0.035708
iteration:86, time[s]:0.037513
iteration:87, time[s]:0.037944
iteration:88, time[s]:0.035801
iteration:89, time[s]:0.039444
iteration:90, time[s]:0.037616
iteration:91, time[s]:0.034831
iteration:92, time[s]:0.035562
iteration:93, time[s]:0.033736
iteration:94, time[s]:0.035629
iteration:95, time[s]:0.037109
iteration:96, time[s]:0.034405
iteration:97, time[s]:0.036715
iteration:98, time[s]:0.036320
iteration:99, time[s]:0.037697
iteration:100, time[s]:0.038724
iteration:101, time[s]:0.036633
iteration:102, time[s]:0.036727
iteration:103, time[s]:0.037256
iteration:104, time[s]:0.035505
iteration:105, time[s]:0.040482
iteration:106, time[s]:0.036495
iteration:107, time[s]:0.036602
iteration:108, time[s]:0.037948
iteration:109, time[s]:0.034722
iteration:110, time[s]:0.035792
iteration:111, time[s]:0.036144
iteration:112, time[s]:0.035073
iteration:113, time[s]:0.036131
iteration:114, time[s]:0.036531
iteration:115, time[s]:0.037727
iteration:116, time[s]:0.037526
iteration:117, time[s]:0.036058
iteration:118, time[s]:0.036596
iteration:119, time[s]:0.035230
iteration:120, time[s]:0.035242
iteration:121, time[s]:0.034509
iteration:122, time[s]:0.035702
iteration:123, time[s]:0.034156
iteration:124, time[s]:0.035036
iteration:125, time[s]:0.036108
iteration:126, time[s]:0.037147
iteration:127, time[s]:0.035545
iteration:128, time[s]:0.038026
iteration:129, time[s]:0.036914
iteration:130, time[s]:0.037778
iteration:131, time[s]:0.038398
iteration:132, time[s]:0.035855
iteration:133, time[s]:0.036072
iteration:134, time[s]:0.037078
iteration:135, time[s]:0.036808
iteration:136, time[s]:0.035838
iteration:137, time[s]:0.037166
iteration:138, time[s]:0.038774
iteration:139, time[s]:0.037389
iteration:140, time[s]:0.037589
iteration:141, time[s]:0.037148
iteration:142, time[s]:0.037185
iteration:143, time[s]:0.035883
iteration:144, time[s]:0.035677
iteration:145, time[s]:0.037734
iteration:146, time[s]:0.038532
iteration:147, time[s]:0.036826
iteration:148, time[s]:0.037189
iteration:149, time[s]:0.039237
iteration:150, time[s]:0.035995
iteration:151, time[s]:0.038044
iteration:152, time[s]:0.037151
iteration:153, time[s]:0.037085
iteration:154, time[s]:0.035461
iteration:155, time[s]:0.035009
iteration:156, time[s]:0.038363
iteration:157, time[s]:0.037667
iteration:158, time[s]:0.036952
iteration:159, time[s]:0.036795
iteration:160, time[s]:0.036675
iteration:161, time[s]:0.036629
iteration:162, time[s]:0.035524
iteration:163, time[s]:0.034506
iteration:164, time[s]:0.035359
iteration:165, time[s]:0.034778
iteration:166, time[s]:0.034375
iteration:167, time[s]:0.035846
iteration:168, time[s]:0.035565
iteration:169, time[s]:0.034777
iteration:170, time[s]:0.037151
iteration:171, time[s]:0.039096
iteration:172, time[s]:0.038368
iteration:173, time[s]:0.037373
iteration:174, time[s]:0.036481
iteration:175, time[s]:0.037063
iteration:176, time[s]:0.036885
iteration:177, time[s]:0.035939
iteration:178, time[s]:0.035392
iteration:179, time[s]:0.037329
iteration:180, time[s]:0.037547
iteration:181, time[s]:0.038105
iteration:182, time[s]:0.036633
iteration:183, time[s]:0.035204
iteration:184, time[s]:0.036434
iteration:185, time[s]:0.035829
iteration:186, time[s]:0.036830
iteration:187, time[s]:0.035353
iteration:188, time[s]:0.036652
iteration:189, time[s]:0.036254
iteration:190, time[s]:0.034510
iteration:191, time[s]:0.034011
