XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/xilinx/xrt/bin:/opt/xilinx/xrt/bin:/opt/tools/Xilinx/Vitis/2019.2/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2019.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vivado/2019.2/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/mnt/local/altera_pro/16.0/quartus/bin:/mnt/local/mentor/questasim/linux_x86_64:/mnt/local/aal/bin:/opt/tools/Xilinx/Vitis/2019.2/bin:/opt/Xilinx/Vitis/2020.2/bin:/home/zhe/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:/opt/xilinx/xrt/lib:/opt/tools/Xilinx/Vitis/2019.2/lib/lnx64.o/Ubuntu/18:/opt/tools/Xilinx/Vitis/2019.2/lib/lnx64.o/Ubuntu:/opt/tools/Xilinx/Vitis/2019.2/lib/lnx64.o:/opt/tools/Xilinx/Vitis/2019.2/runtime/lib/x86_64:/opt/xilinx/xrt/lib::/mnt/local/aal/lib:/home/zhe/centaur/libs
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:/opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
alveo2b
alveo4b
alveo4c
alveo3b
alveo1b
alveo2a
alveo1a
alveo3b, device on u280. Finished loading bitstream
alveo3b, bytes:16777216, num_elements:4194304, num_trials:1000
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:16777216, num_elements:4194304, num_trials:1000
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:16777216, num_elements:4194304, num_trials:1000
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:16777216, num_elements:4194304, num_trials:1000
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:16777216, num_elements:4194304, num_trials:1000
alveo4b, device on u280. Finished loading bitstream
alveo4b, bytes:16777216, num_elements:4194304, num_trials:1000
alveo1b, device on u250. Finished loading bitstream
alveo1b, bytes:16777216, num_elements:4194304, num_trials:1000
Start All-reduce test:
iteration:0, time[s]:0.054442
iteration:1, time[s]:0.046215
iteration:2, time[s]:0.043853
iteration:3, time[s]:0.043591
iteration:4, time[s]:0.042846
iteration:5, time[s]:0.042782
iteration:6, time[s]:0.043723
iteration:7, time[s]:0.042004
iteration:8, time[s]:0.043432
iteration:9, time[s]:0.038496
iteration:10, time[s]:0.038165
iteration:11, time[s]:0.039877
iteration:12, time[s]:0.040214
iteration:13, time[s]:0.036388
iteration:14, time[s]:0.039655
iteration:15, time[s]:0.037403
iteration:16, time[s]:0.037723
iteration:17, time[s]:0.037553
iteration:18, time[s]:0.037179
iteration:19, time[s]:0.038912
iteration:20, time[s]:0.038259
iteration:21, time[s]:0.037164
iteration:22, time[s]:0.037833
iteration:23, time[s]:0.038243
iteration:24, time[s]:0.035543
iteration:25, time[s]:0.036846
iteration:26, time[s]:0.035649
iteration:27, time[s]:0.037409
iteration:28, time[s]:0.036845
iteration:29, time[s]:0.038426
iteration:30, time[s]:0.037898
iteration:31, time[s]:0.036363
iteration:32, time[s]:0.036105
iteration:33, time[s]:0.038708
iteration:34, time[s]:0.036069
iteration:35, time[s]:0.037273
iteration:36, time[s]:0.040184
iteration:37, time[s]:0.036447
iteration:38, time[s]:0.039495
iteration:39, time[s]:0.040683
iteration:40, time[s]:0.036903
iteration:41, time[s]:0.036204
iteration:42, time[s]:0.037970
iteration:43, time[s]:0.037229
iteration:44, time[s]:0.039594
iteration:45, time[s]:0.038356
iteration:46, time[s]:0.036195
iteration:47, time[s]:0.037949
iteration:48, time[s]:0.036620
iteration:49, time[s]:0.035897
iteration:50, time[s]:0.036062
iteration:51, time[s]:0.037935
iteration:52, time[s]:0.034942
iteration:53, time[s]:0.035816
iteration:54, time[s]:0.036373
iteration:55, time[s]:0.035770
iteration:56, time[s]:0.037217
iteration:57, time[s]:0.035056
iteration:58, time[s]:0.036411
iteration:59, time[s]:0.037764
iteration:60, time[s]:0.038495
iteration:61, time[s]:0.037883
iteration:62, time[s]:0.038162
iteration:63, time[s]:0.037183
iteration:64, time[s]:0.037738
iteration:65, time[s]:0.037001
iteration:66, time[s]:0.037337
iteration:67, time[s]:0.038899
iteration:68, time[s]:0.035966
iteration:69, time[s]:0.036286
iteration:70, time[s]:0.035904
iteration:71, time[s]:0.037615
iteration:72, time[s]:0.035492
iteration:73, time[s]:0.035561
iteration:74, time[s]:0.035592
iteration:75, time[s]:0.035194
iteration:76, time[s]:0.036385
iteration:77, time[s]:0.037374
iteration:78, time[s]:0.038191
iteration:79, time[s]:0.037257
iteration:80, time[s]:0.036978
iteration:81, time[s]:0.037182
iteration:82, time[s]:0.038312
iteration:83, time[s]:0.038225
iteration:84, time[s]:0.037830
iteration:85, time[s]:0.040636
iteration:86, time[s]:0.038428
iteration:87, time[s]:0.038853
iteration:88, time[s]:0.038217
iteration:89, time[s]:0.038529
iteration:90, time[s]:0.037770
iteration:91, time[s]:0.039152
iteration:92, time[s]:0.038084
iteration:93, time[s]:0.037854
iteration:94, time[s]:0.035820
iteration:95, time[s]:0.036049
iteration:96, time[s]:0.035769
iteration:97, time[s]:0.035736
iteration:98, time[s]:0.035708
iteration:99, time[s]:0.037921
iteration:100, time[s]:0.035901
iteration:101, time[s]:0.037488
iteration:102, time[s]:0.036533
iteration:103, time[s]:0.038077
iteration:104, time[s]:0.036335
iteration:105, time[s]:0.036197
iteration:106, time[s]:0.035425
iteration:107, time[s]:0.035540
iteration:108, time[s]:0.036412
iteration:109, time[s]:0.037310
iteration:110, time[s]:0.035303
iteration:111, time[s]:0.035371
iteration:112, time[s]:0.036974
iteration:113, time[s]:0.036447
iteration:114, time[s]:0.037540
iteration:115, time[s]:0.036472
iteration:116, time[s]:0.038275
iteration:117, time[s]:0.037907
iteration:118, time[s]:0.034613
iteration:119, time[s]:0.035360
iteration:120, time[s]:0.035447
iteration:121, time[s]:0.034619
iteration:122, time[s]:0.034131
iteration:123, time[s]:0.035264
iteration:124, time[s]:0.036830
iteration:125, time[s]:0.038120
iteration:126, time[s]:0.035991
iteration:127, time[s]:0.034393
iteration:128, time[s]:0.037427
iteration:129, time[s]:0.037415
iteration:130, time[s]:0.036338
iteration:131, time[s]:0.036000
iteration:132, time[s]:0.038140
iteration:133, time[s]:0.037493
iteration:134, time[s]:0.038170
iteration:135, time[s]:0.037683
iteration:136, time[s]:0.038822
iteration:137, time[s]:0.037066
iteration:138, time[s]:0.034996
iteration:139, time[s]:0.037168
iteration:140, time[s]:0.036621
iteration:141, time[s]:0.037951
iteration:142, time[s]:0.036984
iteration:143, time[s]:0.036113
iteration:144, time[s]:0.035143
iteration:145, time[s]:0.035985
iteration:146, time[s]:0.035368
iteration:147, time[s]:0.035182
iteration:148, time[s]:0.035950
iteration:149, time[s]:0.036504
iteration:150, time[s]:0.036732
iteration:151, time[s]:0.037349
iteration:152, time[s]:0.037683
iteration:153, time[s]:0.037806
iteration:154, time[s]:0.037429
iteration:155, time[s]:0.038991
iteration:156, time[s]:0.038234
iteration:157, time[s]:0.036899
iteration:158, time[s]:0.036881
iteration:159, time[s]:0.037280
iteration:160, time[s]:0.036574
iteration:161, time[s]:0.037142
iteration:162, time[s]:0.035562
iteration:163, time[s]:0.034998
iteration:164, time[s]:0.034304
iteration:165, time[s]:0.037261
iteration:166, time[s]:0.035801
iteration:167, time[s]:0.036758
iteration:168, time[s]:0.037064
iteration:169, time[s]:0.035148
iteration:170, time[s]:0.035655
iteration:171, time[s]:0.037582
iteration:172, time[s]:0.034435
iteration:173, time[s]:0.036211
iteration:174, time[s]:0.035818
iteration:175, time[s]:0.038376
iteration:176, time[s]:0.038816
iteration:177, time[s]:0.038646
iteration:178, time[s]:0.038956
iteration:179, time[s]:0.038663
iteration:180, time[s]:0.038679
iteration:181, time[s]:0.039460
iteration:182, time[s]:0.038417
iteration:183, time[s]:0.038748
iteration:184, time[s]:0.037784
iteration:185, time[s]:0.038441
iteration:186, time[s]:0.039274
iteration:187, time[s]:0.039440
iteration:188, time[s]:0.039691
iteration:189, time[s]:0.039665
iteration:190, time[s]:0.038623
iteration:191, time[s]:0.040357
iteration:192, time[s]:0.040194
iteration:193, time[s]:0.039542
iteration:194, time[s]:0.038451
iteration:195, time[s]:0.039520
iteration:196, time[s]:0.038349
iteration:197, time[s]:0.039612
iteration:198, time[s]:0.039301
iteration:199, time[s]:0.039269
iteration:200, time[s]:0.036975
iteration:201, time[s]:0.039843
iteration:202, time[s]:0.040448
iteration:203, time[s]:0.040099
iteration:204, time[s]:0.039592
iteration:205, time[s]:0.039902
iteration:206, time[s]:0.039607
iteration:207, time[s]:0.039607
iteration:208, time[s]:0.039863
iteration:209, time[s]:0.040845
iteration:210, time[s]:0.036586
iteration:211, time[s]:0.037244
iteration:212, time[s]:0.039983
