XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/xilinx/xrt/bin:/opt/xilinx/xrt/bin:/opt/tools/Xilinx/Vitis/2019.2/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2019.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vivado/2019.2/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/mnt/local/altera_pro/16.0/quartus/bin:/mnt/local/mentor/questasim/linux_x86_64:/mnt/local/aal/bin:/opt/tools/Xilinx/Vitis/2019.2/bin:/opt/Xilinx/Vitis/2020.2/bin:/home/zhe/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:/opt/xilinx/xrt/lib:/opt/tools/Xilinx/Vitis/2019.2/lib/lnx64.o/Ubuntu/18:/opt/tools/Xilinx/Vitis/2019.2/lib/lnx64.o/Ubuntu:/opt/tools/Xilinx/Vitis/2019.2/lib/lnx64.o:/opt/tools/Xilinx/Vitis/2019.2/runtime/lib/x86_64:/opt/xilinx/xrt/lib::/mnt/local/aal/lib:/home/zhe/centaur/libs
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:/opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
alveo4c
alveo4b
alveo3b
alveo2a
alveo1a
alveo2b
alveo1b
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:2097152, num_elements:524288, num_trials:100
Start All-reduce test:
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:2097152, num_elements:524288, num_trials:100
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:2097152, num_elements:524288, num_trials:100
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:2097152, num_elements:524288, num_trials:100
alveo4b, device on u280. Finished loading bitstream
alveo4b, bytes:2097152, num_elements:524288, num_trials:100
alveo3b, device on u280. Finished loading bitstream
alveo3b, bytes:2097152, num_elements:524288, num_trials:100
alveo1b, device on u250. Finished loading bitstream
alveo1b, bytes:2097152, num_elements:524288, num_trials:100
iteration:0, time[s]:0.011677
iteration:1, time[s]:0.008041
iteration:2, time[s]:0.006194
iteration:3, time[s]:0.005905
iteration:4, time[s]:0.005073
iteration:5, time[s]:0.005411
iteration:6, time[s]:0.005476
iteration:7, time[s]:0.005188
iteration:8, time[s]:0.021267
iteration:9, time[s]:0.005477
iteration:10, time[s]:0.005723
iteration:11, time[s]:0.005428
iteration:12, time[s]:0.005307
iteration:13, time[s]:0.005451
iteration:14, time[s]:0.005166
iteration:15, time[s]:0.005153
iteration:16, time[s]:0.005152
iteration:17, time[s]:0.005478
iteration:18, time[s]:0.005407
iteration:19, time[s]:0.005382
iteration:20, time[s]:0.005654
iteration:21, time[s]:0.005291
iteration:22, time[s]:0.005139
iteration:23, time[s]:0.005305
iteration:24, time[s]:0.005187
iteration:25, time[s]:0.005428
iteration:26, time[s]:0.005525
iteration:27, time[s]:0.005421
iteration:28, time[s]:0.005484
iteration:29, time[s]:0.005520
iteration:30, time[s]:0.005329
iteration:31, time[s]:0.005680
iteration:32, time[s]:0.005224
iteration:33, time[s]:0.005478
iteration:34, time[s]:0.005399
iteration:35, time[s]:0.005531
iteration:36, time[s]:0.005114
iteration:37, time[s]:0.005602
iteration:38, time[s]:0.005843
iteration:39, time[s]:0.005341
iteration:40, time[s]:0.005025
iteration:41, time[s]:0.005621
iteration:42, time[s]:0.005650
iteration:43, time[s]:0.006292
iteration:44, time[s]:0.006028
iteration:45, time[s]:0.006177
iteration:46, time[s]:0.005703
iteration:47, time[s]:0.005558
iteration:48, time[s]:0.005493
iteration:49, time[s]:0.005181
iteration:50, time[s]:0.005727
iteration:51, time[s]:0.005482
iteration:52, time[s]:0.005646
iteration:53, time[s]:0.005523
iteration:54, time[s]:0.006166
iteration:55, time[s]:0.006920
iteration:56, time[s]:0.006158
iteration:57, time[s]:0.005502
iteration:58, time[s]:0.005876
iteration:59, time[s]:0.005525
iteration:60, time[s]:0.005343
iteration:61, time[s]:0.005642
iteration:62, time[s]:0.005471
iteration:63, time[s]:0.005228
iteration:64, time[s]:0.005735
iteration:65, time[s]:0.005242
iteration:66, time[s]:0.004970
iteration:67, time[s]:0.005670
iteration:68, time[s]:0.005674
iteration:69, time[s]:0.005630
iteration:70, time[s]:0.005591
iteration:71, time[s]:0.005793
iteration:72, time[s]:0.005662
iteration:73, time[s]:0.005605
iteration:74, time[s]:0.005194
iteration:75, time[s]:0.005893
iteration:76, time[s]:0.006030
iteration:77, time[s]:0.005426
iteration:78, time[s]:0.005535
iteration:79, time[s]:0.005468
iteration:80, time[s]:0.005044
iteration:81, time[s]:0.005655
iteration:82, time[s]:0.005260
iteration:83, time[s]:0.005400
iteration:84, time[s]:0.005888
iteration:85, time[s]:0.005611
iteration:86, time[s]:0.005189
iteration:87, time[s]:0.005672
iteration:88, time[s]:0.005394
iteration:89, time[s]:0.005219
iteration:90, time[s]:0.004950
iteration:91, time[s]:0.005309
iteration:92, time[s]:0.005237
iteration:93, time[s]:0.005920
iteration:94, time[s]:0.005697
iteration:95, time[s]:0.005577
iteration:96, time[s]:0.005214
iteration:97, time[s]:0.005150
iteration:98, time[s]:0.005620
iteration:99, time[s]:0.005749
iteration:100, time[s]:0.005236
Data size = 2097152, Trials = 100
Avg MPI time [us]= *5702.121610, throughput [Gbps] = 2.942276
