XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/xilinx/xrt/bin:/opt/xilinx/xrt/bin:/opt/tools/Xilinx/Vitis/2019.2/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2019.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vivado/2019.2/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/mnt/local/altera_pro/16.0/quartus/bin:/mnt/local/mentor/questasim/linux_x86_64:/mnt/local/aal/bin:/opt/tools/Xilinx/Vitis/2019.2/bin:/opt/Xilinx/Vitis/2020.2/bin:/home/zhe/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:/opt/xilinx/xrt/lib:/opt/tools/Xilinx/Vitis/2019.2/lib/lnx64.o/Ubuntu/18:/opt/tools/Xilinx/Vitis/2019.2/lib/lnx64.o/Ubuntu:/opt/tools/Xilinx/Vitis/2019.2/lib/lnx64.o:/opt/tools/Xilinx/Vitis/2019.2/runtime/lib/x86_64:/opt/xilinx/xrt/lib::/mnt/local/aal/lib:/home/zhe/centaur/libs
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:/opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
alveo3b
alveo4b
alveo2a
alveo2b
alveo1b
alveo1a
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:262144, num_elements:65536, num_trials:100
alveo4b, device on u280. Finished loading bitstream
alveo4b, bytes:262144, num_elements:65536, num_trials:100
alveo3b, device on u280. Finished loading bitstream
alveo3b, bytes:262144, num_elements:65536, num_trials:100
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:262144, num_elements:65536, num_trials:100
alveo1b, device on u250. Finished loading bitstream
alveo1b, bytes:262144, num_elements:65536, num_trials:100
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:262144, num_elements:65536, num_trials:100
Start All-reduce test:
iteration:0, time[s]:0.003568
iteration:1, time[s]:0.002489
iteration:2, time[s]:0.002142
iteration:3, time[s]:0.002170
iteration:4, time[s]:0.002139
iteration:5, time[s]:0.002058
iteration:6, time[s]:0.001796
iteration:7, time[s]:0.001805
iteration:8, time[s]:0.001785
iteration:9, time[s]:0.001739
iteration:10, time[s]:0.001839
iteration:11, time[s]:0.001787
iteration:12, time[s]:0.001788
iteration:13, time[s]:0.001754
iteration:14, time[s]:0.001661
iteration:15, time[s]:0.001631
iteration:16, time[s]:0.001573
iteration:17, time[s]:0.001571
iteration:18, time[s]:0.001492
iteration:19, time[s]:0.001793
iteration:20, time[s]:0.001634
iteration:21, time[s]:0.001571
iteration:22, time[s]:0.001749
iteration:23, time[s]:0.001725
iteration:24, time[s]:0.001706
iteration:25, time[s]:0.001721
iteration:26, time[s]:0.001756
iteration:27, time[s]:0.001671
iteration:28, time[s]:0.001715
iteration:29, time[s]:0.001587
iteration:30, time[s]:0.001785
iteration:31, time[s]:0.001702
iteration:32, time[s]:0.001693
iteration:33, time[s]:0.001607
iteration:34, time[s]:0.001645
iteration:35, time[s]:0.001770
iteration:36, time[s]:0.001653
iteration:37, time[s]:0.001764
iteration:38, time[s]:0.001688
iteration:39, time[s]:0.001733
iteration:40, time[s]:0.001735
iteration:41, time[s]:0.001789
iteration:42, time[s]:0.001851
iteration:43, time[s]:0.001832
iteration:44, time[s]:0.001727
iteration:45, time[s]:0.001748
iteration:46, time[s]:0.001801
iteration:47, time[s]:0.001727
iteration:48, time[s]:0.001814
iteration:49, time[s]:0.001654
iteration:50, time[s]:0.001678
iteration:51, time[s]:0.001699
iteration:52, time[s]:0.001701
iteration:53, time[s]:0.001610
iteration:54, time[s]:0.001854
iteration:55, time[s]:0.001825
iteration:56, time[s]:0.001849
iteration:57, time[s]:0.001764
iteration:58, time[s]:0.001834
iteration:59, time[s]:0.001781
iteration:60, time[s]:0.001793
iteration:61, time[s]:0.001773
iteration:62, time[s]:0.001730
iteration:63, time[s]:0.001674
iteration:64, time[s]:0.001602
iteration:65, time[s]:0.001632
iteration:66, time[s]:0.001753
iteration:67, time[s]:0.001675
iteration:68, time[s]:0.001746
iteration:69, time[s]:0.001731
iteration:70, time[s]:0.001735
iteration:71, time[s]:0.001656
iteration:72, time[s]:0.001684
iteration:73, time[s]:0.001682
iteration:74, time[s]:0.001748
iteration:75, time[s]:0.001567
iteration:76, time[s]:0.001652
iteration:77, time[s]:0.001663
iteration:78, time[s]:0.001737
iteration:79, time[s]:0.001668
iteration:80, time[s]:0.001692
iteration:81, time[s]:0.001655
iteration:82, time[s]:0.001651
iteration:83, time[s]:0.001725
iteration:84, time[s]:0.001677
iteration:85, time[s]:0.001652
iteration:86, time[s]:0.001667
iteration:87, time[s]:0.001634
iteration:88, time[s]:0.001657
iteration:89, time[s]:0.001611
iteration:90, time[s]:0.001678
iteration:91, time[s]:0.001733
iteration:92, time[s]:0.001783
iteration:93, time[s]:0.001683
iteration:94, time[s]:0.001752
iteration:95, time[s]:0.001708
iteration:96, time[s]:0.001743
iteration:97, time[s]:0.001692
iteration:98, time[s]:0.001570
iteration:99, time[s]:0.001582
iteration:100, time[s]:0.001580
Data size = 262144, Trials = 100
Avg MPI time [us]= *1731.832250, throughput [Gbps] = 1.210944
