XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/xilinx/xrt/bin:/opt/xilinx/xrt/bin:/opt/tools/Xilinx/Vitis/2019.2/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2019.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vivado/2019.2/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/mnt/local/altera_pro/16.0/quartus/bin:/mnt/local/mentor/questasim/linux_x86_64:/mnt/local/aal/bin:/opt/tools/Xilinx/Vitis/2019.2/bin:/opt/Xilinx/Vitis/2020.2/bin:/home/zhe/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:/opt/xilinx/xrt/lib:/opt/tools/Xilinx/Vitis/2019.2/lib/lnx64.o/Ubuntu/18:/opt/tools/Xilinx/Vitis/2019.2/lib/lnx64.o/Ubuntu:/opt/tools/Xilinx/Vitis/2019.2/lib/lnx64.o:/opt/tools/Xilinx/Vitis/2019.2/runtime/lib/x86_64:/opt/xilinx/xrt/lib::/mnt/local/aal/lib:/home/zhe/centaur/libs
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:/opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
alveo2a
alveo3b
alveo1a
alveo1b
alveo2b
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:32768, num_elements:8192, num_trials:1000
alveo3b, device on u280. Finished loading bitstream
alveo3b, bytes:32768, num_elements:8192, num_trials:1000
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:32768, num_elements:8192, num_trials:1000
Start All-reduce test:
alveo1b, device on u250. Finished loading bitstream
alveo1b, bytes:32768, num_elements:8192, num_trials:1000
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:32768, num_elements:8192, num_trials:1000
iteration:0, time[s]:0.001019
iteration:1, time[s]:0.000439
iteration:2, time[s]:0.000418
iteration:3, time[s]:0.000423
iteration:4, time[s]:0.000386
iteration:5, time[s]:0.000364
iteration:6, time[s]:0.000386
iteration:7, time[s]:0.000377
iteration:8, time[s]:0.000369
iteration:9, time[s]:0.000370
iteration:10, time[s]:0.000369
iteration:11, time[s]:0.000368
iteration:12, time[s]:0.000388
iteration:13, time[s]:0.000350
iteration:14, time[s]:0.000354
iteration:15, time[s]:0.000342
iteration:16, time[s]:0.000389
iteration:17, time[s]:0.000389
iteration:18, time[s]:0.000359
iteration:19, time[s]:0.000424
iteration:20, time[s]:0.000357
iteration:21, time[s]:0.000352
iteration:22, time[s]:0.000350
iteration:23, time[s]:0.000380
iteration:24, time[s]:0.000403
iteration:25, time[s]:0.000319
iteration:26, time[s]:0.000313
iteration:27, time[s]:0.000342
iteration:28, time[s]:0.000318
iteration:29, time[s]:0.000366
iteration:30, time[s]:0.000315
iteration:31, time[s]:0.000317
iteration:32, time[s]:0.000346
iteration:33, time[s]:0.000328
iteration:34, time[s]:0.000323
iteration:35, time[s]:0.000340
iteration:36, time[s]:0.000328
iteration:37, time[s]:0.000335
iteration:38, time[s]:0.000335
iteration:39, time[s]:0.000315
iteration:40, time[s]:0.000323
iteration:41, time[s]:0.000321
iteration:42, time[s]:0.000340
iteration:43, time[s]:0.000318
iteration:44, time[s]:0.000346
iteration:45, time[s]:0.000364
iteration:46, time[s]:0.000353
iteration:47, time[s]:0.000319
iteration:48, time[s]:0.000313
iteration:49, time[s]:0.000318
iteration:50, time[s]:0.000324
iteration:51, time[s]:0.000316
iteration:52, time[s]:0.000312
iteration:53, time[s]:0.000327
iteration:54, time[s]:0.000335
iteration:55, time[s]:0.000367
iteration:56, time[s]:0.000380
iteration:57, time[s]:0.000356
iteration:58, time[s]:0.000363
iteration:59, time[s]:0.000367
iteration:60, time[s]:0.000297
iteration:61, time[s]:0.000388
iteration:62, time[s]:0.000369
iteration:63, time[s]:0.000374
iteration:64, time[s]:0.000357
iteration:65, time[s]:0.000375
iteration:66, time[s]:0.000373
iteration:67, time[s]:0.000325
iteration:68, time[s]:0.000320
iteration:69, time[s]:0.000316
iteration:70, time[s]:0.000320
iteration:71, time[s]:0.000310
iteration:72, time[s]:0.000300
iteration:73, time[s]:0.000325
iteration:74, time[s]:0.000333
iteration:75, time[s]:0.000305
iteration:76, time[s]:0.000320
iteration:77, time[s]:0.000327
iteration:78, time[s]:0.000307
iteration:79, time[s]:0.000323
iteration:80, time[s]:0.000321
iteration:81, time[s]:0.000321
iteration:82, time[s]:0.000320
iteration:83, time[s]:0.000345
iteration:84, time[s]:0.000335
iteration:85, time[s]:0.000312
iteration:86, time[s]:0.000318
iteration:87, time[s]:0.000288
iteration:88, time[s]:0.000317
iteration:89, time[s]:0.000297
iteration:90, time[s]:0.000354
iteration:91, time[s]:0.000302
iteration:92, time[s]:0.000314
iteration:93, time[s]:0.000360
iteration:94, time[s]:0.000364
iteration:95, time[s]:0.000366
iteration:96, time[s]:0.000377
iteration:97, time[s]:0.000358
iteration:98, time[s]:0.000362
iteration:99, time[s]:0.000367
iteration:100, time[s]:0.000351
iteration:101, time[s]:0.000365
iteration:102, time[s]:0.000378
iteration:103, time[s]:0.000353
iteration:104, time[s]:0.000369
iteration:105, time[s]:0.000379
iteration:106, time[s]:0.000369
iteration:107, time[s]:0.000362
iteration:108, time[s]:0.000380
iteration:109, time[s]:0.000364
iteration:110, time[s]:0.000361
iteration:111, time[s]:0.000366
iteration:112, time[s]:0.000365
iteration:113, time[s]:0.000368
iteration:114, time[s]:0.000360
iteration:115, time[s]:0.000372
iteration:116, time[s]:0.000384
iteration:117, time[s]:0.000368
iteration:118, time[s]:0.000380
iteration:119, time[s]:0.000365
iteration:120, time[s]:0.000367
iteration:121, time[s]:0.000382
iteration:122, time[s]:0.000382
iteration:123, time[s]:0.000363
iteration:124, time[s]:0.000367
iteration:125, time[s]:0.000367
iteration:126, time[s]:0.000411
iteration:127, time[s]:0.000399
iteration:128, time[s]:0.000401
iteration:129, time[s]:0.000411
iteration:130, time[s]:0.000398
iteration:131, time[s]:0.000409
iteration:132, time[s]:0.000417
iteration:133, time[s]:0.000415
iteration:134, time[s]:0.000453
iteration:135, time[s]:0.000436
iteration:136, time[s]:0.000433
iteration:137, time[s]:0.000434
iteration:138, time[s]:0.000433
iteration:139, time[s]:0.000429
iteration:140, time[s]:0.000429
iteration:141, time[s]:0.000451
iteration:142, time[s]:0.000449
iteration:143, time[s]:0.000427
iteration:144, time[s]:0.000534
iteration:145, time[s]:0.000499
iteration:146, time[s]:0.000499
iteration:147, time[s]:0.000469
iteration:148, time[s]:0.000473
iteration:149, time[s]:0.000475
iteration:150, time[s]:0.000476
iteration:151, time[s]:0.000449
iteration:152, time[s]:0.000479
iteration:153, time[s]:0.000459
iteration:154, time[s]:0.000479
iteration:155, time[s]:0.000463
iteration:156, time[s]:0.000474
iteration:157, time[s]:0.000474
iteration:158, time[s]:0.000444
iteration:159, time[s]:0.000380
iteration:160, time[s]:0.000416
iteration:161, time[s]:0.000404
iteration:162, time[s]:0.000400
iteration:163, time[s]:0.000396
iteration:164, time[s]:0.000404
iteration:165, time[s]:0.000413
iteration:166, time[s]:0.000414
iteration:167, time[s]:0.000415
iteration:168, time[s]:0.000422
iteration:169, time[s]:0.000367
iteration:170, time[s]:0.000379
iteration:171, time[s]:0.000349
iteration:172, time[s]:0.000448
iteration:173, time[s]:0.000362
iteration:174, time[s]:0.000364
iteration:175, time[s]:0.000352
iteration:176, time[s]:0.000364
iteration:177, time[s]:0.000447
iteration:178, time[s]:0.000366
iteration:179, time[s]:0.000380
iteration:180, time[s]:0.000379
iteration:181, time[s]:0.000367
iteration:182, time[s]:0.000462
iteration:183, time[s]:0.000365
iteration:184, time[s]:0.000363
iteration:185, time[s]:0.000434
iteration:186, time[s]:0.000381
iteration:187, time[s]:0.000361
iteration:188, time[s]:0.000381
iteration:189, time[s]:0.000363
iteration:190, time[s]:0.000362
iteration:191, time[s]:0.000347
iteration:192, time[s]:0.000386
iteration:193, time[s]:0.000384
iteration:194, time[s]:0.000396
iteration:195, time[s]:0.000396
iteration:196, time[s]:0.000533
iteration:197, time[s]:0.000400
iteration:198, time[s]:0.000401
iteration:199, time[s]:0.000395
iteration:200, time[s]:0.000399
iteration:201, time[s]:0.000396
iteration:202, time[s]:0.000400
iteration:203, time[s]:0.000396
iteration:204, time[s]:0.000498
iteration:205, time[s]:0.000395
iteration:206, time[s]:0.000386
iteration:207, time[s]:0.000398
iteration:208, time[s]:0.000392
iteration:209, time[s]:0.000401
