XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/xilinx/xrt/bin:/opt/xilinx/xrt/bin:/opt/tools/Xilinx/Vitis/2019.2/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2019.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vivado/2019.2/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/mnt/local/altera_pro/16.0/quartus/bin:/mnt/local/mentor/questasim/linux_x86_64:/mnt/local/aal/bin:/opt/tools/Xilinx/Vitis/2019.2/bin:/opt/Xilinx/Vitis/2020.2/bin:/home/zhe/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:/opt/xilinx/xrt/lib:/opt/tools/Xilinx/Vitis/2019.2/lib/lnx64.o/Ubuntu/18:/opt/tools/Xilinx/Vitis/2019.2/lib/lnx64.o/Ubuntu:/opt/tools/Xilinx/Vitis/2019.2/lib/lnx64.o:/opt/tools/Xilinx/Vitis/2019.2/runtime/lib/x86_64:/opt/xilinx/xrt/lib::/mnt/local/aal/lib:/home/zhe/centaur/libs
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:/opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
alveo4c
alveo4b
alveo3c
alveo3b
alveo2a
alveo2b
alveo1a
alveo1b
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:32768, num_elements:8192, num_trials:100
Start All-reduce test:
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:32768, num_elements:8192, num_trials:100
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:32768, num_elements:8192, num_trials:100
alveo3c, device on u280. Finished loading bitstream
alveo3c, bytes:32768, num_elements:8192, num_trials:100
alveo3b, device on u280. Finished loading bitstream
alveo3b, bytes:32768, num_elements:8192, num_trials:100
alveo4b, device on u280. Finished loading bitstream
alveo4b, bytes:32768, num_elements:8192, num_trials:100
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:32768, num_elements:8192, num_trials:100
alveo1b, device on u250. Finished loading bitstream
alveo1b, bytes:32768, num_elements:8192, num_trials:100
iteration:0, time[s]:0.000946
iteration:1, time[s]:0.000638
iteration:2, time[s]:0.000610
iteration:3, time[s]:0.000704
iteration:4, time[s]:0.000548
iteration:5, time[s]:0.000589
iteration:6, time[s]:0.000495
iteration:7, time[s]:0.000485
iteration:8, time[s]:0.000545
iteration:9, time[s]:0.000559
iteration:10, time[s]:0.000572
iteration:11, time[s]:0.000527
iteration:12, time[s]:0.000495
iteration:13, time[s]:0.000543
iteration:14, time[s]:0.000545
iteration:15, time[s]:0.000420
iteration:16, time[s]:0.000460
iteration:17, time[s]:0.000502
iteration:18, time[s]:0.000437
iteration:19, time[s]:0.000467
iteration:20, time[s]:0.000436
iteration:21, time[s]:0.000450
iteration:22, time[s]:0.000440
iteration:23, time[s]:0.000451
iteration:24, time[s]:0.000455
iteration:25, time[s]:0.000457
iteration:26, time[s]:0.000461
iteration:27, time[s]:0.000503
iteration:28, time[s]:0.000400
iteration:29, time[s]:0.000454
iteration:30, time[s]:0.000429
iteration:31, time[s]:0.000493
iteration:32, time[s]:0.000523
iteration:33, time[s]:0.000434
iteration:34, time[s]:0.000481
iteration:35, time[s]:0.000512
iteration:36, time[s]:0.000471
iteration:37, time[s]:0.000403
iteration:38, time[s]:0.000376
iteration:39, time[s]:0.000587
iteration:40, time[s]:0.000438
iteration:41, time[s]:0.000462
iteration:42, time[s]:0.000359
iteration:43, time[s]:0.000450
iteration:44, time[s]:0.000376
iteration:45, time[s]:0.000439
iteration:46, time[s]:0.000397
iteration:47, time[s]:0.000466
iteration:48, time[s]:0.000460
iteration:49, time[s]:0.000440
iteration:50, time[s]:0.000446
iteration:51, time[s]:0.000440
iteration:52, time[s]:0.000461
iteration:53, time[s]:0.000505
iteration:54, time[s]:0.000441
iteration:55, time[s]:0.000764
iteration:56, time[s]:0.000510
iteration:57, time[s]:0.000522
iteration:58, time[s]:0.000492
iteration:59, time[s]:0.000553
iteration:60, time[s]:0.000745
iteration:61, time[s]:0.000598
iteration:62, time[s]:0.000632
iteration:63, time[s]:0.000593
iteration:64, time[s]:0.000658
iteration:65, time[s]:0.000615
iteration:66, time[s]:0.000434
iteration:67, time[s]:0.000528
iteration:68, time[s]:0.000679
iteration:69, time[s]:0.000572
iteration:70, time[s]:0.000682
iteration:71, time[s]:0.000515
iteration:72, time[s]:0.000671
iteration:73, time[s]:0.000514
iteration:74, time[s]:0.000621
iteration:75, time[s]:0.000518
iteration:76, time[s]:0.000595
iteration:77, time[s]:0.000695
iteration:78, time[s]:0.000671
iteration:79, time[s]:0.000665
iteration:80, time[s]:0.000584
iteration:81, time[s]:0.000554
iteration:82, time[s]:0.000697
iteration:83, time[s]:0.000528
iteration:84, time[s]:0.000556
iteration:85, time[s]:0.000618
iteration:86, time[s]:0.000613
iteration:87, time[s]:0.000710
iteration:88, time[s]:0.000604
iteration:89, time[s]:0.000569
iteration:90, time[s]:0.000564
iteration:91, time[s]:0.000685
iteration:92, time[s]:0.000546
iteration:93, time[s]:0.000689
iteration:94, time[s]:0.000779
iteration:95, time[s]:0.000553
iteration:96, time[s]:0.000700
iteration:97, time[s]:0.000743
iteration:98, time[s]:0.000679
iteration:99, time[s]:0.000662
iteration:100, time[s]:0.000609
Data size = 32768, Trials = 100
Avg MPI time [us]= *542.202920, throughput [Gbps] = 0.483480
