XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
alveo2b
alveo4c
alveo4b
alveo3b
alveo2a
alveo3c
alveo1a
alveo1b
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:131072, num_elements:32768, num_trials:200
alveo3c, device on u280. Finished loading bitstream
alveo3c, bytes:131072, num_elements:32768, num_trials:200
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:131072, num_elements:32768, num_trials:200
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:131072, num_elements:32768, num_trials:200
alveo4b, device on u280. Finished loading bitstream
alveo4b, bytes:131072, num_elements:32768, num_trials:200
alveo3b, device on u280. Finished loading bitstream
alveo3b, bytes:131072, num_elements:32768, num_trials:200
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:131072, num_elements:32768, num_trials:200
Start All-reduce test:
alveo1b, device on u250. Finished loading bitstream
alveo1b, bytes:131072, num_elements:32768, num_trials:200
iteration:0, F2F_time[s]:0.001590, H2H_time:0.001120, sync_time:0.000471
iteration:1, F2F_time[s]:0.001017, H2H_time:0.000730, sync_time:0.000287
iteration:2, F2F_time[s]:0.000990, H2H_time:0.000721, sync_time:0.000268
iteration:3, F2F_time[s]:0.001013, H2H_time:0.000655, sync_time:0.000358
iteration:4, F2F_time[s]:0.001070, H2H_time:0.000669, sync_time:0.000402
iteration:5, F2F_time[s]:0.000931, H2H_time:0.000666, sync_time:0.000264
iteration:6, F2F_time[s]:0.000906, H2H_time:0.000639, sync_time:0.000267
iteration:7, F2F_time[s]:0.001041, H2H_time:0.000704, sync_time:0.000336
iteration:8, F2F_time[s]:0.000972, H2H_time:0.000614, sync_time:0.000358
iteration:9, F2F_time[s]:0.000825, H2H_time:0.000491, sync_time:0.000333
iteration:10, F2F_time[s]:0.001055, H2H_time:0.000666, sync_time:0.000389
iteration:11, F2F_time[s]:0.000923, H2H_time:0.000616, sync_time:0.000307
iteration:12, F2F_time[s]:0.000879, H2H_time:0.000681, sync_time:0.000198
iteration:13, F2F_time[s]:0.000909, H2H_time:0.000709, sync_time:0.000201
iteration:14, F2F_time[s]:0.001074, H2H_time:0.000743, sync_time:0.000331
iteration:15, F2F_time[s]:0.001084, H2H_time:0.000808, sync_time:0.000276
iteration:16, F2F_time[s]:0.001189, H2H_time:0.000819, sync_time:0.000370
iteration:17, F2F_time[s]:0.001065, H2H_time:0.000751, sync_time:0.000314
iteration:18, F2F_time[s]:0.001068, H2H_time:0.000804, sync_time:0.000264
iteration:19, F2F_time[s]:0.001115, H2H_time:0.000819, sync_time:0.000295
iteration:20, F2F_time[s]:0.001174, H2H_time:0.000879, sync_time:0.000295
iteration:21, F2F_time[s]:0.001138, H2H_time:0.000818, sync_time:0.000320
iteration:22, F2F_time[s]:0.001084, H2H_time:0.000769, sync_time:0.000315
iteration:23, F2F_time[s]:0.001109, H2H_time:0.000768, sync_time:0.000342
iteration:24, F2F_time[s]:0.001159, H2H_time:0.000826, sync_time:0.000334
iteration:25, F2F_time[s]:0.000906, H2H_time:0.000674, sync_time:0.000232
iteration:26, F2F_time[s]:0.000993, H2H_time:0.000619, sync_time:0.000374
iteration:27, F2F_time[s]:0.000927, H2H_time:0.000681, sync_time:0.000246
iteration:28, F2F_time[s]:0.000899, H2H_time:0.000572, sync_time:0.000326
iteration:29, F2F_time[s]:0.000879, H2H_time:0.000521, sync_time:0.000358
iteration:30, F2F_time[s]:0.000959, H2H_time:0.000572, sync_time:0.000386
iteration:31, F2F_time[s]:0.000909, H2H_time:0.000486, sync_time:0.000423
iteration:32, F2F_time[s]:0.000912, H2H_time:0.000603, sync_time:0.000309
iteration:33, F2F_time[s]:0.000867, H2H_time:0.000661, sync_time:0.000207
iteration:34, F2F_time[s]:0.000796, H2H_time:0.000527, sync_time:0.000269
iteration:35, F2F_time[s]:0.000941, H2H_time:0.000570, sync_time:0.000371
iteration:36, F2F_time[s]:0.000901, H2H_time:0.000468, sync_time:0.000433
iteration:37, F2F_time[s]:0.000880, H2H_time:0.000641, sync_time:0.000239
iteration:38, F2F_time[s]:0.000934, H2H_time:0.000550, sync_time:0.000384
iteration:39, F2F_time[s]:0.000896, H2H_time:0.000516, sync_time:0.000381
iteration:40, F2F_time[s]:0.000895, H2H_time:0.000591, sync_time:0.000303
iteration:41, F2F_time[s]:0.000927, H2H_time:0.000631, sync_time:0.000296
iteration:42, F2F_time[s]:0.000831, H2H_time:0.000544, sync_time:0.000287
iteration:43, F2F_time[s]:0.000902, H2H_time:0.000487, sync_time:0.000415
iteration:44, F2F_time[s]:0.000915, H2H_time:0.000504, sync_time:0.000411
iteration:45, F2F_time[s]:0.000919, H2H_time:0.000558, sync_time:0.000361
iteration:46, F2F_time[s]:0.000768, H2H_time:0.000471, sync_time:0.000296
iteration:47, F2F_time[s]:0.000766, H2H_time:0.000452, sync_time:0.000314
iteration:48, F2F_time[s]:0.000877, H2H_time:0.000519, sync_time:0.000358
iteration:49, F2F_time[s]:0.001008, H2H_time:0.000643, sync_time:0.000364
iteration:50, F2F_time[s]:0.000855, H2H_time:0.000594, sync_time:0.000262
iteration:51, F2F_time[s]:0.000842, H2H_time:0.000531, sync_time:0.000311
iteration:52, F2F_time[s]:0.000913, H2H_time:0.000572, sync_time:0.000341
iteration:53, F2F_time[s]:0.000933, H2H_time:0.000632, sync_time:0.000301
iteration:54, F2F_time[s]:0.000893, H2H_time:0.000590, sync_time:0.000303
iteration:55, F2F_time[s]:0.000873, H2H_time:0.000587, sync_time:0.000287
iteration:56, F2F_time[s]:0.000870, H2H_time:0.000547, sync_time:0.000323
iteration:57, F2F_time[s]:0.000870, H2H_time:0.000579, sync_time:0.000291
iteration:58, F2F_time[s]:0.000788, H2H_time:0.000580, sync_time:0.000208
iteration:59, F2F_time[s]:0.000939, H2H_time:0.000595, sync_time:0.000343
iteration:60, F2F_time[s]:0.001199, H2H_time:0.000785, sync_time:0.000414
iteration:61, F2F_time[s]:0.000890, H2H_time:0.000622, sync_time:0.000268
iteration:62, F2F_time[s]:0.000869, H2H_time:0.000591, sync_time:0.000278
iteration:63, F2F_time[s]:0.000978, H2H_time:0.000593, sync_time:0.000385
