XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
alveo1a
alveo4c
alveo2a
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:16777216, num_elements:4194304, num_trials:200
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:16777216, num_elements:4194304, num_trials:200
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:16777216, num_elements:4194304, num_trials:200
Start All-reduce test:
iteration:0, F2F_time[s]:0.044283, H2H_time:0.037260, sync_time:0.007023
iteration:1, F2F_time[s]:0.039664, H2H_time:0.032685, sync_time:0.006979
iteration:2, F2F_time[s]:0.036147, H2H_time:0.029061, sync_time:0.007087
iteration:3, F2F_time[s]:0.035084, H2H_time:0.028052, sync_time:0.007032
iteration:4, F2F_time[s]:0.035860, H2H_time:0.028982, sync_time:0.006879
iteration:5, F2F_time[s]:0.034780, H2H_time:0.027754, sync_time:0.007026
iteration:6, F2F_time[s]:0.036684, H2H_time:0.029645, sync_time:0.007039
iteration:7, F2F_time[s]:0.034668, H2H_time:0.027649, sync_time:0.007019
iteration:8, F2F_time[s]:0.036150, H2H_time:0.028989, sync_time:0.007161
iteration:9, F2F_time[s]:0.038008, H2H_time:0.030983, sync_time:0.007024
iteration:10, F2F_time[s]:0.036004, H2H_time:0.029065, sync_time:0.006939
iteration:11, F2F_time[s]:0.035651, H2H_time:0.028622, sync_time:0.007028
iteration:12, F2F_time[s]:0.038301, H2H_time:0.031275, sync_time:0.007026
iteration:13, F2F_time[s]:0.036116, H2H_time:0.029145, sync_time:0.006971
iteration:14, F2F_time[s]:0.034367, H2H_time:0.027389, sync_time:0.006979
iteration:15, F2F_time[s]:0.036398, H2H_time:0.029445, sync_time:0.006953
iteration:16, F2F_time[s]:0.036040, H2H_time:0.029008, sync_time:0.007032
iteration:17, F2F_time[s]:0.035370, H2H_time:0.028378, sync_time:0.006992
iteration:18, F2F_time[s]:0.035671, H2H_time:0.028721, sync_time:0.006951
iteration:19, F2F_time[s]:0.033521, H2H_time:0.026547, sync_time:0.006974
iteration:20, F2F_time[s]:0.033850, H2H_time:0.026939, sync_time:0.006911
iteration:21, F2F_time[s]:0.034162, H2H_time:0.027180, sync_time:0.006982
iteration:22, F2F_time[s]:0.035179, H2H_time:0.028202, sync_time:0.006977
iteration:23, F2F_time[s]:0.035292, H2H_time:0.028268, sync_time:0.007024
iteration:24, F2F_time[s]:0.035283, H2H_time:0.028318, sync_time:0.006965
iteration:25, F2F_time[s]:0.036587, H2H_time:0.029696, sync_time:0.006891
iteration:26, F2F_time[s]:0.034238, H2H_time:0.027241, sync_time:0.006996
iteration:27, F2F_time[s]:0.035146, H2H_time:0.028225, sync_time:0.006921
iteration:28, F2F_time[s]:0.035136, H2H_time:0.027859, sync_time:0.007277
iteration:29, F2F_time[s]:0.033122, H2H_time:0.026068, sync_time:0.007054
iteration:30, F2F_time[s]:0.033469, H2H_time:0.026491, sync_time:0.006978
iteration:31, F2F_time[s]:0.033457, H2H_time:0.026445, sync_time:0.007012
iteration:32, F2F_time[s]:0.034070, H2H_time:0.027130, sync_time:0.006940
iteration:33, F2F_time[s]:0.037178, H2H_time:0.030215, sync_time:0.006964
iteration:34, F2F_time[s]:0.035737, H2H_time:0.028766, sync_time:0.006972
iteration:35, F2F_time[s]:0.036931, H2H_time:0.029954, sync_time:0.006976
iteration:36, F2F_time[s]:0.037399, H2H_time:0.030361, sync_time:0.007037
iteration:37, F2F_time[s]:0.035705, H2H_time:0.028650, sync_time:0.007055
iteration:38, F2F_time[s]:0.037573, H2H_time:0.030514, sync_time:0.007059
iteration:39, F2F_time[s]:0.037691, H2H_time:0.030660, sync_time:0.007031
iteration:40, F2F_time[s]:0.036374, H2H_time:0.029381, sync_time:0.006993
iteration:41, F2F_time[s]:0.035063, H2H_time:0.028091, sync_time:0.006972
