XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
alveo1a
alveo4c
alveo3c
alveo3b
alveo2a
alveo2b
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:16777216, num_elements:4194304, num_trials:200
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:16777216, num_elements:4194304, num_trials:200
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:16777216, num_elements:4194304, num_trials:200
alveo3c, device on u280. Finished loading bitstream
alveo3c, bytes:16777216, num_elements:4194304, num_trials:200
alveo3b, device on u280. Finished loading bitstream
alveo3b, bytes:16777216, num_elements:4194304, num_trials:200
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:16777216, num_elements:4194304, num_trials:200
Start All-reduce test:
iteration:0, F2F_time[s]:0.055649, H2H_time:0.048436, sync_time:0.007213
iteration:1, F2F_time[s]:0.049960, H2H_time:0.042899, sync_time:0.007061
iteration:2, F2F_time[s]:0.047450, H2H_time:0.040377, sync_time:0.007073
iteration:3, F2F_time[s]:0.040111, H2H_time:0.033108, sync_time:0.007003
iteration:4, F2F_time[s]:0.040439, H2H_time:0.033482, sync_time:0.006957
iteration:5, F2F_time[s]:0.054076, H2H_time:0.047054, sync_time:0.007022
iteration:6, F2F_time[s]:0.038550, H2H_time:0.031491, sync_time:0.007059
iteration:7, F2F_time[s]:0.038741, H2H_time:0.031773, sync_time:0.006968
iteration:8, F2F_time[s]:0.039391, H2H_time:0.032380, sync_time:0.007012
iteration:9, F2F_time[s]:0.039530, H2H_time:0.032481, sync_time:0.007049
iteration:10, F2F_time[s]:0.040519, H2H_time:0.033520, sync_time:0.006999
iteration:11, F2F_time[s]:0.039012, H2H_time:0.032062, sync_time:0.006949
iteration:12, F2F_time[s]:0.039755, H2H_time:0.032762, sync_time:0.006993
iteration:13, F2F_time[s]:0.038857, H2H_time:0.031840, sync_time:0.007016
iteration:14, F2F_time[s]:0.038437, H2H_time:0.031472, sync_time:0.006965
iteration:15, F2F_time[s]:0.039260, H2H_time:0.032232, sync_time:0.007028
iteration:16, F2F_time[s]:0.040016, H2H_time:0.033092, sync_time:0.006923
iteration:17, F2F_time[s]:0.037951, H2H_time:0.031015, sync_time:0.006936
iteration:18, F2F_time[s]:0.037973, H2H_time:0.030915, sync_time:0.007058
iteration:19, F2F_time[s]:0.047773, H2H_time:0.040828, sync_time:0.006945
iteration:20, F2F_time[s]:0.039395, H2H_time:0.032363, sync_time:0.007032
iteration:21, F2F_time[s]:0.038738, H2H_time:0.031758, sync_time:0.006980
iteration:22, F2F_time[s]:0.038932, H2H_time:0.031930, sync_time:0.007001
iteration:23, F2F_time[s]:0.039784, H2H_time:0.032775, sync_time:0.007009
iteration:24, F2F_time[s]:0.041005, H2H_time:0.034022, sync_time:0.006982
iteration:25, F2F_time[s]:0.041725, H2H_time:0.034774, sync_time:0.006951
iteration:26, F2F_time[s]:0.040667, H2H_time:0.033699, sync_time:0.006968
iteration:27, F2F_time[s]:0.039206, H2H_time:0.032191, sync_time:0.007014
iteration:28, F2F_time[s]:0.038894, H2H_time:0.031885, sync_time:0.007009
iteration:29, F2F_time[s]:0.038969, H2H_time:0.031983, sync_time:0.006985
iteration:30, F2F_time[s]:0.039458, H2H_time:0.032368, sync_time:0.007090
iteration:31, F2F_time[s]:0.038907, H2H_time:0.031937, sync_time:0.006970
iteration:32, F2F_time[s]:0.039548, H2H_time:0.032597, sync_time:0.006952
iteration:33, F2F_time[s]:0.039122, H2H_time:0.032095, sync_time:0.007027
iteration:34, F2F_time[s]:0.038637, H2H_time:0.031574, sync_time:0.007062
iteration:35, F2F_time[s]:0.038897, H2H_time:0.031899, sync_time:0.006998
iteration:36, F2F_time[s]:0.040755, H2H_time:0.033701, sync_time:0.007054
iteration:37, F2F_time[s]:0.041026, H2H_time:0.034001, sync_time:0.007025
iteration:38, F2F_time[s]:0.040583, H2H_time:0.033599, sync_time:0.006984
iteration:39, F2F_time[s]:0.040387, H2H_time:0.033388, sync_time:0.006999
iteration:40, F2F_time[s]:0.040114, H2H_time:0.033052, sync_time:0.007062
iteration:41, F2F_time[s]:0.040337, H2H_time:0.033276, sync_time:0.007062
iteration:42, F2F_time[s]:0.039450, H2H_time:0.032401, sync_time:0.007050
iteration:43, F2F_time[s]:0.038794, H2H_time:0.031761, sync_time:0.007032
iteration:44, F2F_time[s]:0.040962, H2H_time:0.033946, sync_time:0.007016
iteration:45, F2F_time[s]:0.038811, H2H_time:0.031774, sync_time:0.007037
iteration:46, F2F_time[s]:0.038539, H2H_time:0.031525, sync_time:0.007014
iteration:47, F2F_time[s]:0.039917, H2H_time:0.032879, sync_time:0.007039
iteration:48, F2F_time[s]:0.040588, H2H_time:0.033518, sync_time:0.007070
iteration:49, F2F_time[s]:0.040432, H2H_time:0.033392, sync_time:0.007039
iteration:50, F2F_time[s]:0.039104, H2H_time:0.032154, sync_time:0.006950
