XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
alveo3c
alveo3b
alveo4c
alveo4b
alveo2a
alveo1a
alveo2b
alveo3c, device on u280. Finished loading bitstream
alveo3c, bytes:16777216, num_elements:4194304, num_trials:200
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:16777216, num_elements:4194304, num_trials:200
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:16777216, num_elements:4194304, num_trials:200
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:16777216, num_elements:4194304, num_trials:200
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:16777216, num_elements:4194304, num_trials:200
alveo3b, device on u280. Finished loading bitstream
alveo3b, bytes:16777216, num_elements:4194304, num_trials:200
alveo4b, device on u280. Finished loading bitstream
alveo4b, bytes:16777216, num_elements:4194304, num_trials:200
Start All-reduce test:
iteration:0, F2F_time[s]:0.060940, H2H_time:0.053831, sync_time:0.007110
iteration:1, F2F_time[s]:0.049802, H2H_time:0.042691, sync_time:0.007111
iteration:2, F2F_time[s]:0.046225, H2H_time:0.039075, sync_time:0.007150
iteration:3, F2F_time[s]:0.046328, H2H_time:0.039127, sync_time:0.007201
iteration:4, F2F_time[s]:0.046653, H2H_time:0.039613, sync_time:0.007040
iteration:5, F2F_time[s]:0.048439, H2H_time:0.041333, sync_time:0.007106
iteration:6, F2F_time[s]:0.046283, H2H_time:0.039111, sync_time:0.007171
iteration:7, F2F_time[s]:0.046316, H2H_time:0.039206, sync_time:0.007111
iteration:8, F2F_time[s]:0.045627, H2H_time:0.038467, sync_time:0.007161
iteration:9, F2F_time[s]:0.047331, H2H_time:0.040169, sync_time:0.007161
iteration:10, F2F_time[s]:0.045830, H2H_time:0.038626, sync_time:0.007204
iteration:11, F2F_time[s]:0.046024, H2H_time:0.038887, sync_time:0.007137
iteration:12, F2F_time[s]:0.045362, H2H_time:0.038275, sync_time:0.007087
iteration:13, F2F_time[s]:0.045712, H2H_time:0.038650, sync_time:0.007062
iteration:14, F2F_time[s]:0.045009, H2H_time:0.037891, sync_time:0.007118
iteration:15, F2F_time[s]:0.045470, H2H_time:0.038436, sync_time:0.007034
iteration:16, F2F_time[s]:0.046114, H2H_time:0.039029, sync_time:0.007084
iteration:17, F2F_time[s]:0.045776, H2H_time:0.038744, sync_time:0.007032
iteration:18, F2F_time[s]:0.045406, H2H_time:0.038337, sync_time:0.007069
iteration:19, F2F_time[s]:0.046163, H2H_time:0.039194, sync_time:0.006969
iteration:20, F2F_time[s]:0.045667, H2H_time:0.038567, sync_time:0.007100
iteration:21, F2F_time[s]:0.046981, H2H_time:0.039835, sync_time:0.007146
iteration:22, F2F_time[s]:0.046212, H2H_time:0.039103, sync_time:0.007109
iteration:23, F2F_time[s]:0.044881, H2H_time:0.037852, sync_time:0.007030
iteration:24, F2F_time[s]:0.044711, H2H_time:0.037659, sync_time:0.007051
iteration:25, F2F_time[s]:0.044974, H2H_time:0.037847, sync_time:0.007127
iteration:26, F2F_time[s]:0.045570, H2H_time:0.038374, sync_time:0.007195
iteration:27, F2F_time[s]:0.044735, H2H_time:0.037531, sync_time:0.007204
iteration:28, F2F_time[s]:0.044349, H2H_time:0.037061, sync_time:0.007288
iteration:29, F2F_time[s]:0.044990, H2H_time:0.037791, sync_time:0.007199
iteration:30, F2F_time[s]:0.045605, H2H_time:0.038432, sync_time:0.007173
iteration:31, F2F_time[s]:0.045547, H2H_time:0.038453, sync_time:0.007095
iteration:32, F2F_time[s]:0.045564, H2H_time:0.038469, sync_time:0.007094
iteration:33, F2F_time[s]:0.046747, H2H_time:0.039451, sync_time:0.007296
iteration:34, F2F_time[s]:0.047405, H2H_time:0.040223, sync_time:0.007182
iteration:35, F2F_time[s]:0.046264, H2H_time:0.039035, sync_time:0.007229
iteration:36, F2F_time[s]:0.047192, H2H_time:0.039998, sync_time:0.007193
iteration:37, F2F_time[s]:0.045775, H2H_time:0.038667, sync_time:0.007108
iteration:38, F2F_time[s]:0.045815, H2H_time:0.038758, sync_time:0.007057
iteration:39, F2F_time[s]:0.047199, H2H_time:0.040114, sync_time:0.007085
iteration:40, F2F_time[s]:0.048380, H2H_time:0.041170, sync_time:0.007209
iteration:41, F2F_time[s]:0.047235, H2H_time:0.040037, sync_time:0.007198
iteration:42, F2F_time[s]:0.047450, H2H_time:0.040245, sync_time:0.007205
iteration:43, F2F_time[s]:0.046299, H2H_time:0.039261, sync_time:0.007038
iteration:44, F2F_time[s]:0.045705, H2H_time:0.038584, sync_time:0.007121
iteration:45, F2F_time[s]:0.046783, H2H_time:0.039582, sync_time:0.007201
iteration:46, F2F_time[s]:0.046163, H2H_time:0.039022, sync_time:0.007141
iteration:47, F2F_time[s]:0.045685, H2H_time:0.038545, sync_time:0.007140
iteration:48, F2F_time[s]:0.046827, H2H_time:0.039764, sync_time:0.007063
iteration:49, F2F_time[s]:0.046299, H2H_time:0.039153, sync_time:0.007146
iteration:50, F2F_time[s]:0.046061, H2H_time:0.038991, sync_time:0.007071
iteration:51, F2F_time[s]:0.043881, H2H_time:0.036714, sync_time:0.007167
iteration:52, F2F_time[s]:0.043931, H2H_time:0.036763, sync_time:0.007168
iteration:53, F2F_time[s]:0.046901, H2H_time:0.039787, sync_time:0.007114
iteration:54, F2F_time[s]:0.046584, H2H_time:0.039312, sync_time:0.007272
iteration:55, F2F_time[s]:0.046904, H2H_time:0.039748, sync_time:0.007156
iteration:56, F2F_time[s]:0.047324, H2H_time:0.040095, sync_time:0.007229
