XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
alveo1a
alveo4c
alveo2b
alveo2a
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:16384, num_elements:4096, num_trials:200
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:16384, num_elements:4096, num_trials:200
Start All-reduce test:
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:16384, num_elements:4096, num_trials:200
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:16384, num_elements:4096, num_trials:200
iteration:0, F2F_time[s]:0.001223, H2H_time:0.000656, sync_time:0.000567
iteration:1, F2F_time[s]:0.000741, H2H_time:0.000305, sync_time:0.000436
iteration:2, F2F_time[s]:0.000744, H2H_time:0.000326, sync_time:0.000418
iteration:3, F2F_time[s]:0.000673, H2H_time:0.000326, sync_time:0.000348
iteration:4, F2F_time[s]:0.000491, H2H_time:0.000294, sync_time:0.000197
iteration:5, F2F_time[s]:0.000481, H2H_time:0.000296, sync_time:0.000185
iteration:6, F2F_time[s]:0.000564, H2H_time:0.000379, sync_time:0.000185
iteration:7, F2F_time[s]:0.000600, H2H_time:0.000372, sync_time:0.000228
iteration:8, F2F_time[s]:0.000558, H2H_time:0.000364, sync_time:0.000194
iteration:9, F2F_time[s]:0.000548, H2H_time:0.000359, sync_time:0.000189
iteration:10, F2F_time[s]:0.000498, H2H_time:0.000314, sync_time:0.000184
iteration:11, F2F_time[s]:0.000532, H2H_time:0.000351, sync_time:0.000181
iteration:12, F2F_time[s]:0.000521, H2H_time:0.000319, sync_time:0.000202
iteration:13, F2F_time[s]:0.000498, H2H_time:0.000320, sync_time:0.000178
iteration:14, F2F_time[s]:0.000557, H2H_time:0.000365, sync_time:0.000192
iteration:15, F2F_time[s]:0.000531, H2H_time:0.000351, sync_time:0.000180
iteration:16, F2F_time[s]:0.000561, H2H_time:0.000377, sync_time:0.000184
iteration:17, F2F_time[s]:0.000561, H2H_time:0.000365, sync_time:0.000197
iteration:18, F2F_time[s]:0.000565, H2H_time:0.000383, sync_time:0.000181
iteration:19, F2F_time[s]:0.000534, H2H_time:0.000343, sync_time:0.000191
iteration:20, F2F_time[s]:0.000598, H2H_time:0.000391, sync_time:0.000207
iteration:21, F2F_time[s]:0.000526, H2H_time:0.000335, sync_time:0.000191
iteration:22, F2F_time[s]:0.000491, H2H_time:0.000304, sync_time:0.000187
iteration:23, F2F_time[s]:0.000580, H2H_time:0.000397, sync_time:0.000182
iteration:24, F2F_time[s]:0.000509, H2H_time:0.000320, sync_time:0.000189
iteration:25, F2F_time[s]:0.000550, H2H_time:0.000362, sync_time:0.000188
iteration:26, F2F_time[s]:0.000566, H2H_time:0.000379, sync_time:0.000187
iteration:27, F2F_time[s]:0.000578, H2H_time:0.000388, sync_time:0.000190
iteration:28, F2F_time[s]:0.000572, H2H_time:0.000380, sync_time:0.000191
iteration:29, F2F_time[s]:0.000537, H2H_time:0.000350, sync_time:0.000187
iteration:30, F2F_time[s]:0.000566, H2H_time:0.000376, sync_time:0.000190
iteration:31, F2F_time[s]:0.000547, H2H_time:0.000352, sync_time:0.000195
iteration:32, F2F_time[s]:0.000618, H2H_time:0.000381, sync_time:0.000237
iteration:33, F2F_time[s]:0.000473, H2H_time:0.000279, sync_time:0.000194
iteration:34, F2F_time[s]:0.000459, H2H_time:0.000269, sync_time:0.000190
iteration:35, F2F_time[s]:0.000585, H2H_time:0.000383, sync_time:0.000203
iteration:36, F2F_time[s]:0.000560, H2H_time:0.000368, sync_time:0.000193
iteration:37, F2F_time[s]:0.000559, H2H_time:0.000363, sync_time:0.000196
iteration:38, F2F_time[s]:0.000572, H2H_time:0.000380, sync_time:0.000192
iteration:39, F2F_time[s]:0.000530, H2H_time:0.000342, sync_time:0.000188
iteration:40, F2F_time[s]:0.000538, H2H_time:0.000343, sync_time:0.000195
iteration:41, F2F_time[s]:0.000558, H2H_time:0.000365, sync_time:0.000193
iteration:42, F2F_time[s]:0.000647, H2H_time:0.000423, sync_time:0.000224
iteration:43, F2F_time[s]:0.000565, H2H_time:0.000367, sync_time:0.000198
iteration:44, F2F_time[s]:0.000617, H2H_time:0.000411, sync_time:0.000206
iteration:45, F2F_time[s]:0.000466, H2H_time:0.000253, sync_time:0.000213
iteration:46, F2F_time[s]:0.000556, H2H_time:0.000364, sync_time:0.000192
iteration:47, F2F_time[s]:0.000575, H2H_time:0.000384, sync_time:0.000190
iteration:48, F2F_time[s]:0.000594, H2H_time:0.000397, sync_time:0.000197
iteration:49, F2F_time[s]:0.000484, H2H_time:0.000280, sync_time:0.000204
iteration:50, F2F_time[s]:0.000597, H2H_time:0.000402, sync_time:0.000195
iteration:51, F2F_time[s]:0.000548, H2H_time:0.000355, sync_time:0.000193
iteration:52, F2F_time[s]:0.000564, H2H_time:0.000379, sync_time:0.000185
iteration:53, F2F_time[s]:0.000634, H2H_time:0.000422, sync_time:0.000212
iteration:54, F2F_time[s]:0.000561, H2H_time:0.000353, sync_time:0.000208
iteration:55, F2F_time[s]:0.000622, H2H_time:0.000412, sync_time:0.000210
iteration:56, F2F_time[s]:0.000553, H2H_time:0.000342, sync_time:0.000211
iteration:57, F2F_time[s]:0.000505, H2H_time:0.000301, sync_time:0.000204
iteration:58, F2F_time[s]:0.000592, H2H_time:0.000383, sync_time:0.000209
iteration:59, F2F_time[s]:0.000559, H2H_time:0.000347, sync_time:0.000213
iteration:60, F2F_time[s]:0.000596, H2H_time:0.000386, sync_time:0.000210
iteration:61, F2F_time[s]:0.000588, H2H_time:0.000379, sync_time:0.000209
iteration:62, F2F_time[s]:0.000503, H2H_time:0.000294, sync_time:0.000209
iteration:63, F2F_time[s]:0.000592, H2H_time:0.000392, sync_time:0.000200
iteration:64, F2F_time[s]:0.000601, H2H_time:0.000391, sync_time:0.000210
iteration:65, F2F_time[s]:0.000504, H2H_time:0.000294, sync_time:0.000210
iteration:66, F2F_time[s]:0.000587, H2H_time:0.000386, sync_time:0.000200
iteration:67, F2F_time[s]:0.000631, H2H_time:0.000420, sync_time:0.000211
iteration:68, F2F_time[s]:0.000575, H2H_time:0.000297, sync_time:0.000279
iteration:69, F2F_time[s]:0.000560, H2H_time:0.000367, sync_time:0.000193
iteration:70, F2F_time[s]:0.000562, H2H_time:0.000328, sync_time:0.000234
iteration:71, F2F_time[s]:0.000593, H2H_time:0.000389, sync_time:0.000204
iteration:72, F2F_time[s]:0.000597, H2H_time:0.000384, sync_time:0.000213
iteration:73, F2F_time[s]:0.000653, H2H_time:0.000400, sync_time:0.000253
iteration:74, F2F_time[s]:0.000676, H2H_time:0.000403, sync_time:0.000274
iteration:75, F2F_time[s]:0.000705, H2H_time:0.000420, sync_time:0.000285
iteration:76, F2F_time[s]:0.000615, H2H_time:0.000396, sync_time:0.000219
iteration:77, F2F_time[s]:0.000666, H2H_time:0.000400, sync_time:0.000266
iteration:78, F2F_time[s]:0.000533, H2H_time:0.000300, sync_time:0.000233
iteration:79, F2F_time[s]:0.000549, H2H_time:0.000283, sync_time:0.000265
iteration:80, F2F_time[s]:0.000539, H2H_time:0.000294, sync_time:0.000246
iteration:81, F2F_time[s]:0.000533, H2H_time:0.000267, sync_time:0.000265
iteration:82, F2F_time[s]:0.000561, H2H_time:0.000310, sync_time:0.000251
iteration:83, F2F_time[s]:0.000513, H2H_time:0.000267, sync_time:0.000246
iteration:84, F2F_time[s]:0.000464, H2H_time:0.000275, sync_time:0.000189
iteration:85, F2F_time[s]:0.000499, H2H_time:0.000302, sync_time:0.000198
iteration:86, F2F_time[s]:0.000541, H2H_time:0.000290, sync_time:0.000251
iteration:87, F2F_time[s]:0.000484, H2H_time:0.000287, sync_time:0.000196
iteration:88, F2F_time[s]:0.000477, H2H_time:0.000285, sync_time:0.000192
iteration:89, F2F_time[s]:0.000476, H2H_time:0.000282, sync_time:0.000193
iteration:90, F2F_time[s]:0.000480, H2H_time:0.000285, sync_time:0.000195
iteration:91, F2F_time[s]:0.000490, H2H_time:0.000289, sync_time:0.000201
iteration:92, F2F_time[s]:0.000463, H2H_time:0.000269, sync_time:0.000194
iteration:93, F2F_time[s]:0.000485, H2H_time:0.000284, sync_time:0.000201
iteration:94, F2F_time[s]:0.000504, H2H_time:0.000305, sync_time:0.000199
iteration:95, F2F_time[s]:0.000476, H2H_time:0.000287, sync_time:0.000190
iteration:96, F2F_time[s]:0.000462, H2H_time:0.000267, sync_time:0.000195
iteration:97, F2F_time[s]:0.000473, H2H_time:0.000280, sync_time:0.000193
