XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
alveo2a
alveo4c
alveo2b
alveo1a
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:2097152, num_elements:524288, num_trials:200
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:2097152, num_elements:524288, num_trials:200
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:2097152, num_elements:524288, num_trials:200
Start All-reduce test:
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:2097152, num_elements:524288, num_trials:200
iteration:0, F2F_time[s]:0.006157, H2H_time:0.004690, sync_time:0.001467
iteration:1, F2F_time[s]:0.004463, H2H_time:0.003076, sync_time:0.001386
iteration:2, F2F_time[s]:0.003980, H2H_time:0.002468, sync_time:0.001512
iteration:3, F2F_time[s]:0.004020, H2H_time:0.002419, sync_time:0.001602
iteration:4, F2F_time[s]:0.004474, H2H_time:0.002978, sync_time:0.001496
iteration:5, F2F_time[s]:0.004087, H2H_time:0.002717, sync_time:0.001370
iteration:6, F2F_time[s]:0.004388, H2H_time:0.002812, sync_time:0.001576
iteration:7, F2F_time[s]:0.003985, H2H_time:0.002565, sync_time:0.001419
iteration:8, F2F_time[s]:0.003932, H2H_time:0.002491, sync_time:0.001441
iteration:9, F2F_time[s]:0.004187, H2H_time:0.002649, sync_time:0.001538
iteration:10, F2F_time[s]:0.003977, H2H_time:0.002499, sync_time:0.001479
iteration:11, F2F_time[s]:0.004301, H2H_time:0.002609, sync_time:0.001692
iteration:12, F2F_time[s]:0.004089, H2H_time:0.002429, sync_time:0.001660
iteration:13, F2F_time[s]:0.004005, H2H_time:0.002417, sync_time:0.001587
iteration:14, F2F_time[s]:0.003973, H2H_time:0.002499, sync_time:0.001475
iteration:15, F2F_time[s]:0.003918, H2H_time:0.002393, sync_time:0.001524
iteration:16, F2F_time[s]:0.004531, H2H_time:0.002770, sync_time:0.001761
iteration:17, F2F_time[s]:0.004298, H2H_time:0.002682, sync_time:0.001616
iteration:18, F2F_time[s]:0.004098, H2H_time:0.002598, sync_time:0.001499
iteration:19, F2F_time[s]:0.004031, H2H_time:0.002509, sync_time:0.001522
iteration:20, F2F_time[s]:0.003836, H2H_time:0.002288, sync_time:0.001548
iteration:21, F2F_time[s]:0.004269, H2H_time:0.002620, sync_time:0.001649
iteration:22, F2F_time[s]:0.004175, H2H_time:0.002587, sync_time:0.001588
iteration:23, F2F_time[s]:0.004102, H2H_time:0.002479, sync_time:0.001623
iteration:24, F2F_time[s]:0.004196, H2H_time:0.002711, sync_time:0.001485
iteration:25, F2F_time[s]:0.003736, H2H_time:0.002276, sync_time:0.001461
iteration:26, F2F_time[s]:0.004127, H2H_time:0.002601, sync_time:0.001526
iteration:27, F2F_time[s]:0.004253, H2H_time:0.002642, sync_time:0.001611
iteration:28, F2F_time[s]:0.003830, H2H_time:0.002303, sync_time:0.001528
iteration:29, F2F_time[s]:0.004329, H2H_time:0.002745, sync_time:0.001583
iteration:30, F2F_time[s]:0.004643, H2H_time:0.002993, sync_time:0.001650
iteration:31, F2F_time[s]:0.004634, H2H_time:0.002853, sync_time:0.001781
iteration:32, F2F_time[s]:0.004487, H2H_time:0.002869, sync_time:0.001618
iteration:33, F2F_time[s]:0.004744, H2H_time:0.003062, sync_time:0.001682
iteration:34, F2F_time[s]:0.004000, H2H_time:0.002455, sync_time:0.001546
iteration:35, F2F_time[s]:0.004125, H2H_time:0.002484, sync_time:0.001641
iteration:36, F2F_time[s]:0.004001, H2H_time:0.002474, sync_time:0.001527
iteration:37, F2F_time[s]:0.004334, H2H_time:0.002812, sync_time:0.001523
iteration:38, F2F_time[s]:0.004205, H2H_time:0.002539, sync_time:0.001666
iteration:39, F2F_time[s]:0.004283, H2H_time:0.002551, sync_time:0.001732
