XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
alveo1b
alveo4c
alveo3b
alveo3c
alveo4b
alveo2b
alveo2a
alveo1a
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:262144, num_elements:65536, num_trials:200
alveo3b, device on u280. Finished loading bitstream
alveo3b, bytes:262144, num_elements:65536, num_trials:200
alveo4b, device on u280. Finished loading bitstream
alveo4b, bytes:262144, num_elements:65536, num_trials:200
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:262144, num_elements:65536, num_trials:200
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:262144, num_elements:65536, num_trials:200
alveo3c, device on u280. Finished loading bitstream
alveo3c, bytes:262144, num_elements:65536, num_trials:200
alveo1b, device on u250. Finished loading bitstream
alveo1b, bytes:262144, num_elements:65536, num_trials:200
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:262144, num_elements:65536, num_trials:200
Start All-reduce test:
iteration:0, F2F_time[s]:0.002279, H2H_time:0.001562, sync_time:0.000717
iteration:1, F2F_time[s]:0.001769, H2H_time:0.001283, sync_time:0.000486
iteration:2, F2F_time[s]:0.001779, H2H_time:0.001292, sync_time:0.000487
iteration:3, F2F_time[s]:0.001842, H2H_time:0.001398, sync_time:0.000444
iteration:4, F2F_time[s]:0.001906, H2H_time:0.001455, sync_time:0.000451
iteration:5, F2F_time[s]:0.001779, H2H_time:0.001304, sync_time:0.000475
iteration:6, F2F_time[s]:0.001518, H2H_time:0.001099, sync_time:0.000419
iteration:7, F2F_time[s]:0.001635, H2H_time:0.001108, sync_time:0.000528
iteration:8, F2F_time[s]:0.001565, H2H_time:0.001004, sync_time:0.000561
iteration:9, F2F_time[s]:0.001465, H2H_time:0.000919, sync_time:0.000545
iteration:10, F2F_time[s]:0.001376, H2H_time:0.000884, sync_time:0.000493
iteration:11, F2F_time[s]:0.001523, H2H_time:0.000996, sync_time:0.000527
iteration:12, F2F_time[s]:0.001565, H2H_time:0.001007, sync_time:0.000558
iteration:13, F2F_time[s]:0.001538, H2H_time:0.001051, sync_time:0.000486
iteration:14, F2F_time[s]:0.001306, H2H_time:0.000891, sync_time:0.000414
iteration:15, F2F_time[s]:0.001419, H2H_time:0.000867, sync_time:0.000552
iteration:16, F2F_time[s]:0.001357, H2H_time:0.000851, sync_time:0.000506
iteration:17, F2F_time[s]:0.001343, H2H_time:0.000879, sync_time:0.000464
iteration:18, F2F_time[s]:0.001290, H2H_time:0.000804, sync_time:0.000486
iteration:19, F2F_time[s]:0.001329, H2H_time:0.000763, sync_time:0.000566
iteration:20, F2F_time[s]:0.001409, H2H_time:0.000929, sync_time:0.000480
iteration:21, F2F_time[s]:0.001528, H2H_time:0.001052, sync_time:0.000476
iteration:22, F2F_time[s]:0.001362, H2H_time:0.000950, sync_time:0.000412
iteration:23, F2F_time[s]:0.001336, H2H_time:0.000819, sync_time:0.000517
iteration:24, F2F_time[s]:0.001573, H2H_time:0.001012, sync_time:0.000561
iteration:25, F2F_time[s]:0.001413, H2H_time:0.000881, sync_time:0.000533
iteration:26, F2F_time[s]:0.001408, H2H_time:0.000923, sync_time:0.000485
iteration:27, F2F_time[s]:0.001306, H2H_time:0.000858, sync_time:0.000449
iteration:28, F2F_time[s]:0.001333, H2H_time:0.000861, sync_time:0.000472
iteration:29, F2F_time[s]:0.001319, H2H_time:0.000774, sync_time:0.000544
iteration:30, F2F_time[s]:0.001379, H2H_time:0.000792, sync_time:0.000586
iteration:31, F2F_time[s]:0.001371, H2H_time:0.000814, sync_time:0.000556
iteration:32, F2F_time[s]:0.001590, H2H_time:0.000988, sync_time:0.000602
iteration:33, F2F_time[s]:0.001485, H2H_time:0.000968, sync_time:0.000518
iteration:34, F2F_time[s]:0.001611, H2H_time:0.000997, sync_time:0.000614
iteration:35, F2F_time[s]:0.001625, H2H_time:0.000941, sync_time:0.000684
iteration:36, F2F_time[s]:0.001455, H2H_time:0.001013, sync_time:0.000442
iteration:37, F2F_time[s]:0.001361, H2H_time:0.000843, sync_time:0.000519
iteration:38, F2F_time[s]:0.001318, H2H_time:0.000817, sync_time:0.000501
iteration:39, F2F_time[s]:0.001406, H2H_time:0.000909, sync_time:0.000497
iteration:40, F2F_time[s]:0.001394, H2H_time:0.000900, sync_time:0.000494
iteration:41, F2F_time[s]:0.001321, H2H_time:0.000854, sync_time:0.000466
iteration:42, F2F_time[s]:0.001474, H2H_time:0.000954, sync_time:0.000520
iteration:43, F2F_time[s]:0.001319, H2H_time:0.000833, sync_time:0.000487
iteration:44, F2F_time[s]:0.001382, H2H_time:0.000893, sync_time:0.000488
iteration:45, F2F_time[s]:0.001450, H2H_time:0.000889, sync_time:0.000562
iteration:46, F2F_time[s]:0.001669, H2H_time:0.001132, sync_time:0.000538
iteration:47, F2F_time[s]:0.001349, H2H_time:0.000888, sync_time:0.000461
iteration:48, F2F_time[s]:0.001585, H2H_time:0.000960, sync_time:0.000625
iteration:49, F2F_time[s]:0.001448, H2H_time:0.000890, sync_time:0.000559
iteration:50, F2F_time[s]:0.001436, H2H_time:0.000910, sync_time:0.000525
iteration:51, F2F_time[s]:0.001257, H2H_time:0.000760, sync_time:0.000497
iteration:52, F2F_time[s]:0.001401, H2H_time:0.000841, sync_time:0.000560
iteration:53, F2F_time[s]:0.001409, H2H_time:0.000846, sync_time:0.000563
iteration:54, F2F_time[s]:0.001395, H2H_time:0.000856, sync_time:0.000539
iteration:55, F2F_time[s]:0.001387, H2H_time:0.000981, sync_time:0.000406
iteration:56, F2F_time[s]:0.001499, H2H_time:0.000960, sync_time:0.000539
iteration:57, F2F_time[s]:0.001467, H2H_time:0.001048, sync_time:0.000419
iteration:58, F2F_time[s]:0.001525, H2H_time:0.001040, sync_time:0.000485
iteration:59, F2F_time[s]:0.001533, H2H_time:0.001053, sync_time:0.000480
iteration:60, F2F_time[s]:0.001505, H2H_time:0.001011, sync_time:0.000494
iteration:61, F2F_time[s]:0.001605, H2H_time:0.001038, sync_time:0.000567
iteration:62, F2F_time[s]:0.001568, H2H_time:0.001064, sync_time:0.000503
iteration:63, F2F_time[s]:0.001584, H2H_time:0.001011, sync_time:0.000573
