XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
alveo2a
alveo1a
alveo4c
alveo3b
alveo2b
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:4194304, num_elements:1048576, num_trials:200
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:4194304, num_elements:1048576, num_trials:200
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:4194304, num_elements:1048576, num_trials:200
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:4194304, num_elements:1048576, num_trials:200
alveo3b, device on u280. Finished loading bitstream
alveo3b, bytes:4194304, num_elements:1048576, num_trials:200
Start All-reduce test:
iteration:0, F2F_time[s]:0.020210, H2H_time:0.017782, sync_time:0.002428
iteration:1, F2F_time[s]:0.013383, H2H_time:0.011002, sync_time:0.002381
iteration:2, F2F_time[s]:0.011232, H2H_time:0.008909, sync_time:0.002322
iteration:3, F2F_time[s]:0.010848, H2H_time:0.008492, sync_time:0.002356
iteration:4, F2F_time[s]:0.011701, H2H_time:0.008947, sync_time:0.002754
iteration:5, F2F_time[s]:0.010326, H2H_time:0.007958, sync_time:0.002368
iteration:6, F2F_time[s]:0.009646, H2H_time:0.007243, sync_time:0.002403
iteration:7, F2F_time[s]:0.010252, H2H_time:0.007886, sync_time:0.002366
iteration:8, F2F_time[s]:0.010174, H2H_time:0.007624, sync_time:0.002551
iteration:9, F2F_time[s]:0.009970, H2H_time:0.007204, sync_time:0.002766
iteration:10, F2F_time[s]:0.010006, H2H_time:0.007510, sync_time:0.002496
iteration:11, F2F_time[s]:0.009556, H2H_time:0.007171, sync_time:0.002384
iteration:12, F2F_time[s]:0.010237, H2H_time:0.007737, sync_time:0.002500
iteration:13, F2F_time[s]:0.009363, H2H_time:0.007037, sync_time:0.002326
iteration:14, F2F_time[s]:0.009292, H2H_time:0.006952, sync_time:0.002339
iteration:15, F2F_time[s]:0.009458, H2H_time:0.007099, sync_time:0.002360
iteration:16, F2F_time[s]:0.009440, H2H_time:0.007065, sync_time:0.002375
iteration:17, F2F_time[s]:0.010544, H2H_time:0.008018, sync_time:0.002526
iteration:18, F2F_time[s]:0.009506, H2H_time:0.007120, sync_time:0.002386
iteration:19, F2F_time[s]:0.009455, H2H_time:0.007093, sync_time:0.002362
iteration:20, F2F_time[s]:0.009557, H2H_time:0.007073, sync_time:0.002483
iteration:21, F2F_time[s]:0.009821, H2H_time:0.007408, sync_time:0.002413
iteration:22, F2F_time[s]:0.009637, H2H_time:0.007149, sync_time:0.002488
iteration:23, F2F_time[s]:0.010173, H2H_time:0.007704, sync_time:0.002469
iteration:24, F2F_time[s]:0.009716, H2H_time:0.007266, sync_time:0.002450
iteration:25, F2F_time[s]:0.010126, H2H_time:0.007604, sync_time:0.002522
iteration:26, F2F_time[s]:0.009949, H2H_time:0.007562, sync_time:0.002387
iteration:27, F2F_time[s]:0.009532, H2H_time:0.007122, sync_time:0.002410
iteration:28, F2F_time[s]:0.009934, H2H_time:0.007339, sync_time:0.002595
iteration:29, F2F_time[s]:0.009461, H2H_time:0.007035, sync_time:0.002426
iteration:30, F2F_time[s]:0.009445, H2H_time:0.007000, sync_time:0.002446
iteration:31, F2F_time[s]:0.009864, H2H_time:0.007275, sync_time:0.002590
iteration:32, F2F_time[s]:0.009373, H2H_time:0.006939, sync_time:0.002434
iteration:33, F2F_time[s]:0.009820, H2H_time:0.007287, sync_time:0.002533
iteration:34, F2F_time[s]:0.009371, H2H_time:0.006929, sync_time:0.002441
iteration:35, F2F_time[s]:0.009769, H2H_time:0.007326, sync_time:0.002444
iteration:36, F2F_time[s]:0.009221, H2H_time:0.006762, sync_time:0.002459
iteration:37, F2F_time[s]:0.009982, H2H_time:0.007555, sync_time:0.002427
iteration:38, F2F_time[s]:0.009497, H2H_time:0.007057, sync_time:0.002441
iteration:39, F2F_time[s]:0.010057, H2H_time:0.007615, sync_time:0.002442
iteration:40, F2F_time[s]:0.009986, H2H_time:0.007551, sync_time:0.002435
iteration:41, F2F_time[s]:0.009685, H2H_time:0.007264, sync_time:0.002421
iteration:42, F2F_time[s]:0.009426, H2H_time:0.006846, sync_time:0.002579
iteration:43, F2F_time[s]:0.009649, H2H_time:0.007217, sync_time:0.002432
iteration:44, F2F_time[s]:0.009462, H2H_time:0.006934, sync_time:0.002529
iteration:45, F2F_time[s]:0.009342, H2H_time:0.006987, sync_time:0.002356
iteration:46, F2F_time[s]:0.009211, H2H_time:0.006838, sync_time:0.002373
iteration:47, F2F_time[s]:0.009524, H2H_time:0.007184, sync_time:0.002340
iteration:48, F2F_time[s]:0.010339, H2H_time:0.007824, sync_time:0.002515
iteration:49, F2F_time[s]:0.009164, H2H_time:0.006811, sync_time:0.002353
iteration:50, F2F_time[s]:0.009069, H2H_time:0.006683, sync_time:0.002386
iteration:51, F2F_time[s]:0.008983, H2H_time:0.006597, sync_time:0.002386
iteration:52, F2F_time[s]:0.009430, H2H_time:0.006883, sync_time:0.002548
iteration:53, F2F_time[s]:0.009188, H2H_time:0.006827, sync_time:0.002361
iteration:54, F2F_time[s]:0.009660, H2H_time:0.007121, sync_time:0.002539
iteration:55, F2F_time[s]:0.009188, H2H_time:0.006900, sync_time:0.002287
iteration:56, F2F_time[s]:0.010085, H2H_time:0.007708, sync_time:0.002378
iteration:57, F2F_time[s]:0.009857, H2H_time:0.007433, sync_time:0.002424
iteration:58, F2F_time[s]:0.010295, H2H_time:0.007764, sync_time:0.002531
iteration:59, F2F_time[s]:0.010245, H2H_time:0.007882, sync_time:0.002363
iteration:60, F2F_time[s]:0.010324, H2H_time:0.007812, sync_time:0.002512
iteration:61, F2F_time[s]:0.010372, H2H_time:0.007973, sync_time:0.002399
iteration:62, F2F_time[s]:0.010264, H2H_time:0.007833, sync_time:0.002431
iteration:63, F2F_time[s]:0.010166, H2H_time:0.007710, sync_time:0.002457
iteration:64, F2F_time[s]:0.009853, H2H_time:0.007483, sync_time:0.002370
iteration:65, F2F_time[s]:0.010070, H2H_time:0.007624, sync_time:0.002447
iteration:66, F2F_time[s]:0.010042, H2H_time:0.007569, sync_time:0.002472
iteration:67, F2F_time[s]:0.010279, H2H_time:0.007766, sync_time:0.002514
iteration:68, F2F_time[s]:0.010561, H2H_time:0.007916, sync_time:0.002645
iteration:69, F2F_time[s]:0.009261, H2H_time:0.006895, sync_time:0.002366
iteration:70, F2F_time[s]:0.010512, H2H_time:0.007879, sync_time:0.002633
iteration:71, F2F_time[s]:0.010362, H2H_time:0.007993, sync_time:0.002369
iteration:72, F2F_time[s]:0.010191, H2H_time:0.007780, sync_time:0.002412
iteration:73, F2F_time[s]:0.010213, H2H_time:0.007793, sync_time:0.002420
iteration:74, F2F_time[s]:0.010775, H2H_time:0.008375, sync_time:0.002400
iteration:75, F2F_time[s]:0.011008, H2H_time:0.008641, sync_time:0.002367
iteration:76, F2F_time[s]:0.010833, H2H_time:0.008228, sync_time:0.002606
iteration:77, F2F_time[s]:0.011531, H2H_time:0.009039, sync_time:0.002492
iteration:78, F2F_time[s]:0.010895, H2H_time:0.008260, sync_time:0.002635
