XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
alveo2b
alveo4c
alveo3c
alveo4b
alveo1a
alveo3b
alveo2a
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:4194304, num_elements:1048576, num_trials:200
alveo4b, device on u280. Finished loading bitstream
alveo4b, bytes:4194304, num_elements:1048576, num_trials:200
alveo3c, device on u280. Finished loading bitstream
alveo3c, bytes:4194304, num_elements:1048576, num_trials:200
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:4194304, num_elements:1048576, num_trials:200
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:4194304, num_elements:1048576, num_trials:200
alveo3b, device on u280. Finished loading bitstream
alveo3b, bytes:4194304, num_elements:1048576, num_trials:200
Start All-reduce test:
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:4194304, num_elements:1048576, num_trials:200
iteration:0, F2F_time[s]:0.017059, H2H_time:0.014568, sync_time:0.002491
iteration:1, F2F_time[s]:0.013248, H2H_time:0.010703, sync_time:0.002545
iteration:2, F2F_time[s]:0.011855, H2H_time:0.009399, sync_time:0.002456
iteration:3, F2F_time[s]:0.011792, H2H_time:0.009351, sync_time:0.002440
iteration:4, F2F_time[s]:0.014652, H2H_time:0.012196, sync_time:0.002455
iteration:5, F2F_time[s]:0.025645, H2H_time:0.023099, sync_time:0.002546
iteration:6, F2F_time[s]:0.010753, H2H_time:0.008311, sync_time:0.002443
iteration:7, F2F_time[s]:0.009999, H2H_time:0.007759, sync_time:0.002240
iteration:8, F2F_time[s]:0.009529, H2H_time:0.007233, sync_time:0.002295
iteration:9, F2F_time[s]:0.010404, H2H_time:0.007930, sync_time:0.002474
iteration:10, F2F_time[s]:0.010169, H2H_time:0.007543, sync_time:0.002626
iteration:11, F2F_time[s]:0.010483, H2H_time:0.008086, sync_time:0.002397
iteration:12, F2F_time[s]:0.009586, H2H_time:0.007341, sync_time:0.002245
iteration:13, F2F_time[s]:0.009736, H2H_time:0.007456, sync_time:0.002280
iteration:14, F2F_time[s]:0.010039, H2H_time:0.007792, sync_time:0.002247
iteration:15, F2F_time[s]:0.010421, H2H_time:0.008049, sync_time:0.002372
iteration:16, F2F_time[s]:0.009656, H2H_time:0.007382, sync_time:0.002275
iteration:17, F2F_time[s]:0.025836, H2H_time:0.023572, sync_time:0.002264
iteration:18, F2F_time[s]:0.010152, H2H_time:0.007583, sync_time:0.002569
iteration:19, F2F_time[s]:0.009936, H2H_time:0.007534, sync_time:0.002402
iteration:20, F2F_time[s]:0.010175, H2H_time:0.007858, sync_time:0.002317
iteration:21, F2F_time[s]:0.010355, H2H_time:0.008068, sync_time:0.002286
iteration:22, F2F_time[s]:0.009268, H2H_time:0.006901, sync_time:0.002367
iteration:23, F2F_time[s]:0.010765, H2H_time:0.008321, sync_time:0.002444
iteration:24, F2F_time[s]:0.010646, H2H_time:0.008302, sync_time:0.002344
iteration:25, F2F_time[s]:0.010201, H2H_time:0.007902, sync_time:0.002300
iteration:26, F2F_time[s]:0.009688, H2H_time:0.007142, sync_time:0.002546
iteration:27, F2F_time[s]:0.009740, H2H_time:0.007343, sync_time:0.002397
iteration:28, F2F_time[s]:0.009979, H2H_time:0.007698, sync_time:0.002281
iteration:29, F2F_time[s]:0.010029, H2H_time:0.007731, sync_time:0.002298
iteration:30, F2F_time[s]:0.010064, H2H_time:0.007654, sync_time:0.002410
iteration:31, F2F_time[s]:0.010123, H2H_time:0.007723, sync_time:0.002400
iteration:32, F2F_time[s]:0.009585, H2H_time:0.007230, sync_time:0.002354
iteration:33, F2F_time[s]:0.010288, H2H_time:0.007732, sync_time:0.002556
iteration:34, F2F_time[s]:0.009927, H2H_time:0.007475, sync_time:0.002452
iteration:35, F2F_time[s]:0.010797, H2H_time:0.008523, sync_time:0.002273
iteration:36, F2F_time[s]:0.011015, H2H_time:0.008611, sync_time:0.002404
iteration:37, F2F_time[s]:0.010794, H2H_time:0.008408, sync_time:0.002386
iteration:38, F2F_time[s]:0.011194, H2H_time:0.008745, sync_time:0.002449
iteration:39, F2F_time[s]:0.010670, H2H_time:0.008266, sync_time:0.002405
iteration:40, F2F_time[s]:0.010050, H2H_time:0.007656, sync_time:0.002394
iteration:41, F2F_time[s]:0.010294, H2H_time:0.007842, sync_time:0.002452
iteration:42, F2F_time[s]:0.010328, H2H_time:0.007910, sync_time:0.002418
iteration:43, F2F_time[s]:0.009827, H2H_time:0.007444, sync_time:0.002383
iteration:44, F2F_time[s]:0.010291, H2H_time:0.007871, sync_time:0.002420
iteration:45, F2F_time[s]:0.010112, H2H_time:0.007716, sync_time:0.002396
iteration:46, F2F_time[s]:0.010097, H2H_time:0.007737, sync_time:0.002360
iteration:47, F2F_time[s]:0.010763, H2H_time:0.008232, sync_time:0.002530
iteration:48, F2F_time[s]:0.009950, H2H_time:0.007672, sync_time:0.002277
iteration:49, F2F_time[s]:0.009902, H2H_time:0.007507, sync_time:0.002395
iteration:50, F2F_time[s]:0.010634, H2H_time:0.008010, sync_time:0.002625
iteration:51, F2F_time[s]:0.009692, H2H_time:0.007383, sync_time:0.002309
iteration:52, F2F_time[s]:0.009725, H2H_time:0.007488, sync_time:0.002237
iteration:53, F2F_time[s]:0.010383, H2H_time:0.008010, sync_time:0.002374
iteration:54, F2F_time[s]:0.009914, H2H_time:0.007641, sync_time:0.002273
iteration:55, F2F_time[s]:0.009835, H2H_time:0.007580, sync_time:0.002254
iteration:56, F2F_time[s]:0.010224, H2H_time:0.007730, sync_time:0.002495
