XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
alveo4c
alveo2a
alveo1a
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:65536, num_elements:16384, num_trials:200
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:65536, num_elements:16384, num_trials:200
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:65536, num_elements:16384, num_trials:200
Start All-reduce test:
iteration:0, F2F_time[s]:0.001272, H2H_time:0.000792, sync_time:0.000480
iteration:1, F2F_time[s]:0.000610, H2H_time:0.000335, sync_time:0.000275
iteration:2, F2F_time[s]:0.000616, H2H_time:0.000332, sync_time:0.000284
iteration:3, F2F_time[s]:0.000555, H2H_time:0.000323, sync_time:0.000233
iteration:4, F2F_time[s]:0.000631, H2H_time:0.000314, sync_time:0.000317
iteration:5, F2F_time[s]:0.000615, H2H_time:0.000278, sync_time:0.000336
iteration:6, F2F_time[s]:0.000670, H2H_time:0.000305, sync_time:0.000365
iteration:7, F2F_time[s]:0.000635, H2H_time:0.000315, sync_time:0.000320
iteration:8, F2F_time[s]:0.000617, H2H_time:0.000302, sync_time:0.000316
iteration:9, F2F_time[s]:0.000648, H2H_time:0.000263, sync_time:0.000385
iteration:10, F2F_time[s]:0.000754, H2H_time:0.000384, sync_time:0.000370
iteration:11, F2F_time[s]:0.000660, H2H_time:0.000311, sync_time:0.000350
iteration:12, F2F_time[s]:0.000663, H2H_time:0.000344, sync_time:0.000320
iteration:13, F2F_time[s]:0.000798, H2H_time:0.000264, sync_time:0.000534
iteration:14, F2F_time[s]:0.000855, H2H_time:0.000290, sync_time:0.000565
iteration:15, F2F_time[s]:0.000931, H2H_time:0.000379, sync_time:0.000553
iteration:16, F2F_time[s]:0.000666, H2H_time:0.000248, sync_time:0.000418
iteration:17, F2F_time[s]:0.000623, H2H_time:0.000243, sync_time:0.000380
iteration:18, F2F_time[s]:0.000713, H2H_time:0.000314, sync_time:0.000399
iteration:19, F2F_time[s]:0.000561, H2H_time:0.000282, sync_time:0.000280
iteration:20, F2F_time[s]:0.000655, H2H_time:0.000325, sync_time:0.000330
iteration:21, F2F_time[s]:0.000633, H2H_time:0.000275, sync_time:0.000358
iteration:22, F2F_time[s]:0.000623, H2H_time:0.000334, sync_time:0.000289
iteration:23, F2F_time[s]:0.000489, H2H_time:0.000187, sync_time:0.000302
iteration:24, F2F_time[s]:0.000592, H2H_time:0.000232, sync_time:0.000360
iteration:25, F2F_time[s]:0.000582, H2H_time:0.000252, sync_time:0.000331
iteration:26, F2F_time[s]:0.000593, H2H_time:0.000242, sync_time:0.000351
iteration:27, F2F_time[s]:0.000513, H2H_time:0.000208, sync_time:0.000305
iteration:28, F2F_time[s]:0.000608, H2H_time:0.000208, sync_time:0.000400
iteration:29, F2F_time[s]:0.000565, H2H_time:0.000234, sync_time:0.000331
iteration:30, F2F_time[s]:0.000531, H2H_time:0.000192, sync_time:0.000339
iteration:31, F2F_time[s]:0.000505, H2H_time:0.000187, sync_time:0.000317
iteration:32, F2F_time[s]:0.000535, H2H_time:0.000197, sync_time:0.000338
iteration:33, F2F_time[s]:0.000528, H2H_time:0.000287, sync_time:0.000241
iteration:34, F2F_time[s]:0.000570, H2H_time:0.000222, sync_time:0.000348
iteration:35, F2F_time[s]:0.000571, H2H_time:0.000210, sync_time:0.000361
iteration:36, F2F_time[s]:0.000479, H2H_time:0.000180, sync_time:0.000300
iteration:37, F2F_time[s]:0.000466, H2H_time:0.000223, sync_time:0.000244
iteration:38, F2F_time[s]:0.000432, H2H_time:0.000257, sync_time:0.000175
iteration:39, F2F_time[s]:0.000465, H2H_time:0.000273, sync_time:0.000192
iteration:40, F2F_time[s]:0.000460, H2H_time:0.000256, sync_time:0.000204
iteration:41, F2F_time[s]:0.000441, H2H_time:0.000268, sync_time:0.000173
iteration:42, F2F_time[s]:0.000490, H2H_time:0.000295, sync_time:0.000195
iteration:43, F2F_time[s]:0.000433, H2H_time:0.000256, sync_time:0.000177
iteration:44, F2F_time[s]:0.000427, H2H_time:0.000240, sync_time:0.000187
iteration:45, F2F_time[s]:0.000391, H2H_time:0.000219, sync_time:0.000172
iteration:46, F2F_time[s]:0.000342, H2H_time:0.000151, sync_time:0.000191
iteration:47, F2F_time[s]:0.000374, H2H_time:0.000196, sync_time:0.000178
iteration:48, F2F_time[s]:0.000379, H2H_time:0.000205, sync_time:0.000174
iteration:49, F2F_time[s]:0.000480, H2H_time:0.000288, sync_time:0.000192
iteration:50, F2F_time[s]:0.000479, H2H_time:0.000269, sync_time:0.000209
iteration:51, F2F_time[s]:0.000459, H2H_time:0.000251, sync_time:0.000208
iteration:52, F2F_time[s]:0.000480, H2H_time:0.000275, sync_time:0.000205
iteration:53, F2F_time[s]:0.000459, H2H_time:0.000274, sync_time:0.000185
iteration:54, F2F_time[s]:0.000434, H2H_time:0.000213, sync_time:0.000222
iteration:55, F2F_time[s]:0.000499, H2H_time:0.000306, sync_time:0.000193
iteration:56, F2F_time[s]:0.000476, H2H_time:0.000285, sync_time:0.000190
iteration:57, F2F_time[s]:0.000472, H2H_time:0.000293, sync_time:0.000179
iteration:58, F2F_time[s]:0.000784, H2H_time:0.000415, sync_time:0.000369
iteration:59, F2F_time[s]:0.000679, H2H_time:0.000435, sync_time:0.000244
iteration:60, F2F_time[s]:0.000723, H2H_time:0.000470, sync_time:0.000253
iteration:61, F2F_time[s]:0.000671, H2H_time:0.000423, sync_time:0.000248
iteration:62, F2F_time[s]:0.000688, H2H_time:0.000446, sync_time:0.000242
iteration:63, F2F_time[s]:0.000621, H2H_time:0.000341, sync_time:0.000280
iteration:64, F2F_time[s]:0.000640, H2H_time:0.000324, sync_time:0.000315
iteration:65, F2F_time[s]:0.000640, H2H_time:0.000319, sync_time:0.000322
iteration:66, F2F_time[s]:0.000662, H2H_time:0.000403, sync_time:0.000258
iteration:67, F2F_time[s]:0.000541, H2H_time:0.000310, sync_time:0.000230
iteration:68, F2F_time[s]:0.000528, H2H_time:0.000285, sync_time:0.000243
iteration:69, F2F_time[s]:0.000555, H2H_time:0.000328, sync_time:0.000228
iteration:70, F2F_time[s]:0.000569, H2H_time:0.000346, sync_time:0.000224
iteration:71, F2F_time[s]:0.000566, H2H_time:0.000333, sync_time:0.000233
iteration:72, F2F_time[s]:0.000531, H2H_time:0.000248, sync_time:0.000283
iteration:73, F2F_time[s]:0.000513, H2H_time:0.000263, sync_time:0.000250
iteration:74, F2F_time[s]:0.000496, H2H_time:0.000298, sync_time:0.000198
iteration:75, F2F_time[s]:0.000519, H2H_time:0.000293, sync_time:0.000226
iteration:76, F2F_time[s]:0.000475, H2H_time:0.000279, sync_time:0.000196
iteration:77, F2F_time[s]:0.000520, H2H_time:0.000317, sync_time:0.000203
iteration:78, F2F_time[s]:0.000572, H2H_time:0.000322, sync_time:0.000250
iteration:79, F2F_time[s]:0.000559, H2H_time:0.000310, sync_time:0.000249
iteration:80, F2F_time[s]:0.000526, H2H_time:0.000318, sync_time:0.000209
iteration:81, F2F_time[s]:0.000508, H2H_time:0.000297, sync_time:0.000211
iteration:82, F2F_time[s]:0.000491, H2H_time:0.000239, sync_time:0.000252
iteration:83, F2F_time[s]:0.000542, H2H_time:0.000309, sync_time:0.000233
iteration:84, F2F_time[s]:0.000529, H2H_time:0.000277, sync_time:0.000253
iteration:85, F2F_time[s]:0.000683, H2H_time:0.000383, sync_time:0.000300
iteration:86, F2F_time[s]:0.000652, H2H_time:0.000325, sync_time:0.000327
iteration:87, F2F_time[s]:0.000777, H2H_time:0.000410, sync_time:0.000366
iteration:88, F2F_time[s]:0.000654, H2H_time:0.000338, sync_time:0.000316
iteration:89, F2F_time[s]:0.000584, H2H_time:0.000333, sync_time:0.000251
iteration:90, F2F_time[s]:0.000578, H2H_time:0.000336, sync_time:0.000242
iteration:91, F2F_time[s]:0.000552, H2H_time:0.000307, sync_time:0.000245
iteration:92, F2F_time[s]:0.000509, H2H_time:0.000332, sync_time:0.000177
iteration:93, F2F_time[s]:0.000539, H2H_time:0.000330, sync_time:0.000209
iteration:94, F2F_time[s]:0.000516, H2H_time:0.000301, sync_time:0.000215
iteration:95, F2F_time[s]:0.000565, H2H_time:0.000316, sync_time:0.000250
iteration:96, F2F_time[s]:0.000537, H2H_time:0.000293, sync_time:0.000244
iteration:97, F2F_time[s]:0.000494, H2H_time:0.000283, sync_time:0.000211
iteration:98, F2F_time[s]:0.000564, H2H_time:0.000356, sync_time:0.000208
iteration:99, F2F_time[s]:0.000517, H2H_time:0.000261, sync_time:0.000256
iteration:100, F2F_time[s]:0.000547, H2H_time:0.000293, sync_time:0.000253
iteration:101, F2F_time[s]:0.000471, H2H_time:0.000240, sync_time:0.000231
iteration:102, F2F_time[s]:0.000510, H2H_time:0.000295, sync_time:0.000215
iteration:103, F2F_time[s]:0.000508, H2H_time:0.000293, sync_time:0.000215
iteration:104, F2F_time[s]:0.000540, H2H_time:0.000288, sync_time:0.000252
iteration:105, F2F_time[s]:0.000534, H2H_time:0.000274, sync_time:0.000260
iteration:106, F2F_time[s]:0.000491, H2H_time:0.000257, sync_time:0.000233
iteration:107, F2F_time[s]:0.000453, H2H_time:0.000237, sync_time:0.000216
iteration:108, F2F_time[s]:0.000550, H2H_time:0.000301, sync_time:0.000249
iteration:109, F2F_time[s]:0.000546, H2H_time:0.000309, sync_time:0.000237
iteration:110, F2F_time[s]:0.000550, H2H_time:0.000329, sync_time:0.000221
iteration:111, F2F_time[s]:0.000560, H2H_time:0.000290, sync_time:0.000270
iteration:112, F2F_time[s]:0.000475, H2H_time:0.000217, sync_time:0.000258
iteration:113, F2F_time[s]:0.000590, H2H_time:0.000310, sync_time:0.000280
iteration:114, F2F_time[s]:0.000522, H2H_time:0.000302, sync_time:0.000219
iteration:115, F2F_time[s]:0.000499, H2H_time:0.000266, sync_time:0.000233
iteration:116, F2F_time[s]:0.000409, H2H_time:0.000231, sync_time:0.000178
iteration:117, F2F_time[s]:0.000475, H2H_time:0.000261, sync_time:0.000214
iteration:118, F2F_time[s]:0.000437, H2H_time:0.000262, sync_time:0.000175
iteration:119, F2F_time[s]:0.000550, H2H_time:0.000299, sync_time:0.000251
iteration:120, F2F_time[s]:0.000553, H2H_time:0.000298, sync_time:0.000256
