XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
alveo1a
alveo2a
alveo4c
alveo3b
alveo2b
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:65536, num_elements:16384, num_trials:200
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:65536, num_elements:16384, num_trials:200
Start All-reduce test:
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:65536, num_elements:16384, num_trials:200
alveo3b, device on u280. Finished loading bitstream
alveo3b, bytes:65536, num_elements:16384, num_trials:200
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:65536, num_elements:16384, num_trials:200
iteration:0, F2F_time[s]:0.001883, H2H_time:0.001281, sync_time:0.000602
iteration:1, F2F_time[s]:0.000968, H2H_time:0.000580, sync_time:0.000389
iteration:2, F2F_time[s]:0.001036, H2H_time:0.000698, sync_time:0.000339
iteration:3, F2F_time[s]:0.000999, H2H_time:0.000646, sync_time:0.000354
iteration:4, F2F_time[s]:0.000997, H2H_time:0.000657, sync_time:0.000340
iteration:5, F2F_time[s]:0.000974, H2H_time:0.000632, sync_time:0.000341
iteration:6, F2F_time[s]:0.001000, H2H_time:0.000675, sync_time:0.000325
iteration:7, F2F_time[s]:0.000970, H2H_time:0.000615, sync_time:0.000355
iteration:8, F2F_time[s]:0.000951, H2H_time:0.000599, sync_time:0.000352
iteration:9, F2F_time[s]:0.001025, H2H_time:0.000698, sync_time:0.000326
iteration:10, F2F_time[s]:0.000926, H2H_time:0.000600, sync_time:0.000326
iteration:11, F2F_time[s]:0.000903, H2H_time:0.000601, sync_time:0.000303
iteration:12, F2F_time[s]:0.000908, H2H_time:0.000587, sync_time:0.000322
iteration:13, F2F_time[s]:0.000868, H2H_time:0.000556, sync_time:0.000312
iteration:14, F2F_time[s]:0.000832, H2H_time:0.000528, sync_time:0.000304
iteration:15, F2F_time[s]:0.000854, H2H_time:0.000551, sync_time:0.000303
iteration:16, F2F_time[s]:0.000910, H2H_time:0.000542, sync_time:0.000368
iteration:17, F2F_time[s]:0.000829, H2H_time:0.000504, sync_time:0.000325
iteration:18, F2F_time[s]:0.000811, H2H_time:0.000504, sync_time:0.000308
iteration:19, F2F_time[s]:0.000795, H2H_time:0.000496, sync_time:0.000299
iteration:20, F2F_time[s]:0.000808, H2H_time:0.000509, sync_time:0.000298
iteration:21, F2F_time[s]:0.000743, H2H_time:0.000509, sync_time:0.000235
iteration:22, F2F_time[s]:0.000754, H2H_time:0.000549, sync_time:0.000204
iteration:23, F2F_time[s]:0.000744, H2H_time:0.000530, sync_time:0.000213
iteration:24, F2F_time[s]:0.000653, H2H_time:0.000420, sync_time:0.000233
iteration:25, F2F_time[s]:0.000618, H2H_time:0.000423, sync_time:0.000195
iteration:26, F2F_time[s]:0.000608, H2H_time:0.000405, sync_time:0.000203
iteration:27, F2F_time[s]:0.000586, H2H_time:0.000384, sync_time:0.000202
iteration:28, F2F_time[s]:0.000627, H2H_time:0.000359, sync_time:0.000269
iteration:29, F2F_time[s]:0.000615, H2H_time:0.000351, sync_time:0.000264
iteration:30, F2F_time[s]:0.000601, H2H_time:0.000339, sync_time:0.000262
iteration:31, F2F_time[s]:0.000649, H2H_time:0.000448, sync_time:0.000202
iteration:32, F2F_time[s]:0.000611, H2H_time:0.000409, sync_time:0.000203
iteration:33, F2F_time[s]:0.000654, H2H_time:0.000418, sync_time:0.000236
iteration:34, F2F_time[s]:0.000620, H2H_time:0.000426, sync_time:0.000194
iteration:35, F2F_time[s]:0.000623, H2H_time:0.000415, sync_time:0.000208
iteration:36, F2F_time[s]:0.000673, H2H_time:0.000480, sync_time:0.000193
iteration:37, F2F_time[s]:0.000631, H2H_time:0.000428, sync_time:0.000203
iteration:38, F2F_time[s]:0.000582, H2H_time:0.000384, sync_time:0.000198
iteration:39, F2F_time[s]:0.000588, H2H_time:0.000384, sync_time:0.000204
iteration:40, F2F_time[s]:0.000685, H2H_time:0.000458, sync_time:0.000227
iteration:41, F2F_time[s]:0.000642, H2H_time:0.000429, sync_time:0.000213
iteration:42, F2F_time[s]:0.000782, H2H_time:0.000474, sync_time:0.000308
iteration:43, F2F_time[s]:0.000782, H2H_time:0.000470, sync_time:0.000312
iteration:44, F2F_time[s]:0.000770, H2H_time:0.000467, sync_time:0.000303
iteration:45, F2F_time[s]:0.000746, H2H_time:0.000522, sync_time:0.000224
