XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
alveo1b
alveo4c
alveo3b
alveo3c
alveo4b
alveo2b
alveo1a
alveo2a
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:8192, num_elements:2048, num_trials:200
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:8192, num_elements:2048, num_trials:200
Start All-reduce test:
alveo3c, device on u280. Finished loading bitstream
alveo3c, bytes:8192, num_elements:2048, num_trials:200
alveo3b, device on u280. Finished loading bitstream
alveo3b, bytes:8192, num_elements:2048, num_trials:200
alveo4b, device on u280. Finished loading bitstream
alveo4b, bytes:8192, num_elements:2048, num_trials:200
alveo1b, device on u250. Finished loading bitstream
alveo1b, bytes:8192, num_elements:2048, num_trials:200
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:8192, num_elements:2048, num_trials:200
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:8192, num_elements:2048, num_trials:200
iteration:0, F2F_time[s]:0.000895, H2H_time:0.000480, sync_time:0.000415
iteration:1, F2F_time[s]:0.000604, H2H_time:0.000338, sync_time:0.000266
iteration:2, F2F_time[s]:0.000542, H2H_time:0.000270, sync_time:0.000272
iteration:3, F2F_time[s]:0.000538, H2H_time:0.000237, sync_time:0.000301
iteration:4, F2F_time[s]:0.000424, H2H_time:0.000173, sync_time:0.000251
iteration:5, F2F_time[s]:0.000431, H2H_time:0.000190, sync_time:0.000241
iteration:6, F2F_time[s]:0.000408, H2H_time:0.000214, sync_time:0.000194
iteration:7, F2F_time[s]:0.000540, H2H_time:0.000313, sync_time:0.000227
iteration:8, F2F_time[s]:0.000514, H2H_time:0.000231, sync_time:0.000283
iteration:9, F2F_time[s]:0.000496, H2H_time:0.000272, sync_time:0.000224
iteration:10, F2F_time[s]:0.000592, H2H_time:0.000352, sync_time:0.000240
iteration:11, F2F_time[s]:0.000456, H2H_time:0.000224, sync_time:0.000231
iteration:12, F2F_time[s]:0.000550, H2H_time:0.000318, sync_time:0.000232
iteration:13, F2F_time[s]:0.000489, H2H_time:0.000209, sync_time:0.000279
iteration:14, F2F_time[s]:0.000442, H2H_time:0.000251, sync_time:0.000191
iteration:15, F2F_time[s]:0.000493, H2H_time:0.000286, sync_time:0.000206
iteration:16, F2F_time[s]:0.000432, H2H_time:0.000189, sync_time:0.000243
iteration:17, F2F_time[s]:0.000520, H2H_time:0.000291, sync_time:0.000228
iteration:18, F2F_time[s]:0.000593, H2H_time:0.000382, sync_time:0.000210
iteration:19, F2F_time[s]:0.000644, H2H_time:0.000296, sync_time:0.000348
iteration:20, F2F_time[s]:0.000577, H2H_time:0.000306, sync_time:0.000271
iteration:21, F2F_time[s]:0.000599, H2H_time:0.000313, sync_time:0.000286
iteration:22, F2F_time[s]:0.000621, H2H_time:0.000371, sync_time:0.000250
iteration:23, F2F_time[s]:0.000502, H2H_time:0.000229, sync_time:0.000273
iteration:24, F2F_time[s]:0.000540, H2H_time:0.000333, sync_time:0.000207
iteration:25, F2F_time[s]:0.000599, H2H_time:0.000372, sync_time:0.000228
iteration:26, F2F_time[s]:0.000583, H2H_time:0.000353, sync_time:0.000230
iteration:27, F2F_time[s]:0.000571, H2H_time:0.000369, sync_time:0.000202
iteration:28, F2F_time[s]:0.000649, H2H_time:0.000395, sync_time:0.000253
iteration:29, F2F_time[s]:0.000442, H2H_time:0.000263, sync_time:0.000179
iteration:30, F2F_time[s]:0.000552, H2H_time:0.000367, sync_time:0.000186
iteration:31, F2F_time[s]:0.000476, H2H_time:0.000259, sync_time:0.000217
iteration:32, F2F_time[s]:0.000483, H2H_time:0.000260, sync_time:0.000222
iteration:33, F2F_time[s]:0.000410, H2H_time:0.000204, sync_time:0.000206
iteration:34, F2F_time[s]:0.000443, H2H_time:0.000245, sync_time:0.000198
iteration:35, F2F_time[s]:0.000537, H2H_time:0.000365, sync_time:0.000172
iteration:36, F2F_time[s]:0.000470, H2H_time:0.000278, sync_time:0.000192
iteration:37, F2F_time[s]:0.000537, H2H_time:0.000361, sync_time:0.000176
iteration:38, F2F_time[s]:0.000523, H2H_time:0.000330, sync_time:0.000193
iteration:39, F2F_time[s]:0.000565, H2H_time:0.000335, sync_time:0.000229
iteration:40, F2F_time[s]:0.000504, H2H_time:0.000304, sync_time:0.000200
iteration:41, F2F_time[s]:0.000557, H2H_time:0.000318, sync_time:0.000239
iteration:42, F2F_time[s]:0.000491, H2H_time:0.000321, sync_time:0.000170
iteration:43, F2F_time[s]:0.000525, H2H_time:0.000288, sync_time:0.000237
iteration:44, F2F_time[s]:0.000510, H2H_time:0.000297, sync_time:0.000214
iteration:45, F2F_time[s]:0.000537, H2H_time:0.000305, sync_time:0.000232
iteration:46, F2F_time[s]:0.000642, H2H_time:0.000379, sync_time:0.000263
iteration:47, F2F_time[s]:0.000531, H2H_time:0.000238, sync_time:0.000292
iteration:48, F2F_time[s]:0.000617, H2H_time:0.000352, sync_time:0.000265
iteration:49, F2F_time[s]:0.000541, H2H_time:0.000295, sync_time:0.000247
iteration:50, F2F_time[s]:0.000534, H2H_time:0.000302, sync_time:0.000231
iteration:51, F2F_time[s]:0.000553, H2H_time:0.000293, sync_time:0.000260
iteration:52, F2F_time[s]:0.000550, H2H_time:0.000298, sync_time:0.000252
iteration:53, F2F_time[s]:0.000545, H2H_time:0.000309, sync_time:0.000236
iteration:54, F2F_time[s]:0.000555, H2H_time:0.000351, sync_time:0.000204
iteration:55, F2F_time[s]:0.000564, H2H_time:0.000291, sync_time:0.000273
iteration:56, F2F_time[s]:0.000633, H2H_time:0.000326, sync_time:0.000307
iteration:57, F2F_time[s]:0.000633, H2H_time:0.000364, sync_time:0.000269
iteration:58, F2F_time[s]:0.000686, H2H_time:0.000428, sync_time:0.000258
iteration:59, F2F_time[s]:0.000673, H2H_time:0.000536, sync_time:0.000138
iteration:60, F2F_time[s]:0.000712, H2H_time:0.000411, sync_time:0.000301
iteration:61, F2F_time[s]:0.000689, H2H_time:0.000399, sync_time:0.000291
iteration:62, F2F_time[s]:0.000585, H2H_time:0.000446, sync_time:0.000139
iteration:63, F2F_time[s]:0.000715, H2H_time:0.000573, sync_time:0.000142
