alveo1a, bytes:1048576, num_elements:262144, num_trials:100
alveo4c, bytes:1048576, num_elements:262144, num_trials:100
alveo3b, bytes:1048576, num_elements:262144, num_trials:100
alveo1b, bytes:1048576, num_elements:262144, num_trials:100
alveo4b, bytes:1048576, num_elements:262144, num_trials:100
alveo2b, bytes:1048576, num_elements:262144, num_trials:100
alveo2a, bytes:1048576, num_elements:262144, num_trials:100
iteration:0, time[s]:0.006357
iteration:1, time[s]:0.004575
iteration:2, time[s]:0.004226
iteration:3, time[s]:0.003309
iteration:4, time[s]:0.003456
iteration:5, time[s]:0.002818
iteration:6, time[s]:0.002851
iteration:7, time[s]:0.003129
iteration:8, time[s]:0.002849
iteration:9, time[s]:0.002844
iteration:10, time[s]:0.002955
iteration:11, time[s]:0.002731
iteration:12, time[s]:0.002758
iteration:13, time[s]:0.002739
iteration:14, time[s]:0.002698
iteration:15, time[s]:0.002894
iteration:16, time[s]:0.002568
iteration:17, time[s]:0.002659
iteration:18, time[s]:0.002559
iteration:19, time[s]:0.002726
iteration:20, time[s]:0.002662
iteration:21, time[s]:0.002508
iteration:22, time[s]:0.002543
iteration:23, time[s]:0.002780
iteration:24, time[s]:0.002625
iteration:25, time[s]:0.002685
iteration:26, time[s]:0.002904
iteration:27, time[s]:0.003104
iteration:28, time[s]:0.002812
iteration:29, time[s]:0.002790
iteration:30, time[s]:0.002672
iteration:31, time[s]:0.002792
iteration:32, time[s]:0.002770
iteration:33, time[s]:0.002775
iteration:34, time[s]:0.002764
iteration:35, time[s]:0.002706
iteration:36, time[s]:0.002696
iteration:37, time[s]:0.002678
iteration:38, time[s]:0.002764
iteration:39, time[s]:0.002526
iteration:40, time[s]:0.002857
iteration:41, time[s]:0.002937
iteration:42, time[s]:0.002680
iteration:43, time[s]:0.002531
iteration:44, time[s]:0.002649
iteration:45, time[s]:0.002756
iteration:46, time[s]:0.002774
iteration:47, time[s]:0.002655
iteration:48, time[s]:0.002859
iteration:49, time[s]:0.002900
iteration:50, time[s]:0.002873
iteration:51, time[s]:0.002814
iteration:52, time[s]:0.002852
iteration:53, time[s]:0.002870
iteration:54, time[s]:0.002650
iteration:55, time[s]:0.002763
iteration:56, time[s]:0.002902
iteration:57, time[s]:0.002824
iteration:58, time[s]:0.002801
iteration:59, time[s]:0.002843
iteration:60, time[s]:0.003034
iteration:61, time[s]:0.002709
iteration:62, time[s]:0.002941
iteration:63, time[s]:0.002753
iteration:64, time[s]:0.002812
iteration:65, time[s]:0.002963
iteration:66, time[s]:0.002748
iteration:67, time[s]:0.002563
iteration:68, time[s]:0.002897
iteration:69, time[s]:0.002881
iteration:70, time[s]:0.002807
iteration:71, time[s]:0.002754
iteration:72, time[s]:0.003079
iteration:73, time[s]:0.002911
iteration:74, time[s]:0.002898
iteration:75, time[s]:0.002926
iteration:76, time[s]:0.002852
iteration:77, time[s]:0.002989
iteration:78, time[s]:0.002558
iteration:79, time[s]:0.002811
iteration:80, time[s]:0.002794
iteration:81, time[s]:0.002666
iteration:82, time[s]:0.002945
iteration:83, time[s]:0.002855
iteration:84, time[s]:0.003133
iteration:85, time[s]:0.003003
iteration:86, time[s]:0.003026
iteration:87, time[s]:0.002888
iteration:88, time[s]:0.003106
iteration:89, time[s]:0.003041
iteration:90, time[s]:0.003095
iteration:91, time[s]:0.002866
iteration:92, time[s]:0.002894
iteration:93, time[s]:0.002870
iteration:94, time[s]:0.002703
iteration:95, time[s]:0.002614
iteration:96, time[s]:0.002834
iteration:97, time[s]:0.002984
iteration:98, time[s]:0.002893
iteration:99, time[s]:0.003129
iteration:100, time[s]:0.002802
Data size = 1048576, Trials = 100
Avg MPI_all_reduce time [us]= *2857.147980
