alveo1a, bytes:1048576, num_elements:262144, num_trials:1000
alveo4c, bytes:1048576, num_elements:262144, num_trials:1000
alveo3c, bytes:1048576, num_elements:262144, num_trials:1000
alveo3b, bytes:1048576, num_elements:262144, num_trials:1000
alveo4b, bytes:1048576, num_elements:262144, num_trials:1000
alveo1b, bytes:1048576, num_elements:262144, num_trials:1000
alveo2a, bytes:1048576, num_elements:262144, num_trials:1000
alveo2b, bytes:1048576, num_elements:262144, num_trials:1000
iteration:0, time[s]:0.004646
iteration:1, time[s]:0.003136
iteration:2, time[s]:0.002762
iteration:3, time[s]:0.002950
iteration:4, time[s]:0.002333
iteration:5, time[s]:0.002511
iteration:6, time[s]:0.002289
iteration:7, time[s]:0.002328
iteration:8, time[s]:0.002175
iteration:9, time[s]:0.002144
iteration:10, time[s]:0.002043
iteration:11, time[s]:0.001876
iteration:12, time[s]:0.002129
iteration:13, time[s]:0.002251
iteration:14, time[s]:0.002095
iteration:15, time[s]:0.002246
iteration:16, time[s]:0.002009
iteration:17, time[s]:0.002030
iteration:18, time[s]:0.002076
iteration:19, time[s]:0.002112
iteration:20, time[s]:0.001803
iteration:21, time[s]:0.002124
iteration:22, time[s]:0.002033
iteration:23, time[s]:0.002168
iteration:24, time[s]:0.001736
iteration:25, time[s]:0.002079
iteration:26, time[s]:0.002023
iteration:27, time[s]:0.002162
iteration:28, time[s]:0.001837
iteration:29, time[s]:0.002014
iteration:30, time[s]:0.002024
iteration:31, time[s]:0.001955
iteration:32, time[s]:0.002122
iteration:33, time[s]:0.001858
iteration:34, time[s]:0.001917
iteration:35, time[s]:0.001898
iteration:36, time[s]:0.001902
iteration:37, time[s]:0.001908
iteration:38, time[s]:0.001917
iteration:39, time[s]:0.002013
iteration:40, time[s]:0.002063
iteration:41, time[s]:0.001951
iteration:42, time[s]:0.002050
iteration:43, time[s]:0.001883
iteration:44, time[s]:0.001965
iteration:45, time[s]:0.002159
iteration:46, time[s]:0.001815
iteration:47, time[s]:0.002039
iteration:48, time[s]:0.002108
iteration:49, time[s]:0.002078
iteration:50, time[s]:0.001758
iteration:51, time[s]:0.001856
iteration:52, time[s]:0.002147
iteration:53, time[s]:0.002032
iteration:54, time[s]:0.001942
iteration:55, time[s]:0.002115
iteration:56, time[s]:0.001987
iteration:57, time[s]:0.002181
iteration:58, time[s]:0.001970
iteration:59, time[s]:0.002072
iteration:60, time[s]:0.001795
iteration:61, time[s]:0.001915
iteration:62, time[s]:0.001880
iteration:63, time[s]:0.001952
iteration:64, time[s]:0.002076
iteration:65, time[s]:0.001936
iteration:66, time[s]:0.002070
iteration:67, time[s]:0.001820
iteration:68, time[s]:0.001986
iteration:69, time[s]:0.001913
iteration:70, time[s]:0.001897
iteration:71, time[s]:0.002071
iteration:72, time[s]:0.002077
iteration:73, time[s]:0.001909
iteration:74, time[s]:0.002010
iteration:75, time[s]:0.001951
iteration:76, time[s]:0.001925
iteration:77, time[s]:0.001775
iteration:78, time[s]:0.001846
iteration:79, time[s]:0.001783
iteration:80, time[s]:0.001938
iteration:81, time[s]:0.002070
iteration:82, time[s]:0.001997
iteration:83, time[s]:0.001820
iteration:84, time[s]:0.001828
iteration:85, time[s]:0.001988
iteration:86, time[s]:0.001823
iteration:87, time[s]:0.001861
iteration:88, time[s]:0.001753
iteration:89, time[s]:0.001723
iteration:90, time[s]:0.001921
iteration:91, time[s]:0.001994
iteration:92, time[s]:0.001909
iteration:93, time[s]:0.002127
iteration:94, time[s]:0.001836
iteration:95, time[s]:0.001809
iteration:96, time[s]:0.002009
iteration:97, time[s]:0.001740
iteration:98, time[s]:0.002026
iteration:99, time[s]:0.002024
iteration:100, time[s]:0.002020
iteration:101, time[s]:0.001987
iteration:102, time[s]:0.001795
iteration:103, time[s]:0.002083
iteration:104, time[s]:0.002089
iteration:105, time[s]:0.002047
iteration:106, time[s]:0.002086
iteration:107, time[s]:0.001950
