alveo1a, bytes:16777216, num_elements:4194304, num_trials:1000
alveo3c, bytes:16777216, num_elements:4194304, num_trials:1000
alveo3b, bytes:16777216, num_elements:4194304, num_trials:1000
alveo1b, bytes:16777216, num_elements:4194304, num_trials:1000
alveo2b, bytes:16777216, num_elements:4194304, num_trials:1000
alveo2a, bytes:16777216, num_elements:4194304, num_trials:1000
iteration:0, time[s]:0.055358
iteration:1, time[s]:0.041240
iteration:2, time[s]:0.033945
iteration:3, time[s]:0.036652
iteration:4, time[s]:0.035449
iteration:5, time[s]:0.037961
iteration:6, time[s]:0.033993
iteration:7, time[s]:0.037044
iteration:8, time[s]:0.036548
iteration:9, time[s]:0.036228
iteration:10, time[s]:0.035149
iteration:11, time[s]:0.036823
iteration:12, time[s]:0.033203
iteration:13, time[s]:0.034293
iteration:14, time[s]:0.033044
iteration:15, time[s]:0.035087
iteration:16, time[s]:0.034934
iteration:17, time[s]:0.034380
iteration:18, time[s]:0.035803
iteration:19, time[s]:0.033689
iteration:20, time[s]:0.032085
iteration:21, time[s]:0.034202
iteration:22, time[s]:0.036198
iteration:23, time[s]:0.035875
iteration:24, time[s]:0.034214
iteration:25, time[s]:0.033288
iteration:26, time[s]:0.036193
iteration:27, time[s]:0.032187
iteration:28, time[s]:0.033056
iteration:29, time[s]:0.033329
iteration:30, time[s]:0.033479
iteration:31, time[s]:0.033182
iteration:32, time[s]:0.031721
iteration:33, time[s]:0.033420
iteration:34, time[s]:0.033610
iteration:35, time[s]:0.034075
iteration:36, time[s]:0.034556
iteration:37, time[s]:0.033570
iteration:38, time[s]:0.032861
iteration:39, time[s]:0.033844
iteration:40, time[s]:0.034238
iteration:41, time[s]:0.034996
iteration:42, time[s]:0.033871
iteration:43, time[s]:0.033768
iteration:44, time[s]:0.033298
iteration:45, time[s]:0.033518
iteration:46, time[s]:0.034600
iteration:47, time[s]:0.032836
iteration:48, time[s]:0.033468
iteration:49, time[s]:0.033685
iteration:50, time[s]:0.034520
iteration:51, time[s]:0.034276
iteration:52, time[s]:0.031521
iteration:53, time[s]:0.032983
iteration:54, time[s]:0.033018
iteration:55, time[s]:0.035879
iteration:56, time[s]:0.033489
iteration:57, time[s]:0.035854
iteration:58, time[s]:0.035828
iteration:59, time[s]:0.034791
iteration:60, time[s]:0.034206
iteration:61, time[s]:0.031977
iteration:62, time[s]:0.034111
iteration:63, time[s]:0.034065
iteration:64, time[s]:0.033026
iteration:65, time[s]:0.032906
iteration:66, time[s]:0.034182
iteration:67, time[s]:0.033063
iteration:68, time[s]:0.033219
iteration:69, time[s]:0.033206
iteration:70, time[s]:0.032314
iteration:71, time[s]:0.033403
iteration:72, time[s]:0.034447
iteration:73, time[s]:0.034576
iteration:74, time[s]:0.031191
iteration:75, time[s]:0.033935
iteration:76, time[s]:0.036025
iteration:77, time[s]:0.035509
iteration:78, time[s]:0.034065
iteration:79, time[s]:0.034341
iteration:80, time[s]:0.033424
iteration:81, time[s]:0.033605
iteration:82, time[s]:0.033688
iteration:83, time[s]:0.032827
iteration:84, time[s]:0.034001
iteration:85, time[s]:0.033467
iteration:86, time[s]:0.034835
iteration:87, time[s]:0.034310
iteration:88, time[s]:0.034262
iteration:89, time[s]:0.033185
iteration:90, time[s]:0.032173
iteration:91, time[s]:0.032987
iteration:92, time[s]:0.033296
iteration:93, time[s]:0.035852
iteration:94, time[s]:0.033767
iteration:95, time[s]:0.035301
iteration:96, time[s]:0.034523
iteration:97, time[s]:0.035357
iteration:98, time[s]:0.033636
iteration:99, time[s]:0.033368
iteration:100, time[s]:0.033042
iteration:101, time[s]:0.030196
iteration:102, time[s]:0.033189
iteration:103, time[s]:0.033580
iteration:104, time[s]:0.033486
iteration:105, time[s]:0.033712
iteration:106, time[s]:0.034963
