alveo1a, bytes:16777216, num_elements:4194304, num_trials:1000
alveo4b, bytes:16777216, num_elements:4194304, num_trials:1000
alveo4c, bytes:16777216, num_elements:4194304, num_trials:1000
alveo3b, bytes:16777216, num_elements:4194304, num_trials:1000
alveo1b, bytes:16777216, num_elements:4194304, num_trials:1000
alveo2b, bytes:16777216, num_elements:4194304, num_trials:1000
alveo2a, bytes:16777216, num_elements:4194304, num_trials:1000
iteration:0, time[s]:0.054470
iteration:1, time[s]:0.046899
iteration:2, time[s]:0.043816
iteration:3, time[s]:0.043598
iteration:4, time[s]:0.043321
iteration:5, time[s]:0.043702
iteration:6, time[s]:0.044871
iteration:7, time[s]:0.057555
iteration:8, time[s]:0.043669
iteration:9, time[s]:0.045196
iteration:10, time[s]:0.043083
iteration:11, time[s]:0.043641
iteration:12, time[s]:0.042844
iteration:13, time[s]:0.043161
iteration:14, time[s]:0.043559
iteration:15, time[s]:0.043710
iteration:16, time[s]:0.043043
iteration:17, time[s]:0.043051
iteration:18, time[s]:0.042802
iteration:19, time[s]:0.043036
iteration:20, time[s]:0.042856
iteration:21, time[s]:0.042977
iteration:22, time[s]:0.043128
iteration:23, time[s]:0.042716
iteration:24, time[s]:0.043719
iteration:25, time[s]:0.042610
iteration:26, time[s]:0.043519
iteration:27, time[s]:0.043747
iteration:28, time[s]:0.044081
iteration:29, time[s]:0.042573
iteration:30, time[s]:0.042811
iteration:31, time[s]:0.043049
iteration:32, time[s]:0.043300
iteration:33, time[s]:0.042619
iteration:34, time[s]:0.043608
iteration:35, time[s]:0.042978
iteration:36, time[s]:0.043001
iteration:37, time[s]:0.043137
iteration:38, time[s]:0.043425
iteration:39, time[s]:0.043313
iteration:40, time[s]:0.042603
iteration:41, time[s]:0.043207
iteration:42, time[s]:0.042710
iteration:43, time[s]:0.043149
iteration:44, time[s]:0.042860
iteration:45, time[s]:0.043315
iteration:46, time[s]:0.042625
iteration:47, time[s]:0.044289
iteration:48, time[s]:0.042697
iteration:49, time[s]:0.042962
iteration:50, time[s]:0.042148
iteration:51, time[s]:0.043051
iteration:52, time[s]:0.044147
iteration:53, time[s]:0.042780
iteration:54, time[s]:0.042433
iteration:55, time[s]:0.042656
iteration:56, time[s]:0.042529
iteration:57, time[s]:0.043337
iteration:58, time[s]:0.044194
iteration:59, time[s]:0.042010
iteration:60, time[s]:0.043914
iteration:61, time[s]:0.043334
iteration:62, time[s]:0.043730
iteration:63, time[s]:0.043858
iteration:64, time[s]:0.043217
iteration:65, time[s]:0.043352
iteration:66, time[s]:0.043045
iteration:67, time[s]:0.043578
iteration:68, time[s]:0.042910
iteration:69, time[s]:0.043429
iteration:70, time[s]:0.043047
iteration:71, time[s]:0.043193
iteration:72, time[s]:0.043114
iteration:73, time[s]:0.042985
iteration:74, time[s]:0.042636
iteration:75, time[s]:0.043748
iteration:76, time[s]:0.043642
iteration:77, time[s]:0.043665
iteration:78, time[s]:0.043123
iteration:79, time[s]:0.042660
iteration:80, time[s]:0.043696
iteration:81, time[s]:0.044146
iteration:82, time[s]:0.043548
iteration:83, time[s]:0.044620
iteration:84, time[s]:0.043069
iteration:85, time[s]:0.043387
iteration:86, time[s]:0.043923
iteration:87, time[s]:0.044192
iteration:88, time[s]:0.042739
iteration:89, time[s]:0.043625
iteration:90, time[s]:0.043090
iteration:91, time[s]:0.043408
iteration:92, time[s]:0.044334
iteration:93, time[s]:0.043404
iteration:94, time[s]:0.042643
iteration:95, time[s]:0.043437
iteration:96, time[s]:0.043341
iteration:97, time[s]:0.044141
iteration:98, time[s]:0.044371
iteration:99, time[s]:0.043086
iteration:100, time[s]:0.043562
iteration:101, time[s]:0.043733
iteration:102, time[s]:0.043817
iteration:103, time[s]:0.044186
iteration:104, time[s]:0.042593
iteration:105, time[s]:0.043176
iteration:106, time[s]:0.042835
iteration:107, time[s]:0.043535
iteration:108, time[s]:0.042702
iteration:109, time[s]:0.043529
iteration:110, time[s]:0.043886
iteration:111, time[s]:0.042463
iteration:112, time[s]:0.043629
iteration:113, time[s]:0.043417
iteration:114, time[s]:0.042454
iteration:115, time[s]:0.042690
iteration:116, time[s]:0.043604
iteration:117, time[s]:0.043500
iteration:118, time[s]:0.044223
iteration:119, time[s]:0.043669
iteration:120, time[s]:0.043772
iteration:121, time[s]:0.043329
iteration:122, time[s]:0.043758
iteration:123, time[s]:0.043502
iteration:124, time[s]:0.042939
iteration:125, time[s]:0.043506
iteration:126, time[s]:0.043834
iteration:127, time[s]:0.043083
iteration:128, time[s]:0.042917
iteration:129, time[s]:0.043243
iteration:130, time[s]:0.042503
iteration:131, time[s]:0.043605
iteration:132, time[s]:0.042497
iteration:133, time[s]:0.043088
iteration:134, time[s]:0.042753
iteration:135, time[s]:0.042419
iteration:136, time[s]:0.042962
iteration:137, time[s]:0.044649
iteration:138, time[s]:0.042518
iteration:139, time[s]:0.042881
iteration:140, time[s]:0.043805
iteration:141, time[s]:0.043426
iteration:142, time[s]:0.043296
iteration:143, time[s]:0.043375
iteration:144, time[s]:0.043263
iteration:145, time[s]:0.042949
iteration:146, time[s]:0.043378
iteration:147, time[s]:0.043658
iteration:148, time[s]:0.044073
iteration:149, time[s]:0.042917
iteration:150, time[s]:0.042974
iteration:151, time[s]:0.044011
iteration:152, time[s]:0.043554
iteration:153, time[s]:0.042426
iteration:154, time[s]:0.042673
iteration:155, time[s]:0.043092
iteration:156, time[s]:0.043397
iteration:157, time[s]:0.044131
iteration:158, time[s]:0.043808
iteration:159, time[s]:0.044152
iteration:160, time[s]:0.045592
iteration:161, time[s]:0.045150
iteration:162, time[s]:0.044621
iteration:163, time[s]:0.044147
iteration:164, time[s]:0.044618
iteration:165, time[s]:0.043839
iteration:166, time[s]:0.043655
iteration:167, time[s]:0.043973
iteration:168, time[s]:0.043742
iteration:169, time[s]:0.043147
iteration:170, time[s]:0.044005
iteration:171, time[s]:0.043255
iteration:172, time[s]:0.044385
iteration:173, time[s]:0.043740
iteration:174, time[s]:0.043526
iteration:175, time[s]:0.043263
iteration:176, time[s]:0.043290
iteration:177, time[s]:0.042909
iteration:178, time[s]:0.042907
iteration:179, time[s]:0.042849
iteration:180, time[s]:0.042557
iteration:181, time[s]:0.042920
iteration:182, time[s]:0.042669
iteration:183, time[s]:0.043542
iteration:184, time[s]:0.042983
iteration:185, time[s]:0.043273
iteration:186, time[s]:0.043105
iteration:187, time[s]:0.044009
iteration:188, time[s]:0.043993
iteration:189, time[s]:0.042989
iteration:190, time[s]:0.043943
iteration:191, time[s]:0.044058
iteration:192, time[s]:0.043301
iteration:193, time[s]:0.043034
iteration:194, time[s]:0.043308
iteration:195, time[s]:0.043078
iteration:196, time[s]:0.042436
iteration:197, time[s]:0.042570
iteration:198, time[s]:0.042382
iteration:199, time[s]:0.043341
iteration:200, time[s]:0.042640
iteration:201, time[s]:0.042111
iteration:202, time[s]:0.043834
iteration:203, time[s]:0.043683
iteration:204, time[s]:0.043764
iteration:205, time[s]:0.043711
iteration:206, time[s]:0.043318
iteration:207, time[s]:0.042712
iteration:208, time[s]:0.043525
iteration:209, time[s]:0.043717
iteration:210, time[s]:0.043882
iteration:211, time[s]:0.043445
iteration:212, time[s]:0.044017
iteration:213, time[s]:0.043738
iteration:214, time[s]:0.044978
iteration:215, time[s]:0.044014
iteration:216, time[s]:0.043712
iteration:217, time[s]:0.044492
iteration:218, time[s]:0.043784
iteration:219, time[s]:0.043543
iteration:220, time[s]:0.043615
iteration:221, time[s]:0.043373
iteration:222, time[s]:0.043476
iteration:223, time[s]:0.043869
iteration:224, time[s]:0.044245
iteration:225, time[s]:0.043383
iteration:226, time[s]:0.044067
iteration:227, time[s]:0.043342
iteration:228, time[s]:0.043640
iteration:229, time[s]:0.043643
iteration:230, time[s]:0.042908
iteration:231, time[s]:0.043683
iteration:232, time[s]:0.043288
iteration:233, time[s]:0.042369
iteration:234, time[s]:0.042887
iteration:235, time[s]:0.042942
iteration:236, time[s]:0.042951
iteration:237, time[s]:0.043747
iteration:238, time[s]:0.043811
iteration:239, time[s]:0.043478
iteration:240, time[s]:0.042681
iteration:241, time[s]:0.043464
iteration:242, time[s]:0.042822
iteration:243, time[s]:0.043297
iteration:244, time[s]:0.042660
iteration:245, time[s]:0.043226
