alveo1a, bytes:2097152, num_elements:524288, num_trials:100
alveo4c, bytes:2097152, num_elements:524288, num_trials:100
alveo4b, bytes:2097152, num_elements:524288, num_trials:100
alveo3b, bytes:2097152, num_elements:524288, num_trials:100
alveo2b, bytes:2097152, num_elements:524288, num_trials:100
alveo2a, bytes:2097152, num_elements:524288, num_trials:100
alveo1b, bytes:2097152, num_elements:524288, num_trials:100
iteration:0, time[s]:0.009862
iteration:1, time[s]:0.006063
iteration:2, time[s]:0.005447
iteration:3, time[s]:0.004846
iteration:4, time[s]:0.004582
iteration:5, time[s]:0.004529
iteration:6, time[s]:0.004394
iteration:7, time[s]:0.003943
iteration:8, time[s]:0.004299
iteration:9, time[s]:0.004203
iteration:10, time[s]:0.004404
iteration:11, time[s]:0.004306
iteration:12, time[s]:0.004119
iteration:13, time[s]:0.004261
iteration:14, time[s]:0.004452
iteration:15, time[s]:0.210647
iteration:16, time[s]:0.007409
iteration:17, time[s]:0.004766
iteration:18, time[s]:0.004315
iteration:19, time[s]:0.004430
iteration:20, time[s]:0.004461
iteration:21, time[s]:0.004205
iteration:22, time[s]:0.004074
iteration:23, time[s]:0.004343
iteration:24, time[s]:0.004326
iteration:25, time[s]:0.004127
iteration:26, time[s]:0.004402
iteration:27, time[s]:0.004160
iteration:28, time[s]:0.004025
iteration:29, time[s]:0.003966
iteration:30, time[s]:0.004413
iteration:31, time[s]:0.004247
iteration:32, time[s]:0.003817
iteration:33, time[s]:0.004456
iteration:34, time[s]:0.004119
iteration:35, time[s]:0.003779
iteration:36, time[s]:0.004390
iteration:37, time[s]:0.004101
iteration:38, time[s]:0.004372
iteration:39, time[s]:0.003803
iteration:40, time[s]:0.004152
iteration:41, time[s]:0.004209
iteration:42, time[s]:0.003876
iteration:43, time[s]:0.004231
iteration:44, time[s]:0.004066
iteration:45, time[s]:0.003988
iteration:46, time[s]:0.003938
iteration:47, time[s]:0.004116
iteration:48, time[s]:0.004261
iteration:49, time[s]:0.004634
iteration:50, time[s]:0.004298
iteration:51, time[s]:0.004705
iteration:52, time[s]:0.004480
iteration:53, time[s]:0.004247
iteration:54, time[s]:0.004474
iteration:55, time[s]:0.004152
iteration:56, time[s]:0.004205
iteration:57, time[s]:0.004325
iteration:58, time[s]:0.004100
iteration:59, time[s]:0.004156
iteration:60, time[s]:0.004556
iteration:61, time[s]:0.003934
iteration:62, time[s]:0.004470
iteration:63, time[s]:0.004525
iteration:64, time[s]:0.004801
iteration:65, time[s]:0.004501
iteration:66, time[s]:0.004749
iteration:67, time[s]:0.004260
iteration:68, time[s]:0.004223
iteration:69, time[s]:0.004255
iteration:70, time[s]:0.004272
iteration:71, time[s]:0.004399
iteration:72, time[s]:0.004353
iteration:73, time[s]:0.004150
iteration:74, time[s]:0.004627
iteration:75, time[s]:0.004382
iteration:76, time[s]:0.004504
iteration:77, time[s]:0.004615
iteration:78, time[s]:0.004396
iteration:79, time[s]:0.004735
iteration:80, time[s]:0.004570
iteration:81, time[s]:0.004083
iteration:82, time[s]:0.004660
iteration:83, time[s]:0.004558
iteration:84, time[s]:0.004048
iteration:85, time[s]:0.004283
iteration:86, time[s]:0.004316
iteration:87, time[s]:0.004637
iteration:88, time[s]:0.004409
iteration:89, time[s]:0.004326
iteration:90, time[s]:0.004178
iteration:91, time[s]:0.004278
iteration:92, time[s]:0.004453
iteration:93, time[s]:0.004518
iteration:94, time[s]:0.004248
iteration:95, time[s]:0.004079
iteration:96, time[s]:0.004086
iteration:97, time[s]:0.004075
iteration:98, time[s]:0.004382
iteration:99, time[s]:0.004495
iteration:100, time[s]:0.004299
Data size = 2097152, Trials = 100
Avg MPI_all_reduce time [us]= *6432.989020
