alveo1a, bytes:262144, num_elements:65536, num_trials:100
alveo1b, bytes:262144, num_elements:65536, num_trials:100
alveo2a, bytes:262144, num_elements:65536, num_trials:100
iteration:0, time[s]:0.002122
iteration:1, time[s]:0.001510
iteration:2, time[s]:0.001454
iteration:3, time[s]:0.001371
iteration:4, time[s]:0.001564
iteration:5, time[s]:0.001453
iteration:6, time[s]:0.001530
iteration:7, time[s]:0.001254
iteration:8, time[s]:0.001467
iteration:9, time[s]:0.001214
iteration:10, time[s]:0.001484
iteration:11, time[s]:0.001312
iteration:12, time[s]:0.001409
iteration:13, time[s]:0.001380
iteration:14, time[s]:0.001452
iteration:15, time[s]:0.001474
iteration:16, time[s]:0.001272
iteration:17, time[s]:0.001349
iteration:18, time[s]:0.001261
iteration:19, time[s]:0.001295
iteration:20, time[s]:0.001295
iteration:21, time[s]:0.001307
iteration:22, time[s]:0.001246
iteration:23, time[s]:0.001205
iteration:24, time[s]:0.001144
iteration:25, time[s]:0.001193
iteration:26, time[s]:0.001078
iteration:27, time[s]:0.001157
iteration:28, time[s]:0.001087
iteration:29, time[s]:0.001094
iteration:30, time[s]:0.000965
iteration:31, time[s]:0.000967
iteration:32, time[s]:0.001020
iteration:33, time[s]:0.000929
iteration:34, time[s]:0.000824
iteration:35, time[s]:0.000802
iteration:36, time[s]:0.000816
iteration:37, time[s]:0.000797
iteration:38, time[s]:0.000727
iteration:39, time[s]:0.000816
iteration:40, time[s]:0.000791
iteration:41, time[s]:0.000754
iteration:42, time[s]:0.000803
iteration:43, time[s]:0.000786
iteration:44, time[s]:0.000725
iteration:45, time[s]:0.000794
iteration:46, time[s]:0.000768
iteration:47, time[s]:0.000809
iteration:48, time[s]:0.000726
iteration:49, time[s]:0.000735
iteration:50, time[s]:0.000769
iteration:51, time[s]:0.000783
iteration:52, time[s]:0.000743
iteration:53, time[s]:0.000762
iteration:54, time[s]:0.000891
iteration:55, time[s]:0.000884
iteration:56, time[s]:0.000924
iteration:57, time[s]:0.000899
iteration:58, time[s]:0.000884
iteration:59, time[s]:0.000915
iteration:60, time[s]:0.000898
iteration:61, time[s]:0.001002
iteration:62, time[s]:0.001178
iteration:63, time[s]:0.001190
iteration:64, time[s]:0.001133
iteration:65, time[s]:0.001152
iteration:66, time[s]:0.001072
iteration:67, time[s]:0.001124
iteration:68, time[s]:0.001107
iteration:69, time[s]:0.001016
iteration:70, time[s]:0.000838
iteration:71, time[s]:0.000858
iteration:72, time[s]:0.000768
iteration:73, time[s]:0.000836
iteration:74, time[s]:0.000841
iteration:75, time[s]:0.000873
iteration:76, time[s]:0.000903
iteration:77, time[s]:0.000883
iteration:78, time[s]:0.000774
iteration:79, time[s]:0.000888
iteration:80, time[s]:0.000778
iteration:81, time[s]:0.000796
iteration:82, time[s]:0.000847
iteration:83, time[s]:0.000796
iteration:84, time[s]:0.000890
iteration:85, time[s]:0.000848
iteration:86, time[s]:0.000832
iteration:87, time[s]:0.000860
iteration:88, time[s]:0.000932
iteration:89, time[s]:0.000852
iteration:90, time[s]:0.000809
iteration:91, time[s]:0.000808
iteration:92, time[s]:0.000875
iteration:93, time[s]:0.000857
iteration:94, time[s]:0.000871
iteration:95, time[s]:0.000900
iteration:96, time[s]:0.000922
iteration:97, time[s]:0.000825
iteration:98, time[s]:0.000785
iteration:99, time[s]:0.000900
iteration:100, time[s]:0.000843
Data size = 262144, Trials = 100
Avg MPI_all_reduce time [us]= *1002.835040
