alveo1a, bytes:33554432, num_elements:8388608, num_trials:1000
alveo1b, bytes:33554432, num_elements:8388608, num_trials:1000
alveo2b, bytes:33554432, num_elements:8388608, num_trials:1000
alveo2a, bytes:33554432, num_elements:8388608, num_trials:1000
iteration:0, time[s]:0.059426
iteration:1, time[s]:0.057954
iteration:2, time[s]:0.058378
iteration:3, time[s]:0.056316
iteration:4, time[s]:0.058161
iteration:5, time[s]:0.058259
iteration:6, time[s]:0.055850
iteration:7, time[s]:0.057967
iteration:8, time[s]:0.059037
iteration:9, time[s]:0.056757
iteration:10, time[s]:0.057509
iteration:11, time[s]:0.059083
iteration:12, time[s]:0.058592
iteration:13, time[s]:0.055666
iteration:14, time[s]:0.056626
iteration:15, time[s]:0.056739
iteration:16, time[s]:0.054040
iteration:17, time[s]:0.056889
iteration:18, time[s]:0.056001
iteration:19, time[s]:0.058093
iteration:20, time[s]:0.056810
iteration:21, time[s]:0.057040
iteration:22, time[s]:0.057911
iteration:23, time[s]:0.058684
iteration:24, time[s]:0.058352
iteration:25, time[s]:0.058214
iteration:26, time[s]:0.060339
iteration:27, time[s]:0.056487
iteration:28, time[s]:0.054656
iteration:29, time[s]:0.054705
iteration:30, time[s]:0.055499
iteration:31, time[s]:0.055060
iteration:32, time[s]:0.055350
iteration:33, time[s]:0.055521
iteration:34, time[s]:0.055596
iteration:35, time[s]:0.054829
iteration:36, time[s]:0.056140
iteration:37, time[s]:0.057951
iteration:38, time[s]:0.056644
iteration:39, time[s]:0.056682
iteration:40, time[s]:0.057204
iteration:41, time[s]:0.056947
iteration:42, time[s]:0.057127
iteration:43, time[s]:0.056104
iteration:44, time[s]:0.056121
iteration:45, time[s]:0.055692
iteration:46, time[s]:0.056026
iteration:47, time[s]:0.056054
iteration:48, time[s]:0.057502
iteration:49, time[s]:0.057603
iteration:50, time[s]:0.054712
iteration:51, time[s]:0.056809
iteration:52, time[s]:0.055368
iteration:53, time[s]:0.057338
iteration:54, time[s]:0.057625
iteration:55, time[s]:0.055885
iteration:56, time[s]:0.055314
iteration:57, time[s]:0.056925
iteration:58, time[s]:0.054914
iteration:59, time[s]:0.058495
iteration:60, time[s]:0.056354
iteration:61, time[s]:0.056122
iteration:62, time[s]:0.056173
iteration:63, time[s]:0.057834
iteration:64, time[s]:0.056422
iteration:65, time[s]:0.056694
iteration:66, time[s]:0.056045
iteration:67, time[s]:0.056279
iteration:68, time[s]:0.056871
iteration:69, time[s]:0.057413
iteration:70, time[s]:0.057993
iteration:71, time[s]:0.056877
iteration:72, time[s]:0.055463
iteration:73, time[s]:0.056027
iteration:74, time[s]:0.055689
iteration:75, time[s]:0.055767
iteration:76, time[s]:0.057579
iteration:77, time[s]:0.054540
iteration:78, time[s]:0.056046
iteration:79, time[s]:0.057977
iteration:80, time[s]:0.056106
iteration:81, time[s]:0.057993
iteration:82, time[s]:0.056041
iteration:83, time[s]:0.056874
iteration:84, time[s]:0.055332
iteration:85, time[s]:0.056503
iteration:86, time[s]:0.056667
iteration:87, time[s]:0.056132
iteration:88, time[s]:0.057797
iteration:89, time[s]:0.056457
iteration:90, time[s]:0.055746
iteration:91, time[s]:0.055232
iteration:92, time[s]:0.056695
iteration:93, time[s]:0.057277
iteration:94, time[s]:0.056350
iteration:95, time[s]:0.058732
iteration:96, time[s]:0.056056
iteration:97, time[s]:0.058517
iteration:98, time[s]:0.056792
iteration:99, time[s]:0.057710
iteration:100, time[s]:0.056820
iteration:101, time[s]:0.057998
iteration:102, time[s]:0.058425
iteration:103, time[s]:0.057650
iteration:104, time[s]:0.059049
iteration:105, time[s]:0.059065
iteration:106, time[s]:0.059222
iteration:107, time[s]:0.058417
iteration:108, time[s]:0.056423
iteration:109, time[s]:0.055941
iteration:110, time[s]:0.055843
iteration:111, time[s]:0.055153
iteration:112, time[s]:0.056494
iteration:113, time[s]:0.055709
