alveo1a, bytes:33554432, num_elements:8388608, num_trials:100
alveo3b, bytes:33554432, num_elements:8388608, num_trials:100
alveo2a, bytes:33554432, num_elements:8388608, num_trials:100
alveo2b, bytes:33554432, num_elements:8388608, num_trials:100
alveo1b, bytes:33554432, num_elements:8388608, num_trials:100
iteration:0, time[s]:0.077115
iteration:1, time[s]:0.069499
iteration:2, time[s]:0.071051
iteration:3, time[s]:0.073706
iteration:4, time[s]:0.075468
iteration:5, time[s]:0.075841
iteration:6, time[s]:0.073995
iteration:7, time[s]:0.074110
iteration:8, time[s]:0.073939
iteration:9, time[s]:0.074735
iteration:10, time[s]:0.074866
iteration:11, time[s]:0.072630
iteration:12, time[s]:0.075217
iteration:13, time[s]:0.074735
iteration:14, time[s]:0.075870
iteration:15, time[s]:0.074368
iteration:16, time[s]:0.072392
iteration:17, time[s]:0.069917
iteration:18, time[s]:0.073415
iteration:19, time[s]:0.075050
iteration:20, time[s]:0.073362
iteration:21, time[s]:0.085518
iteration:22, time[s]:0.087207
iteration:23, time[s]:0.092053
iteration:24, time[s]:0.088185
iteration:25, time[s]:0.084352
iteration:26, time[s]:0.071845
iteration:27, time[s]:0.067787
iteration:28, time[s]:0.068860
iteration:29, time[s]:0.071256
iteration:30, time[s]:0.077824
iteration:31, time[s]:0.074803
iteration:32, time[s]:0.075097
iteration:33, time[s]:0.074407
iteration:34, time[s]:0.074514
iteration:35, time[s]:0.072827
iteration:36, time[s]:0.070000
iteration:37, time[s]:0.069306
iteration:38, time[s]:0.071381
iteration:39, time[s]:0.070994
iteration:40, time[s]:0.072905
iteration:41, time[s]:0.075266
iteration:42, time[s]:0.071335
iteration:43, time[s]:0.073434
iteration:44, time[s]:0.071070
iteration:45, time[s]:0.072270
iteration:46, time[s]:0.073094
iteration:47, time[s]:0.071132
iteration:48, time[s]:0.071959
iteration:49, time[s]:0.071130
iteration:50, time[s]:0.072559
iteration:51, time[s]:0.070660
iteration:52, time[s]:0.072588
iteration:53, time[s]:0.072141
iteration:54, time[s]:0.071384
iteration:55, time[s]:0.072316
iteration:56, time[s]:0.068504
iteration:57, time[s]:0.067780
iteration:58, time[s]:0.071238
iteration:59, time[s]:0.071616
iteration:60, time[s]:0.075260
iteration:61, time[s]:0.071750
iteration:62, time[s]:0.071764
iteration:63, time[s]:0.070622
iteration:64, time[s]:0.070504
iteration:65, time[s]:0.073116
iteration:66, time[s]:0.069082
iteration:67, time[s]:0.071181
iteration:68, time[s]:0.068867
iteration:69, time[s]:0.072643
iteration:70, time[s]:0.069033
iteration:71, time[s]:0.071535
iteration:72, time[s]:0.071812
iteration:73, time[s]:0.070117
iteration:74, time[s]:0.070328
iteration:75, time[s]:0.071896
iteration:76, time[s]:0.072913
iteration:77, time[s]:0.075555
iteration:78, time[s]:0.072042
iteration:79, time[s]:0.070917
iteration:80, time[s]:0.072147
iteration:81, time[s]:0.071592
iteration:82, time[s]:0.069504
iteration:83, time[s]:0.069516
iteration:84, time[s]:0.067046
iteration:85, time[s]:0.068247
iteration:86, time[s]:0.066296
iteration:87, time[s]:0.071566
iteration:88, time[s]:0.069165
iteration:89, time[s]:0.074877
iteration:90, time[s]:0.074303
iteration:91, time[s]:0.073124
iteration:92, time[s]:0.070586
iteration:93, time[s]:0.072786
iteration:94, time[s]:0.073821
iteration:95, time[s]:0.075212
iteration:96, time[s]:0.071902
iteration:97, time[s]:0.070701
iteration:98, time[s]:0.073912
iteration:99, time[s]:0.073653
iteration:100, time[s]:0.070173
Data size = 33554432, Trials = 100
Avg MPI_all_reduce time [us]= *72878.338820
