alveo1a, bytes:33554432, num_elements:8388608, num_trials:1000
alveo4b, bytes:33554432, num_elements:8388608, num_trials:1000
alveo3b, bytes:33554432, num_elements:8388608, num_trials:1000
alveo4c, bytes:33554432, num_elements:8388608, num_trials:1000
alveo2b, bytes:33554432, num_elements:8388608, num_trials:1000
alveo2a, bytes:33554432, num_elements:8388608, num_trials:1000
alveo1b, bytes:33554432, num_elements:8388608, num_trials:1000
iteration:0, time[s]:0.107806
iteration:1, time[s]:0.114100
iteration:2, time[s]:0.111740
iteration:3, time[s]:0.112090
iteration:4, time[s]:0.107155
iteration:5, time[s]:0.106234
iteration:6, time[s]:0.106669
iteration:7, time[s]:0.106629
iteration:8, time[s]:0.105850
iteration:9, time[s]:0.106121
iteration:10, time[s]:0.105591
iteration:11, time[s]:0.106122
iteration:12, time[s]:0.105937
iteration:13, time[s]:0.105215
iteration:14, time[s]:0.106168
iteration:15, time[s]:0.106862
iteration:16, time[s]:0.105079
iteration:17, time[s]:0.105485
iteration:18, time[s]:0.106165
iteration:19, time[s]:0.106122
iteration:20, time[s]:0.106147
iteration:21, time[s]:0.105773
iteration:22, time[s]:0.106451
iteration:23, time[s]:0.107173
iteration:24, time[s]:0.105809
iteration:25, time[s]:0.105894
iteration:26, time[s]:0.104549
iteration:27, time[s]:0.104796
iteration:28, time[s]:0.105928
iteration:29, time[s]:0.105197
iteration:30, time[s]:0.104472
iteration:31, time[s]:0.106488
iteration:32, time[s]:0.107895
iteration:33, time[s]:0.108717
iteration:34, time[s]:0.109109
iteration:35, time[s]:0.106917
iteration:36, time[s]:0.108487
iteration:37, time[s]:0.108526
iteration:38, time[s]:0.107342
iteration:39, time[s]:0.104364
iteration:40, time[s]:0.104591
iteration:41, time[s]:0.105199
iteration:42, time[s]:0.106040
iteration:43, time[s]:0.106727
iteration:44, time[s]:0.106888
iteration:45, time[s]:0.106816
iteration:46, time[s]:0.107060
iteration:47, time[s]:0.106725
iteration:48, time[s]:0.108143
iteration:49, time[s]:0.107008
iteration:50, time[s]:0.106219
iteration:51, time[s]:0.107234
iteration:52, time[s]:0.109496
iteration:53, time[s]:0.109589
iteration:54, time[s]:0.108719
iteration:55, time[s]:0.109878
iteration:56, time[s]:0.107526
iteration:57, time[s]:0.107254
iteration:58, time[s]:0.105720
iteration:59, time[s]:0.106289
iteration:60, time[s]:0.106199
iteration:61, time[s]:0.106484
iteration:62, time[s]:0.105760
iteration:63, time[s]:0.106092
iteration:64, time[s]:0.105775
iteration:65, time[s]:0.105588
iteration:66, time[s]:0.105129
iteration:67, time[s]:0.105316
iteration:68, time[s]:0.104859
iteration:69, time[s]:0.106155
iteration:70, time[s]:0.106664
iteration:71, time[s]:0.106057
iteration:72, time[s]:0.104911
iteration:73, time[s]:0.106455
iteration:74, time[s]:0.106796
iteration:75, time[s]:0.106359
iteration:76, time[s]:0.105882
iteration:77, time[s]:0.105018
iteration:78, time[s]:0.105468
iteration:79, time[s]:0.106139
iteration:80, time[s]:0.106423
iteration:81, time[s]:0.105787
iteration:82, time[s]:0.107136
iteration:83, time[s]:0.108308
iteration:84, time[s]:0.108394
iteration:85, time[s]:0.107422
iteration:86, time[s]:0.109227
iteration:87, time[s]:0.108716
iteration:88, time[s]:0.106629
iteration:89, time[s]:0.106981
iteration:90, time[s]:0.106416
iteration:91, time[s]:0.105711
iteration:92, time[s]:0.106261
iteration:93, time[s]:0.106097
iteration:94, time[s]:0.106685
iteration:95, time[s]:0.105198
iteration:96, time[s]:0.105998
iteration:97, time[s]:0.105486
iteration:98, time[s]:0.106214
iteration:99, time[s]:0.105463
iteration:100, time[s]:0.106763
iteration:101, time[s]:0.107221
iteration:102, time[s]:0.107303
iteration:103, time[s]:0.107129
iteration:104, time[s]:0.107243
iteration:105, time[s]:0.107434
iteration:106, time[s]:0.106667
iteration:107, time[s]:0.107325
iteration:108, time[s]:0.108515
iteration:109, time[s]:0.107912
iteration:110, time[s]:0.108500
iteration:111, time[s]:0.108839
iteration:112, time[s]:0.107650
iteration:113, time[s]:0.106291
iteration:114, time[s]:0.106161
iteration:115, time[s]:0.106292
iteration:116, time[s]:0.107169
iteration:117, time[s]:0.107677
iteration:118, time[s]:0.107023
iteration:119, time[s]:0.107273
iteration:120, time[s]:0.106686
iteration:121, time[s]:0.106389
iteration:122, time[s]:0.104624
iteration:123, time[s]:0.105565
iteration:124, time[s]:0.105654
iteration:125, time[s]:0.105454
iteration:126, time[s]:0.105490
iteration:127, time[s]:0.105189
iteration:128, time[s]:0.105536
iteration:129, time[s]:0.105567
iteration:130, time[s]:0.106602
iteration:131, time[s]:0.106268
iteration:132, time[s]:0.106385
iteration:133, time[s]:0.107449
iteration:134, time[s]:0.107392
iteration:135, time[s]:0.109019
iteration:136, time[s]:0.108972
iteration:137, time[s]:0.108819
iteration:138, time[s]:0.108361
iteration:139, time[s]:0.107455
iteration:140, time[s]:0.107528
iteration:141, time[s]:0.107632
iteration:142, time[s]:0.107891
iteration:143, time[s]:0.108929
iteration:144, time[s]:0.108922
iteration:145, time[s]:0.107188
iteration:146, time[s]:0.107519
iteration:147, time[s]:0.106088
iteration:148, time[s]:0.107456
iteration:149, time[s]:0.107661
iteration:150, time[s]:0.111620
iteration:151, time[s]:0.108802
iteration:152, time[s]:0.108931
iteration:153, time[s]:0.107186
iteration:154, time[s]:0.105754
iteration:155, time[s]:0.105564
iteration:156, time[s]:0.105485
iteration:157, time[s]:0.106896
iteration:158, time[s]:0.105840
iteration:159, time[s]:0.106076
iteration:160, time[s]:0.105141
iteration:161, time[s]:0.104856
iteration:162, time[s]:0.105613
iteration:163, time[s]:0.106712
iteration:164, time[s]:0.105382
iteration:165, time[s]:0.106586
iteration:166, time[s]:0.106152
iteration:167, time[s]:0.105583
iteration:168, time[s]:0.106807
iteration:169, time[s]:0.105807
iteration:170, time[s]:0.106972
iteration:171, time[s]:0.106339
iteration:172, time[s]:0.105436
iteration:173, time[s]:0.106503
iteration:174, time[s]:0.105425
iteration:175, time[s]:0.105445
iteration:176, time[s]:0.106814
iteration:177, time[s]:0.106115
iteration:178, time[s]:0.106544
iteration:179, time[s]:0.106746
iteration:180, time[s]:0.108387
iteration:181, time[s]:0.109516
iteration:182, time[s]:0.108452
iteration:183, time[s]:0.107971
iteration:184, time[s]:0.108507
iteration:185, time[s]:0.110046
iteration:186, time[s]:0.110204
iteration:187, time[s]:0.107142
iteration:188, time[s]:0.106487
iteration:189, time[s]:0.106283
iteration:190, time[s]:0.110441
iteration:191, time[s]:0.108117
iteration:192, time[s]:0.108552
iteration:193, time[s]:0.107588
iteration:194, time[s]:0.109847
iteration:195, time[s]:0.110327
iteration:196, time[s]:0.108491
iteration:197, time[s]:0.106767
iteration:198, time[s]:0.107482
iteration:199, time[s]:0.106436
iteration:200, time[s]:0.107683
iteration:201, time[s]:0.106925
iteration:202, time[s]:0.105794
iteration:203, time[s]:0.120291
iteration:204, time[s]:0.107811
iteration:205, time[s]:0.107911
iteration:206, time[s]:0.108221
iteration:207, time[s]:0.108402
iteration:208, time[s]:0.107829
iteration:209, time[s]:0.107450
iteration:210, time[s]:0.107224
iteration:211, time[s]:0.107136
iteration:212, time[s]:0.108505
iteration:213, time[s]:0.107482
iteration:214, time[s]:0.105109
iteration:215, time[s]:0.105438
iteration:216, time[s]:0.105583
iteration:217, time[s]:0.106342
iteration:218, time[s]:0.105336
iteration:219, time[s]:0.106729
iteration:220, time[s]:0.108409
iteration:221, time[s]:0.107947
iteration:222, time[s]:0.109492
iteration:223, time[s]:0.107478
iteration:224, time[s]:0.107127
iteration:225, time[s]:0.107073
iteration:226, time[s]:0.107442
iteration:227, time[s]:0.107523
iteration:228, time[s]:0.108714
iteration:229, time[s]:0.109523
iteration:230, time[s]:0.108647
iteration:231, time[s]:0.109519
iteration:232, time[s]:0.108482
iteration:233, time[s]:0.108387
iteration:234, time[s]:0.108244
iteration:235, time[s]:0.107445
iteration:236, time[s]:0.107520
iteration:237, time[s]:0.109971
iteration:238, time[s]:0.109469
iteration:239, time[s]:0.108576
iteration:240, time[s]:0.109051
iteration:241, time[s]:0.109632
iteration:242, time[s]:0.108244
iteration:243, time[s]:0.108458
iteration:244, time[s]:0.111043
iteration:245, time[s]:0.109896
iteration:246, time[s]:0.109051
iteration:247, time[s]:0.109434
iteration:248, time[s]:0.109535
iteration:249, time[s]:0.111189
iteration:250, time[s]:0.110030
iteration:251, time[s]:0.109080
iteration:252, time[s]:0.108416
iteration:253, time[s]:0.107754
iteration:254, time[s]:0.107693
iteration:255, time[s]:0.109032
iteration:256, time[s]:0.107728
iteration:257, time[s]:0.106126
iteration:258, time[s]:0.104743
iteration:259, time[s]:0.104459
iteration:260, time[s]:0.105900
iteration:261, time[s]:0.106643
iteration:262, time[s]:0.106639
iteration:263, time[s]:0.105034
iteration:264, time[s]:0.104716
iteration:265, time[s]:0.105582
iteration:266, time[s]:0.105460
iteration:267, time[s]:0.105298
iteration:268, time[s]:0.105322
iteration:269, time[s]:0.106292
iteration:270, time[s]:0.106415
iteration:271, time[s]:0.106891
iteration:272, time[s]:0.105605
iteration:273, time[s]:0.105128
iteration:274, time[s]:0.106058
iteration:275, time[s]:0.105584
iteration:276, time[s]:0.105434
iteration:277, time[s]:0.106386
