alveo1a, bytes:4194304, num_elements:1048576, num_trials:1000
alveo3b, bytes:4194304, num_elements:1048576, num_trials:1000
alveo1b, bytes:4194304, num_elements:1048576, num_trials:1000
alveo2a, bytes:4194304, num_elements:1048576, num_trials:1000
alveo2b, bytes:4194304, num_elements:1048576, num_trials:1000
iteration:0, time[s]:0.017053
iteration:1, time[s]:0.010449
iteration:2, time[s]:0.008267
iteration:3, time[s]:0.007569
iteration:4, time[s]:0.007406
iteration:5, time[s]:0.007548
iteration:6, time[s]:0.006885
iteration:7, time[s]:0.006956
iteration:8, time[s]:0.006703
iteration:9, time[s]:0.006987
iteration:10, time[s]:0.022076
iteration:11, time[s]:0.006254
iteration:12, time[s]:0.006116
iteration:13, time[s]:0.005724
iteration:14, time[s]:0.007170
iteration:15, time[s]:0.006046
iteration:16, time[s]:0.006100
iteration:17, time[s]:0.006564
iteration:18, time[s]:0.006372
iteration:19, time[s]:0.006776
iteration:20, time[s]:0.006562
iteration:21, time[s]:0.006871
iteration:22, time[s]:0.006811
iteration:23, time[s]:0.006812
iteration:24, time[s]:0.006922
iteration:25, time[s]:0.006823
iteration:26, time[s]:0.006251
iteration:27, time[s]:0.006972
iteration:28, time[s]:0.007094
iteration:29, time[s]:0.006947
iteration:30, time[s]:0.006763
iteration:31, time[s]:0.006934
iteration:32, time[s]:0.007423
iteration:33, time[s]:0.007433
iteration:34, time[s]:0.007352
iteration:35, time[s]:0.007181
iteration:36, time[s]:0.007707
iteration:37, time[s]:0.007281
iteration:38, time[s]:0.007333
iteration:39, time[s]:0.007700
iteration:40, time[s]:0.008189
iteration:41, time[s]:0.008193
iteration:42, time[s]:0.007862
iteration:43, time[s]:0.007277
iteration:44, time[s]:0.008109
iteration:45, time[s]:0.007572
iteration:46, time[s]:0.007467
iteration:47, time[s]:0.007611
iteration:48, time[s]:0.007195
iteration:49, time[s]:0.007637
iteration:50, time[s]:0.007358
iteration:51, time[s]:0.007155
iteration:52, time[s]:0.007253
iteration:53, time[s]:0.007134
iteration:54, time[s]:0.007851
iteration:55, time[s]:0.007360
iteration:56, time[s]:0.007241
iteration:57, time[s]:0.007597
iteration:58, time[s]:0.007380
iteration:59, time[s]:0.007469
iteration:60, time[s]:0.007257
iteration:61, time[s]:0.007505
iteration:62, time[s]:0.007007
iteration:63, time[s]:0.007243
iteration:64, time[s]:0.007236
iteration:65, time[s]:0.007495
iteration:66, time[s]:0.007890
iteration:67, time[s]:0.008166
iteration:68, time[s]:0.007801
iteration:69, time[s]:0.007906
iteration:70, time[s]:0.008037
iteration:71, time[s]:0.007178
iteration:72, time[s]:0.007491
iteration:73, time[s]:0.006706
iteration:74, time[s]:0.006947
iteration:75, time[s]:0.007513
iteration:76, time[s]:0.007622
iteration:77, time[s]:0.007948
iteration:78, time[s]:0.007342
iteration:79, time[s]:0.007294
iteration:80, time[s]:0.007148
iteration:81, time[s]:0.007182
iteration:82, time[s]:0.007238
iteration:83, time[s]:0.006492
iteration:84, time[s]:0.006967
iteration:85, time[s]:0.006797
iteration:86, time[s]:0.007412
iteration:87, time[s]:0.007267
iteration:88, time[s]:0.007043
iteration:89, time[s]:0.007146
iteration:90, time[s]:0.007049
iteration:91, time[s]:0.006926
iteration:92, time[s]:0.006880
iteration:93, time[s]:0.006995
iteration:94, time[s]:0.006872
iteration:95, time[s]:0.006659
iteration:96, time[s]:0.007108
iteration:97, time[s]:0.006999
