alveo1a, bytes:4194304, num_elements:1048576, num_trials:1000
alveo4c, bytes:4194304, num_elements:1048576, num_trials:1000
alveo3b, bytes:4194304, num_elements:1048576, num_trials:1000
alveo4b, bytes:4194304, num_elements:1048576, num_trials:1000
alveo2a, bytes:4194304, num_elements:1048576, num_trials:1000
alveo2b, bytes:4194304, num_elements:1048576, num_trials:1000
alveo1b, bytes:4194304, num_elements:1048576, num_trials:1000
iteration:0, time[s]:0.018021
iteration:1, time[s]:0.012797
iteration:2, time[s]:0.008045
iteration:3, time[s]:0.007880
iteration:4, time[s]:0.008436
iteration:5, time[s]:0.007709
iteration:6, time[s]:0.007993
iteration:7, time[s]:0.007941
iteration:8, time[s]:0.007529
iteration:9, time[s]:0.007146
iteration:10, time[s]:0.007483
iteration:11, time[s]:0.007283
iteration:12, time[s]:0.007193
iteration:13, time[s]:0.007039
iteration:14, time[s]:0.007377
iteration:15, time[s]:0.007073
iteration:16, time[s]:0.007177
iteration:17, time[s]:0.007138
iteration:18, time[s]:0.007220
iteration:19, time[s]:0.007463
iteration:20, time[s]:0.007081
iteration:21, time[s]:0.007625
iteration:22, time[s]:0.007067
iteration:23, time[s]:0.007500
iteration:24, time[s]:0.007452
iteration:25, time[s]:0.007223
iteration:26, time[s]:0.007460
iteration:27, time[s]:0.007236
iteration:28, time[s]:0.007018
iteration:29, time[s]:0.007807
iteration:30, time[s]:0.007298
iteration:31, time[s]:0.007203
iteration:32, time[s]:0.008485
iteration:33, time[s]:0.008041
iteration:34, time[s]:0.007426
iteration:35, time[s]:0.007339
iteration:36, time[s]:0.007581
iteration:37, time[s]:0.007892
iteration:38, time[s]:0.008350
iteration:39, time[s]:0.008545
iteration:40, time[s]:0.007879
iteration:41, time[s]:0.007781
iteration:42, time[s]:0.021896
iteration:43, time[s]:0.008015
iteration:44, time[s]:0.007610
iteration:45, time[s]:0.008101
iteration:46, time[s]:0.008351
iteration:47, time[s]:0.008049
iteration:48, time[s]:0.008183
iteration:49, time[s]:0.008327
iteration:50, time[s]:0.007494
iteration:51, time[s]:0.008600
iteration:52, time[s]:0.008330
iteration:53, time[s]:0.008174
iteration:54, time[s]:0.008117
iteration:55, time[s]:0.008273
iteration:56, time[s]:0.008632
iteration:57, time[s]:0.008485
iteration:58, time[s]:0.008548
iteration:59, time[s]:0.008285
iteration:60, time[s]:0.008862
iteration:61, time[s]:0.008839
iteration:62, time[s]:0.008871
iteration:63, time[s]:0.008549
iteration:64, time[s]:0.008530
iteration:65, time[s]:0.008847
iteration:66, time[s]:0.008498
iteration:67, time[s]:0.008272
iteration:68, time[s]:0.008575
iteration:69, time[s]:0.008745
iteration:70, time[s]:0.008978
iteration:71, time[s]:0.008924
iteration:72, time[s]:0.007981
iteration:73, time[s]:0.008049
iteration:74, time[s]:0.021149
iteration:75, time[s]:0.008403
iteration:76, time[s]:0.009062
iteration:77, time[s]:0.008330
iteration:78, time[s]:0.008818
iteration:79, time[s]:0.008778
iteration:80, time[s]:0.007745
iteration:81, time[s]:0.009145
iteration:82, time[s]:0.008617
iteration:83, time[s]:0.007553
iteration:84, time[s]:0.008184
iteration:85, time[s]:0.008092
iteration:86, time[s]:0.007215
iteration:87, time[s]:0.007625
iteration:88, time[s]:0.007276
iteration:89, time[s]:0.007672
iteration:90, time[s]:0.008122
iteration:91, time[s]:0.007533
iteration:92, time[s]:0.007679
iteration:93, time[s]:0.007403
iteration:94, time[s]:0.008307
iteration:95, time[s]:0.007877
iteration:96, time[s]:0.007966
iteration:97, time[s]:0.007756
iteration:98, time[s]:0.008414
iteration:99, time[s]:0.009173
iteration:100, time[s]:0.007844
iteration:101, time[s]:0.007598
iteration:102, time[s]:0.007126
iteration:103, time[s]:0.007006
iteration:104, time[s]:0.007972
iteration:105, time[s]:0.008002
iteration:106, time[s]:0.007744
iteration:107, time[s]:0.007578
iteration:108, time[s]:0.007803
iteration:109, time[s]:0.009212
iteration:110, time[s]:0.008413
iteration:111, time[s]:0.007879
iteration:112, time[s]:0.008284
iteration:113, time[s]:0.007969
iteration:114, time[s]:0.007889
iteration:115, time[s]:0.007415
iteration:116, time[s]:0.007856
iteration:117, time[s]:0.007443
iteration:118, time[s]:0.007224
iteration:119, time[s]:0.007728
iteration:120, time[s]:0.008030
iteration:121, time[s]:0.008221
iteration:122, time[s]:0.007453
iteration:123, time[s]:0.007863
iteration:124, time[s]:0.008188
iteration:125, time[s]:0.007985
iteration:126, time[s]:0.007946
iteration:127, time[s]:0.007882
iteration:128, time[s]:0.007675
iteration:129, time[s]:0.007651
iteration:130, time[s]:0.008134
iteration:131, time[s]:0.007938
iteration:132, time[s]:0.007437
iteration:133, time[s]:0.007829
iteration:134, time[s]:0.007736
iteration:135, time[s]:0.007683
iteration:136, time[s]:0.007706
iteration:137, time[s]:0.007251
iteration:138, time[s]:0.007559
iteration:139, time[s]:0.007646
iteration:140, time[s]:0.007939
iteration:141, time[s]:0.007985
iteration:142, time[s]:0.007397
iteration:143, time[s]:0.007671
iteration:144, time[s]:0.007825
iteration:145, time[s]:0.008404
iteration:146, time[s]:0.008045
iteration:147, time[s]:0.007845
iteration:148, time[s]:0.007602
iteration:149, time[s]:0.007884
iteration:150, time[s]:0.007891
iteration:151, time[s]:0.007490
iteration:152, time[s]:0.007175
iteration:153, time[s]:0.007454
iteration:154, time[s]:0.007493
iteration:155, time[s]:0.007607
iteration:156, time[s]:0.007595
iteration:157, time[s]:0.007638
iteration:158, time[s]:0.007668
iteration:159, time[s]:0.008187
iteration:160, time[s]:0.008470
iteration:161, time[s]:0.007924
iteration:162, time[s]:0.007847
iteration:163, time[s]:0.007444
iteration:164, time[s]:0.007741
iteration:165, time[s]:0.007153
iteration:166, time[s]:0.007732
iteration:167, time[s]:0.007687
iteration:168, time[s]:0.008144
iteration:169, time[s]:0.007692
iteration:170, time[s]:0.007219
iteration:171, time[s]:0.007900
iteration:172, time[s]:0.007533
iteration:173, time[s]:0.007725
iteration:174, time[s]:0.007671
iteration:175, time[s]:0.008028
iteration:176, time[s]:0.007840
iteration:177, time[s]:0.007798
iteration:178, time[s]:0.007819
iteration:179, time[s]:0.007726
iteration:180, time[s]:0.007864
iteration:181, time[s]:0.007732
iteration:182, time[s]:0.008022
iteration:183, time[s]:0.007687
iteration:184, time[s]:0.008086
iteration:185, time[s]:0.008050
iteration:186, time[s]:0.008356
