alveo1a, bytes:524288, num_elements:131072, num_trials:100
alveo2a, bytes:524288, num_elements:131072, num_trials:100
alveo1b, bytes:524288, num_elements:131072, num_trials:100
alveo2b, bytes:524288, num_elements:131072, num_trials:100
iteration:0, time[s]:0.002718
iteration:1, time[s]:0.001809
iteration:2, time[s]:0.001794
iteration:3, time[s]:0.001635
iteration:4, time[s]:0.001478
iteration:5, time[s]:0.001557
iteration:6, time[s]:0.001332
iteration:7, time[s]:0.001339
iteration:8, time[s]:0.001314
iteration:9, time[s]:0.001164
iteration:10, time[s]:0.001408
iteration:11, time[s]:0.001368
iteration:12, time[s]:0.001404
iteration:13, time[s]:0.001219
iteration:14, time[s]:0.001282
iteration:15, time[s]:0.001236
iteration:16, time[s]:0.001425
iteration:17, time[s]:0.001150
iteration:18, time[s]:0.001303
iteration:19, time[s]:0.001363
iteration:20, time[s]:0.001350
iteration:21, time[s]:0.001392
iteration:22, time[s]:0.001328
iteration:23, time[s]:0.001202
iteration:24, time[s]:0.001241
iteration:25, time[s]:0.001144
iteration:26, time[s]:0.001152
iteration:27, time[s]:0.001095
iteration:28, time[s]:0.001178
iteration:29, time[s]:0.001122
iteration:30, time[s]:0.001151
iteration:31, time[s]:0.001093
iteration:32, time[s]:0.001154
iteration:33, time[s]:0.001260
iteration:34, time[s]:0.001193
iteration:35, time[s]:0.001293
iteration:36, time[s]:0.001468
iteration:37, time[s]:0.001521
iteration:38, time[s]:0.001593
iteration:39, time[s]:0.001628
iteration:40, time[s]:0.001342
iteration:41, time[s]:0.001120
iteration:42, time[s]:0.001165
iteration:43, time[s]:0.000952
iteration:44, time[s]:0.001099
iteration:45, time[s]:0.001108
iteration:46, time[s]:0.001102
iteration:47, time[s]:0.001098
iteration:48, time[s]:0.001101
iteration:49, time[s]:0.001036
iteration:50, time[s]:0.001017
iteration:51, time[s]:0.000933
iteration:52, time[s]:0.001074
iteration:53, time[s]:0.000955
iteration:54, time[s]:0.000936
iteration:55, time[s]:0.000873
iteration:56, time[s]:0.000978
iteration:57, time[s]:0.000938
iteration:58, time[s]:0.000917
iteration:59, time[s]:0.001113
iteration:60, time[s]:0.001228
iteration:61, time[s]:0.001087
iteration:62, time[s]:0.001163
iteration:63, time[s]:0.001126
iteration:64, time[s]:0.001151
iteration:65, time[s]:0.001068
iteration:66, time[s]:0.001198
iteration:67, time[s]:0.001026
iteration:68, time[s]:0.001059
iteration:69, time[s]:0.001007
iteration:70, time[s]:0.001135
iteration:71, time[s]:0.000905
iteration:72, time[s]:0.001025
iteration:73, time[s]:0.000973
iteration:74, time[s]:0.000913
iteration:75, time[s]:0.001026
iteration:76, time[s]:0.000958
iteration:77, time[s]:0.000945
iteration:78, time[s]:0.000886
iteration:79, time[s]:0.000816
iteration:80, time[s]:0.000824
iteration:81, time[s]:0.000962
iteration:82, time[s]:0.000857
iteration:83, time[s]:0.000891
iteration:84, time[s]:0.000989
iteration:85, time[s]:0.001010
iteration:86, time[s]:0.000936
iteration:87, time[s]:0.001250
iteration:88, time[s]:0.001049
iteration:89, time[s]:0.001184
iteration:90, time[s]:0.001058
iteration:91, time[s]:0.001207
iteration:92, time[s]:0.001171
iteration:93, time[s]:0.000962
iteration:94, time[s]:0.001179
iteration:95, time[s]:0.001155
iteration:96, time[s]:0.001064
iteration:97, time[s]:0.001039
iteration:98, time[s]:0.001017
iteration:99, time[s]:0.000960
iteration:100, time[s]:0.000972
Data size = 524288, Trials = 100
Avg MPI_all_reduce time [us]= *1154.287700
