alveo1a, bytes:8388608, num_elements:2097152, num_trials:1000
alveo3b, bytes:8388608, num_elements:2097152, num_trials:1000
alveo1b, bytes:8388608, num_elements:2097152, num_trials:1000
alveo2b, bytes:8388608, num_elements:2097152, num_trials:1000
alveo2a, bytes:8388608, num_elements:2097152, num_trials:1000
iteration:0, time[s]:0.031722
iteration:1, time[s]:0.022110
iteration:2, time[s]:0.017430
iteration:3, time[s]:0.018730
iteration:4, time[s]:0.017391
iteration:5, time[s]:0.018348
iteration:6, time[s]:0.018094
iteration:7, time[s]:0.017501
iteration:8, time[s]:0.018091
iteration:9, time[s]:0.035744
iteration:10, time[s]:0.020079
iteration:11, time[s]:0.016003
iteration:12, time[s]:0.014429
iteration:13, time[s]:0.015413
iteration:14, time[s]:0.015022
iteration:15, time[s]:0.015007
iteration:16, time[s]:0.014526
iteration:17, time[s]:0.016050
iteration:18, time[s]:0.015615
iteration:19, time[s]:0.015104
iteration:20, time[s]:0.015684
iteration:21, time[s]:0.016084
iteration:22, time[s]:0.015753
iteration:23, time[s]:0.016829
iteration:24, time[s]:0.016846
iteration:25, time[s]:0.016095
iteration:26, time[s]:0.015030
iteration:27, time[s]:0.016919
iteration:28, time[s]:0.015804
iteration:29, time[s]:0.016332
iteration:30, time[s]:0.016365
iteration:31, time[s]:0.015193
iteration:32, time[s]:0.017378
iteration:33, time[s]:0.016258
iteration:34, time[s]:0.016961
iteration:35, time[s]:0.015530
iteration:36, time[s]:0.015483
iteration:37, time[s]:0.014525
iteration:38, time[s]:0.015582
iteration:39, time[s]:0.015739
iteration:40, time[s]:0.015207
iteration:41, time[s]:0.015682
iteration:42, time[s]:0.015632
iteration:43, time[s]:0.015433
iteration:44, time[s]:0.015413
iteration:45, time[s]:0.016475
iteration:46, time[s]:0.015724
iteration:47, time[s]:0.017072
iteration:48, time[s]:0.017154
iteration:49, time[s]:0.016638
iteration:50, time[s]:0.016953
iteration:51, time[s]:0.016736
iteration:52, time[s]:0.016815
iteration:53, time[s]:0.016522
iteration:54, time[s]:0.016153
iteration:55, time[s]:0.017122
iteration:56, time[s]:0.017038
iteration:57, time[s]:0.016425
iteration:58, time[s]:0.016881
iteration:59, time[s]:0.015844
iteration:60, time[s]:0.016376
iteration:61, time[s]:0.016516
iteration:62, time[s]:0.016953
iteration:63, time[s]:0.015841
iteration:64, time[s]:0.015372
iteration:65, time[s]:0.016514
iteration:66, time[s]:0.016668
iteration:67, time[s]:0.016013
iteration:68, time[s]:0.015343
iteration:69, time[s]:0.015181
iteration:70, time[s]:0.015119
iteration:71, time[s]:0.016135
iteration:72, time[s]:0.017340
iteration:73, time[s]:0.016456
iteration:74, time[s]:0.015579
iteration:75, time[s]:0.016202
iteration:76, time[s]:0.016140
iteration:77, time[s]:0.016194
iteration:78, time[s]:0.016192
iteration:79, time[s]:0.015356
iteration:80, time[s]:0.016443
iteration:81, time[s]:0.015752
iteration:82, time[s]:0.016352
iteration:83, time[s]:0.015734
iteration:84, time[s]:0.014903
iteration:85, time[s]:0.014464
iteration:86, time[s]:0.015323
iteration:87, time[s]:0.016214
iteration:88, time[s]:0.015391
iteration:89, time[s]:0.016118
iteration:90, time[s]:0.016129
iteration:91, time[s]:0.015493
iteration:92, time[s]:0.016452
iteration:93, time[s]:0.015969
iteration:94, time[s]:0.018439
iteration:95, time[s]:0.018206
iteration:96, time[s]:0.019509
iteration:97, time[s]:0.017812
iteration:98, time[s]:0.017040
iteration:99, time[s]:0.018745
iteration:100, time[s]:0.018589
iteration:101, time[s]:0.016901
iteration:102, time[s]:0.018604
iteration:103, time[s]:0.018473
iteration:104, time[s]:0.017928
iteration:105, time[s]:0.017978
iteration:106, time[s]:0.017713
iteration:107, time[s]:0.017027
iteration:108, time[s]:0.017270
iteration:109, time[s]:0.017245
iteration:110, time[s]:0.018857
iteration:111, time[s]:0.017150
iteration:112, time[s]:0.016895
iteration:113, time[s]:0.017239
iteration:114, time[s]:0.016347
iteration:115, time[s]:0.017080
iteration:116, time[s]:0.016840
iteration:117, time[s]:0.017628
iteration:118, time[s]:0.016489
iteration:119, time[s]:0.017681
iteration:120, time[s]:0.017670
iteration:121, time[s]:0.017718
iteration:122, time[s]:0.017506
iteration:123, time[s]:0.017999
iteration:124, time[s]:0.016452
iteration:125, time[s]:0.016219
iteration:126, time[s]:0.016384
iteration:127, time[s]:0.015598
iteration:128, time[s]:0.016317
iteration:129, time[s]:0.016876
iteration:130, time[s]:0.016843
iteration:131, time[s]:0.016814
iteration:132, time[s]:0.015879
iteration:133, time[s]:0.015755
iteration:134, time[s]:0.015587
iteration:135, time[s]:0.016023
iteration:136, time[s]:0.017001
iteration:137, time[s]:0.016671
iteration:138, time[s]:0.017236
iteration:139, time[s]:0.016437
iteration:140, time[s]:0.015468
iteration:141, time[s]:0.015431
iteration:142, time[s]:0.016256
iteration:143, time[s]:0.016506
iteration:144, time[s]:0.015853
iteration:145, time[s]:0.017305
iteration:146, time[s]:0.018109
iteration:147, time[s]:0.016444
iteration:148, time[s]:0.016749
iteration:149, time[s]:0.015952
iteration:150, time[s]:0.016085
iteration:151, time[s]:0.016590
iteration:152, time[s]:0.017027
iteration:153, time[s]:0.016631
iteration:154, time[s]:0.017262
iteration:155, time[s]:0.017961
iteration:156, time[s]:0.017336
iteration:157, time[s]:0.017100
iteration:158, time[s]:0.016979
iteration:159, time[s]:0.016794
iteration:160, time[s]:0.016332
iteration:161, time[s]:0.016172
iteration:162, time[s]:0.016094
iteration:163, time[s]:0.015769
iteration:164, time[s]:0.016765
iteration:165, time[s]:0.016501
iteration:166, time[s]:0.017157
iteration:167, time[s]:0.017005
iteration:168, time[s]:0.016429
iteration:169, time[s]:0.015577
iteration:170, time[s]:0.016460
iteration:171, time[s]:0.017167
iteration:172, time[s]:0.018611
iteration:173, time[s]:0.017366
iteration:174, time[s]:0.017409
iteration:175, time[s]:0.016852
iteration:176, time[s]:0.017313
iteration:177, time[s]:0.017957
iteration:178, time[s]:0.025571
iteration:179, time[s]:0.018320
iteration:180, time[s]:0.017392
iteration:181, time[s]:0.016918
iteration:182, time[s]:0.017278
iteration:183, time[s]:0.017432
iteration:184, time[s]:0.219660
iteration:185, time[s]:0.016821
iteration:186, time[s]:0.018119
iteration:187, time[s]:0.018290
iteration:188, time[s]:0.017676
iteration:189, time[s]:0.017709
iteration:190, time[s]:0.016915
iteration:191, time[s]:0.016754
iteration:192, time[s]:0.016621
iteration:193, time[s]:0.016491
iteration:194, time[s]:0.016477
iteration:195, time[s]:0.016964
iteration:196, time[s]:0.017131
iteration:197, time[s]:0.016796
iteration:198, time[s]:0.017088
iteration:199, time[s]:0.029651
iteration:200, time[s]:0.018319
iteration:201, time[s]:0.016753
iteration:202, time[s]:0.016911
iteration:203, time[s]:0.016336
iteration:204, time[s]:0.016717
iteration:205, time[s]:0.016178
iteration:206, time[s]:0.015838
iteration:207, time[s]:0.016193
iteration:208, time[s]:0.016213
iteration:209, time[s]:0.016106
iteration:210, time[s]:0.017343
iteration:211, time[s]:0.015853
iteration:212, time[s]:0.018017
iteration:213, time[s]:0.017105
iteration:214, time[s]:0.015910
iteration:215, time[s]:0.016013
iteration:216, time[s]:0.016488
