alveo4b, bytes:131072, num_elements:32768, num_trials:1000
alveo3b, bytes:131072, num_elements:32768, num_trials:1000
alveo2b, bytes:131072, num_elements:32768, num_trials:1000
alveo2a, bytes:131072, num_elements:32768, num_trials:1000
alveo1b, bytes:131072, num_elements:32768, num_trials:1000
alveo1a, bytes:131072, num_elements:32768, num_trials:1000
iteration:0, time[s]:0.001369
iteration:1, time[s]:0.000856
iteration:2, time[s]:0.000953
iteration:3, time[s]:0.000837
iteration:4, time[s]:0.000790
iteration:5, time[s]:0.000860
iteration:6, time[s]:0.000823
iteration:7, time[s]:0.000724
iteration:8, time[s]:0.000752
iteration:9, time[s]:0.000778
iteration:10, time[s]:0.000767
iteration:11, time[s]:0.000743
iteration:12, time[s]:0.000754
iteration:13, time[s]:0.000760
iteration:14, time[s]:0.000792
iteration:15, time[s]:0.000814
iteration:16, time[s]:0.000900
iteration:17, time[s]:0.000865
iteration:18, time[s]:0.000899
iteration:19, time[s]:0.000875
iteration:20, time[s]:0.000969
iteration:21, time[s]:0.000850
iteration:22, time[s]:0.000767
iteration:23, time[s]:0.001040
iteration:24, time[s]:0.001316
iteration:25, time[s]:0.001101
iteration:26, time[s]:0.001090
iteration:27, time[s]:0.000956
iteration:28, time[s]:0.001058
iteration:29, time[s]:0.000901
iteration:30, time[s]:0.000681
iteration:31, time[s]:0.000646
iteration:32, time[s]:0.000695
iteration:33, time[s]:0.000742
iteration:34, time[s]:0.000708
iteration:35, time[s]:0.000683
iteration:36, time[s]:0.000694
iteration:37, time[s]:0.000798
iteration:38, time[s]:0.000608
iteration:39, time[s]:0.000789
iteration:40, time[s]:0.000523
iteration:41, time[s]:0.000532
iteration:42, time[s]:0.000580
iteration:43, time[s]:0.000557
iteration:44, time[s]:0.000608
iteration:45, time[s]:0.000641
iteration:46, time[s]:0.000667
iteration:47, time[s]:0.000664
iteration:48, time[s]:0.000576
iteration:49, time[s]:0.000722
iteration:50, time[s]:0.000742
iteration:51, time[s]:0.000670
iteration:52, time[s]:0.000579
iteration:53, time[s]:0.000548
iteration:54, time[s]:0.000510
iteration:55, time[s]:0.000599
iteration:56, time[s]:0.000533
iteration:57, time[s]:0.000535
iteration:58, time[s]:0.000526
iteration:59, time[s]:0.000523
iteration:60, time[s]:0.000500
iteration:61, time[s]:0.000518
iteration:62, time[s]:0.000511
iteration:63, time[s]:0.000493
iteration:64, time[s]:0.000495
iteration:65, time[s]:0.000501
iteration:66, time[s]:0.000514
iteration:67, time[s]:0.000512
iteration:68, time[s]:0.000540
iteration:69, time[s]:0.000495
iteration:70, time[s]:0.000543
iteration:71, time[s]:0.000477
iteration:72, time[s]:0.000590
iteration:73, time[s]:0.000634
iteration:74, time[s]:0.000546
iteration:75, time[s]:0.000555
iteration:76, time[s]:0.000547
iteration:77, time[s]:0.000600
iteration:78, time[s]:0.000626
iteration:79, time[s]:0.000738
iteration:80, time[s]:0.000698
iteration:81, time[s]:0.000757
iteration:82, time[s]:0.000708
iteration:83, time[s]:0.000852
iteration:84, time[s]:0.000660
iteration:85, time[s]:0.000718
iteration:86, time[s]:0.000681
iteration:87, time[s]:0.000706
iteration:88, time[s]:0.000631
iteration:89, time[s]:0.000526
iteration:90, time[s]:0.000533
iteration:91, time[s]:0.000716
iteration:92, time[s]:0.000639
iteration:93, time[s]:0.000649
iteration:94, time[s]:0.000615
iteration:95, time[s]:0.000645
iteration:96, time[s]:0.000677
iteration:97, time[s]:0.000673
iteration:98, time[s]:0.000724
iteration:99, time[s]:0.000847
iteration:100, time[s]:0.000764
iteration:101, time[s]:0.000921
iteration:102, time[s]:0.000718
iteration:103, time[s]:0.000766
iteration:104, time[s]:0.000848
iteration:105, time[s]:0.000705
iteration:106, time[s]:0.000633
iteration:107, time[s]:0.000556
iteration:108, time[s]:0.000572
iteration:109, time[s]:0.000671
iteration:110, time[s]:0.000787
iteration:111, time[s]:0.000711
iteration:112, time[s]:0.000629
iteration:113, time[s]:0.000693
iteration:114, time[s]:0.000699
iteration:115, time[s]:0.000839
iteration:116, time[s]:0.000860
iteration:117, time[s]:0.000751
iteration:118, time[s]:0.000831
iteration:119, time[s]:0.000875
iteration:120, time[s]:0.000758
iteration:121, time[s]:0.000834
iteration:122, time[s]:0.000752
iteration:123, time[s]:0.000726
iteration:124, time[s]:0.000619
iteration:125, time[s]:0.000641
iteration:126, time[s]:0.000586
iteration:127, time[s]:0.000543
iteration:128, time[s]:0.000611
iteration:129, time[s]:0.000653
iteration:130, time[s]:0.000791
iteration:131, time[s]:0.000809
iteration:132, time[s]:0.000751
iteration:133, time[s]:0.000805
iteration:134, time[s]:0.000634
iteration:135, time[s]:0.000729
iteration:136, time[s]:0.000739
iteration:137, time[s]:0.000816
iteration:138, time[s]:0.000764
iteration:139, time[s]:0.000562
iteration:140, time[s]:0.000561
iteration:141, time[s]:0.000569
iteration:142, time[s]:0.000505
iteration:143, time[s]:0.000533
iteration:144, time[s]:0.000585
iteration:145, time[s]:0.000629
iteration:146, time[s]:0.000589
iteration:147, time[s]:0.000531
iteration:148, time[s]:0.000645
iteration:149, time[s]:0.000580
iteration:150, time[s]:0.000597
iteration:151, time[s]:0.000557
iteration:152, time[s]:0.000578
iteration:153, time[s]:0.000535
iteration:154, time[s]:0.000571
iteration:155, time[s]:0.000854
iteration:156, time[s]:0.000710
iteration:157, time[s]:0.000785
iteration:158, time[s]:0.000677
iteration:159, time[s]:0.000670
iteration:160, time[s]:0.000717
iteration:161, time[s]:0.000629
iteration:162, time[s]:0.000594
iteration:163, time[s]:0.000841
iteration:164, time[s]:0.000681
iteration:165, time[s]:0.000898
iteration:166, time[s]:0.000883
iteration:167, time[s]:0.000728
iteration:168, time[s]:0.000879
iteration:169, time[s]:0.000684
iteration:170, time[s]:0.000736
iteration:171, time[s]:0.000741
iteration:172, time[s]:0.000829
iteration:173, time[s]:0.000629
iteration:174, time[s]:0.000810
iteration:175, time[s]:0.000644
iteration:176, time[s]:0.000756
iteration:177, time[s]:0.000777
iteration:178, time[s]:0.000746
iteration:179, time[s]:0.000716
iteration:180, time[s]:0.000556
iteration:181, time[s]:0.000857
iteration:182, time[s]:0.000858
iteration:183, time[s]:0.000968
iteration:184, time[s]:0.000730
iteration:185, time[s]:0.000808
iteration:186, time[s]:0.000754
iteration:187, time[s]:0.000739
iteration:188, time[s]:0.000812
iteration:189, time[s]:0.001003
iteration:190, time[s]:0.000895
iteration:191, time[s]:0.000835
iteration:192, time[s]:0.000768
iteration:193, time[s]:0.000766
iteration:194, time[s]:0.000769
iteration:195, time[s]:0.000713
iteration:196, time[s]:0.000700
iteration:197, time[s]:0.000762
iteration:198, time[s]:0.000712
iteration:199, time[s]:0.000840
iteration:200, time[s]:0.000761
iteration:201, time[s]:0.000829
iteration:202, time[s]:0.000849
iteration:203, time[s]:0.000804
iteration:204, time[s]:0.000968
iteration:205, time[s]:0.000916
iteration:206, time[s]:0.000986
iteration:207, time[s]:0.000854
iteration:208, time[s]:0.000801
iteration:209, time[s]:0.000847
iteration:210, time[s]:0.000698
iteration:211, time[s]:0.000941
iteration:212, time[s]:0.000939
iteration:213, time[s]:0.000867
iteration:214, time[s]:0.000994
iteration:215, time[s]:0.001073
iteration:216, time[s]:0.000849
iteration:217, time[s]:0.000990
iteration:218, time[s]:0.000874
iteration:219, time[s]:0.000851
iteration:220, time[s]:0.001069
iteration:221, time[s]:0.000831
iteration:222, time[s]:0.000882
iteration:223, time[s]:0.000937
iteration:224, time[s]:0.000833
iteration:225, time[s]:0.000879
iteration:226, time[s]:0.000831
iteration:227, time[s]:0.000760
iteration:228, time[s]:0.000951
iteration:229, time[s]:0.000892
iteration:230, time[s]:0.001038
iteration:231, time[s]:0.000883
iteration:232, time[s]:0.001093
iteration:233, time[s]:0.000901
iteration:234, time[s]:0.000762
iteration:235, time[s]:0.000945
iteration:236, time[s]:0.000816
iteration:237, time[s]:0.000974
iteration:238, time[s]:0.000938
iteration:239, time[s]:0.001103
iteration:240, time[s]:0.000965
iteration:241, time[s]:0.001108
iteration:242, time[s]:0.001132
iteration:243, time[s]:0.001003
iteration:244, time[s]:0.000960
iteration:245, time[s]:0.000923
iteration:246, time[s]:0.000900
iteration:247, time[s]:0.001004
iteration:248, time[s]:0.000953
iteration:249, time[s]:0.000904
iteration:250, time[s]:0.000956
iteration:251, time[s]:0.000940
iteration:252, time[s]:0.000909
iteration:253, time[s]:0.000957
iteration:254, time[s]:0.000928
iteration:255, time[s]:0.000961
iteration:256, time[s]:0.001017
iteration:257, time[s]:0.001270
iteration:258, time[s]:0.001206
iteration:259, time[s]:0.000928
iteration:260, time[s]:0.001037
iteration:261, time[s]:0.000987
iteration:262, time[s]:0.000955
iteration:263, time[s]:0.000863
iteration:264, time[s]:0.000990
iteration:265, time[s]:0.001067
iteration:266, time[s]:0.000953
iteration:267, time[s]:0.000961
iteration:268, time[s]:0.001026
iteration:269, time[s]:0.001008
iteration:270, time[s]:0.000956
iteration:271, time[s]:0.001057
iteration:272, time[s]:0.001131
iteration:273, time[s]:0.001041
iteration:274, time[s]:0.001049
iteration:275, time[s]:0.000865
iteration:276, time[s]:0.000909
iteration:277, time[s]:0.001013
iteration:278, time[s]:0.001015
iteration:279, time[s]:0.000957
iteration:280, time[s]:0.001084
iteration:281, time[s]:0.000984
iteration:282, time[s]:0.001048
iteration:283, time[s]:0.001157
iteration:284, time[s]:0.001071
iteration:285, time[s]:0.000979
iteration:286, time[s]:0.001041
iteration:287, time[s]:0.000905
iteration:288, time[s]:0.000846
iteration:289, time[s]:0.000889
iteration:290, time[s]:0.000839
iteration:291, time[s]:0.001034
iteration:292, time[s]:0.000925
iteration:293, time[s]:0.000968
iteration:294, time[s]:0.000854
iteration:295, time[s]:0.000924
iteration:296, time[s]:0.001046
iteration:297, time[s]:0.000980
iteration:298, time[s]:0.000877
iteration:299, time[s]:0.000832
iteration:300, time[s]:0.000900
iteration:301, time[s]:0.000971
iteration:302, time[s]:0.001237
iteration:303, time[s]:0.001157
iteration:304, time[s]:0.000953
iteration:305, time[s]:0.000814
iteration:306, time[s]:0.000874
iteration:307, time[s]:0.000885
iteration:308, time[s]:0.001033
iteration:309, time[s]:0.000992
iteration:310, time[s]:0.000808
iteration:311, time[s]:0.000855
iteration:312, time[s]:0.000909
iteration:313, time[s]:0.000825
iteration:314, time[s]:0.000768
iteration:315, time[s]:0.000874
iteration:316, time[s]:0.000934
iteration:317, time[s]:0.000815
iteration:318, time[s]:0.000926
iteration:319, time[s]:0.000912
iteration:320, time[s]:0.000861
iteration:321, time[s]:0.000998
iteration:322, time[s]:0.001058
iteration:323, time[s]:0.000841
iteration:324, time[s]:0.000985
iteration:325, time[s]:0.000812
iteration:326, time[s]:0.000785
iteration:327, time[s]:0.000844
iteration:328, time[s]:0.000847
iteration:329, time[s]:0.000759
iteration:330, time[s]:0.000876
iteration:331, time[s]:0.000866
iteration:332, time[s]:0.000901
iteration:333, time[s]:0.000884
iteration:334, time[s]:0.000853
iteration:335, time[s]:0.000904
iteration:336, time[s]:0.000750
iteration:337, time[s]:0.000871
iteration:338, time[s]:0.000821
iteration:339, time[s]:0.000836
iteration:340, time[s]:0.000892
iteration:341, time[s]:0.000801
iteration:342, time[s]:0.001050
iteration:343, time[s]:0.000809
iteration:344, time[s]:0.000855
iteration:345, time[s]:0.000981
iteration:346, time[s]:0.000944
iteration:347, time[s]:0.001038
iteration:348, time[s]:0.001026
iteration:349, time[s]:0.001131
iteration:350, time[s]:0.000946
iteration:351, time[s]:0.000691
iteration:352, time[s]:0.000865
iteration:353, time[s]:0.000699
iteration:354, time[s]:0.000767
iteration:355, time[s]:0.000787
iteration:356, time[s]:0.000848
iteration:357, time[s]:0.000847
iteration:358, time[s]:0.000866
iteration:359, time[s]:0.000847
iteration:360, time[s]:0.000991
iteration:361, time[s]:0.001102
iteration:362, time[s]:0.001106
iteration:363, time[s]:0.000844
iteration:364, time[s]:0.001022
iteration:365, time[s]:0.000816
iteration:366, time[s]:0.000949
iteration:367, time[s]:0.000860
iteration:368, time[s]:0.000904
iteration:369, time[s]:0.000873
iteration:370, time[s]:0.000806
iteration:371, time[s]:0.000850
iteration:372, time[s]:0.000861
iteration:373, time[s]:0.001000
iteration:374, time[s]:0.000793
iteration:375, time[s]:0.000898
iteration:376, time[s]:0.000936
iteration:377, time[s]:0.000869
iteration:378, time[s]:0.000963
iteration:379, time[s]:0.001002
iteration:380, time[s]:0.000936
iteration:381, time[s]:0.000883
iteration:382, time[s]:0.000847
iteration:383, time[s]:0.001001
iteration:384, time[s]:0.000973
iteration:385, time[s]:0.000882
iteration:386, time[s]:0.001008
iteration:387, time[s]:0.001002
iteration:388, time[s]:0.001110
iteration:389, time[s]:0.001015
iteration:390, time[s]:0.000903
iteration:391, time[s]:0.001028
iteration:392, time[s]:0.001276
iteration:393, time[s]:0.000925
iteration:394, time[s]:0.000907
iteration:395, time[s]:0.000946
iteration:396, time[s]:0.000905
iteration:397, time[s]:0.000864
iteration:398, time[s]:0.000903
iteration:399, time[s]:0.000867
iteration:400, time[s]:0.000763
iteration:401, time[s]:0.000966
iteration:402, time[s]:0.000934
iteration:403, time[s]:0.001319
iteration:404, time[s]:0.000808
iteration:405, time[s]:0.000927
iteration:406, time[s]:0.000908
iteration:407, time[s]:0.000817
iteration:408, time[s]:0.000852
iteration:409, time[s]:0.000829
iteration:410, time[s]:0.000951
iteration:411, time[s]:0.001116
iteration:412, time[s]:0.001000
iteration:413, time[s]:0.000873
iteration:414, time[s]:0.000839
iteration:415, time[s]:0.000921
iteration:416, time[s]:0.000986
iteration:417, time[s]:0.000848
iteration:418, time[s]:0.001021
iteration:419, time[s]:0.000987
iteration:420, time[s]:0.001046
iteration:421, time[s]:0.000986
iteration:422, time[s]:0.000873
iteration:423, time[s]:0.001069
iteration:424, time[s]:0.001093
iteration:425, time[s]:0.000898
iteration:426, time[s]:0.000847
iteration:427, time[s]:0.000932
iteration:428, time[s]:0.000885
iteration:429, time[s]:0.000788
iteration:430, time[s]:0.000916
iteration:431, time[s]:0.000901
iteration:432, time[s]:0.000988
iteration:433, time[s]:0.001211
iteration:434, time[s]:0.001002
iteration:435, time[s]:0.000902
iteration:436, time[s]:0.001068
iteration:437, time[s]:0.000856
iteration:438, time[s]:0.000987
iteration:439, time[s]:0.000907
iteration:440, time[s]:0.000853
iteration:441, time[s]:0.001058
iteration:442, time[s]:0.000874
iteration:443, time[s]:0.000979
iteration:444, time[s]:0.000913
iteration:445, time[s]:0.001088
iteration:446, time[s]:0.000952
iteration:447, time[s]:0.000820
iteration:448, time[s]:0.000851
iteration:449, time[s]:0.000984
iteration:450, time[s]:0.000770
iteration:451, time[s]:0.000793
iteration:452, time[s]:0.000756
iteration:453, time[s]:0.000897
iteration:454, time[s]:0.000733
iteration:455, time[s]:0.000973
iteration:456, time[s]:0.000997
iteration:457, time[s]:0.000899
iteration:458, time[s]:0.000911
iteration:459, time[s]:0.000995
iteration:460, time[s]:0.000817
iteration:461, time[s]:0.000865
iteration:462, time[s]:0.000967
iteration:463, time[s]:0.001037
iteration:464, time[s]:0.001053
iteration:465, time[s]:0.001132
iteration:466, time[s]:0.001027
iteration:467, time[s]:0.001084
iteration:468, time[s]:0.000997
iteration:469, time[s]:0.001056
iteration:470, time[s]:0.000886
iteration:471, time[s]:0.001243
iteration:472, time[s]:0.000962
iteration:473, time[s]:0.001147
iteration:474, time[s]:0.000801
iteration:475, time[s]:0.001011
iteration:476, time[s]:0.000905
iteration:477, time[s]:0.000923
iteration:478, time[s]:0.001157
