alveo4b, bytes:32768, num_elements:8192, num_trials:1000
alveo3b, bytes:32768, num_elements:8192, num_trials:1000
alveo3c, bytes:32768, num_elements:8192, num_trials:1000
alveo4c, bytes:32768, num_elements:8192, num_trials:1000
alveo1a, bytes:32768, num_elements:8192, num_trials:1000
alveo2b, bytes:32768, num_elements:8192, num_trials:1000
alveo1b, bytes:32768, num_elements:8192, num_trials:1000
alveo2a, bytes:32768, num_elements:8192, num_trials:1000
iteration:0, time[s]:0.001815
iteration:1, time[s]:0.001206
iteration:2, time[s]:0.001007
iteration:3, time[s]:0.000743
iteration:4, time[s]:0.000840
iteration:5, time[s]:0.000719
iteration:6, time[s]:0.000763
iteration:7, time[s]:0.000840
iteration:8, time[s]:0.000854
iteration:9, time[s]:0.000738
iteration:10, time[s]:0.000805
iteration:11, time[s]:0.000620
iteration:12, time[s]:0.000680
iteration:13, time[s]:0.000763
iteration:14, time[s]:0.000876
iteration:15, time[s]:0.000895
iteration:16, time[s]:0.000847
iteration:17, time[s]:0.000846
iteration:18, time[s]:0.000828
iteration:19, time[s]:0.000767
iteration:20, time[s]:0.000845
iteration:21, time[s]:0.000800
iteration:22, time[s]:0.000830
iteration:23, time[s]:0.000747
iteration:24, time[s]:0.000811
iteration:25, time[s]:0.000833
iteration:26, time[s]:0.000866
iteration:27, time[s]:0.000843
iteration:28, time[s]:0.000831
iteration:29, time[s]:0.000843
iteration:30, time[s]:0.000909
iteration:31, time[s]:0.000836
iteration:32, time[s]:0.000957
iteration:33, time[s]:0.000874
iteration:34, time[s]:0.000949
iteration:35, time[s]:0.000895
iteration:36, time[s]:0.000958
iteration:37, time[s]:0.000876
iteration:38, time[s]:0.000766
iteration:39, time[s]:0.000913
iteration:40, time[s]:0.000991
iteration:41, time[s]:0.000971
iteration:42, time[s]:0.001084
iteration:43, time[s]:0.000959
iteration:44, time[s]:0.000861
iteration:45, time[s]:0.000870
iteration:46, time[s]:0.000735
iteration:47, time[s]:0.001025
iteration:48, time[s]:0.000855
iteration:49, time[s]:0.000810
iteration:50, time[s]:0.000859
iteration:51, time[s]:0.000811
iteration:52, time[s]:0.000839
iteration:53, time[s]:0.001005
iteration:54, time[s]:0.001022
iteration:55, time[s]:0.000943
iteration:56, time[s]:0.000944
iteration:57, time[s]:0.000907
