alveo4b, bytes:8388608, num_elements:2097152, num_trials:1000
alveo3c, bytes:8388608, num_elements:2097152, num_trials:1000
alveo3b, bytes:8388608, num_elements:2097152, num_trials:1000
alveo2b, bytes:8388608, num_elements:2097152, num_trials:1000
alveo2a, bytes:8388608, num_elements:2097152, num_trials:1000
alveo1a, bytes:8388608, num_elements:2097152, num_trials:1000
alveo1b, bytes:8388608, num_elements:2097152, num_trials:1000
iteration:0, time[s]:0.014077
iteration:1, time[s]:0.011391
iteration:2, time[s]:0.010968
iteration:3, time[s]:0.010547
iteration:4, time[s]:0.010575
iteration:5, time[s]:0.014585
iteration:6, time[s]:0.014585
iteration:7, time[s]:0.011304
iteration:8, time[s]:0.011175
iteration:9, time[s]:0.011354
iteration:10, time[s]:0.011733
iteration:11, time[s]:0.011844
iteration:12, time[s]:0.011865
iteration:13, time[s]:0.011872
iteration:14, time[s]:0.011782
iteration:15, time[s]:0.011843
iteration:16, time[s]:0.011889
iteration:17, time[s]:0.011721
iteration:18, time[s]:0.011713
iteration:19, time[s]:0.011723
iteration:20, time[s]:0.011715
iteration:21, time[s]:0.011595
iteration:22, time[s]:0.011842
iteration:23, time[s]:0.011718
iteration:24, time[s]:0.011837
iteration:25, time[s]:0.011737
iteration:26, time[s]:0.011760
iteration:27, time[s]:0.011890
iteration:28, time[s]:0.014423
iteration:29, time[s]:0.010835
iteration:30, time[s]:0.010359
iteration:31, time[s]:0.010105
iteration:32, time[s]:0.010468
iteration:33, time[s]:0.010412
iteration:34, time[s]:0.010135
iteration:35, time[s]:0.010254
iteration:36, time[s]:0.010567
iteration:37, time[s]:0.010273
iteration:38, time[s]:0.010463
iteration:39, time[s]:0.011036
iteration:40, time[s]:0.010587
iteration:41, time[s]:0.010794
iteration:42, time[s]:0.011057
iteration:43, time[s]:0.010764
iteration:44, time[s]:0.010487
iteration:45, time[s]:0.010483
iteration:46, time[s]:0.010443
iteration:47, time[s]:0.010457
iteration:48, time[s]:0.010234
iteration:49, time[s]:0.010683
iteration:50, time[s]:0.010604
iteration:51, time[s]:0.010572
iteration:52, time[s]:0.010330
iteration:53, time[s]:0.010765
iteration:54, time[s]:0.010338
iteration:55, time[s]:0.010607
iteration:56, time[s]:0.010315
iteration:57, time[s]:0.010345
iteration:58, time[s]:0.010763
iteration:59, time[s]:0.010594
iteration:60, time[s]:0.010400
iteration:61, time[s]:0.010539
iteration:62, time[s]:0.010416
iteration:63, time[s]:0.010807
iteration:64, time[s]:0.010750
iteration:65, time[s]:0.010544
iteration:66, time[s]:0.010683
iteration:67, time[s]:0.010303
iteration:68, time[s]:0.010547
iteration:69, time[s]:0.010451
iteration:70, time[s]:0.010785
iteration:71, time[s]:0.010511
iteration:72, time[s]:0.010144
iteration:73, time[s]:0.010189
iteration:74, time[s]:0.010419
iteration:75, time[s]:0.010305
iteration:76, time[s]:0.010579
iteration:77, time[s]:0.010235
iteration:78, time[s]:0.010521
iteration:79, time[s]:0.011439
iteration:80, time[s]:0.010517
iteration:81, time[s]:0.010434
iteration:82, time[s]:0.010080
iteration:83, time[s]:0.010468
iteration:84, time[s]:0.010384
iteration:85, time[s]:0.010307
iteration:86, time[s]:0.010717
iteration:87, time[s]:0.010638
iteration:88, time[s]:0.010348
iteration:89, time[s]:0.010700
iteration:90, time[s]:0.010400
iteration:91, time[s]:0.010503
iteration:92, time[s]:0.010528
iteration:93, time[s]:0.010450
iteration:94, time[s]:0.010357
iteration:95, time[s]:0.010449
iteration:96, time[s]:0.010524
iteration:97, time[s]:0.010406
iteration:98, time[s]:0.010721
iteration:99, time[s]:0.010108
iteration:100, time[s]:0.010329
iteration:101, time[s]:0.010100
iteration:102, time[s]:0.010470
iteration:103, time[s]:0.010465
iteration:104, time[s]:0.010480
iteration:105, time[s]:0.010434
iteration:106, time[s]:0.010195
iteration:107, time[s]:0.010534
iteration:108, time[s]:0.010244
iteration:109, time[s]:0.010120
iteration:110, time[s]:0.010703
iteration:111, time[s]:0.009986
iteration:112, time[s]:0.010448
iteration:113, time[s]:0.010459
iteration:114, time[s]:0.010474
iteration:115, time[s]:0.010238
iteration:116, time[s]:0.010564
iteration:117, time[s]:0.010427
iteration:118, time[s]:0.010430
iteration:119, time[s]:0.010368
iteration:120, time[s]:0.010116
iteration:121, time[s]:0.010542
iteration:122, time[s]:0.010900
iteration:123, time[s]:0.010304
iteration:124, time[s]:0.010320
iteration:125, time[s]:0.010342
iteration:126, time[s]:0.010459
iteration:127, time[s]:0.010715
iteration:128, time[s]:0.010294
iteration:129, time[s]:0.010689
iteration:130, time[s]:0.010434
iteration:131, time[s]:0.010648
iteration:132, time[s]:0.010317
iteration:133, time[s]:0.010445
iteration:134, time[s]:0.010354
iteration:135, time[s]:0.010509
iteration:136, time[s]:0.010604
iteration:137, time[s]:0.010358
iteration:138, time[s]:0.010511
iteration:139, time[s]:0.010765
iteration:140, time[s]:0.010658
iteration:141, time[s]:0.010278
iteration:142, time[s]:0.010436
iteration:143, time[s]:0.010724
iteration:144, time[s]:0.010422
iteration:145, time[s]:0.010550
iteration:146, time[s]:0.010371
iteration:147, time[s]:0.010644
iteration:148, time[s]:0.010913
iteration:149, time[s]:0.010599
iteration:150, time[s]:0.010111
iteration:151, time[s]:0.010441
iteration:152, time[s]:0.010762
iteration:153, time[s]:0.010328
iteration:154, time[s]:0.010277
iteration:155, time[s]:0.010504
iteration:156, time[s]:0.010390
iteration:157, time[s]:0.010708
iteration:158, time[s]:0.010651
iteration:159, time[s]:0.010331
iteration:160, time[s]:0.010344
iteration:161, time[s]:0.010465
iteration:162, time[s]:0.010524
iteration:163, time[s]:0.010675
iteration:164, time[s]:0.010468
iteration:165, time[s]:0.010639
iteration:166, time[s]:0.010149
iteration:167, time[s]:0.011658
iteration:168, time[s]:0.011029
iteration:169, time[s]:0.010453
iteration:170, time[s]:0.010614
iteration:171, time[s]:0.010528
iteration:172, time[s]:0.010817
iteration:173, time[s]:0.010445
iteration:174, time[s]:0.010152
iteration:175, time[s]:0.010560
iteration:176, time[s]:0.010389
iteration:177, time[s]:0.010496
iteration:178, time[s]:0.010717
iteration:179, time[s]:0.010433
iteration:180, time[s]:0.010221
iteration:181, time[s]:0.010544
iteration:182, time[s]:0.010355
iteration:183, time[s]:0.010295
iteration:184, time[s]:0.010371
iteration:185, time[s]:0.010076
iteration:186, time[s]:0.010433
iteration:187, time[s]:0.010416
iteration:188, time[s]:0.010515
iteration:189, time[s]:0.010528
iteration:190, time[s]:0.010696
iteration:191, time[s]:0.010887
iteration:192, time[s]:0.010446
iteration:193, time[s]:0.010553
iteration:194, time[s]:0.010243
iteration:195, time[s]:0.010179
iteration:196, time[s]:0.010619
iteration:197, time[s]:0.010646
iteration:198, time[s]:0.010426
iteration:199, time[s]:0.010151
iteration:200, time[s]:0.010798
iteration:201, time[s]:0.010655
iteration:202, time[s]:0.010264
iteration:203, time[s]:0.010761
iteration:204, time[s]:0.010434
iteration:205, time[s]:0.010746
iteration:206, time[s]:0.010744
iteration:207, time[s]:0.010722
iteration:208, time[s]:0.010591
iteration:209, time[s]:0.010599
iteration:210, time[s]:0.010313
iteration:211, time[s]:0.010551
iteration:212, time[s]:0.010317
iteration:213, time[s]:0.010539
iteration:214, time[s]:0.010327
iteration:215, time[s]:0.010285
iteration:216, time[s]:0.010366
iteration:217, time[s]:0.010335
iteration:218, time[s]:0.010688
iteration:219, time[s]:0.010298
iteration:220, time[s]:0.010343
iteration:221, time[s]:0.010273
iteration:222, time[s]:0.010292
iteration:223, time[s]:0.010274
iteration:224, time[s]:0.010365
iteration:225, time[s]:0.010476
iteration:226, time[s]:0.010237
iteration:227, time[s]:0.010357
iteration:228, time[s]:0.010578
iteration:229, time[s]:0.010823
iteration:230, time[s]:0.010214
iteration:231, time[s]:0.010689
iteration:232, time[s]:0.010437
iteration:233, time[s]:0.010254
iteration:234, time[s]:0.010313
iteration:235, time[s]:0.010266
iteration:236, time[s]:0.010688
iteration:237, time[s]:0.010580
iteration:238, time[s]:0.010650
iteration:239, time[s]:0.010717
iteration:240, time[s]:0.010382
iteration:241, time[s]:0.010510
iteration:242, time[s]:0.010654
iteration:243, time[s]:0.010515
iteration:244, time[s]:0.010398
iteration:245, time[s]:0.010584
iteration:246, time[s]:0.010286
iteration:247, time[s]:0.010502
iteration:248, time[s]:0.010579
iteration:249, time[s]:0.010619
iteration:250, time[s]:0.010309
iteration:251, time[s]:0.010601
iteration:252, time[s]:0.010397
iteration:253, time[s]:0.010676
iteration:254, time[s]:0.010345
iteration:255, time[s]:0.010476
iteration:256, time[s]:0.010800
iteration:257, time[s]:0.010423
iteration:258, time[s]:0.010585
iteration:259, time[s]:0.010576
iteration:260, time[s]:0.010821
iteration:261, time[s]:0.010458
iteration:262, time[s]:0.010622
iteration:263, time[s]:0.010634
iteration:264, time[s]:0.010670
iteration:265, time[s]:0.010519
iteration:266, time[s]:0.010334
iteration:267, time[s]:0.010447
iteration:268, time[s]:0.010629
iteration:269, time[s]:0.010340
iteration:270, time[s]:0.010448
iteration:271, time[s]:0.010597
iteration:272, time[s]:0.010368
iteration:273, time[s]:0.010314
iteration:274, time[s]:0.010723
iteration:275, time[s]:0.010790
iteration:276, time[s]:0.010654
iteration:277, time[s]:0.010520
iteration:278, time[s]:0.010650
iteration:279, time[s]:0.010712
iteration:280, time[s]:0.010444
iteration:281, time[s]:0.010617
iteration:282, time[s]:0.010436
iteration:283, time[s]:0.010717
iteration:284, time[s]:0.010604
iteration:285, time[s]:0.010783
iteration:286, time[s]:0.010848
iteration:287, time[s]:0.010300
iteration:288, time[s]:0.010408
iteration:289, time[s]:0.010516
iteration:290, time[s]:0.010681
iteration:291, time[s]:0.010430
iteration:292, time[s]:0.010715
iteration:293, time[s]:0.010350
iteration:294, time[s]:0.010607
iteration:295, time[s]:0.011076
iteration:296, time[s]:0.010398
iteration:297, time[s]:0.010307
iteration:298, time[s]:0.010594
iteration:299, time[s]:0.010742
iteration:300, time[s]:0.010442
iteration:301, time[s]:0.010336
iteration:302, time[s]:0.010671
iteration:303, time[s]:0.010656
iteration:304, time[s]:0.010333
iteration:305, time[s]:0.011110
iteration:306, time[s]:0.010569
iteration:307, time[s]:0.010419
iteration:308, time[s]:0.010733
iteration:309, time[s]:0.010515
iteration:310, time[s]:0.010622
iteration:311, time[s]:0.010363
iteration:312, time[s]:0.010498
iteration:313, time[s]:0.010468
iteration:314, time[s]:0.010335
iteration:315, time[s]:0.010604
iteration:316, time[s]:0.010647
iteration:317, time[s]:0.010282
iteration:318, time[s]:0.010685
iteration:319, time[s]:0.010418
iteration:320, time[s]:0.010469
iteration:321, time[s]:0.010407
iteration:322, time[s]:0.010623
iteration:323, time[s]:0.010570
iteration:324, time[s]:0.010545
iteration:325, time[s]:0.010455
iteration:326, time[s]:0.010426
iteration:327, time[s]:0.010530
iteration:328, time[s]:0.010287
iteration:329, time[s]:0.010559
iteration:330, time[s]:0.010453
iteration:331, time[s]:0.010815
iteration:332, time[s]:0.010641
iteration:333, time[s]:0.010351
iteration:334, time[s]:0.010838
iteration:335, time[s]:0.010297
iteration:336, time[s]:0.010972
iteration:337, time[s]:0.010337
iteration:338, time[s]:0.010477
iteration:339, time[s]:0.010379
iteration:340, time[s]:0.010527
iteration:341, time[s]:0.010776
iteration:342, time[s]:0.010609
iteration:343, time[s]:0.010677
iteration:344, time[s]:0.010859
iteration:345, time[s]:0.010618
iteration:346, time[s]:0.010661
iteration:347, time[s]:0.010610
iteration:348, time[s]:0.010528
iteration:349, time[s]:0.010383
iteration:350, time[s]:0.010226
iteration:351, time[s]:0.010578
iteration:352, time[s]:0.010348
iteration:353, time[s]:0.010332
iteration:354, time[s]:0.010438
iteration:355, time[s]:0.010275
iteration:356, time[s]:0.010533
iteration:357, time[s]:0.010712
iteration:358, time[s]:0.010429
iteration:359, time[s]:0.010432
iteration:360, time[s]:0.010619
iteration:361, time[s]:0.010611
iteration:362, time[s]:0.010359
iteration:363, time[s]:0.010538
iteration:364, time[s]:0.010513
iteration:365, time[s]:0.010583
iteration:366, time[s]:0.010505
iteration:367, time[s]:0.010479
iteration:368, time[s]:0.010756
iteration:369, time[s]:0.010340
iteration:370, time[s]:0.010370
iteration:371, time[s]:0.010874
iteration:372, time[s]:0.010274
iteration:373, time[s]:0.010684
iteration:374, time[s]:0.010799
iteration:375, time[s]:0.010471
iteration:376, time[s]:0.010630
iteration:377, time[s]:0.010534
iteration:378, time[s]:0.010294
iteration:379, time[s]:0.010657
iteration:380, time[s]:0.010615
iteration:381, time[s]:0.010396
iteration:382, time[s]:0.010546
iteration:383, time[s]:0.010756
iteration:384, time[s]:0.010458
iteration:385, time[s]:0.010617
iteration:386, time[s]:0.010516
iteration:387, time[s]:0.010733
iteration:388, time[s]:0.010783
iteration:389, time[s]:0.010430
iteration:390, time[s]:0.010721
iteration:391, time[s]:0.010442
iteration:392, time[s]:0.010857
iteration:393, time[s]:0.010649
iteration:394, time[s]:0.010566
iteration:395, time[s]:0.010649
iteration:396, time[s]:0.010556
iteration:397, time[s]:0.010440
iteration:398, time[s]:0.010617
iteration:399, time[s]:0.010333
iteration:400, time[s]:0.010524
iteration:401, time[s]:0.010285
iteration:402, time[s]:0.010691
iteration:403, time[s]:0.010393
iteration:404, time[s]:0.010531
iteration:405, time[s]:0.010226
iteration:406, time[s]:0.010598
iteration:407, time[s]:0.010347
iteration:408, time[s]:0.010666
iteration:409, time[s]:0.010550
iteration:410, time[s]:0.010491
iteration:411, time[s]:0.010569
iteration:412, time[s]:0.010391
iteration:413, time[s]:0.010371
iteration:414, time[s]:0.010600
iteration:415, time[s]:0.010749
iteration:416, time[s]:0.010833
iteration:417, time[s]:0.010315
iteration:418, time[s]:0.010433
iteration:419, time[s]:0.010203
iteration:420, time[s]:0.010517
iteration:421, time[s]:0.010550
iteration:422, time[s]:0.010839
iteration:423, time[s]:0.010163
