XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
alveo4c
alveo2a
alveo1a
alveo2b
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:1048576, num_elements:262144, num_trials:200
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:1048576, num_elements:262144, num_trials:200
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:1048576, num_elements:262144, num_trials:200
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:1048576, num_elements:262144, num_trials:200
Start Bcast test:
iteration:0, F2F_time[s]:0.004391, H2H_time:0.003480, sync_time:0.000911
iteration:1, F2F_time[s]:0.002806, H2H_time:0.001935, sync_time:0.000871
iteration:2, F2F_time[s]:0.002923, H2H_time:0.002033, sync_time:0.000890
iteration:3, F2F_time[s]:0.002634, H2H_time:0.001801, sync_time:0.000833
iteration:4, F2F_time[s]:0.002711, H2H_time:0.001931, sync_time:0.000780
iteration:5, F2F_time[s]:0.002642, H2H_time:0.001811, sync_time:0.000832
iteration:6, F2F_time[s]:0.002832, H2H_time:0.001968, sync_time:0.000864
iteration:7, F2F_time[s]:0.002722, H2H_time:0.001853, sync_time:0.000869
iteration:8, F2F_time[s]:0.002254, H2H_time:0.001466, sync_time:0.000788
iteration:9, F2F_time[s]:0.002752, H2H_time:0.001862, sync_time:0.000890
iteration:10, F2F_time[s]:0.002376, H2H_time:0.001692, sync_time:0.000684
iteration:11, F2F_time[s]:0.002238, H2H_time:0.001504, sync_time:0.000735
iteration:12, F2F_time[s]:0.002332, H2H_time:0.001662, sync_time:0.000669
iteration:13, F2F_time[s]:0.002337, H2H_time:0.001582, sync_time:0.000755
iteration:14, F2F_time[s]:0.002283, H2H_time:0.001492, sync_time:0.000791
iteration:15, F2F_time[s]:0.002464, H2H_time:0.001615, sync_time:0.000849
iteration:16, F2F_time[s]:0.002295, H2H_time:0.001461, sync_time:0.000833
iteration:17, F2F_time[s]:0.001903, H2H_time:0.001221, sync_time:0.000681
iteration:18, F2F_time[s]:0.002215, H2H_time:0.001408, sync_time:0.000806
iteration:19, F2F_time[s]:0.001979, H2H_time:0.001271, sync_time:0.000708
iteration:20, F2F_time[s]:0.001959, H2H_time:0.001237, sync_time:0.000722
iteration:21, F2F_time[s]:0.001921, H2H_time:0.001187, sync_time:0.000734
iteration:22, F2F_time[s]:0.002100, H2H_time:0.001336, sync_time:0.000764
iteration:23, F2F_time[s]:0.002021, H2H_time:0.001247, sync_time:0.000775
iteration:24, F2F_time[s]:0.002229, H2H_time:0.001406, sync_time:0.000823
iteration:25, F2F_time[s]:0.001910, H2H_time:0.001173, sync_time:0.000737
iteration:26, F2F_time[s]:0.002049, H2H_time:0.001308, sync_time:0.000741
iteration:27, F2F_time[s]:0.002074, H2H_time:0.001269, sync_time:0.000805
iteration:28, F2F_time[s]:0.002208, H2H_time:0.001360, sync_time:0.000848
iteration:29, F2F_time[s]:0.002064, H2H_time:0.001312, sync_time:0.000753
iteration:30, F2F_time[s]:0.002221, H2H_time:0.001339, sync_time:0.000882
iteration:31, F2F_time[s]:0.002262, H2H_time:0.001391, sync_time:0.000871
iteration:32, F2F_time[s]:0.002193, H2H_time:0.001316, sync_time:0.000877
iteration:33, F2F_time[s]:0.002024, H2H_time:0.001264, sync_time:0.000760
iteration:34, F2F_time[s]:0.002059, H2H_time:0.001239, sync_time:0.000819
iteration:35, F2F_time[s]:0.002123, H2H_time:0.001320, sync_time:0.000803
iteration:36, F2F_time[s]:0.002136, H2H_time:0.001282, sync_time:0.000854
iteration:37, F2F_time[s]:0.002091, H2H_time:0.001325, sync_time:0.000765
iteration:38, F2F_time[s]:0.002123, H2H_time:0.001304, sync_time:0.000819
iteration:39, F2F_time[s]:0.002071, H2H_time:0.001230, sync_time:0.000841
iteration:40, F2F_time[s]:0.002106, H2H_time:0.001267, sync_time:0.000839
iteration:41, F2F_time[s]:0.002050, H2H_time:0.001225, sync_time:0.000825
iteration:42, F2F_time[s]:0.002125, H2H_time:0.001346, sync_time:0.000779
iteration:43, F2F_time[s]:0.002125, H2H_time:0.001258, sync_time:0.000867
iteration:44, F2F_time[s]:0.002125, H2H_time:0.001306, sync_time:0.000819
iteration:45, F2F_time[s]:0.002066, H2H_time:0.001222, sync_time:0.000844
iteration:46, F2F_time[s]:0.002025, H2H_time:0.001230, sync_time:0.000795
iteration:47, F2F_time[s]:0.002008, H2H_time:0.001220, sync_time:0.000788
iteration:48, F2F_time[s]:0.002054, H2H_time:0.001249, sync_time:0.000805
iteration:49, F2F_time[s]:0.002084, H2H_time:0.001241, sync_time:0.000843
iteration:50, F2F_time[s]:0.002087, H2H_time:0.001318, sync_time:0.000768
iteration:51, F2F_time[s]:0.002071, H2H_time:0.001246, sync_time:0.000825
iteration:52, F2F_time[s]:0.002232, H2H_time:0.001370, sync_time:0.000862
iteration:53, F2F_time[s]:0.001842, H2H_time:0.001105, sync_time:0.000736
iteration:54, F2F_time[s]:0.001721, H2H_time:0.000988, sync_time:0.000733
iteration:55, F2F_time[s]:0.001852, H2H_time:0.001107, sync_time:0.000745
iteration:56, F2F_time[s]:0.002069, H2H_time:0.001281, sync_time:0.000789
iteration:57, F2F_time[s]:0.002017, H2H_time:0.001189, sync_time:0.000828
iteration:58, F2F_time[s]:0.002021, H2H_time:0.001191, sync_time:0.000830
iteration:59, F2F_time[s]:0.001887, H2H_time:0.001138, sync_time:0.000749
iteration:60, F2F_time[s]:0.001847, H2H_time:0.001101, sync_time:0.000746
iteration:61, F2F_time[s]:0.002068, H2H_time:0.001258, sync_time:0.000810
iteration:62, F2F_time[s]:0.002128, H2H_time:0.001313, sync_time:0.000815
iteration:63, F2F_time[s]:0.002040, H2H_time:0.001239, sync_time:0.000801
iteration:64, F2F_time[s]:0.002068, H2H_time:0.001305, sync_time:0.000763
iteration:65, F2F_time[s]:0.002067, H2H_time:0.001243, sync_time:0.000824
