XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
alveo3b
alveo4c
alveo1a
alveo3c
alveo4b
alveo1b
alveo2b
alveo2a
alveo3b, device on u280. Finished loading bitstream
alveo3b, bytes:131072, num_elements:32768, num_trials:200
alveo3c, device on u280. Finished loading bitstream
alveo3c, bytes:131072, num_elements:32768, num_trials:200
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:131072, num_elements:32768, num_trials:200
alveo4b, device on u280. Finished loading bitstream
alveo4b, bytes:131072, num_elements:32768, num_trials:200
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:131072, num_elements:32768, num_trials:200
Start Bcast test:
alveo1b, device on u250. Finished loading bitstream
alveo1b, bytes:131072, num_elements:32768, num_trials:200
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:131072, num_elements:32768, num_trials:200
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:131072, num_elements:32768, num_trials:200
iteration:0, F2F_time[s]:0.001368, H2H_time:0.000815, sync_time:0.000553
iteration:1, F2F_time[s]:0.000630, H2H_time:0.000353, sync_time:0.000277
iteration:2, F2F_time[s]:0.000709, H2H_time:0.000430, sync_time:0.000279
iteration:3, F2F_time[s]:0.000651, H2H_time:0.000370, sync_time:0.000281
iteration:4, F2F_time[s]:0.000688, H2H_time:0.000469, sync_time:0.000218
iteration:5, F2F_time[s]:0.000614, H2H_time:0.000352, sync_time:0.000262
iteration:6, F2F_time[s]:0.000487, H2H_time:0.000270, sync_time:0.000217
iteration:7, F2F_time[s]:0.000566, H2H_time:0.000290, sync_time:0.000276
iteration:8, F2F_time[s]:0.000598, H2H_time:0.000316, sync_time:0.000282
iteration:9, F2F_time[s]:0.000601, H2H_time:0.000320, sync_time:0.000281
iteration:10, F2F_time[s]:0.000586, H2H_time:0.000303, sync_time:0.000283
iteration:11, F2F_time[s]:0.000638, H2H_time:0.000296, sync_time:0.000342
iteration:12, F2F_time[s]:0.000575, H2H_time:0.000333, sync_time:0.000242
iteration:13, F2F_time[s]:0.000502, H2H_time:0.000270, sync_time:0.000232
iteration:14, F2F_time[s]:0.000575, H2H_time:0.000302, sync_time:0.000274
iteration:15, F2F_time[s]:0.000568, H2H_time:0.000359, sync_time:0.000209
iteration:16, F2F_time[s]:0.000511, H2H_time:0.000268, sync_time:0.000243
iteration:17, F2F_time[s]:0.000587, H2H_time:0.000319, sync_time:0.000268
iteration:18, F2F_time[s]:0.000579, H2H_time:0.000279, sync_time:0.000300
iteration:19, F2F_time[s]:0.000441, H2H_time:0.000255, sync_time:0.000186
iteration:20, F2F_time[s]:0.000582, H2H_time:0.000292, sync_time:0.000291
iteration:21, F2F_time[s]:0.000532, H2H_time:0.000269, sync_time:0.000263
iteration:22, F2F_time[s]:0.000508, H2H_time:0.000248, sync_time:0.000260
iteration:23, F2F_time[s]:0.000610, H2H_time:0.000289, sync_time:0.000321
iteration:24, F2F_time[s]:0.000599, H2H_time:0.000268, sync_time:0.000331
iteration:25, F2F_time[s]:0.000589, H2H_time:0.000271, sync_time:0.000318
iteration:26, F2F_time[s]:0.000595, H2H_time:0.000300, sync_time:0.000295
iteration:27, F2F_time[s]:0.000498, H2H_time:0.000238, sync_time:0.000260
iteration:28, F2F_time[s]:0.000571, H2H_time:0.000336, sync_time:0.000235
iteration:29, F2F_time[s]:0.000536, H2H_time:0.000267, sync_time:0.000269
iteration:30, F2F_time[s]:0.000494, H2H_time:0.000269, sync_time:0.000225
iteration:31, F2F_time[s]:0.000495, H2H_time:0.000304, sync_time:0.000191
iteration:32, F2F_time[s]:0.000598, H2H_time:0.000315, sync_time:0.000284
iteration:33, F2F_time[s]:0.000485, H2H_time:0.000295, sync_time:0.000191
iteration:34, F2F_time[s]:0.000502, H2H_time:0.000267, sync_time:0.000236
iteration:35, F2F_time[s]:0.000493, H2H_time:0.000277, sync_time:0.000215
iteration:36, F2F_time[s]:0.000523, H2H_time:0.000302, sync_time:0.000221
iteration:37, F2F_time[s]:0.000533, H2H_time:0.000324, sync_time:0.000208
iteration:38, F2F_time[s]:0.000576, H2H_time:0.000305, sync_time:0.000271
iteration:39, F2F_time[s]:0.000561, H2H_time:0.000331, sync_time:0.000230
iteration:40, F2F_time[s]:0.000524, H2H_time:0.000311, sync_time:0.000213
iteration:41, F2F_time[s]:0.000507, H2H_time:0.000283, sync_time:0.000224
iteration:42, F2F_time[s]:0.000517, H2H_time:0.000310, sync_time:0.000207
iteration:43, F2F_time[s]:0.000539, H2H_time:0.000303, sync_time:0.000237
iteration:44, F2F_time[s]:0.000493, H2H_time:0.000324, sync_time:0.000169
iteration:45, F2F_time[s]:0.000535, H2H_time:0.000300, sync_time:0.000235
iteration:46, F2F_time[s]:0.000456, H2H_time:0.000337, sync_time:0.000119
iteration:47, F2F_time[s]:0.000481, H2H_time:0.000305, sync_time:0.000176
iteration:48, F2F_time[s]:0.000512, H2H_time:0.000292, sync_time:0.000219
iteration:49, F2F_time[s]:0.000440, H2H_time:0.000301, sync_time:0.000139
iteration:50, F2F_time[s]:0.000623, H2H_time:0.000305, sync_time:0.000319
iteration:51, F2F_time[s]:0.000579, H2H_time:0.000275, sync_time:0.000305
iteration:52, F2F_time[s]:0.000529, H2H_time:0.000238, sync_time:0.000291
iteration:53, F2F_time[s]:0.000469, H2H_time:0.000301, sync_time:0.000168
iteration:54, F2F_time[s]:0.000459, H2H_time:0.000275, sync_time:0.000184
iteration:55, F2F_time[s]:0.000454, H2H_time:0.000227, sync_time:0.000227
iteration:56, F2F_time[s]:0.000593, H2H_time:0.000268, sync_time:0.000325
iteration:57, F2F_time[s]:0.000644, H2H_time:0.000317, sync_time:0.000327
iteration:58, F2F_time[s]:0.000589, H2H_time:0.000278, sync_time:0.000311
iteration:59, F2F_time[s]:0.000436, H2H_time:0.000278, sync_time:0.000158
iteration:60, F2F_time[s]:0.000456, H2H_time:0.000258, sync_time:0.000198
iteration:61, F2F_time[s]:0.000474, H2H_time:0.000294, sync_time:0.000180
iteration:62, F2F_time[s]:0.000610, H2H_time:0.000297, sync_time:0.000313
iteration:63, F2F_time[s]:0.000610, H2H_time:0.000287, sync_time:0.000323
