XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
alveo1a
alveo2a
alveo4c
alveo2b
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:2097152, num_elements:524288, num_trials:200
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:2097152, num_elements:524288, num_trials:200
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:2097152, num_elements:524288, num_trials:200
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:2097152, num_elements:524288, num_trials:200
Start Bcast test:
iteration:0, F2F_time[s]:0.006005, H2H_time:0.004619, sync_time:0.001386
iteration:1, F2F_time[s]:0.003899, H2H_time:0.002608, sync_time:0.001291
iteration:2, F2F_time[s]:0.003908, H2H_time:0.002638, sync_time:0.001270
iteration:3, F2F_time[s]:0.003998, H2H_time:0.002773, sync_time:0.001225
iteration:4, F2F_time[s]:0.003946, H2H_time:0.002630, sync_time:0.001316
iteration:5, F2F_time[s]:0.003734, H2H_time:0.002415, sync_time:0.001319
iteration:6, F2F_time[s]:0.003719, H2H_time:0.002475, sync_time:0.001244
iteration:7, F2F_time[s]:0.003583, H2H_time:0.002328, sync_time:0.001254
iteration:8, F2F_time[s]:0.003545, H2H_time:0.002288, sync_time:0.001257
iteration:9, F2F_time[s]:0.003604, H2H_time:0.002350, sync_time:0.001254
iteration:10, F2F_time[s]:0.003694, H2H_time:0.002388, sync_time:0.001306
iteration:11, F2F_time[s]:0.003390, H2H_time:0.002178, sync_time:0.001211
iteration:12, F2F_time[s]:0.003793, H2H_time:0.002462, sync_time:0.001331
iteration:13, F2F_time[s]:0.003658, H2H_time:0.002395, sync_time:0.001263
iteration:14, F2F_time[s]:0.003754, H2H_time:0.002490, sync_time:0.001264
iteration:15, F2F_time[s]:0.004024, H2H_time:0.002745, sync_time:0.001279
iteration:16, F2F_time[s]:0.003535, H2H_time:0.002296, sync_time:0.001239
iteration:17, F2F_time[s]:0.003434, H2H_time:0.002152, sync_time:0.001282
iteration:18, F2F_time[s]:0.003414, H2H_time:0.002182, sync_time:0.001232
iteration:19, F2F_time[s]:0.003535, H2H_time:0.002300, sync_time:0.001235
iteration:20, F2F_time[s]:0.003355, H2H_time:0.002094, sync_time:0.001261
iteration:21, F2F_time[s]:0.003483, H2H_time:0.002222, sync_time:0.001261
iteration:22, F2F_time[s]:0.003360, H2H_time:0.002136, sync_time:0.001224
iteration:23, F2F_time[s]:0.003460, H2H_time:0.002183, sync_time:0.001277
iteration:24, F2F_time[s]:0.003498, H2H_time:0.002233, sync_time:0.001265
iteration:25, F2F_time[s]:0.003443, H2H_time:0.002205, sync_time:0.001238
iteration:26, F2F_time[s]:0.003471, H2H_time:0.002168, sync_time:0.001303
iteration:27, F2F_time[s]:0.003457, H2H_time:0.002227, sync_time:0.001231
iteration:28, F2F_time[s]:0.003679, H2H_time:0.002295, sync_time:0.001384
iteration:29, F2F_time[s]:0.003394, H2H_time:0.002092, sync_time:0.001302
iteration:30, F2F_time[s]:0.003348, H2H_time:0.002054, sync_time:0.001293
iteration:31, F2F_time[s]:0.003363, H2H_time:0.002100, sync_time:0.001263
iteration:32, F2F_time[s]:0.003329, H2H_time:0.002021, sync_time:0.001308
iteration:33, F2F_time[s]:0.003631, H2H_time:0.002361, sync_time:0.001270
iteration:34, F2F_time[s]:0.003590, H2H_time:0.002321, sync_time:0.001269
iteration:35, F2F_time[s]:0.018018, H2H_time:0.016708, sync_time:0.001311
iteration:36, F2F_time[s]:0.003363, H2H_time:0.002059, sync_time:0.001305
iteration:37, F2F_time[s]:0.003507, H2H_time:0.002253, sync_time:0.001254
iteration:38, F2F_time[s]:0.003590, H2H_time:0.002280, sync_time:0.001310
iteration:39, F2F_time[s]:0.003369, H2H_time:0.002067, sync_time:0.001302
iteration:40, F2F_time[s]:0.003597, H2H_time:0.002268, sync_time:0.001329
iteration:41, F2F_time[s]:0.003296, H2H_time:0.002035, sync_time:0.001260
iteration:42, F2F_time[s]:0.003577, H2H_time:0.002275, sync_time:0.001302
iteration:43, F2F_time[s]:0.003435, H2H_time:0.002215, sync_time:0.001220
iteration:44, F2F_time[s]:0.003496, H2H_time:0.002250, sync_time:0.001246
iteration:45, F2F_time[s]:0.017216, H2H_time:0.015950, sync_time:0.001266
iteration:46, F2F_time[s]:0.003491, H2H_time:0.002246, sync_time:0.001244
iteration:47, F2F_time[s]:0.003262, H2H_time:0.001997, sync_time:0.001265
iteration:48, F2F_time[s]:0.003780, H2H_time:0.002471, sync_time:0.001309
iteration:49, F2F_time[s]:0.003625, H2H_time:0.002380, sync_time:0.001245
iteration:50, F2F_time[s]:0.003712, H2H_time:0.002353, sync_time:0.001359
iteration:51, F2F_time[s]:0.003436, H2H_time:0.002102, sync_time:0.001335
iteration:52, F2F_time[s]:0.003867, H2H_time:0.002469, sync_time:0.001398
iteration:53, F2F_time[s]:0.003821, H2H_time:0.002532, sync_time:0.001289
iteration:54, F2F_time[s]:0.003641, H2H_time:0.002352, sync_time:0.001289
iteration:55, F2F_time[s]:0.003704, H2H_time:0.002441, sync_time:0.001263
iteration:56, F2F_time[s]:0.003914, H2H_time:0.002650, sync_time:0.001264
iteration:57, F2F_time[s]:0.003733, H2H_time:0.002386, sync_time:0.001347
iteration:58, F2F_time[s]:0.003652, H2H_time:0.002415, sync_time:0.001238
iteration:59, F2F_time[s]:0.003775, H2H_time:0.002541, sync_time:0.001233
iteration:60, F2F_time[s]:0.003684, H2H_time:0.002262, sync_time:0.001422
iteration:61, F2F_time[s]:0.003777, H2H_time:0.002525, sync_time:0.001252
iteration:62, F2F_time[s]:0.003544, H2H_time:0.002310, sync_time:0.001234
