XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
alveo3c
alveo2a
alveo3b
alveo4c
alveo1a
alveo2b
alveo3c, device on u280. Finished loading bitstream
alveo3c, bytes:32768, num_elements:8192, num_trials:200
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:32768, num_elements:8192, num_trials:200
alveo3b, device on u280. Finished loading bitstream
alveo3b, bytes:32768, num_elements:8192, num_trials:200
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:32768, num_elements:8192, num_trials:200
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:32768, num_elements:8192, num_trials:200
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:32768, num_elements:8192, num_trials:200
Start Bcast test:
iteration:0, F2F_time[s]:0.000811, H2H_time:0.000332, sync_time:0.000478
iteration:1, F2F_time[s]:0.000605, H2H_time:0.000210, sync_time:0.000395
iteration:2, F2F_time[s]:0.000475, H2H_time:0.000172, sync_time:0.000303
iteration:3, F2F_time[s]:0.000340, H2H_time:0.000171, sync_time:0.000169
iteration:4, F2F_time[s]:0.000343, H2H_time:0.000152, sync_time:0.000190
iteration:5, F2F_time[s]:0.000417, H2H_time:0.000218, sync_time:0.000199
iteration:6, F2F_time[s]:0.000425, H2H_time:0.000230, sync_time:0.000195
iteration:7, F2F_time[s]:0.000414, H2H_time:0.000218, sync_time:0.000196
iteration:8, F2F_time[s]:0.000424, H2H_time:0.000230, sync_time:0.000194
iteration:9, F2F_time[s]:0.000565, H2H_time:0.000217, sync_time:0.000348
iteration:10, F2F_time[s]:0.000578, H2H_time:0.000225, sync_time:0.000353
iteration:11, F2F_time[s]:0.000419, H2H_time:0.000228, sync_time:0.000190
iteration:12, F2F_time[s]:0.000415, H2H_time:0.000216, sync_time:0.000199
iteration:13, F2F_time[s]:0.000410, H2H_time:0.000224, sync_time:0.000186
iteration:14, F2F_time[s]:0.000414, H2H_time:0.000224, sync_time:0.000190
iteration:15, F2F_time[s]:0.000411, H2H_time:0.000224, sync_time:0.000187
iteration:16, F2F_time[s]:0.000394, H2H_time:0.000214, sync_time:0.000180
iteration:17, F2F_time[s]:0.000378, H2H_time:0.000223, sync_time:0.000154
iteration:18, F2F_time[s]:0.000403, H2H_time:0.000220, sync_time:0.000183
iteration:19, F2F_time[s]:0.000412, H2H_time:0.000227, sync_time:0.000185
iteration:20, F2F_time[s]:0.000389, H2H_time:0.000236, sync_time:0.000153
iteration:21, F2F_time[s]:0.000373, H2H_time:0.000218, sync_time:0.000155
iteration:22, F2F_time[s]:0.000397, H2H_time:0.000220, sync_time:0.000177
iteration:23, F2F_time[s]:0.000388, H2H_time:0.000234, sync_time:0.000154
iteration:24, F2F_time[s]:0.000405, H2H_time:0.000225, sync_time:0.000180
iteration:25, F2F_time[s]:0.000405, H2H_time:0.000221, sync_time:0.000184
iteration:26, F2F_time[s]:0.000376, H2H_time:0.000224, sync_time:0.000152
iteration:27, F2F_time[s]:0.000388, H2H_time:0.000228, sync_time:0.000160
iteration:28, F2F_time[s]:0.000404, H2H_time:0.000217, sync_time:0.000187
iteration:29, F2F_time[s]:0.000414, H2H_time:0.000219, sync_time:0.000195
iteration:30, F2F_time[s]:0.000398, H2H_time:0.000214, sync_time:0.000184
iteration:31, F2F_time[s]:0.000405, H2H_time:0.000226, sync_time:0.000178
iteration:32, F2F_time[s]:0.000399, H2H_time:0.000223, sync_time:0.000176
iteration:33, F2F_time[s]:0.000407, H2H_time:0.000250, sync_time:0.000157
iteration:34, F2F_time[s]:0.000392, H2H_time:0.000222, sync_time:0.000170
iteration:35, F2F_time[s]:0.000396, H2H_time:0.000211, sync_time:0.000185
iteration:36, F2F_time[s]:0.000399, H2H_time:0.000220, sync_time:0.000179
iteration:37, F2F_time[s]:0.000375, H2H_time:0.000224, sync_time:0.000151
iteration:38, F2F_time[s]:0.000373, H2H_time:0.000223, sync_time:0.000150
iteration:39, F2F_time[s]:0.000363, H2H_time:0.000212, sync_time:0.000151
iteration:40, F2F_time[s]:0.000391, H2H_time:0.000218, sync_time:0.000173
iteration:41, F2F_time[s]:0.000366, H2H_time:0.000216, sync_time:0.000150
iteration:42, F2F_time[s]:0.000370, H2H_time:0.000216, sync_time:0.000154
iteration:43, F2F_time[s]:0.000376, H2H_time:0.000226, sync_time:0.000150
iteration:44, F2F_time[s]:0.000383, H2H_time:0.000235, sync_time:0.000147
iteration:45, F2F_time[s]:0.000366, H2H_time:0.000215, sync_time:0.000151
iteration:46, F2F_time[s]:0.000382, H2H_time:0.000224, sync_time:0.000158
iteration:47, F2F_time[s]:0.000380, H2H_time:0.000223, sync_time:0.000156
iteration:48, F2F_time[s]:0.000393, H2H_time:0.000212, sync_time:0.000182
iteration:49, F2F_time[s]:0.000382, H2H_time:0.000225, sync_time:0.000157
iteration:50, F2F_time[s]:0.000324, H2H_time:0.000163, sync_time:0.000161
iteration:51, F2F_time[s]:0.000390, H2H_time:0.000216, sync_time:0.000174
