XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
alveo3b
alveo3c
alveo2a
alveo4b
alveo4c
alveo2b
alveo1b
alveo1a
alveo3c, device on u280. Finished loading bitstream
alveo3c, bytes:32768, num_elements:8192, num_trials:200
alveo3b, device on u280. Finished loading bitstream
alveo3b, bytes:32768, num_elements:8192, num_trials:200
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:32768, num_elements:8192, num_trials:200
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:32768, num_elements:8192, num_trials:200
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:32768, num_elements:8192, num_trials:200
Start Bcast test:
alveo4b, device on u280. Finished loading bitstream
alveo4b, bytes:32768, num_elements:8192, num_trials:200
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:32768, num_elements:8192, num_trials:200
alveo1b, device on u250. Finished loading bitstream
alveo1b, bytes:32768, num_elements:8192, num_trials:200
iteration:0, F2F_time[s]:0.001307, H2H_time:0.000807, sync_time:0.000501
iteration:1, F2F_time[s]:0.000514, H2H_time:0.000187, sync_time:0.000327
iteration:2, F2F_time[s]:0.000532, H2H_time:0.000190, sync_time:0.000342
iteration:3, F2F_time[s]:0.000603, H2H_time:0.000172, sync_time:0.000431
iteration:4, F2F_time[s]:0.000382, H2H_time:0.000191, sync_time:0.000191
iteration:5, F2F_time[s]:0.000351, H2H_time:0.000192, sync_time:0.000159
iteration:6, F2F_time[s]:0.000412, H2H_time:0.000185, sync_time:0.000227
iteration:7, F2F_time[s]:0.000459, H2H_time:0.000165, sync_time:0.000294
iteration:8, F2F_time[s]:0.000576, H2H_time:0.000179, sync_time:0.000397
iteration:9, F2F_time[s]:0.000451, H2H_time:0.000193, sync_time:0.000258
iteration:10, F2F_time[s]:0.000410, H2H_time:0.000175, sync_time:0.000235
iteration:11, F2F_time[s]:0.000526, H2H_time:0.000198, sync_time:0.000328
iteration:12, F2F_time[s]:0.000519, H2H_time:0.000171, sync_time:0.000348
iteration:13, F2F_time[s]:0.000378, H2H_time:0.000186, sync_time:0.000192
iteration:14, F2F_time[s]:0.000440, H2H_time:0.000209, sync_time:0.000231
iteration:15, F2F_time[s]:0.000522, H2H_time:0.000234, sync_time:0.000289
iteration:16, F2F_time[s]:0.000452, H2H_time:0.000168, sync_time:0.000285
iteration:17, F2F_time[s]:0.000432, H2H_time:0.000177, sync_time:0.000255
iteration:18, F2F_time[s]:0.000474, H2H_time:0.000185, sync_time:0.000290
iteration:19, F2F_time[s]:0.000509, H2H_time:0.000176, sync_time:0.000334
iteration:20, F2F_time[s]:0.000533, H2H_time:0.000169, sync_time:0.000364
iteration:21, F2F_time[s]:0.000498, H2H_time:0.000171, sync_time:0.000327
iteration:22, F2F_time[s]:0.000416, H2H_time:0.000317, sync_time:0.000098
iteration:23, F2F_time[s]:0.000447, H2H_time:0.000265, sync_time:0.000182
iteration:24, F2F_time[s]:0.000501, H2H_time:0.000186, sync_time:0.000315
iteration:25, F2F_time[s]:0.000451, H2H_time:0.000201, sync_time:0.000250
iteration:26, F2F_time[s]:0.000465, H2H_time:0.000207, sync_time:0.000258
iteration:27, F2F_time[s]:0.000562, H2H_time:0.000196, sync_time:0.000366
iteration:28, F2F_time[s]:0.000439, H2H_time:0.000203, sync_time:0.000236
iteration:29, F2F_time[s]:0.000412, H2H_time:0.000162, sync_time:0.000250
iteration:30, F2F_time[s]:0.000577, H2H_time:0.000192, sync_time:0.000385
iteration:31, F2F_time[s]:0.000475, H2H_time:0.000201, sync_time:0.000275
iteration:32, F2F_time[s]:0.000370, H2H_time:0.000203, sync_time:0.000166
iteration:33, F2F_time[s]:0.000384, H2H_time:0.000205, sync_time:0.000179
iteration:34, F2F_time[s]:0.000315, H2H_time:0.000177, sync_time:0.000138
iteration:35, F2F_time[s]:0.000398, H2H_time:0.000136, sync_time:0.000262
iteration:36, F2F_time[s]:0.000442, H2H_time:0.000145, sync_time:0.000296
iteration:37, F2F_time[s]:0.000442, H2H_time:0.000135, sync_time:0.000307
iteration:38, F2F_time[s]:0.000302, H2H_time:0.000161, sync_time:0.000141
iteration:39, F2F_time[s]:0.000306, H2H_time:0.000134, sync_time:0.000172
iteration:40, F2F_time[s]:0.000314, H2H_time:0.000169, sync_time:0.000145
iteration:41, F2F_time[s]:0.000523, H2H_time:0.000192, sync_time:0.000331
iteration:42, F2F_time[s]:0.000450, H2H_time:0.000162, sync_time:0.000288
iteration:43, F2F_time[s]:0.000433, H2H_time:0.000167, sync_time:0.000266
iteration:44, F2F_time[s]:0.000444, H2H_time:0.000120, sync_time:0.000324
iteration:45, F2F_time[s]:0.000399, H2H_time:0.000195, sync_time:0.000204
iteration:46, F2F_time[s]:0.000459, H2H_time:0.000159, sync_time:0.000300
iteration:47, F2F_time[s]:0.000552, H2H_time:0.000189, sync_time:0.000363
iteration:48, F2F_time[s]:0.000503, H2H_time:0.000202, sync_time:0.000301
iteration:49, F2F_time[s]:0.000304, H2H_time:0.000206, sync_time:0.000098
iteration:50, F2F_time[s]:0.000431, H2H_time:0.000198, sync_time:0.000233
iteration:51, F2F_time[s]:0.000486, H2H_time:0.000186, sync_time:0.000301
iteration:52, F2F_time[s]:0.000367, H2H_time:0.000187, sync_time:0.000180
iteration:53, F2F_time[s]:0.000531, H2H_time:0.000134, sync_time:0.000397
iteration:54, F2F_time[s]:0.000565, H2H_time:0.000207, sync_time:0.000359
iteration:55, F2F_time[s]:0.000448, H2H_time:0.000179, sync_time:0.000269
iteration:56, F2F_time[s]:0.000355, H2H_time:0.000196, sync_time:0.000160
iteration:57, F2F_time[s]:0.000323, H2H_time:0.000217, sync_time:0.000106
iteration:58, F2F_time[s]:0.000458, H2H_time:0.000209, sync_time:0.000249
iteration:59, F2F_time[s]:0.000400, H2H_time:0.000210, sync_time:0.000190
iteration:60, F2F_time[s]:0.000338, H2H_time:0.000128, sync_time:0.000210
iteration:61, F2F_time[s]:0.000440, H2H_time:0.000130, sync_time:0.000310
iteration:62, F2F_time[s]:0.000373, H2H_time:0.000116, sync_time:0.000257
iteration:63, F2F_time[s]:0.000432, H2H_time:0.000168, sync_time:0.000264
