XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
alveo3c
alveo3b
alveo4c
alveo4b
alveo1a
alveo2a
alveo2b
alveo3c, device on u280. Finished loading bitstream
alveo3c, bytes:524288, num_elements:131072, num_trials:200
alveo3b, device on u280. Finished loading bitstream
alveo3b, bytes:524288, num_elements:131072, num_trials:200
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:524288, num_elements:131072, num_trials:200
alveo4b, device on u280. Finished loading bitstream
alveo4b, bytes:524288, num_elements:131072, num_trials:200
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:524288, num_elements:131072, num_trials:200
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:524288, num_elements:131072, num_trials:200
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:524288, num_elements:131072, num_trials:200
Start Bcast test:
iteration:0, F2F_time[s]:0.001976, H2H_time:0.001281, sync_time:0.000694
iteration:1, F2F_time[s]:0.001556, H2H_time:0.000931, sync_time:0.000625
iteration:2, F2F_time[s]:0.001239, H2H_time:0.000686, sync_time:0.000554
iteration:3, F2F_time[s]:0.001183, H2H_time:0.000663, sync_time:0.000520
iteration:4, F2F_time[s]:0.001352, H2H_time:0.000742, sync_time:0.000610
iteration:5, F2F_time[s]:0.001290, H2H_time:0.000644, sync_time:0.000646
iteration:6, F2F_time[s]:0.001255, H2H_time:0.000672, sync_time:0.000583
iteration:7, F2F_time[s]:0.001670, H2H_time:0.001033, sync_time:0.000637
iteration:8, F2F_time[s]:0.001140, H2H_time:0.000562, sync_time:0.000578
iteration:9, F2F_time[s]:0.001221, H2H_time:0.000639, sync_time:0.000581
iteration:10, F2F_time[s]:0.001331, H2H_time:0.000651, sync_time:0.000680
iteration:11, F2F_time[s]:0.001247, H2H_time:0.000615, sync_time:0.000632
iteration:12, F2F_time[s]:0.001229, H2H_time:0.000596, sync_time:0.000633
iteration:13, F2F_time[s]:0.001233, H2H_time:0.000574, sync_time:0.000659
iteration:14, F2F_time[s]:0.001240, H2H_time:0.000601, sync_time:0.000638
iteration:15, F2F_time[s]:0.001530, H2H_time:0.000811, sync_time:0.000719
iteration:16, F2F_time[s]:0.001175, H2H_time:0.000538, sync_time:0.000637
iteration:17, F2F_time[s]:0.001313, H2H_time:0.000604, sync_time:0.000709
iteration:18, F2F_time[s]:0.001471, H2H_time:0.000769, sync_time:0.000702
iteration:19, F2F_time[s]:0.001558, H2H_time:0.000874, sync_time:0.000684
iteration:20, F2F_time[s]:0.001747, H2H_time:0.000971, sync_time:0.000776
iteration:21, F2F_time[s]:0.001620, H2H_time:0.000997, sync_time:0.000623
iteration:22, F2F_time[s]:0.001197, H2H_time:0.000557, sync_time:0.000639
iteration:23, F2F_time[s]:0.001180, H2H_time:0.000540, sync_time:0.000640
iteration:24, F2F_time[s]:0.001261, H2H_time:0.000623, sync_time:0.000637
iteration:25, F2F_time[s]:0.001150, H2H_time:0.000570, sync_time:0.000579
iteration:26, F2F_time[s]:0.001412, H2H_time:0.000786, sync_time:0.000626
iteration:27, F2F_time[s]:0.001255, H2H_time:0.000602, sync_time:0.000652
iteration:28, F2F_time[s]:0.001742, H2H_time:0.000964, sync_time:0.000779
iteration:29, F2F_time[s]:0.001115, H2H_time:0.000561, sync_time:0.000554
iteration:30, F2F_time[s]:0.001212, H2H_time:0.000583, sync_time:0.000629
iteration:31, F2F_time[s]:0.001748, H2H_time:0.000993, sync_time:0.000755
iteration:32, F2F_time[s]:0.001112, H2H_time:0.000538, sync_time:0.000574
iteration:33, F2F_time[s]:0.001313, H2H_time:0.000630, sync_time:0.000683
iteration:34, F2F_time[s]:0.001184, H2H_time:0.000602, sync_time:0.000582
iteration:35, F2F_time[s]:0.001199, H2H_time:0.000549, sync_time:0.000649
iteration:36, F2F_time[s]:0.001321, H2H_time:0.000708, sync_time:0.000613
iteration:37, F2F_time[s]:0.001199, H2H_time:0.000606, sync_time:0.000594
iteration:38, F2F_time[s]:0.001169, H2H_time:0.000584, sync_time:0.000585
iteration:39, F2F_time[s]:0.001192, H2H_time:0.000614, sync_time:0.000578
iteration:40, F2F_time[s]:0.001179, H2H_time:0.000598, sync_time:0.000581
iteration:41, F2F_time[s]:0.001251, H2H_time:0.000605, sync_time:0.000646
iteration:42, F2F_time[s]:0.001656, H2H_time:0.000990, sync_time:0.000665
iteration:43, F2F_time[s]:0.001434, H2H_time:0.000803, sync_time:0.000631
iteration:44, F2F_time[s]:0.001255, H2H_time:0.000671, sync_time:0.000585
iteration:45, F2F_time[s]:0.001288, H2H_time:0.000656, sync_time:0.000632
iteration:46, F2F_time[s]:0.001085, H2H_time:0.000561, sync_time:0.000524
iteration:47, F2F_time[s]:0.001430, H2H_time:0.000760, sync_time:0.000669
iteration:48, F2F_time[s]:0.001690, H2H_time:0.000988, sync_time:0.000702
iteration:49, F2F_time[s]:0.001172, H2H_time:0.000578, sync_time:0.000593
iteration:50, F2F_time[s]:0.001050, H2H_time:0.000536, sync_time:0.000514
iteration:51, F2F_time[s]:0.001071, H2H_time:0.000504, sync_time:0.000567
iteration:52, F2F_time[s]:0.001182, H2H_time:0.000578, sync_time:0.000604
iteration:53, F2F_time[s]:0.001109, H2H_time:0.000538, sync_time:0.000571
iteration:54, F2F_time[s]:0.001066, H2H_time:0.000503, sync_time:0.000563
iteration:55, F2F_time[s]:0.001175, H2H_time:0.000575, sync_time:0.000601
iteration:56, F2F_time[s]:0.001220, H2H_time:0.000555, sync_time:0.000665
