XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
alveo3c
alveo1a
alveo3b
alveo4c
alveo2a
alveo2b
alveo3c, device on u280. Finished loading bitstream
alveo3c, bytes:8388608, num_elements:2097152, num_trials:200
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:8388608, num_elements:2097152, num_trials:200
alveo3b, device on u280. Finished loading bitstream
alveo3b, bytes:8388608, num_elements:2097152, num_trials:200
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:8388608, num_elements:2097152, num_trials:200
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:8388608, num_elements:2097152, num_trials:200
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:8388608, num_elements:2097152, num_trials:200
Start Bcast test:
iteration:0, F2F_time[s]:0.024107, H2H_time:0.020276, sync_time:0.003832
iteration:1, F2F_time[s]:0.016114, H2H_time:0.012167, sync_time:0.003947
iteration:2, F2F_time[s]:0.016191, H2H_time:0.012231, sync_time:0.003960
iteration:3, F2F_time[s]:0.016397, H2H_time:0.012504, sync_time:0.003894
iteration:4, F2F_time[s]:0.016654, H2H_time:0.012790, sync_time:0.003864
iteration:5, F2F_time[s]:0.015655, H2H_time:0.011743, sync_time:0.003912
iteration:6, F2F_time[s]:0.017507, H2H_time:0.013614, sync_time:0.003893
iteration:7, F2F_time[s]:0.016258, H2H_time:0.012343, sync_time:0.003914
iteration:8, F2F_time[s]:0.016395, H2H_time:0.012459, sync_time:0.003937
iteration:9, F2F_time[s]:0.016480, H2H_time:0.012564, sync_time:0.003915
iteration:10, F2F_time[s]:0.017253, H2H_time:0.013414, sync_time:0.003839
iteration:11, F2F_time[s]:0.016804, H2H_time:0.012976, sync_time:0.003828
iteration:12, F2F_time[s]:0.016685, H2H_time:0.012829, sync_time:0.003856
iteration:13, F2F_time[s]:0.016659, H2H_time:0.012864, sync_time:0.003796
iteration:14, F2F_time[s]:0.017370, H2H_time:0.013525, sync_time:0.003845
iteration:15, F2F_time[s]:0.016701, H2H_time:0.012770, sync_time:0.003931
iteration:16, F2F_time[s]:0.016875, H2H_time:0.012964, sync_time:0.003910
iteration:17, F2F_time[s]:0.016502, H2H_time:0.012642, sync_time:0.003860
iteration:18, F2F_time[s]:0.016683, H2H_time:0.012860, sync_time:0.003823
iteration:19, F2F_time[s]:0.016592, H2H_time:0.012736, sync_time:0.003856
iteration:20, F2F_time[s]:0.017089, H2H_time:0.013216, sync_time:0.003873
iteration:21, F2F_time[s]:0.016777, H2H_time:0.012929, sync_time:0.003848
iteration:22, F2F_time[s]:0.016304, H2H_time:0.012456, sync_time:0.003848
iteration:23, F2F_time[s]:0.017353, H2H_time:0.013413, sync_time:0.003940
iteration:24, F2F_time[s]:0.015926, H2H_time:0.012126, sync_time:0.003800
iteration:25, F2F_time[s]:0.016210, H2H_time:0.012294, sync_time:0.003916
iteration:26, F2F_time[s]:0.015821, H2H_time:0.011847, sync_time:0.003973
iteration:27, F2F_time[s]:0.016172, H2H_time:0.012276, sync_time:0.003896
iteration:28, F2F_time[s]:0.016504, H2H_time:0.012642, sync_time:0.003862
iteration:29, F2F_time[s]:0.015524, H2H_time:0.011687, sync_time:0.003837
iteration:30, F2F_time[s]:0.015487, H2H_time:0.011643, sync_time:0.003845
iteration:31, F2F_time[s]:0.016361, H2H_time:0.012422, sync_time:0.003940
iteration:32, F2F_time[s]:0.015570, H2H_time:0.011691, sync_time:0.003879
iteration:33, F2F_time[s]:0.016423, H2H_time:0.012581, sync_time:0.003842
iteration:34, F2F_time[s]:0.015574, H2H_time:0.011656, sync_time:0.003918
iteration:35, F2F_time[s]:0.015419, H2H_time:0.011599, sync_time:0.003820
iteration:36, F2F_time[s]:0.015345, H2H_time:0.011531, sync_time:0.003814
iteration:37, F2F_time[s]:0.016367, H2H_time:0.012480, sync_time:0.003887
iteration:38, F2F_time[s]:0.015325, H2H_time:0.011404, sync_time:0.003921
iteration:39, F2F_time[s]:0.016732, H2H_time:0.012827, sync_time:0.003905
iteration:40, F2F_time[s]:0.016091, H2H_time:0.012324, sync_time:0.003766
iteration:41, F2F_time[s]:0.015533, H2H_time:0.011671, sync_time:0.003862
iteration:42, F2F_time[s]:0.015324, H2H_time:0.011469, sync_time:0.003855
iteration:43, F2F_time[s]:0.015867, H2H_time:0.011937, sync_time:0.003930
iteration:44, F2F_time[s]:0.015668, H2H_time:0.011765, sync_time:0.003904
iteration:45, F2F_time[s]:0.015001, H2H_time:0.011095, sync_time:0.003905
iteration:46, F2F_time[s]:0.015613, H2H_time:0.011798, sync_time:0.003814
iteration:47, F2F_time[s]:0.015442, H2H_time:0.011537, sync_time:0.003905
iteration:48, F2F_time[s]:0.015630, H2H_time:0.011787, sync_time:0.003843
iteration:49, F2F_time[s]:0.015623, H2H_time:0.011850, sync_time:0.003774
iteration:50, F2F_time[s]:0.014800, H2H_time:0.011021, sync_time:0.003779
