XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/xilinx/xrt/bin:/opt/xilinx/xrt/bin:/opt/tools/Xilinx/Vitis/2019.2/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2019.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vivado/2019.2/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/mnt/local/altera_pro/16.0/quartus/bin:/mnt/local/mentor/questasim/linux_x86_64:/mnt/local/aal/bin:/opt/tools/Xilinx/Vitis/2019.2/bin:/opt/Xilinx/Vitis/2020.2/bin:/home/zhe/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:/opt/xilinx/xrt/lib:/opt/tools/Xilinx/Vitis/2019.2/lib/lnx64.o/Ubuntu/18:/opt/tools/Xilinx/Vitis/2019.2/lib/lnx64.o/Ubuntu:/opt/tools/Xilinx/Vitis/2019.2/lib/lnx64.o:/opt/tools/Xilinx/Vitis/2019.2/runtime/lib/x86_64:/opt/xilinx/xrt/lib::/mnt/local/aal/lib:/home/zhe/centaur/libs
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:/opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
alveo4b
alveo2a
alveo3b
alveo1b
alveo2b
alveo1a
alveo4b, device on u280. Finished loading bitstream
alveo4b, bytes:2097152, num_elements:524288, num_trials:1000
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:2097152, num_elements:524288, num_trials:1000
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:2097152, num_elements:524288, num_trials:1000
alveo1b, device on u250. Finished loading bitstream
alveo1b, bytes:2097152, num_elements:524288, num_trials:1000
alveo3b, device on u280. Finished loading bitstream
alveo3b, bytes:2097152, num_elements:524288, num_trials:1000
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:2097152, num_elements:524288, num_trials:1000
Start Bcast test:
iteration:0, time[s]:0.009439
iteration:1, time[s]:0.005788
iteration:2, time[s]:0.004555
iteration:3, time[s]:0.004689
iteration:4, time[s]:0.004520
iteration:5, time[s]:0.004742
iteration:6, time[s]:0.004075
iteration:7, time[s]:0.004186
iteration:8, time[s]:0.003994
iteration:9, time[s]:0.004125
iteration:10, time[s]:0.003858
iteration:11, time[s]:0.004056
iteration:12, time[s]:0.004071
iteration:13, time[s]:0.003823
iteration:14, time[s]:0.003750
iteration:15, time[s]:0.003958
iteration:16, time[s]:0.004017
iteration:17, time[s]:0.003675
iteration:18, time[s]:0.003838
iteration:19, time[s]:0.003878
iteration:20, time[s]:0.003722
iteration:21, time[s]:0.003586
iteration:22, time[s]:0.003837
iteration:23, time[s]:0.004022
iteration:24, time[s]:0.003977
iteration:25, time[s]:0.004074
iteration:26, time[s]:0.003866
iteration:27, time[s]:0.003682
iteration:28, time[s]:0.003719
iteration:29, time[s]:0.003608
iteration:30, time[s]:0.003859
iteration:31, time[s]:0.004121
iteration:32, time[s]:0.003997
iteration:33, time[s]:0.003847
iteration:34, time[s]:0.003973
iteration:35, time[s]:0.003909
iteration:36, time[s]:0.003935
iteration:37, time[s]:0.004004
iteration:38, time[s]:0.004121
iteration:39, time[s]:0.003799
iteration:40, time[s]:0.003940
iteration:41, time[s]:0.003993
iteration:42, time[s]:0.003828
iteration:43, time[s]:0.003912
iteration:44, time[s]:0.003875
iteration:45, time[s]:0.003907
iteration:46, time[s]:0.003722
iteration:47, time[s]:0.003988
iteration:48, time[s]:0.003968
iteration:49, time[s]:0.004157
iteration:50, time[s]:0.003917
iteration:51, time[s]:0.004057
iteration:52, time[s]:0.004024
iteration:53, time[s]:0.004110
iteration:54, time[s]:0.004145
iteration:55, time[s]:0.004089
iteration:56, time[s]:0.004038
iteration:57, time[s]:0.004294
iteration:58, time[s]:0.003958
iteration:59, time[s]:0.004007
iteration:60, time[s]:0.004164
iteration:61, time[s]:0.004124
iteration:62, time[s]:0.004073
iteration:63, time[s]:0.004159
iteration:64, time[s]:0.004070
iteration:65, time[s]:0.004207
iteration:66, time[s]:0.004225
iteration:67, time[s]:0.004186
iteration:68, time[s]:0.003861
iteration:69, time[s]:0.004138
iteration:70, time[s]:0.004434
iteration:71, time[s]:0.004761
iteration:72, time[s]:0.004449
iteration:73, time[s]:0.004142
iteration:74, time[s]:0.004155
iteration:75, time[s]:0.004104
iteration:76, time[s]:0.004249
iteration:77, time[s]:0.004072
iteration:78, time[s]:0.004037
iteration:79, time[s]:0.004059
iteration:80, time[s]:0.004262
iteration:81, time[s]:0.004204
iteration:82, time[s]:0.004283
iteration:83, time[s]:0.004215
iteration:84, time[s]:0.004163
iteration:85, time[s]:0.003961
iteration:86, time[s]:0.004570
iteration:87, time[s]:0.004103
iteration:88, time[s]:0.003987
iteration:89, time[s]:0.003960
iteration:90, time[s]:0.004062
iteration:91, time[s]:0.004069
iteration:92, time[s]:0.003954
iteration:93, time[s]:0.004007
iteration:94, time[s]:0.004700
iteration:95, time[s]:0.003979
iteration:96, time[s]:0.004857
iteration:97, time[s]:0.004422
iteration:98, time[s]:0.004580
iteration:99, time[s]:0.004135
iteration:100, time[s]:0.003979
iteration:101, time[s]:0.004014
iteration:102, time[s]:0.004390
iteration:103, time[s]:0.004274
iteration:104, time[s]:0.004257
iteration:105, time[s]:0.004310
iteration:106, time[s]:0.004421
iteration:107, time[s]:0.004275
iteration:108, time[s]:0.004570
iteration:109, time[s]:0.004493
iteration:110, time[s]:0.004381
iteration:111, time[s]:0.004317
iteration:112, time[s]:0.004305
iteration:113, time[s]:0.004562
iteration:114, time[s]:0.004362
iteration:115, time[s]:0.004364
iteration:116, time[s]:0.004314
iteration:117, time[s]:0.004809
iteration:118, time[s]:0.004328
iteration:119, time[s]:0.004520
iteration:120, time[s]:0.004298
iteration:121, time[s]:0.004601
iteration:122, time[s]:0.004417
iteration:123, time[s]:0.004341
iteration:124, time[s]:0.004239
iteration:125, time[s]:0.004354
iteration:126, time[s]:0.004562
iteration:127, time[s]:0.004521
iteration:128, time[s]:0.004499
iteration:129, time[s]:0.004474
iteration:130, time[s]:0.004717
iteration:131, time[s]:0.004669
iteration:132, time[s]:0.004740
iteration:133, time[s]:0.004472
iteration:134, time[s]:0.004579
iteration:135, time[s]:0.004260
iteration:136, time[s]:0.004638
iteration:137, time[s]:0.004419
iteration:138, time[s]:0.004585
iteration:139, time[s]:0.004387
iteration:140, time[s]:0.004832
iteration:141, time[s]:0.004452
iteration:142, time[s]:0.004487
iteration:143, time[s]:0.004529
iteration:144, time[s]:0.004549
iteration:145, time[s]:0.004546
iteration:146, time[s]:0.004600
iteration:147, time[s]:0.004606
iteration:148, time[s]:0.004814
iteration:149, time[s]:0.004740
iteration:150, time[s]:0.004760
iteration:151, time[s]:0.004692
iteration:152, time[s]:0.004486
iteration:153, time[s]:0.004362
iteration:154, time[s]:0.004630
iteration:155, time[s]:0.004533
iteration:156, time[s]:0.004495
iteration:157, time[s]:0.004414
iteration:158, time[s]:0.004396
iteration:159, time[s]:0.004628
iteration:160, time[s]:0.004679
iteration:161, time[s]:0.004537
iteration:162, time[s]:0.004607
iteration:163, time[s]:0.004714
iteration:164, time[s]:0.004869
iteration:165, time[s]:0.004631
iteration:166, time[s]:0.004686
iteration:167, time[s]:0.004594
iteration:168, time[s]:0.004431
iteration:169, time[s]:0.004427
iteration:170, time[s]:0.004501
iteration:171, time[s]:0.004570
iteration:172, time[s]:0.004777
iteration:173, time[s]:0.004808
iteration:174, time[s]:0.004708
iteration:175, time[s]:0.004703
iteration:176, time[s]:0.004614
iteration:177, time[s]:0.004658
iteration:178, time[s]:0.004553
iteration:179, time[s]:0.004592
iteration:180, time[s]:0.004525
iteration:181, time[s]:0.005200
iteration:182, time[s]:0.004808
iteration:183, time[s]:0.004225
iteration:184, time[s]:0.004749
iteration:185, time[s]:0.004454
iteration:186, time[s]:0.004482
iteration:187, time[s]:0.004141
iteration:188, time[s]:0.004389
iteration:189, time[s]:0.004339
iteration:190, time[s]:0.004278
