XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/xilinx/xrt/bin:/opt/xilinx/xrt/bin:/opt/tools/Xilinx/Vitis/2019.2/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2019.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vivado/2019.2/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/mnt/local/altera_pro/16.0/quartus/bin:/mnt/local/mentor/questasim/linux_x86_64:/mnt/local/aal/bin:/opt/tools/Xilinx/Vitis/2019.2/bin:/opt/Xilinx/Vitis/2020.2/bin:/home/zhe/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:/opt/xilinx/xrt/lib:/opt/tools/Xilinx/Vitis/2019.2/lib/lnx64.o/Ubuntu/18:/opt/tools/Xilinx/Vitis/2019.2/lib/lnx64.o/Ubuntu:/opt/tools/Xilinx/Vitis/2019.2/lib/lnx64.o:/opt/tools/Xilinx/Vitis/2019.2/runtime/lib/x86_64:/opt/xilinx/xrt/lib::/mnt/local/aal/lib:/home/zhe/centaur/libs
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:/opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
alveo3b
alveo4b
alveo2a
alveo1b
alveo1a
alveo2b
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:33554432, num_elements:8388608, num_trials:100
alveo1b, device on u250. Finished loading bitstream
alveo1b, bytes:33554432, num_elements:8388608, num_trials:100
alveo3b, device on u280. Finished loading bitstream
alveo3b, bytes:33554432, num_elements:8388608, num_trials:100
alveo4b, device on u280. Finished loading bitstream
alveo4b, bytes:33554432, num_elements:8388608, num_trials:100
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:33554432, num_elements:8388608, num_trials:100
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:33554432, num_elements:8388608, num_trials:100
Start Bcast test:
iteration:0, time[s]:0.084938
iteration:1, time[s]:0.071551
iteration:2, time[s]:0.068500
iteration:3, time[s]:0.069430
iteration:4, time[s]:0.068035
iteration:5, time[s]:0.067570
iteration:6, time[s]:0.067268
iteration:7, time[s]:0.066405
iteration:8, time[s]:0.067430
iteration:9, time[s]:0.066235
iteration:10, time[s]:0.066573
iteration:11, time[s]:0.065567
iteration:12, time[s]:0.066576
iteration:13, time[s]:0.067721
iteration:14, time[s]:0.067555
iteration:15, time[s]:0.068901
iteration:16, time[s]:0.066556
iteration:17, time[s]:0.065747
iteration:18, time[s]:0.066670
iteration:19, time[s]:0.066302
iteration:20, time[s]:0.068211
iteration:21, time[s]:0.068538
iteration:22, time[s]:0.068527
iteration:23, time[s]:0.069919
iteration:24, time[s]:0.069305
iteration:25, time[s]:0.067525
iteration:26, time[s]:0.069742
iteration:27, time[s]:0.067405
iteration:28, time[s]:0.068513
iteration:29, time[s]:0.068310
iteration:30, time[s]:0.068463
iteration:31, time[s]:0.066963
iteration:32, time[s]:0.065853
iteration:33, time[s]:0.068030
iteration:34, time[s]:0.067920
iteration:35, time[s]:0.068724
iteration:36, time[s]:0.069073
iteration:37, time[s]:0.070611
iteration:38, time[s]:0.071013
iteration:39, time[s]:0.070876
iteration:40, time[s]:0.070316
iteration:41, time[s]:0.069770
iteration:42, time[s]:0.066536
iteration:43, time[s]:0.067388
iteration:44, time[s]:0.066912
iteration:45, time[s]:0.069127
iteration:46, time[s]:0.068800
iteration:47, time[s]:0.069221
iteration:48, time[s]:0.067208
iteration:49, time[s]:0.067242
iteration:50, time[s]:0.068829
iteration:51, time[s]:0.068374
iteration:52, time[s]:0.068472
iteration:53, time[s]:0.069069
iteration:54, time[s]:0.067095
iteration:55, time[s]:0.066167
iteration:56, time[s]:0.064963
iteration:57, time[s]:0.066854
iteration:58, time[s]:0.066976
iteration:59, time[s]:0.067386
iteration:60, time[s]:0.068260
iteration:61, time[s]:0.068676
iteration:62, time[s]:0.067128
iteration:63, time[s]:0.067006
iteration:64, time[s]:0.068707
iteration:65, time[s]:0.066500
iteration:66, time[s]:0.068372
iteration:67, time[s]:0.067774
iteration:68, time[s]:0.067682
iteration:69, time[s]:0.068232
iteration:70, time[s]:0.068238
iteration:71, time[s]:0.068276
iteration:72, time[s]:0.068311
iteration:73, time[s]:0.065886
iteration:74, time[s]:0.066784
iteration:75, time[s]:0.067095
iteration:76, time[s]:0.067623
iteration:77, time[s]:0.067385
iteration:78, time[s]:0.067019
iteration:79, time[s]:0.066954
iteration:80, time[s]:0.067379
iteration:81, time[s]:0.067146
iteration:82, time[s]:0.068020
iteration:83, time[s]:0.066728
iteration:84, time[s]:0.065029
iteration:85, time[s]:0.065592
iteration:86, time[s]:0.065015
iteration:87, time[s]:0.066351
iteration:88, time[s]:0.067275
iteration:89, time[s]:0.065737
iteration:90, time[s]:0.067194
iteration:91, time[s]:0.067332
iteration:92, time[s]:0.067696
iteration:93, time[s]:0.068474
iteration:94, time[s]:0.069507
iteration:95, time[s]:0.068931
iteration:96, time[s]:0.068855
iteration:97, time[s]:0.070635
iteration:98, time[s]:0.069243
iteration:99, time[s]:0.068112
iteration:100, time[s]:0.068699
Data size = 33554432, Trials = 100
Avg MPI time [us]= *67816.771370, throughput [Gbps] = 3.958246
