XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/xilinx/xrt/bin:/opt/xilinx/xrt/bin:/opt/tools/Xilinx/Vitis/2019.2/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2019.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vivado/2019.2/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/mnt/local/altera_pro/16.0/quartus/bin:/mnt/local/mentor/questasim/linux_x86_64:/mnt/local/aal/bin:/opt/tools/Xilinx/Vitis/2019.2/bin:/opt/Xilinx/Vitis/2020.2/bin:/home/zhe/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:/opt/xilinx/xrt/lib:/opt/tools/Xilinx/Vitis/2019.2/lib/lnx64.o/Ubuntu/18:/opt/tools/Xilinx/Vitis/2019.2/lib/lnx64.o/Ubuntu:/opt/tools/Xilinx/Vitis/2019.2/lib/lnx64.o:/opt/tools/Xilinx/Vitis/2019.2/runtime/lib/x86_64:/opt/xilinx/xrt/lib::/mnt/local/aal/lib:/home/zhe/centaur/libs
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:/opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
alveo3b
alveo2b
alveo4c
alveo4b
alveo1b
alveo1a
alveo2a
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:33554432, num_elements:8388608, num_trials:1000
alveo1b, device on u250. Finished loading bitstream
alveo1b, bytes:33554432, num_elements:8388608, num_trials:1000
alveo4b, device on u280. Finished loading bitstream
alveo4b, bytes:33554432, num_elements:8388608, num_trials:1000
alveo3b, device on u280. Finished loading bitstream
alveo3b, bytes:33554432, num_elements:8388608, num_trials:1000
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:33554432, num_elements:8388608, num_trials:1000
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:33554432, num_elements:8388608, num_trials:1000
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:33554432, num_elements:8388608, num_trials:1000
Start Bcast test:
iteration:0, time[s]:0.098289
iteration:1, time[s]:0.091093
iteration:2, time[s]:0.093091
iteration:3, time[s]:0.091441
iteration:4, time[s]:0.086936
iteration:5, time[s]:0.086369
iteration:6, time[s]:0.083942
iteration:7, time[s]:0.084992
iteration:8, time[s]:0.084722
iteration:9, time[s]:0.084120
iteration:10, time[s]:0.085409
iteration:11, time[s]:0.083599
iteration:12, time[s]:0.083548
iteration:13, time[s]:0.084796
iteration:14, time[s]:0.084715
iteration:15, time[s]:0.084197
iteration:16, time[s]:0.083683
iteration:17, time[s]:0.084600
iteration:18, time[s]:0.085073
iteration:19, time[s]:0.085684
iteration:20, time[s]:0.084520
iteration:21, time[s]:0.084496
iteration:22, time[s]:0.086097
iteration:23, time[s]:0.088384
iteration:24, time[s]:0.084289
iteration:25, time[s]:0.087823
iteration:26, time[s]:0.087452
iteration:27, time[s]:0.085059
iteration:28, time[s]:0.085606
iteration:29, time[s]:0.086147
iteration:30, time[s]:0.085307
iteration:31, time[s]:0.085454
iteration:32, time[s]:0.085564
iteration:33, time[s]:0.084816
iteration:34, time[s]:0.084067
iteration:35, time[s]:0.084321
iteration:36, time[s]:0.084003
iteration:37, time[s]:0.082851
iteration:38, time[s]:0.083448
iteration:39, time[s]:0.081987
iteration:40, time[s]:0.082053
iteration:41, time[s]:0.082041
iteration:42, time[s]:0.081356
iteration:43, time[s]:0.082400
iteration:44, time[s]:0.082903
iteration:45, time[s]:0.082897
iteration:46, time[s]:0.082193
iteration:47, time[s]:0.084977
iteration:48, time[s]:0.085440
iteration:49, time[s]:0.084645
iteration:50, time[s]:0.084950
iteration:51, time[s]:0.084709
iteration:52, time[s]:0.085256
iteration:53, time[s]:0.084437
iteration:54, time[s]:0.085909
iteration:55, time[s]:0.085607
iteration:56, time[s]:0.083415
iteration:57, time[s]:0.083408
iteration:58, time[s]:0.082479
iteration:59, time[s]:0.082149
iteration:60, time[s]:0.082407
iteration:61, time[s]:0.084007
iteration:62, time[s]:0.083135
iteration:63, time[s]:0.085750
iteration:64, time[s]:0.086357
iteration:65, time[s]:0.085399
iteration:66, time[s]:0.085427
iteration:67, time[s]:0.087667
iteration:68, time[s]:0.086380
iteration:69, time[s]:0.088226
iteration:70, time[s]:0.087169
iteration:71, time[s]:0.085106
iteration:72, time[s]:0.086306
iteration:73, time[s]:0.087030
iteration:74, time[s]:0.087574
iteration:75, time[s]:0.086824
iteration:76, time[s]:0.088017
iteration:77, time[s]:0.089069
iteration:78, time[s]:0.088485
iteration:79, time[s]:0.087215
iteration:80, time[s]:0.087929
iteration:81, time[s]:0.086110
iteration:82, time[s]:0.085501
iteration:83, time[s]:0.086529
iteration:84, time[s]:0.084323
iteration:85, time[s]:0.085737
iteration:86, time[s]:0.084735
iteration:87, time[s]:0.085517
iteration:88, time[s]:0.085288
iteration:89, time[s]:0.085599
iteration:90, time[s]:0.084549
iteration:91, time[s]:0.084711
iteration:92, time[s]:0.085507
iteration:93, time[s]:0.086161
iteration:94, time[s]:0.085371
iteration:95, time[s]:0.086713
iteration:96, time[s]:0.085963
iteration:97, time[s]:0.087093
iteration:98, time[s]:0.087319
iteration:99, time[s]:0.089595
iteration:100, time[s]:0.089463
iteration:101, time[s]:0.088567
iteration:102, time[s]:0.088826
iteration:103, time[s]:0.090510
iteration:104, time[s]:0.088321
iteration:105, time[s]:0.090777
iteration:106, time[s]:0.089001
iteration:107, time[s]:0.089909
iteration:108, time[s]:0.089168
iteration:109, time[s]:0.086188
iteration:110, time[s]:0.086048
iteration:111, time[s]:0.083706
iteration:112, time[s]:0.085819
iteration:113, time[s]:0.085807
iteration:114, time[s]:0.086910
iteration:115, time[s]:0.084998
iteration:116, time[s]:0.085121
iteration:117, time[s]:0.085160
iteration:118, time[s]:0.085869
iteration:119, time[s]:0.086348
iteration:120, time[s]:0.085852
iteration:121, time[s]:0.085819
iteration:122, time[s]:0.086784
iteration:123, time[s]:0.087668
iteration:124, time[s]:0.084857
iteration:125, time[s]:0.084699
iteration:126, time[s]:0.084201
iteration:127, time[s]:0.085209
iteration:128, time[s]:0.085725
iteration:129, time[s]:0.086220
iteration:130, time[s]:0.085235
iteration:131, time[s]:0.087327
iteration:132, time[s]:0.087836
iteration:133, time[s]:0.086527
iteration:134, time[s]:0.087600
iteration:135, time[s]:0.086112
iteration:136, time[s]:0.085202
iteration:137, time[s]:0.086297
iteration:138, time[s]:0.085113
iteration:139, time[s]:0.085204
iteration:140, time[s]:0.084397
iteration:141, time[s]:0.084683
iteration:142, time[s]:0.083942
iteration:143, time[s]:0.085858
iteration:144, time[s]:0.084049
iteration:145, time[s]:0.085364
iteration:146, time[s]:0.083494
iteration:147, time[s]:0.084582
iteration:148, time[s]:0.083181
iteration:149, time[s]:0.083758
iteration:150, time[s]:0.082518
iteration:151, time[s]:0.085681
iteration:152, time[s]:0.083500
iteration:153, time[s]:0.084164
iteration:154, time[s]:0.082307
iteration:155, time[s]:0.083492
iteration:156, time[s]:0.083268
iteration:157, time[s]:0.085259
iteration:158, time[s]:0.084387
iteration:159, time[s]:0.084898
iteration:160, time[s]:0.084465
iteration:161, time[s]:0.085052
iteration:162, time[s]:0.084726
iteration:163, time[s]:0.084434
iteration:164, time[s]:0.084953
iteration:165, time[s]:0.087564
iteration:166, time[s]:0.085330
iteration:167, time[s]:0.084154
iteration:168, time[s]:0.084871
iteration:169, time[s]:0.083769
iteration:170, time[s]:0.083543
iteration:171, time[s]:0.083745
iteration:172, time[s]:0.083189
iteration:173, time[s]:0.084260
iteration:174, time[s]:0.083864
iteration:175, time[s]:0.082831
iteration:176, time[s]:0.083615
iteration:177, time[s]:0.083267
iteration:178, time[s]:0.082202
iteration:179, time[s]:0.082648
iteration:180, time[s]:0.083779
iteration:181, time[s]:0.084243
iteration:182, time[s]:0.083970
iteration:183, time[s]:0.084299
iteration:184, time[s]:0.082718
iteration:185, time[s]:0.084429
iteration:186, time[s]:0.084889
iteration:187, time[s]:0.084401
iteration:188, time[s]:0.084137
iteration:189, time[s]:0.083838
iteration:190, time[s]:0.084468
iteration:191, time[s]:0.084662
iteration:192, time[s]:0.084639
iteration:193, time[s]:0.084837
iteration:194, time[s]:0.084974
iteration:195, time[s]:0.084190
iteration:196, time[s]:0.085110
iteration:197, time[s]:0.084772
iteration:198, time[s]:0.086260
iteration:199, time[s]:0.083978
iteration:200, time[s]:0.085919
iteration:201, time[s]:0.084627
iteration:202, time[s]:0.084132
iteration:203, time[s]:0.084994
iteration:204, time[s]:0.087363
iteration:205, time[s]:0.087153
iteration:206, time[s]:0.085919
iteration:207, time[s]:0.088769
iteration:208, time[s]:0.087625
iteration:209, time[s]:0.086041
iteration:210, time[s]:0.086778
iteration:211, time[s]:0.087414
iteration:212, time[s]:0.088828
