XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/xilinx/xrt/bin:/opt/xilinx/xrt/bin:/opt/tools/Xilinx/Vitis/2019.2/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2019.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vivado/2019.2/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/mnt/local/altera_pro/16.0/quartus/bin:/mnt/local/mentor/questasim/linux_x86_64:/mnt/local/aal/bin:/opt/tools/Xilinx/Vitis/2019.2/bin:/opt/Xilinx/Vitis/2020.2/bin:/home/zhe/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:/opt/xilinx/xrt/lib:/opt/tools/Xilinx/Vitis/2019.2/lib/lnx64.o/Ubuntu/18:/opt/tools/Xilinx/Vitis/2019.2/lib/lnx64.o/Ubuntu:/opt/tools/Xilinx/Vitis/2019.2/lib/lnx64.o:/opt/tools/Xilinx/Vitis/2019.2/runtime/lib/x86_64:/opt/xilinx/xrt/lib::/mnt/local/aal/lib:/home/zhe/centaur/libs
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:/opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
alveo1b
alveo3b
alveo2b
alveo1a
alveo2a
alveo3b, device on u280. Finished loading bitstream
alveo3b, bytes:4194304, num_elements:1048576, num_trials:100
alveo1b, device on u250. Finished loading bitstream
alveo1b, bytes:4194304, num_elements:1048576, num_trials:100
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:4194304, num_elements:1048576, num_trials:100
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:4194304, num_elements:1048576, num_trials:100
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:4194304, num_elements:1048576, num_trials:100
Start Bcast test:
iteration:0, time[s]:0.012480
iteration:1, time[s]:0.008454
iteration:2, time[s]:0.007085
iteration:3, time[s]:0.006611
iteration:4, time[s]:0.006309
iteration:5, time[s]:0.005885
iteration:6, time[s]:0.006211
iteration:7, time[s]:0.007299
iteration:8, time[s]:0.006665
iteration:9, time[s]:0.022700
iteration:10, time[s]:0.006261
iteration:11, time[s]:0.006207
iteration:12, time[s]:0.006711
iteration:13, time[s]:0.007187
iteration:14, time[s]:0.006463
iteration:15, time[s]:0.006772
iteration:16, time[s]:0.007147
iteration:17, time[s]:0.007097
iteration:18, time[s]:0.006501
iteration:19, time[s]:0.006894
iteration:20, time[s]:0.006867
iteration:21, time[s]:0.006561
iteration:22, time[s]:0.006459
iteration:23, time[s]:0.006934
iteration:24, time[s]:0.006287
iteration:25, time[s]:0.006569
iteration:26, time[s]:0.006244
iteration:27, time[s]:0.006515
iteration:28, time[s]:0.006291
iteration:29, time[s]:0.006408
iteration:30, time[s]:0.006138
iteration:31, time[s]:0.006908
iteration:32, time[s]:0.006598
iteration:33, time[s]:0.006782
iteration:34, time[s]:0.006522
iteration:35, time[s]:0.006507
iteration:36, time[s]:0.006408
iteration:37, time[s]:0.006526
iteration:38, time[s]:0.006350
iteration:39, time[s]:0.006245
iteration:40, time[s]:0.006998
iteration:41, time[s]:0.006689
iteration:42, time[s]:0.006389
iteration:43, time[s]:0.006992
iteration:44, time[s]:0.006368
iteration:45, time[s]:0.006772
iteration:46, time[s]:0.006249
iteration:47, time[s]:0.006801
iteration:48, time[s]:0.006967
iteration:49, time[s]:0.006850
iteration:50, time[s]:0.007264
iteration:51, time[s]:0.006639
iteration:52, time[s]:0.007208
iteration:53, time[s]:0.006770
iteration:54, time[s]:0.006806
iteration:55, time[s]:0.006989
iteration:56, time[s]:0.007022
iteration:57, time[s]:0.006814
iteration:58, time[s]:0.006932
iteration:59, time[s]:0.006743
iteration:60, time[s]:0.006705
iteration:61, time[s]:0.006357
iteration:62, time[s]:0.006539
iteration:63, time[s]:0.006634
iteration:64, time[s]:0.006714
iteration:65, time[s]:0.006552
iteration:66, time[s]:0.006655
iteration:67, time[s]:0.006420
iteration:68, time[s]:0.006639
iteration:69, time[s]:0.006610
iteration:70, time[s]:0.006113
iteration:71, time[s]:0.006474
iteration:72, time[s]:0.006646
iteration:73, time[s]:0.006484
iteration:74, time[s]:0.006343
iteration:75, time[s]:0.006524
iteration:76, time[s]:0.006549
iteration:77, time[s]:0.006862
iteration:78, time[s]:0.006430
iteration:79, time[s]:0.007051
iteration:80, time[s]:0.006528
iteration:81, time[s]:0.006877
iteration:82, time[s]:0.006417
iteration:83, time[s]:0.006300
iteration:84, time[s]:0.006689
iteration:85, time[s]:0.006717
iteration:86, time[s]:0.006948
iteration:87, time[s]:0.006661
iteration:88, time[s]:0.006426
iteration:89, time[s]:0.007177
iteration:90, time[s]:0.006350
iteration:91, time[s]:0.006176
iteration:92, time[s]:0.006868
iteration:93, time[s]:0.006206
iteration:94, time[s]:0.006075
iteration:95, time[s]:0.006407
iteration:96, time[s]:0.006571
iteration:97, time[s]:0.006478
iteration:98, time[s]:0.006889
iteration:99, time[s]:0.006532
iteration:100, time[s]:0.006531
Data size = 4194304, Trials = 100
Avg MPI time [us]= *6799.591610, throughput [Gbps] = 4.934772
