XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/xilinx/xrt/bin:/opt/xilinx/xrt/bin:/opt/tools/Xilinx/Vitis/2019.2/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2019.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2019.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vivado/2019.2/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/mnt/local/altera_pro/16.0/quartus/bin:/mnt/local/mentor/questasim/linux_x86_64:/mnt/local/aal/bin:/opt/tools/Xilinx/Vitis/2019.2/bin:/opt/Xilinx/Vitis/2020.2/bin:/home/zhe/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:/opt/xilinx/xrt/lib:/opt/tools/Xilinx/Vitis/2019.2/lib/lnx64.o/Ubuntu/18:/opt/tools/Xilinx/Vitis/2019.2/lib/lnx64.o/Ubuntu:/opt/tools/Xilinx/Vitis/2019.2/lib/lnx64.o:/opt/tools/Xilinx/Vitis/2019.2/runtime/lib/x86_64:/opt/xilinx/xrt/lib::/mnt/local/aal/lib:/home/zhe/centaur/libs
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:/opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
alveo2a
alveo2b
alveo4b
alveo3c
alveo4c
alveo3b
alveo1a
alveo1b
alveo4b, device on u280. Finished loading bitstream
alveo4b, bytes:8388608, num_elements:2097152, num_trials:1000
alveo3c, device on u280. Finished loading bitstream
alveo3c, bytes:8388608, num_elements:2097152, num_trials:1000
alveo3b, device on u280. Finished loading bitstream
alveo3b, bytes:8388608, num_elements:2097152, num_trials:1000
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:8388608, num_elements:2097152, num_trials:1000
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:8388608, num_elements:2097152, num_trials:1000
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:8388608, num_elements:2097152, num_trials:1000
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:8388608, num_elements:2097152, num_trials:1000
Start Bcast test:
alveo1b, device on u250. Finished loading bitstream
alveo1b, bytes:8388608, num_elements:2097152, num_trials:1000
iteration:0, time[s]:0.012589
iteration:1, time[s]:0.009575
iteration:2, time[s]:0.009147
iteration:3, time[s]:0.009186
iteration:4, time[s]:0.009688
iteration:5, time[s]:0.010059
iteration:6, time[s]:0.010064
iteration:7, time[s]:0.009971
iteration:8, time[s]:0.010668
iteration:9, time[s]:0.010241
iteration:10, time[s]:0.009861
iteration:11, time[s]:0.010589
iteration:12, time[s]:0.009879
iteration:13, time[s]:0.010555
iteration:14, time[s]:0.011412
iteration:15, time[s]:0.009968
iteration:16, time[s]:0.010629
iteration:17, time[s]:0.010313
iteration:18, time[s]:0.010412
iteration:19, time[s]:0.008955
iteration:20, time[s]:0.010472
iteration:21, time[s]:0.009780
iteration:22, time[s]:0.009769
iteration:23, time[s]:0.010490
iteration:24, time[s]:0.009775
iteration:25, time[s]:0.009461
iteration:26, time[s]:0.011769
iteration:27, time[s]:0.010140
iteration:28, time[s]:0.010229
iteration:29, time[s]:0.010171
iteration:30, time[s]:0.009931
iteration:31, time[s]:0.010114
iteration:32, time[s]:0.009781
iteration:33, time[s]:0.010782
iteration:34, time[s]:0.010888
iteration:35, time[s]:0.010999
iteration:36, time[s]:0.010484
iteration:37, time[s]:0.009798
iteration:38, time[s]:0.010239
iteration:39, time[s]:0.009844
iteration:40, time[s]:0.009776
iteration:41, time[s]:0.010138
iteration:42, time[s]:0.009522
iteration:43, time[s]:0.010245
iteration:44, time[s]:0.010083
iteration:45, time[s]:0.009594
iteration:46, time[s]:0.010202
iteration:47, time[s]:0.012351
iteration:48, time[s]:0.009969
iteration:49, time[s]:0.010152
iteration:50, time[s]:0.010089
iteration:51, time[s]:0.010766
iteration:52, time[s]:0.009323
iteration:53, time[s]:0.009995
iteration:54, time[s]:0.010423
iteration:55, time[s]:0.009363
iteration:56, time[s]:0.010357
iteration:57, time[s]:0.010537
iteration:58, time[s]:0.009865
iteration:59, time[s]:0.010934
iteration:60, time[s]:0.010089
iteration:61, time[s]:0.009153
iteration:62, time[s]:0.009751
iteration:63, time[s]:0.010382
iteration:64, time[s]:0.009844
iteration:65, time[s]:0.009979
iteration:66, time[s]:0.009928
iteration:67, time[s]:0.010527
iteration:68, time[s]:0.010032
iteration:69, time[s]:0.010497
iteration:70, time[s]:0.009999
iteration:71, time[s]:0.009860
iteration:72, time[s]:0.009049
iteration:73, time[s]:0.009350
iteration:74, time[s]:0.010021
iteration:75, time[s]:0.010291
iteration:76, time[s]:0.010336
iteration:77, time[s]:0.008884
iteration:78, time[s]:0.010134
iteration:79, time[s]:0.009659
iteration:80, time[s]:0.010416
iteration:81, time[s]:0.010887
iteration:82, time[s]:0.009052
iteration:83, time[s]:0.009817
iteration:84, time[s]:0.009963
iteration:85, time[s]:0.009694
iteration:86, time[s]:0.009836
iteration:87, time[s]:0.010677
iteration:88, time[s]:0.009878
iteration:89, time[s]:0.010531
iteration:90, time[s]:0.010900
iteration:91, time[s]:0.009813
iteration:92, time[s]:0.010701
iteration:93, time[s]:0.010290
iteration:94, time[s]:0.010402
iteration:95, time[s]:0.010175
iteration:96, time[s]:0.009984
iteration:97, time[s]:0.010368
iteration:98, time[s]:0.009710
iteration:99, time[s]:0.010725
iteration:100, time[s]:0.010767
iteration:101, time[s]:0.010679
iteration:102, time[s]:0.009224
iteration:103, time[s]:0.009615
iteration:104, time[s]:0.009822
iteration:105, time[s]:0.009950
iteration:106, time[s]:0.010117
iteration:107, time[s]:0.009692
iteration:108, time[s]:0.010053
iteration:109, time[s]:0.009347
iteration:110, time[s]:0.009475
iteration:111, time[s]:0.009359
iteration:112, time[s]:0.009744
iteration:113, time[s]:0.009628
iteration:114, time[s]:0.010045
iteration:115, time[s]:0.009559
iteration:116, time[s]:0.010564
iteration:117, time[s]:0.009931
iteration:118, time[s]:0.009657
iteration:119, time[s]:0.009791
iteration:120, time[s]:0.010323
iteration:121, time[s]:0.009858
iteration:122, time[s]:0.009370
iteration:123, time[s]:0.010012
iteration:124, time[s]:0.009152
iteration:125, time[s]:0.010434
iteration:126, time[s]:0.010493
iteration:127, time[s]:0.010847
iteration:128, time[s]:0.009945
iteration:129, time[s]:0.009644
iteration:130, time[s]:0.010430
iteration:131, time[s]:0.009807
iteration:132, time[s]:0.010087
iteration:133, time[s]:0.010171
iteration:134, time[s]:0.009957
iteration:135, time[s]:0.011008
iteration:136, time[s]:0.010482
iteration:137, time[s]:0.011047
iteration:138, time[s]:0.010720
iteration:139, time[s]:0.009233
iteration:140, time[s]:0.010276
iteration:141, time[s]:0.009875
iteration:142, time[s]:0.008911
iteration:143, time[s]:0.009816
iteration:144, time[s]:0.009592
iteration:145, time[s]:0.009640
iteration:146, time[s]:0.009578
iteration:147, time[s]:0.009894
iteration:148, time[s]:0.009693
iteration:149, time[s]:0.010308
iteration:150, time[s]:0.010336
iteration:151, time[s]:0.010172
iteration:152, time[s]:0.009638
iteration:153, time[s]:0.010104
iteration:154, time[s]:0.009132
iteration:155, time[s]:0.009438
iteration:156, time[s]:0.009920
iteration:157, time[s]:0.009263
iteration:158, time[s]:0.009830
iteration:159, time[s]:0.009459
iteration:160, time[s]:0.009289
iteration:161, time[s]:0.009420
iteration:162, time[s]:0.009897
iteration:163, time[s]:0.009480
iteration:164, time[s]:0.010352
iteration:165, time[s]:0.009103
iteration:166, time[s]:0.010533
iteration:167, time[s]:0.009962
iteration:168, time[s]:0.009954
iteration:169, time[s]:0.009384
iteration:170, time[s]:0.010146
iteration:171, time[s]:0.009406
iteration:172, time[s]:0.009350
iteration:173, time[s]:0.009911
iteration:174, time[s]:0.009555
iteration:175, time[s]:0.010006
iteration:176, time[s]:0.009849
iteration:177, time[s]:0.010115
iteration:178, time[s]:0.010156
iteration:179, time[s]:0.010471
iteration:180, time[s]:0.009936
iteration:181, time[s]:0.010129
iteration:182, time[s]:0.009350
iteration:183, time[s]:0.010217
iteration:184, time[s]:0.009889
iteration:185, time[s]:0.009896
iteration:186, time[s]:0.009468
iteration:187, time[s]:0.009500
iteration:188, time[s]:0.010313
iteration:189, time[s]:0.010222
iteration:190, time[s]:0.010389
iteration:191, time[s]:0.010107
iteration:192, time[s]:0.009797
iteration:193, time[s]:0.009414
iteration:194, time[s]:0.010722
iteration:195, time[s]:0.010579
iteration:196, time[s]:0.010570
iteration:197, time[s]:0.010708
iteration:198, time[s]:0.010880
iteration:199, time[s]:0.010054
iteration:200, time[s]:0.009543
iteration:201, time[s]:0.009980
iteration:202, time[s]:0.009592
iteration:203, time[s]:0.009791
iteration:204, time[s]:0.009889
iteration:205, time[s]:0.010424
iteration:206, time[s]:0.009374
iteration:207, time[s]:0.010811
iteration:208, time[s]:0.009824
iteration:209, time[s]:0.009959
iteration:210, time[s]:0.010563
iteration:211, time[s]:0.009769
iteration:212, time[s]:0.010002
iteration:213, time[s]:0.009752
iteration:214, time[s]:0.009472
iteration:215, time[s]:0.009936
iteration:216, time[s]:0.010424
iteration:217, time[s]:0.009767
iteration:218, time[s]:0.009551
iteration:219, time[s]:0.010175
iteration:220, time[s]:0.009482
iteration:221, time[s]:0.008928
iteration:222, time[s]:0.010205
iteration:223, time[s]:0.011113
iteration:224, time[s]:0.009542
iteration:225, time[s]:0.010611
iteration:226, time[s]:0.010311
iteration:227, time[s]:0.009407
iteration:228, time[s]:0.009302
iteration:229, time[s]:0.010332
iteration:230, time[s]:0.010333
iteration:231, time[s]:0.009558
iteration:232, time[s]:0.009781
iteration:233, time[s]:0.009679
iteration:234, time[s]:0.010872
