XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
alveo1a
alveo3b
alveo4c
alveo3c
alveo4b
alveo2a
alveo1b
alveo2b
alveo4b, device on u280. Finished loading bitstream
alveo4b, bytes:1048576, num_elements:262144, num_trials:200
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:1048576, num_elements:262144, num_trials:200
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:1048576, num_elements:262144, num_trials:200
Start Bcast test:
alveo3c, device on u280. Finished loading bitstream
alveo3c, bytes:1048576, num_elements:262144, num_trials:200
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:1048576, num_elements:262144, num_trials:200
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:1048576, num_elements:262144, num_trials:200
alveo3b, device on u280. Finished loading bitstream
alveo3b, bytes:1048576, num_elements:262144, num_trials:200
alveo1b, device on u250. Finished loading bitstream
alveo1b, bytes:1048576, num_elements:262144, num_trials:200
iteration:0, F2F_time[s]:0.002990, H2H_time:0.002055, sync_time:0.000935
iteration:1, F2F_time[s]:0.002050, H2H_time:0.001207, sync_time:0.000844
iteration:2, F2F_time[s]:0.002120, H2H_time:0.001336, sync_time:0.000784
iteration:3, F2F_time[s]:0.002025, H2H_time:0.001227, sync_time:0.000798
iteration:4, F2F_time[s]:0.002031, H2H_time:0.001217, sync_time:0.000814
iteration:5, F2F_time[s]:0.002060, H2H_time:0.001255, sync_time:0.000805
iteration:6, F2F_time[s]:0.001973, H2H_time:0.001133, sync_time:0.000840
iteration:7, F2F_time[s]:0.002079, H2H_time:0.001160, sync_time:0.000919
iteration:8, F2F_time[s]:0.001912, H2H_time:0.001063, sync_time:0.000850
iteration:9, F2F_time[s]:0.002061, H2H_time:0.001175, sync_time:0.000887
iteration:10, F2F_time[s]:0.002007, H2H_time:0.001179, sync_time:0.000828
iteration:11, F2F_time[s]:0.001965, H2H_time:0.001195, sync_time:0.000770
iteration:12, F2F_time[s]:0.002158, H2H_time:0.001268, sync_time:0.000890
iteration:13, F2F_time[s]:0.002016, H2H_time:0.001135, sync_time:0.000881
iteration:14, F2F_time[s]:0.002076, H2H_time:0.001231, sync_time:0.000845
iteration:15, F2F_time[s]:0.001923, H2H_time:0.001177, sync_time:0.000746
iteration:16, F2F_time[s]:0.001962, H2H_time:0.001158, sync_time:0.000804
iteration:17, F2F_time[s]:0.001965, H2H_time:0.001131, sync_time:0.000835
iteration:18, F2F_time[s]:0.002089, H2H_time:0.001199, sync_time:0.000890
iteration:19, F2F_time[s]:0.001951, H2H_time:0.001148, sync_time:0.000803
iteration:20, F2F_time[s]:0.001825, H2H_time:0.001080, sync_time:0.000744
iteration:21, F2F_time[s]:0.001956, H2H_time:0.001150, sync_time:0.000806
iteration:22, F2F_time[s]:0.001947, H2H_time:0.001190, sync_time:0.000757
iteration:23, F2F_time[s]:0.001963, H2H_time:0.001158, sync_time:0.000805
iteration:24, F2F_time[s]:0.001842, H2H_time:0.000947, sync_time:0.000895
iteration:25, F2F_time[s]:0.001764, H2H_time:0.001065, sync_time:0.000699
iteration:26, F2F_time[s]:0.001926, H2H_time:0.001172, sync_time:0.000754
iteration:27, F2F_time[s]:0.001963, H2H_time:0.001150, sync_time:0.000814
iteration:28, F2F_time[s]:0.001880, H2H_time:0.001142, sync_time:0.000738
iteration:29, F2F_time[s]:0.002015, H2H_time:0.001193, sync_time:0.000822
iteration:30, F2F_time[s]:0.001945, H2H_time:0.001137, sync_time:0.000808
iteration:31, F2F_time[s]:0.001862, H2H_time:0.001169, sync_time:0.000693
iteration:32, F2F_time[s]:0.001955, H2H_time:0.001139, sync_time:0.000816
iteration:33, F2F_time[s]:0.001847, H2H_time:0.000937, sync_time:0.000910
iteration:34, F2F_time[s]:0.001957, H2H_time:0.001141, sync_time:0.000816
iteration:35, F2F_time[s]:0.002000, H2H_time:0.001131, sync_time:0.000869
iteration:36, F2F_time[s]:0.001962, H2H_time:0.001115, sync_time:0.000847
iteration:37, F2F_time[s]:0.001953, H2H_time:0.001116, sync_time:0.000837
iteration:38, F2F_time[s]:0.001774, H2H_time:0.001013, sync_time:0.000761
iteration:39, F2F_time[s]:0.001975, H2H_time:0.001129, sync_time:0.000846
iteration:40, F2F_time[s]:0.002001, H2H_time:0.001089, sync_time:0.000911
iteration:41, F2F_time[s]:0.002023, H2H_time:0.001185, sync_time:0.000838
iteration:42, F2F_time[s]:0.002003, H2H_time:0.001183, sync_time:0.000820
iteration:43, F2F_time[s]:0.001952, H2H_time:0.001118, sync_time:0.000834
iteration:44, F2F_time[s]:0.001933, H2H_time:0.001139, sync_time:0.000794
iteration:45, F2F_time[s]:0.001847, H2H_time:0.001065, sync_time:0.000782
iteration:46, F2F_time[s]:0.002116, H2H_time:0.001158, sync_time:0.000959
iteration:47, F2F_time[s]:0.002015, H2H_time:0.001147, sync_time:0.000868
iteration:48, F2F_time[s]:0.002100, H2H_time:0.001190, sync_time:0.000910
iteration:49, F2F_time[s]:0.002023, H2H_time:0.001165, sync_time:0.000858
iteration:50, F2F_time[s]:0.001890, H2H_time:0.001075, sync_time:0.000814
iteration:51, F2F_time[s]:0.002042, H2H_time:0.001230, sync_time:0.000812
iteration:52, F2F_time[s]:0.001982, H2H_time:0.001157, sync_time:0.000825
iteration:53, F2F_time[s]:0.002386, H2H_time:0.001584, sync_time:0.000802
iteration:54, F2F_time[s]:0.002134, H2H_time:0.001243, sync_time:0.000890
iteration:55, F2F_time[s]:0.002031, H2H_time:0.001183, sync_time:0.000848
iteration:56, F2F_time[s]:0.001857, H2H_time:0.001038, sync_time:0.000820
iteration:57, F2F_time[s]:0.002009, H2H_time:0.001191, sync_time:0.000818
iteration:58, F2F_time[s]:0.001950, H2H_time:0.001143, sync_time:0.000806
iteration:59, F2F_time[s]:0.002026, H2H_time:0.001153, sync_time:0.000874
iteration:60, F2F_time[s]:0.001916, H2H_time:0.001182, sync_time:0.000734
iteration:61, F2F_time[s]:0.002178, H2H_time:0.001258, sync_time:0.000920
iteration:62, F2F_time[s]:0.001913, H2H_time:0.001126, sync_time:0.000786
iteration:63, F2F_time[s]:0.002002, H2H_time:0.001170, sync_time:0.000832
iteration:64, F2F_time[s]:0.001959, H2H_time:0.001107, sync_time:0.000852
iteration:65, F2F_time[s]:0.002016, H2H_time:0.001105, sync_time:0.000910
iteration:66, F2F_time[s]:0.001909, H2H_time:0.001113, sync_time:0.000796
iteration:67, F2F_time[s]:0.002005, H2H_time:0.001172, sync_time:0.000833
iteration:68, F2F_time[s]:0.002016, H2H_time:0.001198, sync_time:0.000818
iteration:69, F2F_time[s]:0.002002, H2H_time:0.001141, sync_time:0.000861
iteration:70, F2F_time[s]:0.001919, H2H_time:0.001175, sync_time:0.000744
iteration:71, F2F_time[s]:0.001923, H2H_time:0.001068, sync_time:0.000855
iteration:72, F2F_time[s]:0.002048, H2H_time:0.001263, sync_time:0.000785
iteration:73, F2F_time[s]:0.001822, H2H_time:0.001056, sync_time:0.000765
iteration:74, F2F_time[s]:0.001928, H2H_time:0.001163, sync_time:0.000765
iteration:75, F2F_time[s]:0.001991, H2H_time:0.001179, sync_time:0.000812
iteration:76, F2F_time[s]:0.002000, H2H_time:0.001172, sync_time:0.000828
iteration:77, F2F_time[s]:0.001914, H2H_time:0.001076, sync_time:0.000838
iteration:78, F2F_time[s]:0.001913, H2H_time:0.001152, sync_time:0.000760
iteration:79, F2F_time[s]:0.002067, H2H_time:0.001191, sync_time:0.000876
iteration:80, F2F_time[s]:0.001964, H2H_time:0.001157, sync_time:0.000807
iteration:81, F2F_time[s]:0.002021, H2H_time:0.001160, sync_time:0.000861
iteration:82, F2F_time[s]:0.001904, H2H_time:0.001245, sync_time:0.000659
