XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
alveo4c
alveo1a
alveo2a
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:131072, num_elements:32768, num_trials:200
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:131072, num_elements:32768, num_trials:200
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:131072, num_elements:32768, num_trials:200
Start Bcast test:
iteration:0, F2F_time[s]:0.001435, H2H_time:0.001026, sync_time:0.000409
iteration:1, F2F_time[s]:0.000802, H2H_time:0.000382, sync_time:0.000420
iteration:2, F2F_time[s]:0.000678, H2H_time:0.000363, sync_time:0.000315
iteration:3, F2F_time[s]:0.000650, H2H_time:0.000334, sync_time:0.000316
iteration:4, F2F_time[s]:0.000667, H2H_time:0.000360, sync_time:0.000308
iteration:5, F2F_time[s]:0.000662, H2H_time:0.000358, sync_time:0.000304
iteration:6, F2F_time[s]:0.000659, H2H_time:0.000357, sync_time:0.000302
iteration:7, F2F_time[s]:0.000654, H2H_time:0.000353, sync_time:0.000301
iteration:8, F2F_time[s]:0.000651, H2H_time:0.000357, sync_time:0.000293
iteration:9, F2F_time[s]:0.000652, H2H_time:0.000355, sync_time:0.000297
iteration:10, F2F_time[s]:0.000642, H2H_time:0.000344, sync_time:0.000299
iteration:11, F2F_time[s]:0.000648, H2H_time:0.000356, sync_time:0.000292
iteration:12, F2F_time[s]:0.000578, H2H_time:0.000341, sync_time:0.000237
iteration:13, F2F_time[s]:0.000633, H2H_time:0.000336, sync_time:0.000297
iteration:14, F2F_time[s]:0.000669, H2H_time:0.000367, sync_time:0.000302
iteration:15, F2F_time[s]:0.000609, H2H_time:0.000320, sync_time:0.000289
iteration:16, F2F_time[s]:0.000637, H2H_time:0.000346, sync_time:0.000291
iteration:17, F2F_time[s]:0.000680, H2H_time:0.000350, sync_time:0.000329
iteration:18, F2F_time[s]:0.000658, H2H_time:0.000352, sync_time:0.000306
iteration:19, F2F_time[s]:0.000651, H2H_time:0.000355, sync_time:0.000296
iteration:20, F2F_time[s]:0.000631, H2H_time:0.000335, sync_time:0.000296
iteration:21, F2F_time[s]:0.000633, H2H_time:0.000339, sync_time:0.000294
iteration:22, F2F_time[s]:0.000634, H2H_time:0.000337, sync_time:0.000297
iteration:23, F2F_time[s]:0.000680, H2H_time:0.000372, sync_time:0.000308
iteration:24, F2F_time[s]:0.000637, H2H_time:0.000342, sync_time:0.000296
iteration:25, F2F_time[s]:0.000566, H2H_time:0.000276, sync_time:0.000290
iteration:26, F2F_time[s]:0.000573, H2H_time:0.000288, sync_time:0.000284
iteration:27, F2F_time[s]:0.000649, H2H_time:0.000346, sync_time:0.000303
iteration:28, F2F_time[s]:0.000514, H2H_time:0.000289, sync_time:0.000225
iteration:29, F2F_time[s]:0.000572, H2H_time:0.000267, sync_time:0.000304
iteration:30, F2F_time[s]:0.000571, H2H_time:0.000266, sync_time:0.000305
iteration:31, F2F_time[s]:0.000589, H2H_time:0.000290, sync_time:0.000299
iteration:32, F2F_time[s]:0.000506, H2H_time:0.000279, sync_time:0.000227
iteration:33, F2F_time[s]:0.000504, H2H_time:0.000299, sync_time:0.000205
iteration:34, F2F_time[s]:0.000505, H2H_time:0.000278, sync_time:0.000228
iteration:35, F2F_time[s]:0.000492, H2H_time:0.000262, sync_time:0.000230
iteration:36, F2F_time[s]:0.000481, H2H_time:0.000260, sync_time:0.000221
iteration:37, F2F_time[s]:0.000467, H2H_time:0.000257, sync_time:0.000210
iteration:38, F2F_time[s]:0.000471, H2H_time:0.000257, sync_time:0.000214
iteration:39, F2F_time[s]:0.000457, H2H_time:0.000245, sync_time:0.000212
iteration:40, F2F_time[s]:0.000515, H2H_time:0.000292, sync_time:0.000223
iteration:41, F2F_time[s]:0.000485, H2H_time:0.000263, sync_time:0.000222
iteration:42, F2F_time[s]:0.000487, H2H_time:0.000267, sync_time:0.000220
iteration:43, F2F_time[s]:0.000508, H2H_time:0.000267, sync_time:0.000241
iteration:44, F2F_time[s]:0.000555, H2H_time:0.000317, sync_time:0.000238
iteration:45, F2F_time[s]:0.000458, H2H_time:0.000242, sync_time:0.000217
iteration:46, F2F_time[s]:0.000475, H2H_time:0.000262, sync_time:0.000213
iteration:47, F2F_time[s]:0.000486, H2H_time:0.000268, sync_time:0.000218
iteration:48, F2F_time[s]:0.000490, H2H_time:0.000268, sync_time:0.000222
