XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
alveo1a
alveo4c
alveo2b
alveo2a
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:16777216, num_elements:4194304, num_trials:200
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:16777216, num_elements:4194304, num_trials:200
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:16777216, num_elements:4194304, num_trials:200
Start Bcast test:
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:16777216, num_elements:4194304, num_trials:200
iteration:0, F2F_time[s]:0.024530, H2H_time:0.017695, sync_time:0.006834
iteration:1, F2F_time[s]:0.022743, H2H_time:0.015861, sync_time:0.006882
iteration:2, F2F_time[s]:0.022230, H2H_time:0.015355, sync_time:0.006875
iteration:3, F2F_time[s]:0.020703, H2H_time:0.013855, sync_time:0.006848
iteration:4, F2F_time[s]:0.021763, H2H_time:0.014876, sync_time:0.006886
iteration:5, F2F_time[s]:0.021915, H2H_time:0.015102, sync_time:0.006813
iteration:6, F2F_time[s]:0.023069, H2H_time:0.016145, sync_time:0.006924
iteration:7, F2F_time[s]:0.021404, H2H_time:0.014539, sync_time:0.006864
iteration:8, F2F_time[s]:0.019686, H2H_time:0.012856, sync_time:0.006830
iteration:9, F2F_time[s]:0.020102, H2H_time:0.013226, sync_time:0.006877
iteration:10, F2F_time[s]:0.021159, H2H_time:0.014316, sync_time:0.006843
iteration:11, F2F_time[s]:0.020442, H2H_time:0.013506, sync_time:0.006936
iteration:12, F2F_time[s]:0.020916, H2H_time:0.014015, sync_time:0.006901
iteration:13, F2F_time[s]:0.021872, H2H_time:0.015004, sync_time:0.006867
iteration:14, F2F_time[s]:0.022305, H2H_time:0.015530, sync_time:0.006775
iteration:15, F2F_time[s]:0.021271, H2H_time:0.014351, sync_time:0.006920
iteration:16, F2F_time[s]:0.021720, H2H_time:0.014845, sync_time:0.006875
iteration:17, F2F_time[s]:0.020773, H2H_time:0.013900, sync_time:0.006873
iteration:18, F2F_time[s]:0.020738, H2H_time:0.013805, sync_time:0.006933
iteration:19, F2F_time[s]:0.020455, H2H_time:0.013659, sync_time:0.006796
iteration:20, F2F_time[s]:0.019640, H2H_time:0.012794, sync_time:0.006846
iteration:21, F2F_time[s]:0.020151, H2H_time:0.013231, sync_time:0.006919
iteration:22, F2F_time[s]:0.020487, H2H_time:0.013574, sync_time:0.006913
iteration:23, F2F_time[s]:0.021134, H2H_time:0.014264, sync_time:0.006870
iteration:24, F2F_time[s]:0.020984, H2H_time:0.014076, sync_time:0.006907
iteration:25, F2F_time[s]:0.020138, H2H_time:0.013222, sync_time:0.006916
iteration:26, F2F_time[s]:0.020770, H2H_time:0.013916, sync_time:0.006854
iteration:27, F2F_time[s]:0.021754, H2H_time:0.014836, sync_time:0.006919
iteration:28, F2F_time[s]:0.021039, H2H_time:0.014177, sync_time:0.006862
iteration:29, F2F_time[s]:0.020853, H2H_time:0.013969, sync_time:0.006885
iteration:30, F2F_time[s]:0.021906, H2H_time:0.015017, sync_time:0.006890
iteration:31, F2F_time[s]:0.020858, H2H_time:0.013949, sync_time:0.006910
iteration:32, F2F_time[s]:0.022101, H2H_time:0.015194, sync_time:0.006907
iteration:33, F2F_time[s]:0.020840, H2H_time:0.013975, sync_time:0.006865
iteration:34, F2F_time[s]:0.021674, H2H_time:0.014729, sync_time:0.006945
iteration:35, F2F_time[s]:0.022081, H2H_time:0.015207, sync_time:0.006874
iteration:36, F2F_time[s]:0.022051, H2H_time:0.015174, sync_time:0.006877
iteration:37, F2F_time[s]:0.021995, H2H_time:0.015086, sync_time:0.006909
iteration:38, F2F_time[s]:0.021360, H2H_time:0.014488, sync_time:0.006872
iteration:39, F2F_time[s]:0.022424, H2H_time:0.015515, sync_time:0.006909
