XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
alveo1a
alveo3b
alveo4b
alveo3c
alveo1b
alveo4c
alveo2a
alveo2b
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:2097152, num_elements:524288, num_trials:200
Start Bcast test:
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:2097152, num_elements:524288, num_trials:200
alveo3c, device on u280. Finished loading bitstream
alveo3c, bytes:2097152, num_elements:524288, num_trials:200
alveo4b, device on u280. Finished loading bitstream
alveo4b, bytes:2097152, num_elements:524288, num_trials:200
alveo3b, device on u280. Finished loading bitstream
alveo3b, bytes:2097152, num_elements:524288, num_trials:200
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:2097152, num_elements:524288, num_trials:200
alveo1b, device on u250. Finished loading bitstream
alveo1b, bytes:2097152, num_elements:524288, num_trials:200
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:2097152, num_elements:524288, num_trials:200
iteration:0, F2F_time[s]:0.004058, H2H_time:0.002685, sync_time:0.001373
iteration:1, F2F_time[s]:0.003861, H2H_time:0.002537, sync_time:0.001324
iteration:2, F2F_time[s]:0.003431, H2H_time:0.002177, sync_time:0.001254
iteration:3, F2F_time[s]:0.003715, H2H_time:0.002401, sync_time:0.001314
iteration:4, F2F_time[s]:0.003328, H2H_time:0.002121, sync_time:0.001207
iteration:5, F2F_time[s]:0.003467, H2H_time:0.002272, sync_time:0.001195
iteration:6, F2F_time[s]:0.004042, H2H_time:0.002700, sync_time:0.001342
iteration:7, F2F_time[s]:0.003573, H2H_time:0.002285, sync_time:0.001288
iteration:8, F2F_time[s]:0.003708, H2H_time:0.002278, sync_time:0.001430
iteration:9, F2F_time[s]:0.003626, H2H_time:0.002289, sync_time:0.001337
iteration:10, F2F_time[s]:0.018552, H2H_time:0.017108, sync_time:0.001444
iteration:11, F2F_time[s]:0.003375, H2H_time:0.002120, sync_time:0.001255
iteration:12, F2F_time[s]:0.003711, H2H_time:0.002334, sync_time:0.001377
iteration:13, F2F_time[s]:0.016168, H2H_time:0.014815, sync_time:0.001353
iteration:14, F2F_time[s]:0.003475, H2H_time:0.002184, sync_time:0.001291
iteration:15, F2F_time[s]:0.003275, H2H_time:0.002090, sync_time:0.001185
iteration:16, F2F_time[s]:0.003593, H2H_time:0.002224, sync_time:0.001369
iteration:17, F2F_time[s]:0.003614, H2H_time:0.002285, sync_time:0.001329
iteration:18, F2F_time[s]:0.003370, H2H_time:0.002132, sync_time:0.001238
iteration:19, F2F_time[s]:0.003271, H2H_time:0.002122, sync_time:0.001148
iteration:20, F2F_time[s]:0.003633, H2H_time:0.002142, sync_time:0.001491
iteration:21, F2F_time[s]:0.003630, H2H_time:0.002258, sync_time:0.001372
iteration:22, F2F_time[s]:0.003698, H2H_time:0.002326, sync_time:0.001372
iteration:23, F2F_time[s]:0.003643, H2H_time:0.002300, sync_time:0.001343
iteration:24, F2F_time[s]:0.003355, H2H_time:0.002124, sync_time:0.001231
iteration:25, F2F_time[s]:0.003485, H2H_time:0.002124, sync_time:0.001361
iteration:26, F2F_time[s]:0.003301, H2H_time:0.002093, sync_time:0.001207
iteration:27, F2F_time[s]:0.003198, H2H_time:0.002035, sync_time:0.001163
iteration:28, F2F_time[s]:0.003394, H2H_time:0.002102, sync_time:0.001292
iteration:29, F2F_time[s]:0.003350, H2H_time:0.002074, sync_time:0.001276
iteration:30, F2F_time[s]:0.003582, H2H_time:0.002172, sync_time:0.001410
iteration:31, F2F_time[s]:0.003234, H2H_time:0.002041, sync_time:0.001193
iteration:32, F2F_time[s]:0.003712, H2H_time:0.002335, sync_time:0.001377
iteration:33, F2F_time[s]:0.003352, H2H_time:0.002160, sync_time:0.001191
iteration:34, F2F_time[s]:0.003385, H2H_time:0.002052, sync_time:0.001334
iteration:35, F2F_time[s]:0.003377, H2H_time:0.002219, sync_time:0.001158
iteration:36, F2F_time[s]:0.003519, H2H_time:0.002143, sync_time:0.001376
iteration:37, F2F_time[s]:0.003726, H2H_time:0.002448, sync_time:0.001278
iteration:38, F2F_time[s]:0.003523, H2H_time:0.002179, sync_time:0.001345
iteration:39, F2F_time[s]:0.003297, H2H_time:0.002061, sync_time:0.001236
iteration:40, F2F_time[s]:0.003391, H2H_time:0.002105, sync_time:0.001286
iteration:41, F2F_time[s]:0.003506, H2H_time:0.002289, sync_time:0.001216
iteration:42, F2F_time[s]:0.003660, H2H_time:0.002338, sync_time:0.001322
iteration:43, F2F_time[s]:0.003259, H2H_time:0.002022, sync_time:0.001237
iteration:44, F2F_time[s]:0.003524, H2H_time:0.002246, sync_time:0.001278
iteration:45, F2F_time[s]:0.003540, H2H_time:0.002403, sync_time:0.001136
iteration:46, F2F_time[s]:0.003638, H2H_time:0.002135, sync_time:0.001503
iteration:47, F2F_time[s]:0.003332, H2H_time:0.002125, sync_time:0.001207
iteration:48, F2F_time[s]:0.003363, H2H_time:0.002144, sync_time:0.001219
iteration:49, F2F_time[s]:0.003365, H2H_time:0.002156, sync_time:0.001210
iteration:50, F2F_time[s]:0.003671, H2H_time:0.002195, sync_time:0.001476
iteration:51, F2F_time[s]:0.003597, H2H_time:0.002344, sync_time:0.001253
iteration:52, F2F_time[s]:0.003347, H2H_time:0.002189, sync_time:0.001158
iteration:53, F2F_time[s]:0.003740, H2H_time:0.002344, sync_time:0.001395
iteration:54, F2F_time[s]:0.003695, H2H_time:0.002222, sync_time:0.001473
iteration:55, F2F_time[s]:0.003344, H2H_time:0.002118, sync_time:0.001226
iteration:56, F2F_time[s]:0.003493, H2H_time:0.002138, sync_time:0.001354
iteration:57, F2F_time[s]:0.003326, H2H_time:0.002135, sync_time:0.001191
iteration:58, F2F_time[s]:0.003621, H2H_time:0.002121, sync_time:0.001500
iteration:59, F2F_time[s]:0.003338, H2H_time:0.002064, sync_time:0.001273
iteration:60, F2F_time[s]:0.003514, H2H_time:0.002223, sync_time:0.001291
iteration:61, F2F_time[s]:0.003381, H2H_time:0.002127, sync_time:0.001254
iteration:62, F2F_time[s]:0.003729, H2H_time:0.002354, sync_time:0.001375
