XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
alveo1a
alveo3b
alveo4c
alveo2b
alveo2a
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:4194304, num_elements:1048576, num_trials:200
Start Bcast test:
alveo3b, device on u280. Finished loading bitstream
alveo3b, bytes:4194304, num_elements:1048576, num_trials:200
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:4194304, num_elements:1048576, num_trials:200
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:4194304, num_elements:1048576, num_trials:200
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:4194304, num_elements:1048576, num_trials:200
iteration:0, F2F_time[s]:0.012389, H2H_time:0.010173, sync_time:0.002216
iteration:1, F2F_time[s]:0.009631, H2H_time:0.007480, sync_time:0.002151
iteration:2, F2F_time[s]:0.008843, H2H_time:0.006626, sync_time:0.002217
iteration:3, F2F_time[s]:0.007622, H2H_time:0.005412, sync_time:0.002211
iteration:4, F2F_time[s]:0.007212, H2H_time:0.005014, sync_time:0.002198
iteration:5, F2F_time[s]:0.007341, H2H_time:0.005156, sync_time:0.002184
iteration:6, F2F_time[s]:0.007308, H2H_time:0.005158, sync_time:0.002150
iteration:7, F2F_time[s]:0.007165, H2H_time:0.004989, sync_time:0.002176
iteration:8, F2F_time[s]:0.006855, H2H_time:0.004709, sync_time:0.002147
iteration:9, F2F_time[s]:0.006998, H2H_time:0.004806, sync_time:0.002192
iteration:10, F2F_time[s]:0.006763, H2H_time:0.004586, sync_time:0.002177
iteration:11, F2F_time[s]:0.020963, H2H_time:0.018755, sync_time:0.002208
iteration:12, F2F_time[s]:0.007135, H2H_time:0.004884, sync_time:0.002251
iteration:13, F2F_time[s]:0.007226, H2H_time:0.004989, sync_time:0.002237
iteration:14, F2F_time[s]:0.006950, H2H_time:0.004750, sync_time:0.002200
iteration:15, F2F_time[s]:0.007014, H2H_time:0.004825, sync_time:0.002189
iteration:16, F2F_time[s]:0.007295, H2H_time:0.005114, sync_time:0.002181
iteration:17, F2F_time[s]:0.006938, H2H_time:0.004760, sync_time:0.002178
iteration:18, F2F_time[s]:0.007452, H2H_time:0.005272, sync_time:0.002180
iteration:19, F2F_time[s]:0.007744, H2H_time:0.005542, sync_time:0.002202
iteration:20, F2F_time[s]:0.006968, H2H_time:0.004661, sync_time:0.002307
iteration:21, F2F_time[s]:0.007016, H2H_time:0.004732, sync_time:0.002284
iteration:22, F2F_time[s]:0.007167, H2H_time:0.004822, sync_time:0.002345
iteration:23, F2F_time[s]:0.007259, H2H_time:0.004921, sync_time:0.002338
iteration:24, F2F_time[s]:0.007379, H2H_time:0.005103, sync_time:0.002276
iteration:25, F2F_time[s]:0.007067, H2H_time:0.004877, sync_time:0.002190
iteration:26, F2F_time[s]:0.006774, H2H_time:0.004577, sync_time:0.002197
iteration:27, F2F_time[s]:0.006893, H2H_time:0.004751, sync_time:0.002141
iteration:28, F2F_time[s]:0.006660, H2H_time:0.004504, sync_time:0.002156
iteration:29, F2F_time[s]:0.007362, H2H_time:0.004846, sync_time:0.002516
iteration:30, F2F_time[s]:0.007122, H2H_time:0.004915, sync_time:0.002207
iteration:31, F2F_time[s]:0.007331, H2H_time:0.005147, sync_time:0.002184
iteration:32, F2F_time[s]:0.006778, H2H_time:0.004577, sync_time:0.002201
iteration:33, F2F_time[s]:0.007070, H2H_time:0.004894, sync_time:0.002176
iteration:34, F2F_time[s]:0.006992, H2H_time:0.004816, sync_time:0.002176
iteration:35, F2F_time[s]:0.007049, H2H_time:0.004847, sync_time:0.002202
iteration:36, F2F_time[s]:0.007204, H2H_time:0.005012, sync_time:0.002192
iteration:37, F2F_time[s]:0.007628, H2H_time:0.005437, sync_time:0.002192
iteration:38, F2F_time[s]:0.007518, H2H_time:0.005316, sync_time:0.002202
iteration:39, F2F_time[s]:0.006958, H2H_time:0.004764, sync_time:0.002194
iteration:40, F2F_time[s]:0.006967, H2H_time:0.004775, sync_time:0.002192
iteration:41, F2F_time[s]:0.007289, H2H_time:0.005117, sync_time:0.002172
iteration:42, F2F_time[s]:0.007871, H2H_time:0.005693, sync_time:0.002178
iteration:43, F2F_time[s]:0.007847, H2H_time:0.005657, sync_time:0.002191
iteration:44, F2F_time[s]:0.007466, H2H_time:0.005271, sync_time:0.002195
