XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
alveo4c
alveo1a
alveo2a
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:524288, num_elements:131072, num_trials:200
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:524288, num_elements:131072, num_trials:200
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:524288, num_elements:131072, num_trials:200
Start Bcast test:
iteration:0, F2F_time[s]:0.001778, H2H_time:0.001025, sync_time:0.000752
iteration:1, F2F_time[s]:0.001371, H2H_time:0.000658, sync_time:0.000713
iteration:2, F2F_time[s]:0.001300, H2H_time:0.000588, sync_time:0.000712
iteration:3, F2F_time[s]:0.001319, H2H_time:0.000601, sync_time:0.000718
iteration:4, F2F_time[s]:0.001353, H2H_time:0.000566, sync_time:0.000787
iteration:5, F2F_time[s]:0.001287, H2H_time:0.000569, sync_time:0.000718
iteration:6, F2F_time[s]:0.001288, H2H_time:0.000587, sync_time:0.000701
iteration:7, F2F_time[s]:0.001253, H2H_time:0.000545, sync_time:0.000708
iteration:8, F2F_time[s]:0.001249, H2H_time:0.000520, sync_time:0.000729
iteration:9, F2F_time[s]:0.001274, H2H_time:0.000570, sync_time:0.000704
iteration:10, F2F_time[s]:0.001238, H2H_time:0.000513, sync_time:0.000725
iteration:11, F2F_time[s]:0.001269, H2H_time:0.000547, sync_time:0.000722
iteration:12, F2F_time[s]:0.001277, H2H_time:0.000552, sync_time:0.000724
iteration:13, F2F_time[s]:0.001237, H2H_time:0.000520, sync_time:0.000717
iteration:14, F2F_time[s]:0.001263, H2H_time:0.000555, sync_time:0.000707
iteration:15, F2F_time[s]:0.001244, H2H_time:0.000520, sync_time:0.000724
iteration:16, F2F_time[s]:0.001252, H2H_time:0.000539, sync_time:0.000712
iteration:17, F2F_time[s]:0.001247, H2H_time:0.000532, sync_time:0.000716
iteration:18, F2F_time[s]:0.001237, H2H_time:0.000522, sync_time:0.000716
iteration:19, F2F_time[s]:0.001296, H2H_time:0.000605, sync_time:0.000692
iteration:20, F2F_time[s]:0.001227, H2H_time:0.000505, sync_time:0.000721
iteration:21, F2F_time[s]:0.001235, H2H_time:0.000536, sync_time:0.000699
iteration:22, F2F_time[s]:0.001232, H2H_time:0.000524, sync_time:0.000708
iteration:23, F2F_time[s]:0.001223, H2H_time:0.000569, sync_time:0.000654
iteration:24, F2F_time[s]:0.001258, H2H_time:0.000551, sync_time:0.000708
iteration:25, F2F_time[s]:0.001229, H2H_time:0.000513, sync_time:0.000716
iteration:26, F2F_time[s]:0.001230, H2H_time:0.000527, sync_time:0.000703
iteration:27, F2F_time[s]:0.001238, H2H_time:0.000529, sync_time:0.000709
iteration:28, F2F_time[s]:0.001164, H2H_time:0.000506, sync_time:0.000658
iteration:29, F2F_time[s]:0.001304, H2H_time:0.000611, sync_time:0.000693
iteration:30, F2F_time[s]:0.001222, H2H_time:0.000501, sync_time:0.000720
iteration:31, F2F_time[s]:0.001238, H2H_time:0.000538, sync_time:0.000699
iteration:32, F2F_time[s]:0.001295, H2H_time:0.000549, sync_time:0.000746
iteration:33, F2F_time[s]:0.001238, H2H_time:0.000511, sync_time:0.000727
