alveo1a, bytes:131072, num_elements:32768, num_trials:100
alveo3b, bytes:131072, num_elements:32768, num_trials:100
alveo4b, bytes:131072, num_elements:32768, num_trials:100
alveo1b, bytes:131072, num_elements:32768, num_trials:100
alveo2a, bytes:131072, num_elements:32768, num_trials:100
alveo2b, bytes:131072, num_elements:32768, num_trials:100
iteration:0, time[s]:0.000609
iteration:1, time[s]:0.000404
iteration:2, time[s]:0.000348
iteration:3, time[s]:0.000383
iteration:4, time[s]:0.000374
iteration:5, time[s]:0.000316
iteration:6, time[s]:0.000373
iteration:7, time[s]:0.000365
iteration:8, time[s]:0.000357
iteration:9, time[s]:0.000372
iteration:10, time[s]:0.000347
iteration:11, time[s]:0.000346
iteration:12, time[s]:0.000359
iteration:13, time[s]:0.000343
iteration:14, time[s]:0.000324
iteration:15, time[s]:0.000308
iteration:16, time[s]:0.000328
iteration:17, time[s]:0.000286
iteration:18, time[s]:0.000323
iteration:19, time[s]:0.000298
iteration:20, time[s]:0.000349
iteration:21, time[s]:0.000336
iteration:22, time[s]:0.000340
iteration:23, time[s]:0.000309
iteration:24, time[s]:0.000331
iteration:25, time[s]:0.000282
iteration:26, time[s]:0.000335
iteration:27, time[s]:0.000329
iteration:28, time[s]:0.000301
iteration:29, time[s]:0.000323
iteration:30, time[s]:0.000317
iteration:31, time[s]:0.000317
iteration:32, time[s]:0.000306
iteration:33, time[s]:0.000299
iteration:34, time[s]:0.000323
iteration:35, time[s]:0.000314
iteration:36, time[s]:0.000314
iteration:37, time[s]:0.000314
iteration:38, time[s]:0.000317
iteration:39, time[s]:0.000327
iteration:40, time[s]:0.000329
iteration:41, time[s]:0.000316
iteration:42, time[s]:0.000306
iteration:43, time[s]:0.000308
iteration:44, time[s]:0.000370
iteration:45, time[s]:0.000380
iteration:46, time[s]:0.000321
iteration:47, time[s]:0.000312
iteration:48, time[s]:0.000375
iteration:49, time[s]:0.000382
iteration:50, time[s]:0.000370
iteration:51, time[s]:0.000360
iteration:52, time[s]:0.000319
iteration:53, time[s]:0.000312
iteration:54, time[s]:0.000376
iteration:55, time[s]:0.000326
iteration:56, time[s]:0.000316
iteration:57, time[s]:0.000274
iteration:58, time[s]:0.000348
iteration:59, time[s]:0.000311
iteration:60, time[s]:0.000320
iteration:61, time[s]:0.000317
iteration:62, time[s]:0.000310
iteration:63, time[s]:0.000323
iteration:64, time[s]:0.000277
iteration:65, time[s]:0.000307
iteration:66, time[s]:0.000348
iteration:67, time[s]:0.000321
iteration:68, time[s]:0.000250
iteration:69, time[s]:0.000317
iteration:70, time[s]:0.000334
iteration:71, time[s]:0.000325
iteration:72, time[s]:0.000321
iteration:73, time[s]:0.000308
iteration:74, time[s]:0.000317
iteration:75, time[s]:0.000317
iteration:76, time[s]:0.000260
iteration:77, time[s]:0.000335
iteration:78, time[s]:0.000340
iteration:79, time[s]:0.000322
iteration:80, time[s]:0.000311
iteration:81, time[s]:0.000314
iteration:82, time[s]:0.000327
iteration:83, time[s]:0.000300
iteration:84, time[s]:0.000335
iteration:85, time[s]:0.000306
iteration:86, time[s]:0.000301
iteration:87, time[s]:0.000311
iteration:88, time[s]:0.000294
iteration:89, time[s]:0.000296
iteration:90, time[s]:0.000320
iteration:91, time[s]:0.000282
iteration:92, time[s]:0.000296
iteration:93, time[s]:0.000346
iteration:94, time[s]:0.000363
iteration:95, time[s]:0.000356
iteration:96, time[s]:0.000306
iteration:97, time[s]:0.000305
iteration:98, time[s]:0.000356
iteration:99, time[s]:0.000352
iteration:100, time[s]:0.000391
Data size = 131072, Trials = 100
Avg MPI_Bcast time [us]= *326.834040, throughput [Gbps] = 16.041414
