alveo1a, bytes:16777216, num_elements:4194304, num_trials:1000
alveo3c, bytes:16777216, num_elements:4194304, num_trials:1000
alveo3b, bytes:16777216, num_elements:4194304, num_trials:1000
alveo2a, bytes:16777216, num_elements:4194304, num_trials:1000
alveo1b, bytes:16777216, num_elements:4194304, num_trials:1000
alveo2b, bytes:16777216, num_elements:4194304, num_trials:1000
iteration:0, time[s]:0.062291
iteration:1, time[s]:0.030000
iteration:2, time[s]:0.028428
iteration:3, time[s]:0.031679
iteration:4, time[s]:0.028124
iteration:5, time[s]:0.029405
iteration:6, time[s]:0.028943
iteration:7, time[s]:0.029498
iteration:8, time[s]:0.029146
iteration:9, time[s]:0.027656
iteration:10, time[s]:0.029581
iteration:11, time[s]:0.028902
iteration:12, time[s]:0.028806
iteration:13, time[s]:0.027709
iteration:14, time[s]:0.028340
iteration:15, time[s]:0.028604
iteration:16, time[s]:0.028414
iteration:17, time[s]:0.027501
iteration:18, time[s]:0.027440
iteration:19, time[s]:0.026337
iteration:20, time[s]:0.027835
iteration:21, time[s]:0.027073
iteration:22, time[s]:0.026577
iteration:23, time[s]:0.028018
iteration:24, time[s]:0.026759
iteration:25, time[s]:0.026923
iteration:26, time[s]:0.027848
iteration:27, time[s]:0.026552
iteration:28, time[s]:0.025588
iteration:29, time[s]:0.026188
iteration:30, time[s]:0.026481
iteration:31, time[s]:0.027181
iteration:32, time[s]:0.026802
iteration:33, time[s]:0.027033
iteration:34, time[s]:0.026949
iteration:35, time[s]:0.028466
iteration:36, time[s]:0.027992
iteration:37, time[s]:0.027339
iteration:38, time[s]:0.027785
iteration:39, time[s]:0.027415
iteration:40, time[s]:0.027109
iteration:41, time[s]:0.027056
iteration:42, time[s]:0.027233
iteration:43, time[s]:0.027668
iteration:44, time[s]:0.027713
iteration:45, time[s]:0.027091
iteration:46, time[s]:0.025866
iteration:47, time[s]:0.025761
iteration:48, time[s]:0.025786
iteration:49, time[s]:0.025185
iteration:50, time[s]:0.025714
iteration:51, time[s]:0.026724
iteration:52, time[s]:0.026895
iteration:53, time[s]:0.026740
iteration:54, time[s]:0.026975
iteration:55, time[s]:0.027366
iteration:56, time[s]:0.027534
iteration:57, time[s]:0.027950
iteration:58, time[s]:0.027255
iteration:59, time[s]:0.027306
iteration:60, time[s]:0.027961
iteration:61, time[s]:0.027841
iteration:62, time[s]:0.027054
iteration:63, time[s]:0.027111
iteration:64, time[s]:0.026908
iteration:65, time[s]:0.026694
iteration:66, time[s]:0.026959
iteration:67, time[s]:0.026624
iteration:68, time[s]:0.026594
iteration:69, time[s]:0.026745
iteration:70, time[s]:0.027161
iteration:71, time[s]:0.025898
iteration:72, time[s]:0.027279
iteration:73, time[s]:0.026462
iteration:74, time[s]:0.028729
iteration:75, time[s]:0.026650
iteration:76, time[s]:0.028484
iteration:77, time[s]:0.028203
