alveo1a, bytes:33554432, num_elements:8388608, num_trials:1000
alveo2a, bytes:33554432, num_elements:8388608, num_trials:1000
alveo1b, bytes:33554432, num_elements:8388608, num_trials:1000
iteration:0, time[s]:0.022118
iteration:1, time[s]:0.013094
iteration:2, time[s]:0.011917
iteration:3, time[s]:0.011256
iteration:4, time[s]:0.013798
iteration:5, time[s]:0.012733
iteration:6, time[s]:0.012098
iteration:7, time[s]:0.012813
iteration:8, time[s]:0.012022
iteration:9, time[s]:0.010175
iteration:10, time[s]:0.011851
iteration:11, time[s]:0.011342
iteration:12, time[s]:0.014793
iteration:13, time[s]:0.019823
iteration:14, time[s]:0.019153
iteration:15, time[s]:0.017885
iteration:16, time[s]:0.018648
iteration:17, time[s]:0.016318
iteration:18, time[s]:0.015087
iteration:19, time[s]:0.012054
iteration:20, time[s]:0.012379
iteration:21, time[s]:0.014491
iteration:22, time[s]:0.015109
iteration:23, time[s]:0.014703
iteration:24, time[s]:0.012121
iteration:25, time[s]:0.013611
iteration:26, time[s]:0.014547
iteration:27, time[s]:0.014009
iteration:28, time[s]:0.012100
iteration:29, time[s]:0.013944
iteration:30, time[s]:0.013755
iteration:31, time[s]:0.014232
iteration:32, time[s]:0.014579
iteration:33, time[s]:0.014366
iteration:34, time[s]:0.011866
iteration:35, time[s]:0.011918
iteration:36, time[s]:0.014315
iteration:37, time[s]:0.011991
iteration:38, time[s]:0.014647
iteration:39, time[s]:0.012107
iteration:40, time[s]:0.014455
iteration:41, time[s]:0.014619
iteration:42, time[s]:0.012504
iteration:43, time[s]:0.015025
iteration:44, time[s]:0.012675
iteration:45, time[s]:0.012636
iteration:46, time[s]:0.011694
iteration:47, time[s]:0.012648
iteration:48, time[s]:0.014957
iteration:49, time[s]:0.012127
iteration:50, time[s]:0.015052
iteration:51, time[s]:0.012793
iteration:52, time[s]:0.014302
iteration:53, time[s]:0.011953
iteration:54, time[s]:0.012294
iteration:55, time[s]:0.013662
iteration:56, time[s]:0.014469
iteration:57, time[s]:0.013666
iteration:58, time[s]:0.014246
iteration:59, time[s]:0.014090
iteration:60, time[s]:0.012000
iteration:61, time[s]:0.015108
iteration:62, time[s]:0.014541
iteration:63, time[s]:0.016160
iteration:64, time[s]:0.015801
iteration:65, time[s]:0.016186
iteration:66, time[s]:0.015402
iteration:67, time[s]:0.015628
iteration:68, time[s]:0.014845
iteration:69, time[s]:0.016116
iteration:70, time[s]:0.015596
iteration:71, time[s]:0.013225
iteration:72, time[s]:0.013552
iteration:73, time[s]:0.015636
iteration:74, time[s]:0.015651
iteration:75, time[s]:0.015849
iteration:76, time[s]:0.015993
iteration:77, time[s]:0.015343
iteration:78, time[s]:0.015377
iteration:79, time[s]:0.015484
iteration:80, time[s]:0.014655
iteration:81, time[s]:0.014921
iteration:82, time[s]:0.015648
iteration:83, time[s]:0.014860
iteration:84, time[s]:0.014865
iteration:85, time[s]:0.012411
iteration:86, time[s]:0.014759
iteration:87, time[s]:0.015144
iteration:88, time[s]:0.015896
iteration:89, time[s]:0.013149
iteration:90, time[s]:0.015801
iteration:91, time[s]:0.015648
iteration:92, time[s]:0.016093
iteration:93, time[s]:0.016467
iteration:94, time[s]:0.016113
iteration:95, time[s]:0.016392
iteration:96, time[s]:0.016282
iteration:97, time[s]:0.016242
iteration:98, time[s]:0.015634
iteration:99, time[s]:0.015580
iteration:100, time[s]:0.015168
iteration:101, time[s]:0.016824
iteration:102, time[s]:0.015916
iteration:103, time[s]:0.015861
iteration:104, time[s]:0.013887
iteration:105, time[s]:0.015583
iteration:106, time[s]:0.015257
iteration:107, time[s]:0.014868
iteration:108, time[s]:0.015075
iteration:109, time[s]:0.015825
iteration:110, time[s]:0.016033
iteration:111, time[s]:0.012509
iteration:112, time[s]:0.015360
iteration:113, time[s]:0.015478
iteration:114, time[s]:0.016241
iteration:115, time[s]:0.015301
iteration:116, time[s]:0.015708
iteration:117, time[s]:0.016032
iteration:118, time[s]:0.015476
iteration:119, time[s]:0.013618
iteration:120, time[s]:0.015235
iteration:121, time[s]:0.015003
iteration:122, time[s]:0.015933
iteration:123, time[s]:0.014733
iteration:124, time[s]:0.012164
iteration:125, time[s]:0.012281
iteration:126, time[s]:0.011937
iteration:127, time[s]:0.013883
iteration:128, time[s]:0.014188
iteration:129, time[s]:0.011996
iteration:130, time[s]:0.014332
iteration:131, time[s]:0.014824
iteration:132, time[s]:0.013887
iteration:133, time[s]:0.014258
iteration:134, time[s]:0.012729
iteration:135, time[s]:0.015021
iteration:136, time[s]:0.015318
iteration:137, time[s]:0.015756
iteration:138, time[s]:0.015736
iteration:139, time[s]:0.015134
iteration:140, time[s]:0.013579
iteration:141, time[s]:0.015350
iteration:142, time[s]:0.016068
iteration:143, time[s]:0.015125
iteration:144, time[s]:0.015639
iteration:145, time[s]:0.015749
iteration:146, time[s]:0.014899
iteration:147, time[s]:0.015526
iteration:148, time[s]:0.012565
iteration:149, time[s]:0.014531
iteration:150, time[s]:0.014286
iteration:151, time[s]:0.014526
iteration:152, time[s]:0.011917
iteration:153, time[s]:0.014144
iteration:154, time[s]:0.014034
iteration:155, time[s]:0.012382
iteration:156, time[s]:0.014044
iteration:157, time[s]:0.012418
iteration:158, time[s]:0.014530
iteration:159, time[s]:0.014906
iteration:160, time[s]:0.015154
iteration:161, time[s]:0.015048
iteration:162, time[s]:0.014596
iteration:163, time[s]:0.014857
iteration:164, time[s]:0.015460
iteration:165, time[s]:0.014183
iteration:166, time[s]:0.014092
iteration:167, time[s]:0.013850
iteration:168, time[s]:0.014729
iteration:169, time[s]:0.012949
iteration:170, time[s]:0.012741
iteration:171, time[s]:0.011908
iteration:172, time[s]:0.014262
iteration:173, time[s]:0.013774
iteration:174, time[s]:0.012408
iteration:175, time[s]:0.014587
iteration:176, time[s]:0.012431
iteration:177, time[s]:0.014376
iteration:178, time[s]:0.011707
iteration:179, time[s]:0.014221
iteration:180, time[s]:0.014051
iteration:181, time[s]:0.011633
iteration:182, time[s]:0.014003
iteration:183, time[s]:0.012026
iteration:184, time[s]:0.014565
iteration:185, time[s]:0.011954
iteration:186, time[s]:0.013882
iteration:187, time[s]:0.014246
iteration:188, time[s]:0.015004
iteration:189, time[s]:0.014016
iteration:190, time[s]:0.012299
iteration:191, time[s]:0.013653
iteration:192, time[s]:0.015487
iteration:193, time[s]:0.015969
iteration:194, time[s]:0.016361
iteration:195, time[s]:0.015036
iteration:196, time[s]:0.015635
iteration:197, time[s]:0.013251
iteration:198, time[s]:0.015391
iteration:199, time[s]:0.014315
iteration:200, time[s]:0.014180
iteration:201, time[s]:0.012518
iteration:202, time[s]:0.014836
iteration:203, time[s]:0.012233
iteration:204, time[s]:0.014110
iteration:205, time[s]:0.014676
iteration:206, time[s]:0.013217
iteration:207, time[s]:0.015212
iteration:208, time[s]:0.016241
iteration:209, time[s]:0.015534
iteration:210, time[s]:0.015869
iteration:211, time[s]:0.015953
iteration:212, time[s]:0.013581
iteration:213, time[s]:0.012925
iteration:214, time[s]:0.015700
iteration:215, time[s]:0.015657
iteration:216, time[s]:0.015907
iteration:217, time[s]:0.015291
iteration:218, time[s]:0.013261
iteration:219, time[s]:0.015668
iteration:220, time[s]:0.015926
iteration:221, time[s]:0.015752
iteration:222, time[s]:0.015357
iteration:223, time[s]:0.015969
iteration:224, time[s]:0.015828
iteration:225, time[s]:0.015185
iteration:226, time[s]:0.015673
iteration:227, time[s]:0.015544
iteration:228, time[s]:0.015148
iteration:229, time[s]:0.015673
iteration:230, time[s]:0.013187
iteration:231, time[s]:0.013944
iteration:232, time[s]:0.015334
iteration:233, time[s]:0.016030
iteration:234, time[s]:0.015629
iteration:235, time[s]:0.015694
iteration:236, time[s]:0.015333
iteration:237, time[s]:0.015037
iteration:238, time[s]:0.015646
iteration:239, time[s]:0.015939
iteration:240, time[s]:0.015312
iteration:241, time[s]:0.015503
iteration:242, time[s]:0.015532
iteration:243, time[s]:0.013402
iteration:244, time[s]:0.015638
iteration:245, time[s]:0.015562
iteration:246, time[s]:0.015962
iteration:247, time[s]:0.015802
iteration:248, time[s]:0.013492
iteration:249, time[s]:0.015606
iteration:250, time[s]:0.012571
iteration:251, time[s]:0.014680
iteration:252, time[s]:0.014228
iteration:253, time[s]:0.012020
iteration:254, time[s]:0.013900
iteration:255, time[s]:0.012487
iteration:256, time[s]:0.014104
iteration:257, time[s]:0.015042
iteration:258, time[s]:0.015265
iteration:259, time[s]:0.013440
iteration:260, time[s]:0.015055
iteration:261, time[s]:0.014947
iteration:262, time[s]:0.014781
iteration:263, time[s]:0.015877
iteration:264, time[s]:0.015645
iteration:265, time[s]:0.015908
iteration:266, time[s]:0.016389
iteration:267, time[s]:0.016409
iteration:268, time[s]:0.016443
iteration:269, time[s]:0.016430
iteration:270, time[s]:0.015246
iteration:271, time[s]:0.016727
iteration:272, time[s]:0.016001
iteration:273, time[s]:0.016267
iteration:274, time[s]:0.015723
iteration:275, time[s]:0.016088
iteration:276, time[s]:0.016184
iteration:277, time[s]:0.015409
iteration:278, time[s]:0.012878
iteration:279, time[s]:0.015879
iteration:280, time[s]:0.015474
iteration:281, time[s]:0.015557
iteration:282, time[s]:0.015583
iteration:283, time[s]:0.016057
iteration:284, time[s]:0.015156
iteration:285, time[s]:0.015737
iteration:286, time[s]:0.015399
iteration:287, time[s]:0.014901
iteration:288, time[s]:0.014652
iteration:289, time[s]:0.012267
iteration:290, time[s]:0.014027
iteration:291, time[s]:0.011881
iteration:292, time[s]:0.013383
iteration:293, time[s]:0.013809
iteration:294, time[s]:0.012067
iteration:295, time[s]:0.014514
iteration:296, time[s]:0.014714
iteration:297, time[s]:0.014962
iteration:298, time[s]:0.015266
iteration:299, time[s]:0.015672
