alveo1a, bytes:33554432, num_elements:8388608, num_trials:1000
alveo3b, bytes:33554432, num_elements:8388608, num_trials:1000
alveo2a, bytes:33554432, num_elements:8388608, num_trials:1000
alveo2b, bytes:33554432, num_elements:8388608, num_trials:1000
alveo1b, bytes:33554432, num_elements:8388608, num_trials:1000
iteration:0, time[s]:0.081440
iteration:1, time[s]:0.049857
iteration:2, time[s]:0.046890
iteration:3, time[s]:0.045433
iteration:4, time[s]:0.045020
iteration:5, time[s]:0.042918
iteration:6, time[s]:0.042576
iteration:7, time[s]:0.043080
iteration:8, time[s]:0.042011
iteration:9, time[s]:0.044376
iteration:10, time[s]:0.044095
iteration:11, time[s]:0.043351
iteration:12, time[s]:0.045586
iteration:13, time[s]:0.042325
iteration:14, time[s]:0.043421
iteration:15, time[s]:0.043707
iteration:16, time[s]:0.040101
iteration:17, time[s]:0.040532
iteration:18, time[s]:0.040031
iteration:19, time[s]:0.038711
iteration:20, time[s]:0.041183
iteration:21, time[s]:0.039568
iteration:22, time[s]:0.040540
iteration:23, time[s]:0.039245
iteration:24, time[s]:0.037851
iteration:25, time[s]:0.038261
iteration:26, time[s]:0.038758
iteration:27, time[s]:0.038453
iteration:28, time[s]:0.037891
iteration:29, time[s]:0.037193
iteration:30, time[s]:0.037826
iteration:31, time[s]:0.038283
iteration:32, time[s]:0.037489
iteration:33, time[s]:0.038511
iteration:34, time[s]:0.039944
iteration:35, time[s]:0.039110
iteration:36, time[s]:0.038421
iteration:37, time[s]:0.038586
iteration:38, time[s]:0.039144
iteration:39, time[s]:0.038648
iteration:40, time[s]:0.038910
iteration:41, time[s]:0.038323
iteration:42, time[s]:0.039354
iteration:43, time[s]:0.038944
iteration:44, time[s]:0.038746
iteration:45, time[s]:0.040822
iteration:46, time[s]:0.038989
iteration:47, time[s]:0.039014
iteration:48, time[s]:0.038034
iteration:49, time[s]:0.040189
iteration:50, time[s]:0.039450
iteration:51, time[s]:0.039325
iteration:52, time[s]:0.039610
iteration:53, time[s]:0.038636
iteration:54, time[s]:0.037519
iteration:55, time[s]:0.037955
iteration:56, time[s]:0.038577
iteration:57, time[s]:0.037764
iteration:58, time[s]:0.038885
iteration:59, time[s]:0.037200
iteration:60, time[s]:0.037485
iteration:61, time[s]:0.034926
iteration:62, time[s]:0.036000
iteration:63, time[s]:0.034672
iteration:64, time[s]:0.034724
iteration:65, time[s]:0.035004
iteration:66, time[s]:0.035885
iteration:67, time[s]:0.036664
iteration:68, time[s]:0.038004
iteration:69, time[s]:0.037037
iteration:70, time[s]:0.037030
iteration:71, time[s]:0.036497
iteration:72, time[s]:0.036421
iteration:73, time[s]:0.036176
iteration:74, time[s]:0.037077
iteration:75, time[s]:0.037001
iteration:76, time[s]:0.036298
iteration:77, time[s]:0.035905
iteration:78, time[s]:0.036886
iteration:79, time[s]:0.035849
iteration:80, time[s]:0.035612
iteration:81, time[s]:0.035175
iteration:82, time[s]:0.034729
iteration:83, time[s]:0.034658
iteration:84, time[s]:0.034589
iteration:85, time[s]:0.035056
iteration:86, time[s]:0.036683
iteration:87, time[s]:0.036067
iteration:88, time[s]:0.036224
iteration:89, time[s]:0.036439
iteration:90, time[s]:0.038170
iteration:91, time[s]:0.037907
iteration:92, time[s]:0.036744
iteration:93, time[s]:0.036497
iteration:94, time[s]:0.037842
iteration:95, time[s]:0.036072
iteration:96, time[s]:0.039137
iteration:97, time[s]:0.036986
iteration:98, time[s]:0.038567
iteration:99, time[s]:0.037834
iteration:100, time[s]:0.046654
iteration:101, time[s]:0.037575
iteration:102, time[s]:0.039084
iteration:103, time[s]:0.043106
iteration:104, time[s]:0.039586
iteration:105, time[s]:0.040134
iteration:106, time[s]:0.038545
iteration:107, time[s]:0.039794
iteration:108, time[s]:0.038312
iteration:109, time[s]:0.040272
iteration:110, time[s]:0.039941
iteration:111, time[s]:0.040223
iteration:112, time[s]:0.040991
iteration:113, time[s]:0.040127
iteration:114, time[s]:0.039684
iteration:115, time[s]:0.040705
iteration:116, time[s]:0.039176
iteration:117, time[s]:0.038575
iteration:118, time[s]:0.037653
iteration:119, time[s]:0.037250
iteration:120, time[s]:0.038915
iteration:121, time[s]:0.037539
iteration:122, time[s]:0.035126
iteration:123, time[s]:0.035732
iteration:124, time[s]:0.037144
iteration:125, time[s]:0.036190
iteration:126, time[s]:0.036949
iteration:127, time[s]:0.036511
iteration:128, time[s]:0.036660
iteration:129, time[s]:0.036748
iteration:130, time[s]:0.037041
iteration:131, time[s]:0.035965
iteration:132, time[s]:0.036940
iteration:133, time[s]:0.036143
iteration:134, time[s]:0.035722
iteration:135, time[s]:0.037704
iteration:136, time[s]:0.036050
iteration:137, time[s]:0.036683
iteration:138, time[s]:0.036357
iteration:139, time[s]:0.038163
iteration:140, time[s]:0.036517
iteration:141, time[s]:0.035845
iteration:142, time[s]:0.035267
iteration:143, time[s]:0.035769
iteration:144, time[s]:0.035900
iteration:145, time[s]:0.035552
iteration:146, time[s]:0.035934
iteration:147, time[s]:0.035591
iteration:148, time[s]:0.035910
iteration:149, time[s]:0.035002
iteration:150, time[s]:0.035374
iteration:151, time[s]:0.035252
iteration:152, time[s]:0.036493
iteration:153, time[s]:0.035129
iteration:154, time[s]:0.035609
iteration:155, time[s]:0.036138
iteration:156, time[s]:0.036622
iteration:157, time[s]:0.038266
iteration:158, time[s]:0.035337
iteration:159, time[s]:0.036862
iteration:160, time[s]:0.037122
iteration:161, time[s]:0.036384
iteration:162, time[s]:0.037672
iteration:163, time[s]:0.037275
iteration:164, time[s]:0.037168
iteration:165, time[s]:0.035936
iteration:166, time[s]:0.035978
iteration:167, time[s]:0.036739
iteration:168, time[s]:0.036568
iteration:169, time[s]:0.037306
iteration:170, time[s]:0.037355
iteration:171, time[s]:0.037219
iteration:172, time[s]:0.035518
iteration:173, time[s]:0.035478
iteration:174, time[s]:0.036075
iteration:175, time[s]:0.036711
iteration:176, time[s]:0.036322
iteration:177, time[s]:0.036234
iteration:178, time[s]:0.037039
iteration:179, time[s]:0.035638
iteration:180, time[s]:0.036251
iteration:181, time[s]:0.037386
iteration:182, time[s]:0.037504
iteration:183, time[s]:0.035407
iteration:184, time[s]:0.037466
iteration:185, time[s]:0.038944
iteration:186, time[s]:0.038301
iteration:187, time[s]:0.038916
iteration:188, time[s]:0.038566
iteration:189, time[s]:0.035306
iteration:190, time[s]:0.036064
iteration:191, time[s]:0.037212
iteration:192, time[s]:0.035690
iteration:193, time[s]:0.035478
iteration:194, time[s]:0.036511
iteration:195, time[s]:0.036324
iteration:196, time[s]:0.037181
iteration:197, time[s]:0.037767
iteration:198, time[s]:0.036260
iteration:199, time[s]:0.035094
iteration:200, time[s]:0.034626
iteration:201, time[s]:0.034549
iteration:202, time[s]:0.034732
iteration:203, time[s]:0.035349
iteration:204, time[s]:0.038408
iteration:205, time[s]:0.037899
iteration:206, time[s]:0.036677
iteration:207, time[s]:0.037118
iteration:208, time[s]:0.036830
iteration:209, time[s]:0.037446
iteration:210, time[s]:0.037200
iteration:211, time[s]:0.037496
iteration:212, time[s]:0.037283
iteration:213, time[s]:0.036749
iteration:214, time[s]:0.037838
iteration:215, time[s]:0.038146
iteration:216, time[s]:0.038392
iteration:217, time[s]:0.037281
iteration:218, time[s]:0.036091
iteration:219, time[s]:0.036423
iteration:220, time[s]:0.038459
iteration:221, time[s]:0.035929
iteration:222, time[s]:0.039248
iteration:223, time[s]:0.036907
iteration:224, time[s]:0.036079
iteration:225, time[s]:0.037563
iteration:226, time[s]:0.038595
iteration:227, time[s]:0.037405
iteration:228, time[s]:0.035513
iteration:229, time[s]:0.035701
iteration:230, time[s]:0.038082
iteration:231, time[s]:0.038138
iteration:232, time[s]:0.036454
iteration:233, time[s]:0.036792
iteration:234, time[s]:0.036254
iteration:235, time[s]:0.036740
iteration:236, time[s]:0.036576
iteration:237, time[s]:0.036519
iteration:238, time[s]:0.035300
iteration:239, time[s]:0.038652
iteration:240, time[s]:0.037953
iteration:241, time[s]:0.039167
iteration:242, time[s]:0.037168
iteration:243, time[s]:0.038569
iteration:244, time[s]:0.037793
iteration:245, time[s]:0.036305
iteration:246, time[s]:0.035772
iteration:247, time[s]:0.037249
iteration:248, time[s]:0.036743
iteration:249, time[s]:0.038106
iteration:250, time[s]:0.036623
iteration:251, time[s]:0.036536
iteration:252, time[s]:0.038391
iteration:253, time[s]:0.038930
iteration:254, time[s]:0.036848
iteration:255, time[s]:0.036798
iteration:256, time[s]:0.036985
iteration:257, time[s]:0.036486
iteration:258, time[s]:0.037904
iteration:259, time[s]:0.038396
iteration:260, time[s]:0.037393
iteration:261, time[s]:0.038300
iteration:262, time[s]:0.037897
iteration:263, time[s]:0.039450
iteration:264, time[s]:0.037125
iteration:265, time[s]:0.037872
iteration:266, time[s]:0.037397
iteration:267, time[s]:0.038828
iteration:268, time[s]:0.036807
iteration:269, time[s]:0.038330
iteration:270, time[s]:0.039443
iteration:271, time[s]:0.038070
iteration:272, time[s]:0.037702
iteration:273, time[s]:0.036651
iteration:274, time[s]:0.036581
iteration:275, time[s]:0.037852
iteration:276, time[s]:0.038683
iteration:277, time[s]:0.036530
iteration:278, time[s]:0.036206
iteration:279, time[s]:0.037109
iteration:280, time[s]:0.037950
iteration:281, time[s]:0.035305
iteration:282, time[s]:0.035022
iteration:283, time[s]:0.036593
iteration:284, time[s]:0.035967
iteration:285, time[s]:0.035191
iteration:286, time[s]:0.036150
iteration:287, time[s]:0.037093
iteration:288, time[s]:0.036314
iteration:289, time[s]:0.038901
iteration:290, time[s]:0.036850
iteration:291, time[s]:0.037706
iteration:292, time[s]:0.036944
iteration:293, time[s]:0.039081
iteration:294, time[s]:0.036153
iteration:295, time[s]:0.035510
iteration:296, time[s]:0.036359
iteration:297, time[s]:0.037253
iteration:298, time[s]:0.038735
iteration:299, time[s]:0.040320
iteration:300, time[s]:0.040957
iteration:301, time[s]:0.038829
iteration:302, time[s]:0.037936
iteration:303, time[s]:0.039882
iteration:304, time[s]:0.040799
iteration:305, time[s]:0.038421
iteration:306, time[s]:0.038579
iteration:307, time[s]:0.038175
iteration:308, time[s]:0.039018
iteration:309, time[s]:0.036957
iteration:310, time[s]:0.036611
iteration:311, time[s]:0.038561
iteration:312, time[s]:0.037528
iteration:313, time[s]:0.037711
iteration:314, time[s]:0.036514
iteration:315, time[s]:0.038891
iteration:316, time[s]:0.038085
iteration:317, time[s]:0.038055
iteration:318, time[s]:0.039543
iteration:319, time[s]:0.037561
iteration:320, time[s]:0.037693
iteration:321, time[s]:0.038697
iteration:322, time[s]:0.038912
iteration:323, time[s]:0.042564
iteration:324, time[s]:0.037544
iteration:325, time[s]:0.038186
iteration:326, time[s]:0.037032
iteration:327, time[s]:0.038611
iteration:328, time[s]:0.038799
iteration:329, time[s]:0.038292
iteration:330, time[s]:0.038627
iteration:331, time[s]:0.038748
iteration:332, time[s]:0.038643
iteration:333, time[s]:0.039611
iteration:334, time[s]:0.039840
iteration:335, time[s]:0.040037
iteration:336, time[s]:0.038724
iteration:337, time[s]:0.042640
iteration:338, time[s]:0.041637
iteration:339, time[s]:0.038672
iteration:340, time[s]:0.036996
iteration:341, time[s]:0.036935
iteration:342, time[s]:0.037482
iteration:343, time[s]:0.037971
iteration:344, time[s]:0.038670
iteration:345, time[s]:0.039133
iteration:346, time[s]:0.037856
iteration:347, time[s]:0.039682
iteration:348, time[s]:0.037796
iteration:349, time[s]:0.037409
iteration:350, time[s]:0.036463
iteration:351, time[s]:0.036955
iteration:352, time[s]:0.035811
iteration:353, time[s]:0.037299
iteration:354, time[s]:0.037269
iteration:355, time[s]:0.039407
iteration:356, time[s]:0.036959
iteration:357, time[s]:0.038585
iteration:358, time[s]:0.035537
iteration:359, time[s]:0.036331
iteration:360, time[s]:0.037328
iteration:361, time[s]:0.037621
iteration:362, time[s]:0.038260
iteration:363, time[s]:0.037230
iteration:364, time[s]:0.037447
iteration:365, time[s]:0.038867
iteration:366, time[s]:0.038446
iteration:367, time[s]:0.038570
iteration:368, time[s]:0.036051
iteration:369, time[s]:0.039052
iteration:370, time[s]:0.041709
iteration:371, time[s]:0.037414
iteration:372, time[s]:0.038709
iteration:373, time[s]:0.038991
iteration:374, time[s]:0.039906
iteration:375, time[s]:0.040048
iteration:376, time[s]:0.038485
iteration:377, time[s]:0.037402
iteration:378, time[s]:0.038499
iteration:379, time[s]:0.037583
iteration:380, time[s]:0.037099
iteration:381, time[s]:0.038154
iteration:382, time[s]:0.037680
iteration:383, time[s]:0.036601
iteration:384, time[s]:0.038437
iteration:385, time[s]:0.040283
iteration:386, time[s]:0.038502
iteration:387, time[s]:0.037316
iteration:388, time[s]:0.038339
iteration:389, time[s]:0.038394
iteration:390, time[s]:0.038062
iteration:391, time[s]:0.037057
iteration:392, time[s]:0.039114
iteration:393, time[s]:0.040809
iteration:394, time[s]:0.039223
iteration:395, time[s]:0.039980
iteration:396, time[s]:0.040610
iteration:397, time[s]:0.039247
iteration:398, time[s]:0.040425
iteration:399, time[s]:0.039211
iteration:400, time[s]:0.041816
iteration:401, time[s]:0.040414
iteration:402, time[s]:0.039913
iteration:403, time[s]:0.037355
iteration:404, time[s]:0.035884
iteration:405, time[s]:0.035008
iteration:406, time[s]:0.036617
iteration:407, time[s]:0.035677
iteration:408, time[s]:0.035793
iteration:409, time[s]:0.036464
iteration:410, time[s]:0.038697
iteration:411, time[s]:0.036566
iteration:412, time[s]:0.036852
iteration:413, time[s]:0.036988
iteration:414, time[s]:0.039416
