alveo1a, bytes:33554432, num_elements:8388608, num_trials:1000
alveo3b, bytes:33554432, num_elements:8388608, num_trials:1000
alveo3c, bytes:33554432, num_elements:8388608, num_trials:1000
alveo4b, bytes:33554432, num_elements:8388608, num_trials:1000
alveo1b, bytes:33554432, num_elements:8388608, num_trials:1000
alveo2b, bytes:33554432, num_elements:8388608, num_trials:1000
alveo2a, bytes:33554432, num_elements:8388608, num_trials:1000
iteration:0, time[s]:0.121015
iteration:1, time[s]:0.073344
iteration:2, time[s]:0.071640
iteration:3, time[s]:0.067498
iteration:4, time[s]:0.064187
iteration:5, time[s]:0.064786
iteration:6, time[s]:0.064244
iteration:7, time[s]:0.062838
iteration:8, time[s]:0.061090
iteration:9, time[s]:0.062599
iteration:10, time[s]:0.063545
iteration:11, time[s]:0.063540
iteration:12, time[s]:0.064979
iteration:13, time[s]:0.064024
iteration:14, time[s]:0.066642
iteration:15, time[s]:0.060185
iteration:16, time[s]:0.064521
iteration:17, time[s]:0.064246
iteration:18, time[s]:0.061763
iteration:19, time[s]:0.060694
iteration:20, time[s]:0.061416
iteration:21, time[s]:0.063374
iteration:22, time[s]:0.064620
iteration:23, time[s]:0.062985
iteration:24, time[s]:0.066084
iteration:25, time[s]:0.064942
iteration:26, time[s]:0.064646
iteration:27, time[s]:0.062543
iteration:28, time[s]:0.061208
iteration:29, time[s]:0.061549
iteration:30, time[s]:0.062527
iteration:31, time[s]:0.062510
iteration:32, time[s]:0.064610
iteration:33, time[s]:0.063146
iteration:34, time[s]:0.064994
iteration:35, time[s]:0.061163
iteration:36, time[s]:0.058632
iteration:37, time[s]:0.060113
iteration:38, time[s]:0.059523
iteration:39, time[s]:0.061845
iteration:40, time[s]:0.062470
iteration:41, time[s]:0.062951
iteration:42, time[s]:0.063811
iteration:43, time[s]:0.061705
iteration:44, time[s]:0.062162
iteration:45, time[s]:0.063392
iteration:46, time[s]:0.064509
iteration:47, time[s]:0.062019
iteration:48, time[s]:0.062076
iteration:49, time[s]:0.063212
iteration:50, time[s]:0.061557
iteration:51, time[s]:0.062081
iteration:52, time[s]:0.062939
iteration:53, time[s]:0.065884
iteration:54, time[s]:0.064623
iteration:55, time[s]:0.065703
iteration:56, time[s]:0.064585
iteration:57, time[s]:0.068656
iteration:58, time[s]:0.067586
iteration:59, time[s]:0.063593
iteration:60, time[s]:0.066971
iteration:61, time[s]:0.064017
iteration:62, time[s]:0.062937
iteration:63, time[s]:0.065157
iteration:64, time[s]:0.063705
iteration:65, time[s]:0.063343
iteration:66, time[s]:0.064320
iteration:67, time[s]:0.064183
iteration:68, time[s]:0.061691
iteration:69, time[s]:0.061012
iteration:70, time[s]:0.061811
iteration:71, time[s]:0.063704
iteration:72, time[s]:0.062622
iteration:73, time[s]:0.063453
iteration:74, time[s]:0.063790
iteration:75, time[s]:0.064946
iteration:76, time[s]:0.060867
iteration:77, time[s]:0.063483
iteration:78, time[s]:0.067944
iteration:79, time[s]:0.067146
iteration:80, time[s]:0.068848
iteration:81, time[s]:0.064195
iteration:82, time[s]:0.068008
iteration:83, time[s]:0.069230
iteration:84, time[s]:0.063045
iteration:85, time[s]:0.064789
iteration:86, time[s]:0.065946
iteration:87, time[s]:0.064346
iteration:88, time[s]:0.064694
iteration:89, time[s]:0.061444
iteration:90, time[s]:0.063088
iteration:91, time[s]:0.064709
iteration:92, time[s]:0.064371
iteration:93, time[s]:0.060863
iteration:94, time[s]:0.062460
iteration:95, time[s]:0.060059
iteration:96, time[s]:0.059835
iteration:97, time[s]:0.057653
iteration:98, time[s]:0.057235
iteration:99, time[s]:0.057825
iteration:100, time[s]:0.059937
iteration:101, time[s]:0.061949
iteration:102, time[s]:0.066627
iteration:103, time[s]:0.059838
iteration:104, time[s]:0.060128
iteration:105, time[s]:0.061572
iteration:106, time[s]:0.059997
iteration:107, time[s]:0.061012
iteration:108, time[s]:0.059695
iteration:109, time[s]:0.062820
iteration:110, time[s]:0.065454
iteration:111, time[s]:0.061791
iteration:112, time[s]:0.061611
iteration:113, time[s]:0.062253
iteration:114, time[s]:0.065999
iteration:115, time[s]:0.064381
iteration:116, time[s]:0.065046
iteration:117, time[s]:0.062498
iteration:118, time[s]:0.062285
iteration:119, time[s]:0.062804
iteration:120, time[s]:0.063098
iteration:121, time[s]:0.063505
iteration:122, time[s]:0.062901
iteration:123, time[s]:0.065736
iteration:124, time[s]:0.064574
iteration:125, time[s]:0.064646
iteration:126, time[s]:0.064562
iteration:127, time[s]:0.066151
iteration:128, time[s]:0.068916
iteration:129, time[s]:0.064974
iteration:130, time[s]:0.064501
iteration:131, time[s]:0.063382
iteration:132, time[s]:0.066364
iteration:133, time[s]:0.063485
iteration:134, time[s]:0.062119
iteration:135, time[s]:0.063813
iteration:136, time[s]:0.060700
iteration:137, time[s]:0.062893
iteration:138, time[s]:0.062038
iteration:139, time[s]:0.059647
iteration:140, time[s]:0.061973
iteration:141, time[s]:0.062360
iteration:142, time[s]:0.064631
iteration:143, time[s]:0.061468
iteration:144, time[s]:0.062600
iteration:145, time[s]:0.063438
iteration:146, time[s]:0.063760
iteration:147, time[s]:0.062870
iteration:148, time[s]:0.064467
iteration:149, time[s]:0.063181
iteration:150, time[s]:0.064869
iteration:151, time[s]:0.064411
iteration:152, time[s]:0.062910
iteration:153, time[s]:0.065565
iteration:154, time[s]:0.064344
iteration:155, time[s]:0.064581
iteration:156, time[s]:0.065355
iteration:157, time[s]:0.064095
iteration:158, time[s]:0.065115
iteration:159, time[s]:0.062805
iteration:160, time[s]:0.067443
iteration:161, time[s]:0.066139
iteration:162, time[s]:0.065681
iteration:163, time[s]:0.065804
iteration:164, time[s]:0.064113
iteration:165, time[s]:0.063080
iteration:166, time[s]:0.067057
iteration:167, time[s]:0.062332
iteration:168, time[s]:0.065270
iteration:169, time[s]:0.064254
iteration:170, time[s]:0.065733
iteration:171, time[s]:0.064936
iteration:172, time[s]:0.066086
iteration:173, time[s]:0.064001
iteration:174, time[s]:0.063418
iteration:175, time[s]:0.063621
iteration:176, time[s]:0.063074
iteration:177, time[s]:0.066271
iteration:178, time[s]:0.063701
iteration:179, time[s]:0.063237
iteration:180, time[s]:0.061440
iteration:181, time[s]:0.065131
iteration:182, time[s]:0.061819
iteration:183, time[s]:0.063342
iteration:184, time[s]:0.062926
iteration:185, time[s]:0.062251
iteration:186, time[s]:0.061209
iteration:187, time[s]:0.060139
iteration:188, time[s]:0.065387
iteration:189, time[s]:0.062211
iteration:190, time[s]:0.064494
iteration:191, time[s]:0.066800
iteration:192, time[s]:0.067355
iteration:193, time[s]:0.062589
iteration:194, time[s]:0.064365
iteration:195, time[s]:0.061984
iteration:196, time[s]:0.061384
iteration:197, time[s]:0.063939
iteration:198, time[s]:0.061638
iteration:199, time[s]:0.061203
iteration:200, time[s]:0.060925
iteration:201, time[s]:0.060738
iteration:202, time[s]:0.060020
iteration:203, time[s]:0.059647
iteration:204, time[s]:0.059328
