alveo1a, bytes:4194304, num_elements:1048576, num_trials:100
alveo2b, bytes:4194304, num_elements:1048576, num_trials:100
alveo1b, bytes:4194304, num_elements:1048576, num_trials:100
alveo2a, bytes:4194304, num_elements:1048576, num_trials:100
iteration:0, time[s]:0.013284
iteration:1, time[s]:0.005125
iteration:2, time[s]:0.004721
iteration:3, time[s]:0.004314
iteration:4, time[s]:0.004272
iteration:5, time[s]:0.003903
iteration:6, time[s]:0.003976
iteration:7, time[s]:0.004900
iteration:8, time[s]:0.004174
iteration:9, time[s]:0.004970
iteration:10, time[s]:0.004543
iteration:11, time[s]:0.004473
iteration:12, time[s]:0.004096
iteration:13, time[s]:0.004014
iteration:14, time[s]:0.004010
iteration:15, time[s]:0.004128
iteration:16, time[s]:0.003926
iteration:17, time[s]:0.004079
iteration:18, time[s]:0.003941
iteration:19, time[s]:0.004098
iteration:20, time[s]:0.003957
iteration:21, time[s]:0.003952
iteration:22, time[s]:0.004361
iteration:23, time[s]:0.004369
iteration:24, time[s]:0.003624
iteration:25, time[s]:0.003704
iteration:26, time[s]:0.003942
iteration:27, time[s]:0.003614
iteration:28, time[s]:0.004040
iteration:29, time[s]:0.003810
iteration:30, time[s]:0.003921
iteration:31, time[s]:0.003753
iteration:32, time[s]:0.004248
iteration:33, time[s]:0.004252
iteration:34, time[s]:0.004205
iteration:35, time[s]:0.004447
iteration:36, time[s]:0.004245
iteration:37, time[s]:0.004223
iteration:38, time[s]:0.004084
iteration:39, time[s]:0.004084
iteration:40, time[s]:0.003906
iteration:41, time[s]:0.004003
iteration:42, time[s]:0.004069
iteration:43, time[s]:0.004142
iteration:44, time[s]:0.004525
iteration:45, time[s]:0.003910
iteration:46, time[s]:0.004382
iteration:47, time[s]:0.003929
iteration:48, time[s]:0.004247
iteration:49, time[s]:0.004308
iteration:50, time[s]:0.004299
iteration:51, time[s]:0.004164
iteration:52, time[s]:0.004197
iteration:53, time[s]:0.004395
iteration:54, time[s]:0.004164
iteration:55, time[s]:0.004195
iteration:56, time[s]:0.004084
iteration:57, time[s]:0.004299
iteration:58, time[s]:0.004373
iteration:59, time[s]:0.004400
iteration:60, time[s]:0.004594
iteration:61, time[s]:0.003979
iteration:62, time[s]:0.004486
iteration:63, time[s]:0.004493
iteration:64, time[s]:0.004544
iteration:65, time[s]:0.004389
iteration:66, time[s]:0.004545
iteration:67, time[s]:0.005293
iteration:68, time[s]:0.004790
iteration:69, time[s]:0.004588
iteration:70, time[s]:0.004648
iteration:71, time[s]:0.004741
iteration:72, time[s]:0.004581
iteration:73, time[s]:0.004064
iteration:74, time[s]:0.004516
iteration:75, time[s]:0.004767
iteration:76, time[s]:0.004740
iteration:77, time[s]:0.004220
iteration:78, time[s]:0.004020
iteration:79, time[s]:0.003690
iteration:80, time[s]:0.004422
iteration:81, time[s]:0.004403
iteration:82, time[s]:0.004689
iteration:83, time[s]:0.004862
iteration:84, time[s]:0.004835
iteration:85, time[s]:0.004958
iteration:86, time[s]:0.004551
iteration:87, time[s]:0.005055
iteration:88, time[s]:0.004702
iteration:89, time[s]:0.004699
iteration:90, time[s]:0.004910
iteration:91, time[s]:0.004413
iteration:92, time[s]:0.004902
iteration:93, time[s]:0.005118
iteration:94, time[s]:0.004013
iteration:95, time[s]:0.003929
iteration:96, time[s]:0.003608
iteration:97, time[s]:0.003894
iteration:98, time[s]:0.004030
iteration:99, time[s]:0.004433
iteration:100, time[s]:0.004223
Data size = 4194304, Trials = 100
Avg MPI_Bcast time [us]= *4308.235310, throughput [Gbps] = 23.365320
