alveo4c, bytes:524288, num_elements:131072, num_trials:100
alveo1a, bytes:524288, num_elements:131072, num_trials:100
alveo2a, bytes:524288, num_elements:131072, num_trials:100
alveo4b, bytes:524288, num_elements:131072, num_trials:100
alveo2b, bytes:524288, num_elements:131072, num_trials:100
alveo3b, bytes:524288, num_elements:131072, num_trials:100
alveo1b, bytes:524288, num_elements:131072, num_trials:100
iteration:0, time[s]:0.001757
iteration:1, time[s]:0.001381
iteration:2, time[s]:0.001181
iteration:3, time[s]:0.001036
iteration:4, time[s]:0.001010
iteration:5, time[s]:0.000818
iteration:6, time[s]:0.000863
iteration:7, time[s]:0.000863
iteration:8, time[s]:0.000779
iteration:9, time[s]:0.000827
iteration:10, time[s]:0.000793
iteration:11, time[s]:0.000723
iteration:12, time[s]:0.000858
iteration:13, time[s]:0.000693
iteration:14, time[s]:0.000680
iteration:15, time[s]:0.000796
iteration:16, time[s]:0.000724
iteration:17, time[s]:0.000804
iteration:18, time[s]:0.000592
iteration:19, time[s]:0.000547
iteration:20, time[s]:0.000686
iteration:21, time[s]:0.000682
iteration:22, time[s]:0.000604
iteration:23, time[s]:0.000617
iteration:24, time[s]:0.000588
iteration:25, time[s]:0.000495
iteration:26, time[s]:0.000620
iteration:27, time[s]:0.000554
iteration:28, time[s]:0.000623
iteration:29, time[s]:0.000609
iteration:30, time[s]:0.000631
iteration:31, time[s]:0.000663
iteration:32, time[s]:0.000697
iteration:33, time[s]:0.000651
iteration:34, time[s]:0.000574
iteration:35, time[s]:0.000612
iteration:36, time[s]:0.000634
iteration:37, time[s]:0.000683
iteration:38, time[s]:0.000572
iteration:39, time[s]:0.000618
iteration:40, time[s]:0.000671
iteration:41, time[s]:0.000607
iteration:42, time[s]:0.000565
iteration:43, time[s]:0.000627
iteration:44, time[s]:0.000672
iteration:45, time[s]:0.000627
iteration:46, time[s]:0.000659
iteration:47, time[s]:0.000579
iteration:48, time[s]:0.000590
iteration:49, time[s]:0.000633
iteration:50, time[s]:0.000637
iteration:51, time[s]:0.000634
iteration:52, time[s]:0.000588
iteration:53, time[s]:0.000555
iteration:54, time[s]:0.000581
iteration:55, time[s]:0.000545
iteration:56, time[s]:0.000533
iteration:57, time[s]:0.000599
iteration:58, time[s]:0.000599
iteration:59, time[s]:0.000587
iteration:60, time[s]:0.000542
iteration:61, time[s]:0.000538
iteration:62, time[s]:0.000646
iteration:63, time[s]:0.000590
iteration:64, time[s]:0.000548
iteration:65, time[s]:0.000533
iteration:66, time[s]:0.000572
iteration:67, time[s]:0.000626
iteration:68, time[s]:0.000611
iteration:69, time[s]:0.000532
iteration:70, time[s]:0.000621
iteration:71, time[s]:0.000512
iteration:72, time[s]:0.000580
iteration:73, time[s]:0.000521
iteration:74, time[s]:0.000555
iteration:75, time[s]:0.000504
iteration:76, time[s]:0.000594
iteration:77, time[s]:0.000556
iteration:78, time[s]:0.000565
iteration:79, time[s]:0.000526
iteration:80, time[s]:0.000610
iteration:81, time[s]:0.000458
iteration:82, time[s]:0.000563
iteration:83, time[s]:0.000529
iteration:84, time[s]:0.000546
iteration:85, time[s]:0.000566
iteration:86, time[s]:0.000557
iteration:87, time[s]:0.000567
iteration:88, time[s]:0.000525
iteration:89, time[s]:0.000540
iteration:90, time[s]:0.000532
iteration:91, time[s]:0.000532
iteration:92, time[s]:0.000539
iteration:93, time[s]:0.000497
iteration:94, time[s]:0.000546
iteration:95, time[s]:0.000484
iteration:96, time[s]:0.000538
iteration:97, time[s]:0.000533
iteration:98, time[s]:0.000480
iteration:99, time[s]:0.000559
iteration:100, time[s]:0.000541
Data size = 524288, Trials = 100
Avg MPI_Bcast time [us]= *629.855900, throughput [Gbps] = 39.954891
