alveo1a, bytes:8388608, num_elements:2097152, num_trials:1000
alveo2a, bytes:8388608, num_elements:2097152, num_trials:1000
alveo2b, bytes:8388608, num_elements:2097152, num_trials:1000
alveo1b, bytes:8388608, num_elements:2097152, num_trials:1000
iteration:0, time[s]:0.018572
iteration:1, time[s]:0.009144
iteration:2, time[s]:0.007711
iteration:3, time[s]:0.007967
iteration:4, time[s]:0.008040
iteration:5, time[s]:0.007956
iteration:6, time[s]:0.008655
iteration:7, time[s]:0.006866
iteration:8, time[s]:0.008033
iteration:9, time[s]:0.007189
iteration:10, time[s]:0.008696
iteration:11, time[s]:0.006969
iteration:12, time[s]:0.006701
iteration:13, time[s]:0.006208
iteration:14, time[s]:0.006646
iteration:15, time[s]:0.006800
iteration:16, time[s]:0.006806
iteration:17, time[s]:0.006865
iteration:18, time[s]:0.006756
iteration:19, time[s]:0.006747
iteration:20, time[s]:0.006720
iteration:21, time[s]:0.007111
iteration:22, time[s]:0.006476
iteration:23, time[s]:0.007042
iteration:24, time[s]:0.006429
iteration:25, time[s]:0.006944
iteration:26, time[s]:0.006529
iteration:27, time[s]:0.006553
iteration:28, time[s]:0.006254
iteration:29, time[s]:0.007062
iteration:30, time[s]:0.008882
iteration:31, time[s]:0.007973
iteration:32, time[s]:0.007678
iteration:33, time[s]:0.006570
iteration:34, time[s]:0.006462
iteration:35, time[s]:0.007235
iteration:36, time[s]:0.006864
iteration:37, time[s]:0.006783
iteration:38, time[s]:0.006887
iteration:39, time[s]:0.007127
iteration:40, time[s]:0.006919
iteration:41, time[s]:0.006470
iteration:42, time[s]:0.006673
iteration:43, time[s]:0.006317
iteration:44, time[s]:0.006161
iteration:45, time[s]:0.006364
iteration:46, time[s]:0.007275
iteration:47, time[s]:0.006738
iteration:48, time[s]:0.006019
iteration:49, time[s]:0.007803
iteration:50, time[s]:0.006662
iteration:51, time[s]:0.006330
iteration:52, time[s]:0.006798
iteration:53, time[s]:0.006098
iteration:54, time[s]:0.006289
iteration:55, time[s]:0.006783
iteration:56, time[s]:0.006140
iteration:57, time[s]:0.006615
iteration:58, time[s]:0.006503
iteration:59, time[s]:0.007317
iteration:60, time[s]:0.007426
iteration:61, time[s]:0.006848
iteration:62, time[s]:0.006429
iteration:63, time[s]:0.006598
iteration:64, time[s]:0.006915
iteration:65, time[s]:0.006558
iteration:66, time[s]:0.007416
iteration:67, time[s]:0.008283
iteration:68, time[s]:0.007976
iteration:69, time[s]:0.008001
iteration:70, time[s]:0.007148
iteration:71, time[s]:0.007015
iteration:72, time[s]:0.006458
iteration:73, time[s]:0.006577
iteration:74, time[s]:0.006631
iteration:75, time[s]:0.006652
iteration:76, time[s]:0.006489
iteration:77, time[s]:0.006736
iteration:78, time[s]:0.006579
iteration:79, time[s]:0.006357
iteration:80, time[s]:0.006583
iteration:81, time[s]:0.007100
iteration:82, time[s]:0.007584
iteration:83, time[s]:0.007043
iteration:84, time[s]:0.007384
iteration:85, time[s]:0.007339
iteration:86, time[s]:0.007659
iteration:87, time[s]:0.007285
iteration:88, time[s]:0.006496
iteration:89, time[s]:0.006778
iteration:90, time[s]:0.007325
iteration:91, time[s]:0.006644
iteration:92, time[s]:0.006922
iteration:93, time[s]:0.007597
iteration:94, time[s]:0.007242
iteration:95, time[s]:0.007839
iteration:96, time[s]:0.007398
iteration:97, time[s]:0.006856
iteration:98, time[s]:0.007605
iteration:99, time[s]:0.007360
iteration:100, time[s]:0.007194
iteration:101, time[s]:0.007880
iteration:102, time[s]:0.006930
iteration:103, time[s]:0.007020
iteration:104, time[s]:0.006843
iteration:105, time[s]:0.006477
iteration:106, time[s]:0.006653
iteration:107, time[s]:0.006705
iteration:108, time[s]:0.007209
iteration:109, time[s]:0.007201
iteration:110, time[s]:0.006774
iteration:111, time[s]:0.007083
iteration:112, time[s]:0.007970
iteration:113, time[s]:0.007555
iteration:114, time[s]:0.007517
iteration:115, time[s]:0.007175
iteration:116, time[s]:0.007631
iteration:117, time[s]:0.007461
iteration:118, time[s]:0.007280
iteration:119, time[s]:0.006475
iteration:120, time[s]:0.006769
iteration:121, time[s]:0.006998
iteration:122, time[s]:0.006783
iteration:123, time[s]:0.006917
iteration:124, time[s]:0.007130
iteration:125, time[s]:0.007077
iteration:126, time[s]:0.007528
iteration:127, time[s]:0.007299
iteration:128, time[s]:0.008583
iteration:129, time[s]:0.008459
iteration:130, time[s]:0.007919
iteration:131, time[s]:0.007954
iteration:132, time[s]:0.007157
iteration:133, time[s]:0.007214
iteration:134, time[s]:0.007223
iteration:135, time[s]:0.007563
iteration:136, time[s]:0.007095
iteration:137, time[s]:0.007170
iteration:138, time[s]:0.007691
iteration:139, time[s]:0.007495
iteration:140, time[s]:0.006640
iteration:141, time[s]:0.007742
iteration:142, time[s]:0.007493
iteration:143, time[s]:0.007644
iteration:144, time[s]:0.007911
iteration:145, time[s]:0.008891
iteration:146, time[s]:0.007609
iteration:147, time[s]:0.007818
iteration:148, time[s]:0.007281
iteration:149, time[s]:0.006781
iteration:150, time[s]:0.007172
iteration:151, time[s]:0.006435
iteration:152, time[s]:0.007222
iteration:153, time[s]:0.007367
iteration:154, time[s]:0.007274
iteration:155, time[s]:0.007369
iteration:156, time[s]:0.007359
iteration:157, time[s]:0.007613
iteration:158, time[s]:0.008911
iteration:159, time[s]:0.008383
iteration:160, time[s]:0.008411
iteration:161, time[s]:0.007173
iteration:162, time[s]:0.007868
iteration:163, time[s]:0.008162
iteration:164, time[s]:0.007819
iteration:165, time[s]:0.007997
iteration:166, time[s]:0.008734
iteration:167, time[s]:0.007996
iteration:168, time[s]:0.007458
iteration:169, time[s]:0.007861
iteration:170, time[s]:0.007903
iteration:171, time[s]:0.008107
iteration:172, time[s]:0.007633
iteration:173, time[s]:0.007635
iteration:174, time[s]:0.007477
iteration:175, time[s]:0.008794
iteration:176, time[s]:0.007597
iteration:177, time[s]:0.007939
iteration:178, time[s]:0.008069
iteration:179, time[s]:0.008343
iteration:180, time[s]:0.008040
iteration:181, time[s]:0.007996
iteration:182, time[s]:0.008686
iteration:183, time[s]:0.008009
iteration:184, time[s]:0.008214
iteration:185, time[s]:0.007673
iteration:186, time[s]:0.007000
iteration:187, time[s]:0.007293
iteration:188, time[s]:0.006760
iteration:189, time[s]:0.006863
iteration:190, time[s]:0.007333
iteration:191, time[s]:0.006974
iteration:192, time[s]:0.007127
iteration:193, time[s]:0.006685
iteration:194, time[s]:0.007005
iteration:195, time[s]:0.008162
iteration:196, time[s]:0.008277
iteration:197, time[s]:0.007682
iteration:198, time[s]:0.007731
iteration:199, time[s]:0.007649
iteration:200, time[s]:0.008063
iteration:201, time[s]:0.007489
