alveo1a, bytes:8388608, num_elements:2097152, num_trials:1000
alveo3c, bytes:8388608, num_elements:2097152, num_trials:1000
alveo4b, bytes:8388608, num_elements:2097152, num_trials:1000
alveo3b, bytes:8388608, num_elements:2097152, num_trials:1000
alveo1b, bytes:8388608, num_elements:2097152, num_trials:1000
alveo2b, bytes:8388608, num_elements:2097152, num_trials:1000
alveo2a, bytes:8388608, num_elements:2097152, num_trials:1000
iteration:0, time[s]:0.039733
iteration:1, time[s]:0.014679
iteration:2, time[s]:0.012986
iteration:3, time[s]:0.013551
iteration:4, time[s]:0.013233
iteration:5, time[s]:0.012514
iteration:6, time[s]:0.012799
iteration:7, time[s]:0.030505
iteration:8, time[s]:0.013227
iteration:9, time[s]:0.013143
iteration:10, time[s]:0.013044
iteration:11, time[s]:0.014206
iteration:12, time[s]:0.014211
iteration:13, time[s]:0.014176
iteration:14, time[s]:0.013764
iteration:15, time[s]:0.013979
iteration:16, time[s]:0.013488
iteration:17, time[s]:0.013530
iteration:18, time[s]:0.013006
iteration:19, time[s]:0.012848
iteration:20, time[s]:0.013676
iteration:21, time[s]:0.013531
iteration:22, time[s]:0.013697
iteration:23, time[s]:0.013743
iteration:24, time[s]:0.013511
iteration:25, time[s]:0.013182
iteration:26, time[s]:0.013803
iteration:27, time[s]:0.014650
iteration:28, time[s]:0.014217
iteration:29, time[s]:0.013999
iteration:30, time[s]:0.012935
iteration:31, time[s]:0.013039
iteration:32, time[s]:0.012715
iteration:33, time[s]:0.012575
iteration:34, time[s]:0.012308
iteration:35, time[s]:0.013329
iteration:36, time[s]:0.014007
iteration:37, time[s]:0.014044
iteration:38, time[s]:0.012685
iteration:39, time[s]:0.013558
iteration:40, time[s]:0.013153
iteration:41, time[s]:0.013473
iteration:42, time[s]:0.013515
iteration:43, time[s]:0.013889
iteration:44, time[s]:0.013533
iteration:45, time[s]:0.013064
iteration:46, time[s]:0.014056
iteration:47, time[s]:0.013210
iteration:48, time[s]:0.012514
iteration:49, time[s]:0.014246
iteration:50, time[s]:0.014593
iteration:51, time[s]:0.014702
iteration:52, time[s]:0.013817
iteration:53, time[s]:0.014109
iteration:54, time[s]:0.014653
iteration:55, time[s]:0.014912
iteration:56, time[s]:0.014449
iteration:57, time[s]:0.013810
iteration:58, time[s]:0.013840
iteration:59, time[s]:0.014719
iteration:60, time[s]:0.014748
iteration:61, time[s]:0.015644
iteration:62, time[s]:0.014896
iteration:63, time[s]:0.015042
iteration:64, time[s]:0.014012
iteration:65, time[s]:0.014619
iteration:66, time[s]:0.014489
iteration:67, time[s]:0.014612
iteration:68, time[s]:0.014019
iteration:69, time[s]:0.014241
iteration:70, time[s]:0.014118
iteration:71, time[s]:0.015035
iteration:72, time[s]:0.014679
iteration:73, time[s]:0.014340
iteration:74, time[s]:0.014501
iteration:75, time[s]:0.013684
iteration:76, time[s]:0.014127
iteration:77, time[s]:0.013718
iteration:78, time[s]:0.014115
iteration:79, time[s]:0.013277
iteration:80, time[s]:0.013759
iteration:81, time[s]:0.013073
iteration:82, time[s]:0.012709
iteration:83, time[s]:0.013757
iteration:84, time[s]:0.013381
iteration:85, time[s]:0.013638
iteration:86, time[s]:0.013770
iteration:87, time[s]:0.014314
iteration:88, time[s]:0.013284
iteration:89, time[s]:0.013619
iteration:90, time[s]:0.013733
iteration:91, time[s]:0.013902
iteration:92, time[s]:0.013324
iteration:93, time[s]:0.013591
iteration:94, time[s]:0.013535
iteration:95, time[s]:0.013605
iteration:96, time[s]:0.013694
iteration:97, time[s]:0.013166
iteration:98, time[s]:0.014204
iteration:99, time[s]:0.013843
iteration:100, time[s]:0.014094
iteration:101, time[s]:0.013849
iteration:102, time[s]:0.013580
iteration:103, time[s]:0.013006
iteration:104, time[s]:0.014109
iteration:105, time[s]:0.012423
iteration:106, time[s]:0.013176
iteration:107, time[s]:0.013457
iteration:108, time[s]:0.013511
iteration:109, time[s]:0.012945
iteration:110, time[s]:0.012461
iteration:111, time[s]:0.013373
iteration:112, time[s]:0.013613
iteration:113, time[s]:0.013028
iteration:114, time[s]:0.012937
iteration:115, time[s]:0.012908
iteration:116, time[s]:0.012190
iteration:117, time[s]:0.013376
iteration:118, time[s]:0.012391
iteration:119, time[s]:0.012792
iteration:120, time[s]:0.012730
iteration:121, time[s]:0.012347
iteration:122, time[s]:0.012783
iteration:123, time[s]:0.012612
iteration:124, time[s]:0.012424
iteration:125, time[s]:0.012532
iteration:126, time[s]:0.012729
iteration:127, time[s]:0.013111
iteration:128, time[s]:0.012854
iteration:129, time[s]:0.013302
iteration:130, time[s]:0.013749
iteration:131, time[s]:0.012808
iteration:132, time[s]:0.013243
iteration:133, time[s]:0.012662
iteration:134, time[s]:0.013197
iteration:135, time[s]:0.012568
iteration:136, time[s]:0.012905
iteration:137, time[s]:0.013404
iteration:138, time[s]:0.013139
