alveo4b, bytes:16777216, num_elements:4194304, num_trials:1000
alveo3c, bytes:16777216, num_elements:4194304, num_trials:1000
alveo2b, bytes:16777216, num_elements:4194304, num_trials:1000
alveo1a, bytes:16777216, num_elements:4194304, num_trials:1000
alveo3b, bytes:16777216, num_elements:4194304, num_trials:1000
alveo1b, bytes:16777216, num_elements:4194304, num_trials:1000
alveo2a, bytes:16777216, num_elements:4194304, num_trials:1000
iteration:0, time[s]:0.044024
iteration:1, time[s]:0.023492
iteration:2, time[s]:0.020298
iteration:3, time[s]:0.022353
iteration:4, time[s]:0.019816
iteration:5, time[s]:0.017697
iteration:6, time[s]:0.019228
iteration:7, time[s]:0.023327
iteration:8, time[s]:0.023294
iteration:9, time[s]:0.022271
iteration:10, time[s]:0.017682
iteration:11, time[s]:0.017736
iteration:12, time[s]:0.020849
iteration:13, time[s]:0.016372
iteration:14, time[s]:0.016170
iteration:15, time[s]:0.019195
iteration:16, time[s]:0.020300
iteration:17, time[s]:0.020635
iteration:18, time[s]:0.020145
iteration:19, time[s]:0.018393
iteration:20, time[s]:0.018073
iteration:21, time[s]:0.017265
iteration:22, time[s]:0.016695
iteration:23, time[s]:0.018954
iteration:24, time[s]:0.020243
iteration:25, time[s]:0.020740
iteration:26, time[s]:0.022147
iteration:27, time[s]:0.021810
iteration:28, time[s]:0.017033
iteration:29, time[s]:0.018486
iteration:30, time[s]:0.022567
iteration:31, time[s]:0.023272
iteration:32, time[s]:0.021944
iteration:33, time[s]:0.021466
iteration:34, time[s]:0.021865
iteration:35, time[s]:0.021730
iteration:36, time[s]:0.021763
iteration:37, time[s]:0.022816
iteration:38, time[s]:0.023561
iteration:39, time[s]:0.020162
iteration:40, time[s]:0.019101
iteration:41, time[s]:0.020774
iteration:42, time[s]:0.022071
iteration:43, time[s]:0.020102
iteration:44, time[s]:0.016329
iteration:45, time[s]:0.018165
iteration:46, time[s]:0.018393
iteration:47, time[s]:0.017633
iteration:48, time[s]:0.017768
iteration:49, time[s]:0.018300
iteration:50, time[s]:0.020401
iteration:51, time[s]:0.023203
iteration:52, time[s]:0.020903
iteration:53, time[s]:0.018680
iteration:54, time[s]:0.018607
iteration:55, time[s]:0.019996
iteration:56, time[s]:0.021205
iteration:57, time[s]:0.020045
iteration:58, time[s]:0.024034
iteration:59, time[s]:0.024448
iteration:60, time[s]:0.023121
iteration:61, time[s]:0.020661
iteration:62, time[s]:0.020370
iteration:63, time[s]:0.021941
iteration:64, time[s]:0.025340
iteration:65, time[s]:0.024020
iteration:66, time[s]:0.021705
iteration:67, time[s]:0.021752
iteration:68, time[s]:0.019202
iteration:69, time[s]:0.018979
iteration:70, time[s]:0.017210
iteration:71, time[s]:0.018920
iteration:72, time[s]:0.019337
iteration:73, time[s]:0.023718
iteration:74, time[s]:0.025533
iteration:75, time[s]:0.020595
iteration:76, time[s]:0.021731
iteration:77, time[s]:0.021978
iteration:78, time[s]:0.022405
iteration:79, time[s]:0.020796
iteration:80, time[s]:0.019156
iteration:81, time[s]:0.021737
iteration:82, time[s]:0.021344
iteration:83, time[s]:0.017438
iteration:84, time[s]:0.014925
iteration:85, time[s]:0.016154
iteration:86, time[s]:0.016833
iteration:87, time[s]:0.017381
iteration:88, time[s]:0.018393
iteration:89, time[s]:0.018203
iteration:90, time[s]:0.020905
iteration:91, time[s]:0.020523
iteration:92, time[s]:0.020940
iteration:93, time[s]:0.020326
iteration:94, time[s]:0.019266
iteration:95, time[s]:0.019199
iteration:96, time[s]:0.019319
iteration:97, time[s]:0.016310
iteration:98, time[s]:0.017803
iteration:99, time[s]:0.018529
iteration:100, time[s]:0.021408
iteration:101, time[s]:0.017776
iteration:102, time[s]:0.017717
iteration:103, time[s]:0.018643
iteration:104, time[s]:0.021770
iteration:105, time[s]:0.024454
iteration:106, time[s]:0.028407
iteration:107, time[s]:0.024871
iteration:108, time[s]:0.020124
iteration:109, time[s]:0.020411
iteration:110, time[s]:0.020277
iteration:111, time[s]:0.021752
iteration:112, time[s]:0.020074
iteration:113, time[s]:0.019023
iteration:114, time[s]:0.018787
iteration:115, time[s]:0.018901
iteration:116, time[s]:0.020765
iteration:117, time[s]:0.018263
iteration:118, time[s]:0.021303
iteration:119, time[s]:0.023326
iteration:120, time[s]:0.021588
iteration:121, time[s]:0.023218
iteration:122, time[s]:0.020221
iteration:123, time[s]:0.018265
iteration:124, time[s]:0.018760
iteration:125, time[s]:0.017763
iteration:126, time[s]:0.018575
iteration:127, time[s]:0.020296
iteration:128, time[s]:0.020973
iteration:129, time[s]:0.020954
iteration:130, time[s]:0.017498
iteration:131, time[s]:0.020445
iteration:132, time[s]:0.023182
iteration:133, time[s]:0.020186
iteration:134, time[s]:0.019949
iteration:135, time[s]:0.018416
iteration:136, time[s]:0.018685
iteration:137, time[s]:0.017709
iteration:138, time[s]:0.017188
iteration:139, time[s]:0.020247
iteration:140, time[s]:0.015967
iteration:141, time[s]:0.017637
iteration:142, time[s]:0.018316
iteration:143, time[s]:0.021187
iteration:144, time[s]:0.020647
iteration:145, time[s]:0.019436
iteration:146, time[s]:0.019208
iteration:147, time[s]:0.020225
iteration:148, time[s]:0.018401
iteration:149, time[s]:0.019758
iteration:150, time[s]:0.020409
iteration:151, time[s]:0.020044
iteration:152, time[s]:0.018391
