alveo4b, bytes:8388608, num_elements:2097152, num_trials:1000
alveo3b, bytes:8388608, num_elements:2097152, num_trials:1000
alveo2a, bytes:8388608, num_elements:2097152, num_trials:1000
alveo2b, bytes:8388608, num_elements:2097152, num_trials:1000
alveo1a, bytes:8388608, num_elements:2097152, num_trials:1000
alveo1b, bytes:8388608, num_elements:2097152, num_trials:1000
iteration:0, time[s]:0.023188
iteration:1, time[s]:0.012027
iteration:2, time[s]:0.011507
iteration:3, time[s]:0.009981
iteration:4, time[s]:0.008668
iteration:5, time[s]:0.009773
iteration:6, time[s]:0.009260
iteration:7, time[s]:0.009324
iteration:8, time[s]:0.009815
iteration:9, time[s]:0.010384
iteration:10, time[s]:0.009204
iteration:11, time[s]:0.007861
iteration:12, time[s]:0.008806
iteration:13, time[s]:0.009007
iteration:14, time[s]:0.008721
iteration:15, time[s]:0.008577
iteration:16, time[s]:0.008876
iteration:17, time[s]:0.008013
iteration:18, time[s]:0.007238
iteration:19, time[s]:0.006721
iteration:20, time[s]:0.006384
iteration:21, time[s]:0.006670
iteration:22, time[s]:0.007368
iteration:23, time[s]:0.006863
iteration:24, time[s]:0.007377
iteration:25, time[s]:0.007157
iteration:26, time[s]:0.006788
iteration:27, time[s]:0.006423
iteration:28, time[s]:0.006520
iteration:29, time[s]:0.006926
iteration:30, time[s]:0.008107
iteration:31, time[s]:0.008509
iteration:32, time[s]:0.007134
iteration:33, time[s]:0.006541
iteration:34, time[s]:0.007059
iteration:35, time[s]:0.007164
iteration:36, time[s]:0.006641
iteration:37, time[s]:0.006841
iteration:38, time[s]:0.007280
iteration:39, time[s]:0.008018
iteration:40, time[s]:0.008580
iteration:41, time[s]:0.009911
iteration:42, time[s]:0.009746
iteration:43, time[s]:0.009041
iteration:44, time[s]:0.009304
iteration:45, time[s]:0.010291
iteration:46, time[s]:0.008428
iteration:47, time[s]:0.008989
iteration:48, time[s]:0.007839
iteration:49, time[s]:0.008072
iteration:50, time[s]:0.007725
iteration:51, time[s]:0.009285
iteration:52, time[s]:0.009622
iteration:53, time[s]:0.010282
iteration:54, time[s]:0.009589
iteration:55, time[s]:0.010019
iteration:56, time[s]:0.009739
iteration:57, time[s]:0.009659
iteration:58, time[s]:0.008128
iteration:59, time[s]:0.008000
iteration:60, time[s]:0.006672
iteration:61, time[s]:0.006544
iteration:62, time[s]:0.007184
iteration:63, time[s]:0.008000
iteration:64, time[s]:0.008054
iteration:65, time[s]:0.007574
iteration:66, time[s]:0.006530
iteration:67, time[s]:0.006351
iteration:68, time[s]:0.006148
iteration:69, time[s]:0.006811
iteration:70, time[s]:0.008174
iteration:71, time[s]:0.009733
iteration:72, time[s]:0.008323
iteration:73, time[s]:0.007987
iteration:74, time[s]:0.008234
iteration:75, time[s]:0.009033
iteration:76, time[s]:0.009384
iteration:77, time[s]:0.009565
iteration:78, time[s]:0.009101
iteration:79, time[s]:0.009950
iteration:80, time[s]:0.009550
iteration:81, time[s]:0.009909
iteration:82, time[s]:0.009465
iteration:83, time[s]:0.008707
iteration:84, time[s]:0.007717
iteration:85, time[s]:0.008499
iteration:86, time[s]:0.008284
iteration:87, time[s]:0.007324
iteration:88, time[s]:0.007935
iteration:89, time[s]:0.007864
iteration:90, time[s]:0.008693
iteration:91, time[s]:0.007257
iteration:92, time[s]:0.007023
iteration:93, time[s]:0.006160
iteration:94, time[s]:0.006349
iteration:95, time[s]:0.007144
iteration:96, time[s]:0.007201
iteration:97, time[s]:0.007128
iteration:98, time[s]:0.007274
iteration:99, time[s]:0.007738
iteration:100, time[s]:0.009644
iteration:101, time[s]:0.008738
iteration:102, time[s]:0.009841
iteration:103, time[s]:0.008002
iteration:104, time[s]:0.006898
iteration:105, time[s]:0.006660
iteration:106, time[s]:0.007186
iteration:107, time[s]:0.006784
iteration:108, time[s]:0.007427
iteration:109, time[s]:0.007851
iteration:110, time[s]:0.008151
iteration:111, time[s]:0.008545
iteration:112, time[s]:0.008110
iteration:113, time[s]:0.009563
iteration:114, time[s]:0.008486
iteration:115, time[s]:0.007541
iteration:116, time[s]:0.007427
iteration:117, time[s]:0.007233
iteration:118, time[s]:0.007122
iteration:119, time[s]:0.007286
iteration:120, time[s]:0.007134
iteration:121, time[s]:0.007303
iteration:122, time[s]:0.007129
iteration:123, time[s]:0.006816
iteration:124, time[s]:0.006525
iteration:125, time[s]:0.007314
iteration:126, time[s]:0.006987
iteration:127, time[s]:0.006972
iteration:128, time[s]:0.007441
iteration:129, time[s]:0.008217
iteration:130, time[s]:0.009238
iteration:131, time[s]:0.008970
iteration:132, time[s]:0.008641
iteration:133, time[s]:0.007129
iteration:134, time[s]:0.007189
iteration:135, time[s]:0.007280
iteration:136, time[s]:0.008349
iteration:137, time[s]:0.008624
iteration:138, time[s]:0.008214
iteration:139, time[s]:0.007215
iteration:140, time[s]:0.007863
iteration:141, time[s]:0.008867
iteration:142, time[s]:0.007936
iteration:143, time[s]:0.008266
iteration:144, time[s]:0.009122
iteration:145, time[s]:0.010135
iteration:146, time[s]:0.008989
iteration:147, time[s]:0.008136
iteration:148, time[s]:0.007930
iteration:149, time[s]:0.007359
iteration:150, time[s]:0.006675
iteration:151, time[s]:0.006703
iteration:152, time[s]:0.006970
iteration:153, time[s]:0.007413
iteration:154, time[s]:0.007227
iteration:155, time[s]:0.006962
iteration:156, time[s]:0.006922
iteration:157, time[s]:0.007050
iteration:158, time[s]:0.007189
iteration:159, time[s]:0.006805
iteration:160, time[s]:0.006777
iteration:161, time[s]:0.007390
iteration:162, time[s]:0.007898
iteration:163, time[s]:0.007952
iteration:164, time[s]:0.007870
iteration:165, time[s]:0.007929
iteration:166, time[s]:0.008297
iteration:167, time[s]:0.007275
iteration:168, time[s]:0.006625
iteration:169, time[s]:0.006712
iteration:170, time[s]:0.007435
iteration:171, time[s]:0.007069
iteration:172, time[s]:0.007286
iteration:173, time[s]:0.006984
iteration:174, time[s]:0.007832
iteration:175, time[s]:0.008553
iteration:176, time[s]:0.008328
iteration:177, time[s]:0.008344
iteration:178, time[s]:0.008386
iteration:179, time[s]:0.008711
iteration:180, time[s]:0.008579
iteration:181, time[s]:0.008109
iteration:182, time[s]:0.007722
iteration:183, time[s]:0.007240
iteration:184, time[s]:0.008812
iteration:185, time[s]:0.008676
iteration:186, time[s]:0.007362
iteration:187, time[s]:0.008260
iteration:188, time[s]:0.009490
iteration:189, time[s]:0.009834
iteration:190, time[s]:0.010202
iteration:191, time[s]:0.009898
iteration:192, time[s]:0.010328
iteration:193, time[s]:0.009637
iteration:194, time[s]:0.009122
iteration:195, time[s]:0.009047
iteration:196, time[s]:0.007727
iteration:197, time[s]:0.007376
iteration:198, time[s]:0.007339
iteration:199, time[s]:0.008668
iteration:200, time[s]:0.008125
iteration:201, time[s]:0.008122
iteration:202, time[s]:0.008450
iteration:203, time[s]:0.008402
iteration:204, time[s]:0.008685
iteration:205, time[s]:0.009022
iteration:206, time[s]:0.009994
iteration:207, time[s]:0.009014
iteration:208, time[s]:0.009015
iteration:209, time[s]:0.009991
iteration:210, time[s]:0.009772
iteration:211, time[s]:0.009700
iteration:212, time[s]:0.009426
iteration:213, time[s]:0.009549
iteration:214, time[s]:0.008796
iteration:215, time[s]:0.008741
iteration:216, time[s]:0.009592
iteration:217, time[s]:0.008324
iteration:218, time[s]:0.007409
iteration:219, time[s]:0.006392
iteration:220, time[s]:0.006616
iteration:221, time[s]:0.006863
iteration:222, time[s]:0.006849
iteration:223, time[s]:0.007061
iteration:224, time[s]:0.006991
iteration:225, time[s]:0.006769
iteration:226, time[s]:0.007180
iteration:227, time[s]:0.007769
iteration:228, time[s]:0.008204
iteration:229, time[s]:0.007072
iteration:230, time[s]:0.006634
iteration:231, time[s]:0.007823
iteration:232, time[s]:0.008342
iteration:233, time[s]:0.009100
iteration:234, time[s]:0.009651
iteration:235, time[s]:0.009439
iteration:236, time[s]:0.010258
iteration:237, time[s]:0.009821
iteration:238, time[s]:0.009902
iteration:239, time[s]:0.009544
iteration:240, time[s]:0.009665
iteration:241, time[s]:0.008771
iteration:242, time[s]:0.007609
iteration:243, time[s]:0.007365
iteration:244, time[s]:0.007520
iteration:245, time[s]:0.007038
iteration:246, time[s]:0.007953
iteration:247, time[s]:0.007118
iteration:248, time[s]:0.007283
iteration:249, time[s]:0.007538
iteration:250, time[s]:0.007381
iteration:251, time[s]:0.008938
iteration:252, time[s]:0.009307
iteration:253, time[s]:0.009303
iteration:254, time[s]:0.009579
iteration:255, time[s]:0.009898
iteration:256, time[s]:0.008218
iteration:257, time[s]:0.008065
iteration:258, time[s]:0.008768
iteration:259, time[s]:0.008830
iteration:260, time[s]:0.007767
iteration:261, time[s]:0.007067
iteration:262, time[s]:0.006942
iteration:263, time[s]:0.008052
iteration:264, time[s]:0.006738
iteration:265, time[s]:0.006221
iteration:266, time[s]:0.007197
iteration:267, time[s]:0.007652
iteration:268, time[s]:0.007326
iteration:269, time[s]:0.006864
iteration:270, time[s]:0.006865
iteration:271, time[s]:0.007065
iteration:272, time[s]:0.007999
iteration:273, time[s]:0.009223
iteration:274, time[s]:0.009125
iteration:275, time[s]:0.008691
iteration:276, time[s]:0.008684
iteration:277, time[s]:0.009254
iteration:278, time[s]:0.008476
iteration:279, time[s]:0.008730
iteration:280, time[s]:0.010220
iteration:281, time[s]:0.009369
iteration:282, time[s]:0.008572
iteration:283, time[s]:0.008226
iteration:284, time[s]:0.007967
iteration:285, time[s]:0.009129
iteration:286, time[s]:0.007639
iteration:287, time[s]:0.008441
iteration:288, time[s]:0.007890
iteration:289, time[s]:0.009054
iteration:290, time[s]:0.007567
iteration:291, time[s]:0.008140
iteration:292, time[s]:0.008415
iteration:293, time[s]:0.008074
iteration:294, time[s]:0.008120
iteration:295, time[s]:0.008017
iteration:296, time[s]:0.008178
iteration:297, time[s]:0.007555
iteration:298, time[s]:0.007614
iteration:299, time[s]:0.008217
iteration:300, time[s]:0.008687
iteration:301, time[s]:0.008500
iteration:302, time[s]:0.007519
iteration:303, time[s]:0.007703
iteration:304, time[s]:0.007291
iteration:305, time[s]:0.006506
iteration:306, time[s]:0.006777
iteration:307, time[s]:0.007185
iteration:308, time[s]:0.006889
iteration:309, time[s]:0.007922
iteration:310, time[s]:0.007517
iteration:311, time[s]:0.008373
iteration:312, time[s]:0.007899
iteration:313, time[s]:0.008530
iteration:314, time[s]:0.007064
iteration:315, time[s]:0.007310
iteration:316, time[s]:0.007661
iteration:317, time[s]:0.007801
iteration:318, time[s]:0.007896
iteration:319, time[s]:0.008496
iteration:320, time[s]:0.007416
iteration:321, time[s]:0.007360
iteration:322, time[s]:0.006766
iteration:323, time[s]:0.008333
iteration:324, time[s]:0.008586
iteration:325, time[s]:0.008171
iteration:326, time[s]:0.008038
iteration:327, time[s]:0.008712
iteration:328, time[s]:0.006912
iteration:329, time[s]:0.006388
iteration:330, time[s]:0.006114
iteration:331, time[s]:0.006521
iteration:332, time[s]:0.006213
iteration:333, time[s]:0.006485
iteration:334, time[s]:0.007518
iteration:335, time[s]:0.007642
iteration:336, time[s]:0.006331
iteration:337, time[s]:0.006739
iteration:338, time[s]:0.006991
iteration:339, time[s]:0.007479
iteration:340, time[s]:0.007769
iteration:341, time[s]:0.008325
iteration:342, time[s]:0.008829
iteration:343, time[s]:0.008701
iteration:344, time[s]:0.009843
iteration:345, time[s]:0.008412
iteration:346, time[s]:0.008260
iteration:347, time[s]:0.008637
iteration:348, time[s]:0.008149
iteration:349, time[s]:0.007744
iteration:350, time[s]:0.008657
iteration:351, time[s]:0.008100
iteration:352, time[s]:0.007770
iteration:353, time[s]:0.007310
iteration:354, time[s]:0.007814
iteration:355, time[s]:0.008307
iteration:356, time[s]:0.009446
iteration:357, time[s]:0.011936
iteration:358, time[s]:0.010850
iteration:359, time[s]:0.009377
iteration:360, time[s]:0.009133
iteration:361, time[s]:0.009034
