alveo4b, bytes:8388608, num_elements:2097152, num_trials:1000
alveo3b, bytes:8388608, num_elements:2097152, num_trials:1000
alveo3c, bytes:8388608, num_elements:2097152, num_trials:1000
alveo1a, bytes:8388608, num_elements:2097152, num_trials:1000
alveo1b, bytes:8388608, num_elements:2097152, num_trials:1000
alveo2a, bytes:8388608, num_elements:2097152, num_trials:1000
alveo2b, bytes:8388608, num_elements:2097152, num_trials:1000
iteration:0, time[s]:0.025437
iteration:1, time[s]:0.014579
iteration:2, time[s]:0.013855
iteration:3, time[s]:0.012007
iteration:4, time[s]:0.011082
iteration:5, time[s]:0.009521
iteration:6, time[s]:0.008351
iteration:7, time[s]:0.008385
iteration:8, time[s]:0.009981
iteration:9, time[s]:0.008411
iteration:10, time[s]:0.007744
iteration:11, time[s]:0.007482
iteration:12, time[s]:0.007616
iteration:13, time[s]:0.010264
iteration:14, time[s]:0.008621
iteration:15, time[s]:0.008134
iteration:16, time[s]:0.007893
iteration:17, time[s]:0.007912
iteration:18, time[s]:0.008797
iteration:19, time[s]:0.009522
iteration:20, time[s]:0.010751
iteration:21, time[s]:0.012118
iteration:22, time[s]:0.011627
iteration:23, time[s]:0.011253
iteration:24, time[s]:0.011191
iteration:25, time[s]:0.011349
iteration:26, time[s]:0.010604
iteration:27, time[s]:0.010168
iteration:28, time[s]:0.010322
iteration:29, time[s]:0.009938
iteration:30, time[s]:0.008883
iteration:31, time[s]:0.008675
iteration:32, time[s]:0.008552
iteration:33, time[s]:0.007977
iteration:34, time[s]:0.007902
iteration:35, time[s]:0.008153
iteration:36, time[s]:0.008556
iteration:37, time[s]:0.008843
iteration:38, time[s]:0.008928
iteration:39, time[s]:0.010699
iteration:40, time[s]:0.008959
iteration:41, time[s]:0.008291
iteration:42, time[s]:0.008039
iteration:43, time[s]:0.007837
iteration:44, time[s]:0.009562
iteration:45, time[s]:0.009448
iteration:46, time[s]:0.009962
iteration:47, time[s]:0.010368
iteration:48, time[s]:0.010218
iteration:49, time[s]:0.008746
iteration:50, time[s]:0.009113
iteration:51, time[s]:0.009967
iteration:52, time[s]:0.011368
iteration:53, time[s]:0.012460
iteration:54, time[s]:0.012539
iteration:55, time[s]:0.012430
iteration:56, time[s]:0.012169
iteration:57, time[s]:0.011249
iteration:58, time[s]:0.010780
iteration:59, time[s]:0.011134
iteration:60, time[s]:0.009378
iteration:61, time[s]:0.009290
iteration:62, time[s]:0.009946
iteration:63, time[s]:0.011089
iteration:64, time[s]:0.011255
iteration:65, time[s]:0.011091
iteration:66, time[s]:0.010640
iteration:67, time[s]:0.009490
iteration:68, time[s]:0.009164
iteration:69, time[s]:0.009482
iteration:70, time[s]:0.010502
iteration:71, time[s]:0.009312
iteration:72, time[s]:0.008302
iteration:73, time[s]:0.009598
iteration:74, time[s]:0.008574
iteration:75, time[s]:0.009387
iteration:76, time[s]:0.008451
iteration:77, time[s]:0.009694
iteration:78, time[s]:0.009346
iteration:79, time[s]:0.008370
iteration:80, time[s]:0.009144
iteration:81, time[s]:0.007913
iteration:82, time[s]:0.007565
iteration:83, time[s]:0.007729
iteration:84, time[s]:0.006971
iteration:85, time[s]:0.007705
iteration:86, time[s]:0.007600
iteration:87, time[s]:0.008235
iteration:88, time[s]:0.008217
iteration:89, time[s]:0.009343
iteration:90, time[s]:0.009725
iteration:91, time[s]:0.008941
iteration:92, time[s]:0.010720
iteration:93, time[s]:0.010397
iteration:94, time[s]:0.011166
iteration:95, time[s]:0.009839
iteration:96, time[s]:0.009377
iteration:97, time[s]:0.009765
iteration:98, time[s]:0.010121
iteration:99, time[s]:0.010183
iteration:100, time[s]:0.010151
iteration:101, time[s]:0.009315
iteration:102, time[s]:0.008202
iteration:103, time[s]:0.009107
iteration:104, time[s]:0.007624
iteration:105, time[s]:0.007767
iteration:106, time[s]:0.008157
iteration:107, time[s]:0.008811
iteration:108, time[s]:0.010316
iteration:109, time[s]:0.009633
iteration:110, time[s]:0.007651
iteration:111, time[s]:0.008142
iteration:112, time[s]:0.008993
iteration:113, time[s]:0.008628
iteration:114, time[s]:0.009709
iteration:115, time[s]:0.009073
iteration:116, time[s]:0.009547
iteration:117, time[s]:0.008625
iteration:118, time[s]:0.010196
iteration:119, time[s]:0.009366
